,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location*,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2004,Subsequently Confirmed Victims in Fiscal Years 2004 - 2009,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA)**,Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
0,ANDERSON,5039,7496,428,372,320,693,3,0,0,703,596,5,809,556,489,131,678,31,11504,228,19.8,459,133,29.0%,63,16,,,127,11.0,40,125,99,91,0,40,10,7,7,34,96,1081189,0,3,4,58,"$51,103.28",125,30,"$4,822.71",197,11504,2346,6998,2036,0,124,9065,9,1046,3,36,27,7,11504,0,24,1,0,0,0,25,133,115,0,0,0,115,,,
1,ANDREWS,1081,1837,35,35,30,30,0,0,0,172,146,1,196,109,93,51,145,8,3837,76,19.8,99,35,35.4%,28,12,1,0,29,7.6,14,25,10,23,0,14,0,1,1,8,11,115817,0,1,0,4,"$3,080.00",25,12,"$1,636.03",70,3837,61,1504,2229,8,35,3048,6,289,0,0,9,2,3837,0,3,0,0,0,0,3,11,8,0,0,0,8,,,
2,ANGELINA,6568,11218,545,478,351,407,247,237,34,1100,848,7,1070,914,738,116,954,17,22648,137,6.0,630,82,13.0%,62,12,1,0,118,5.2,22,113,86,84,0,23,9,11,12,39,82,983811,1,7,2,60,"$55,501.40",113,21,"$3,651.64",141,22648,3427,12341,6618,16,246,17695,33,3056,2,24,13,5,22648,3,27,0,0,0,0,30,88,127,0,14,0,141,,,
3,ARANSAS,2113,5822,169,150,99,75,0,0,0,351,334,0,497,315,261,178,319,20,5038,167,33.1,285,97,34.0%,39,7,1,0,65,12.9,27,56,45,56,0,30,0,5,12,20,45,441599,1,1,0,16,"$29,299.70",56,24,"$4,492.90",253,5038,98,2802,1877,12,249,3705,5,343,0,0,5,0,5038,0,8,0,0,0,0,8,33,95,0,0,0,95,,,
4,ARCHER,802,1310,62,50,42,40,1,1,0,62,48,0,68,62,47,6,62,0,2202,6,2.7,42,5,11.9%,1,0,,,2,0.9,0,2,2,2,0,0,0,0,0,2,2,7860,0,0,0,4,$264.00,2,2,$72.96,7,2202,8,1984,201,1,8,1588,5,248,1,12,2,2,2202,0,2,0,0,0,0,2,16,3,0,0,0,3,,,
5,ARMSTRONG,165,455,15,12,7,23,0,0,0,12,10,0,10,10,7,2,8,0,537,0,0.0,6,0,0.0%,0,0,,,1,1.9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"$5,000.00",1,0,$0.00,0,537,2,484,50,0,1,423,0,0,0,0,4,1,537,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
6,ATASCOSA,3872,5191,179,144,89,92,0,3,0,663,556,4,742,545,497,164,578,29,13399,181,13.5,390,93,23.8%,95,18,1,0,155,11.6,32,150,82,123,0,34,8,25,33,33,82,1088317,0,2,1,15,"$19,759.71",150,35,"$4,754.49",229,13399,33,3906,9407,5,48,10083,14,862,2,24,15,4,13399,0,25,0,0,0,0,25,108,135,0,1,0,136,,,
7,AUSTIN,2336,4320,98,89,73,82,0,0,0,227,190,2,226,178,163,38,188,10,6760,42,6.2,134,29,21.6%,20,5,,,29,4.3,9,27,13,27,0,9,1,4,3,15,10,138786,0,1,3,19,"$8,132.25",27,3,"$1,561.35",76,6760,835,3724,2146,6,49,5124,10,802,1,12,10,6,6760,0,9,0,0,2,0,11,112,134,0,117,0,251,,,
8,BAILEY,523,1069,33,35,35,41,0,0,0,55,49,0,98,75,65,23,75,10,2182,18,8.2,50,12,24.0%,34,10,,,38,17.4,6,36,30,23,0,7,2,5,1,10,31,262599,0,2,0,0,$0.00,36,0,$0.00,35,2182,24,704,1450,0,4,1755,3,158,0,0,4,1,2182,0,10,0,0,0,0,10,40,10,0,0,0,10,,,
9,BANDERA,1858,3853,104,82,60,100,0,0,0,172,149,0,197,135,103,53,144,6,4277,57,13.3,114,30,26.3%,17,2,,,60,14.0,9,59,37,51,0,9,2,17,17,11,37,458231,0,4,1,20,"$14,609.13",59,0,$0.00,93,4277,26,3335,885,7,24,3103,5,392,0,0,1,0,4277,0,17,1,0,0,0,18,198,78,0,0,0,78,,,
