,County,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**
1,ANDERSON,0,3,4
2,ANDREWS,0,1,0
3,ANGELINA,1,7,2
4,ARANSAS,1,1,0
5,ARCHER,0,0,0
6,ARMSTRONG,0,0,0
7,ATASCOSA,0,2,1
8,AUSTIN,0,1,3
9,BAILEY,0,2,0
10,BANDERA,0,4,1
11,BASTROP,1,1,7
12,BAYLOR,0,2,0
13,BEE,0,0,3
14,BELL,5,32,13
15,BEXAR,14,79,70
16,BLANCO,0,0,2
17,BORDEN,0,1,0
18,BOSQUE,0,2,0
19,BOWIE,3,16,3
20,BRAZORIA,6,25,24
21,BRAZOS,2,3,11
22,BREWSTER,0,0,1
23,BRISCOE,0,0,0
24,BROOKS,0,0,0
25,BROWN,0,10,0
26,BURLESON,0,2,2
27,BURNET,1,1,0
28,CALDWELL,1,1,5
29,CALHOUN,0,7,1
30,CALLAHAN,0,2,1
31,CAMERON,10,9,6
32,CAMP,0,2,2
33,CARSON,1,1,0
34,CASS,0,8,2
35,CASTRO,1,11,0
36,CHAMBERS,0,5,1
37,CHEROKEE,0,4,0
38,CHILDRESS,1,1,0
39,CLAY,0,3,0
40,COCHRAN,0,0,0
41,COKE,0,0,0
42,COLEMAN,0,0,0
43,COLLIN,7,26,15
44,COLLINGSWORTH,0,0,0
45,COLORADO,0,1,2
46,COMAL,1,10,3
47,COMANCHE,2,3,0
48,CONCHO,0,0,1
49,COOKE,0,0,2
50,CORYELL,0,11,3
51,COTTLE,0,0,0
52,CRANE,0,0,0
53,CROCKETT,0,0,0
54,CROSBY,0,1,1
55,CULBERSON,0,0,0
56,DALLAM,0,2,0
57,DALLAS,12,109,58
58,DAWSON,0,0,0
59,DEAF SMITH,0,3,0
60,DELTA,0,0,0
61,DENTON,3,50,11
62,DEWITT,2,0,1
63,DICKENS,0,0,0
64,DIMMIT,0,1,0
65,DONLEY,0,0,0
66,DUVAL,0,0,0
67,EASTLAND,1,3,0
68,ECTOR,0,11,1
69,EDWARDS,1,0,0
70,ELLIS,1,11,1
71,EL PASO,10,33,18
72,ERATH,0,3,0
73,FALLS,1,1,0
74,FANNIN,2,2,0
75,FAYETTE,0,2,1
76,FISHER,0,0,0
77,FLOYD,0,0,0
78,FOARD,0,0,0
79,FORT BEND,6,32,31
80,FRANKLIN,0,1,0
81,FREESTONE,0,0,0
82,FRIO,0,3,1
83,GAINES,0,2,0
84,GALVESTON,3,25,27
85,GARZA,0,1,0
86,GILLESPIE,0,0,3
87,GLASSCOCK,0,0,0
88,GOLIAD,0,1,1
89,GONZALES,0,0,1
90,GRAY,1,1,0
91,GRAYSON,3,9,2
92,GREGG,4,6,3
93,GRIMES,1,0,2
94,GUADALUPE,0,10,10
95,HALE,0,8,1
96,HALL,0,0,0
97,HAMILTON,0,1,0
98,HANSFORD,0,0,0
99,HARDEMAN,0,1,0
100,HARDIN,0,4,3
101,HARRIS,42,146,199
102,HARRISON,5,5,4
103,HARTLEY,0,0,0
104,HASKELL,0,0,0
105,HAYS,0,7,11
106,HEMPHILL,0,0,0
107,HENDERSON,1,8,3
108,HIDALGO,4,14,5
109,HILL,0,1,0
110,HOCKLEY,0,2,2
111,HOOD,0,1,2
112,HOPKINS,0,3,0
113,HOUSTON,0,2,2
114,HOWARD,0,0,1
115,HUDSPETH,0,0,0
116,HUNT,0,12,0
117,HUTCHINSON,1,2,1
118,IRION,0,0,0
119,JACK,0,2,0
120,JACKSON,1,7,0
121,JASPER,2,4,2
122,JEFF DAVIS,0,1,1
123,JEFFERSON,9,37,17
124,JIM HOGG,0,0,0
125,JIM WELLS,0,0,0
126,JOHNSON,1,11,10
127,JONES,0,3,1
128,KARNES,0,0,0
129,KAUFMAN,1,9,3
130,KENDALL,0,2,1
131,KENEDY,0,0,0
132,KENT,0,0,0
133,KERR,0,4,0
134,KIMBLE,0,0,0
135,KING,0,0,0
136,KINNEY,0,0,0
137,KLEBERG,0,0,3
138,KNOX,0,0,0
139,LAMAR,1,3,0
140,LAMB,0,2,1
141,LAMPASAS,0,2,1
142,LASALLE,0,1,0
143,LAVACA,0,3,0
144,LEE,0,0,3
145,LEON,0,1,3
146,LIBERTY,4,9,3
147,LIMESTONE,0,0,0
148,LIPSCOMB,0,0,0
149,LIVE OAK,0,0,0
150,LLANO,0,1,0
151,LOVING,0,0,0
152,LUBBOCK,3,59,7
153,LYNN,0,1,0
154,MADISON,0,1,2
155,MARION,0,1,1
156,MARTIN,0,0,0
157,MASON,0,0,0
158,MATAGORDA,2,3,3
159,MAVERICK,0,2,1
160,MCCULLOCH,0,1,0
161,MCLENNAN,3,20,6
162,MCMULLEN,0,0,0
163,MEDINA,0,5,4
164,MENARD,0,0,0
165,MIDLAND,0,14,1
166,MILAM,2,0,4
167,MILLS,0,0,0
168,MITCHELL,0,0,0
169,MONTAGUE,0,5,0
170,MONTGOMERY,3,18,13
171,MOORE,0,2,0
172,MORRIS,0,1,0
173,MOTLEY,0,0,0
174,NACOGDOCHES,1,6,2
175,NAVARRO,0,0,3
176,NEWTON,0,1,2
177,NOLAN,0,3,0
178,NUECES,5,17,13
179,OCHILTREE,0,0,0
180,OLDHAM,0,2,0
181,ORANGE,2,14,0
182,PALO PINTO,0,1,0
183,PANOLA,0,1,0
184,PARKER,0,4,3
185,PARMER,1,1,1
186,PECOS,0,0,0
187,POLK,0,3,2
188,POTTER,0,17,7
189,PRESIDIO,0,0,0
190,RAINS,0,1,2
191,RANDALL,2,28,8
192,REAGAN,0,0,0
193,REAL,0,0,0
194,RED RIVER,0,2,0
195,REEVES,0,1,0
196,REFUGIO,0,1,1
197,ROBERTS,0,0,0
198,ROBERTSON,0,0,4
199,ROCKWALL,0,5,4
200,RUNNELS,1,1,0
201,RUSK,0,3,2
202,SABINE,0,1,0
203,SAN AUGUSTINE,0,4,0
204,SAN JACINTO,2,1,0
205,SAN PATRICIO,0,3,3
206,SAN SABA,0,0,0
207,SCHLEICHER,0,0,0
208,SCURRY,0,3,1
209,SHACKELFORD,0,0,0
210,SHELBY,1,2,1
211,SHERMAN,0,1,1
212,SMITH,4,18,9
213,SOMERVELL,0,0,0
214,STARR,1,2,1
215,STEPHENS,0,1,0
216,STERLING,0,0,0
217,STONEWALL,0,0,0
218,SUTTON,1,0,0
219,SWISHER,0,0,0
220,TARRANT,13,87,34
221,TAYLOR,1,25,1
222,TERRELL,0,0,0
223,TERRY,0,2,0
224,THROCKMORTON,0,0,0
225,TITUS,0,1,0
226,TOM GREEN,1,10,0
227,TRAVIS,3,28,40
228,TRINITY,0,0,3
229,TYLER,0,6,6
230,UPSHUR,1,2,5
231,UPTON,1,1,0
232,UVALDE,0,1,2
233,VAL VERDE,0,2,1
234,VAN ZANDT,0,10,5
235,VICTORIA,6,20,3
236,WALKER,0,11,2
237,WALLER,0,0,9
238,WARD,0,0,0
239,WASHINGTON,2,1,2
240,WEBB,2,8,5
241,WHARTON,1,4,0
242,WHEELER,0,0,0
243,WICHITA,0,21,6
244,WILBARGER,0,1,0
245,WILLACY,1,0,0
246,WILLIAMSON,1,21,28
247,WILSON,0,5,0
248,WINKLER,0,2,0
249,WISE,1,2,1
250,WOOD,0,4,2
251,YOAKUM,0,2,0
252,YOUNG,1,8,2
253,ZAPATA,1,0,0
254,ZAVALA,0,2,0
255,UNKNOWN,0,0,0
256,OUT OF STATE,3,17,22
257,STATE TOTAL,254,1527,938
