,County,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA)**,Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity
1,ANDERSON,11504,0,24,1,0,0,0,25,133
2,ANDREWS,3837,0,3,0,0,0,0,3,11
3,ANGELINA,22648,3,27,0,0,0,0,30,88
4,ARANSAS,5038,0,8,0,0,0,0,8,33
5,ARCHER,2202,0,2,0,0,0,0,2,16
6,ARMSTRONG,537,0,0,0,0,0,0,0,0
7,ATASCOSA,13399,0,25,0,0,0,0,25,108
8,AUSTIN,6760,0,9,0,0,2,0,11,112
9,BAILEY,2182,0,10,0,0,0,0,10,40
10,BANDERA,4277,0,17,1,0,0,0,18,198
11,BASTROP,22312,0,41,1,0,0,0,42,169
12,BAYLOR,788,0,2,0,0,0,0,2,10
13,BEE,7647,0,16,1,0,0,0,17,194
14,BELL,73969,10,188,2,0,1,1,202,775
15,BEXAR,421591,35,921,17,1,6,1,981,3924
16,BLANCO,2215,0,8,0,0,0,0,8,24
17,BORDEN,118,0,1,0,0,0,0,1,2
18,BOSQUE,4175,0,6,0,0,0,0,6,17
19,BOWIE,21419,0,25,1,0,0,0,26,101
20,BRAZORIA,79132,1,144,3,1,5,0,154,805
21,BRAZOS,36515,2,52,1,0,1,0,56,201
22,BREWSTER,1990,0,1,0,0,0,0,1,0
23,BRISCOE,421,0,0,0,0,0,0,0,0
24,BROOKS,2528,0,0,0,0,0,0,0,0
25,BROWN,9391,7,77,1,0,0,0,85,384
26,BURLESON,4548,0,5,0,0,0,0,5,9
27,BURNET,9260,0,18,0,0,0,0,18,72
28,CALDWELL,10356,0,38,0,0,1,0,39,308
29,CALHOUN,5937,0,14,0,0,0,0,14,46
30,CALLAHAN,3101,0,9,0,0,0,0,9,39
31,CAMERON,132382,6,158,5,0,0,0,169,1210
32,CAMP,3362,0,9,0,0,0,0,9,20
33,CARSON,1485,0,2,0,0,0,0,2,5
34,CASS,6624,0,10,0,0,0,0,10,34
35,CASTRO,2649,0,16,0,0,0,0,16,63
36,CHAMBERS,8654,0,6,0,0,0,0,6,11
37,CHEROKEE,12774,0,27,0,0,0,0,27,95
38,CHILDRESS,1759,0,2,0,0,0,0,2,6
