,County,STAR,CYD,SYSN,YRP,TOTAL
1,ANDERSON,115,0,0,0,115
2,ANDREWS,8,0,0,0,8
3,ANGELINA,127,0,14,0,141
4,ARANSAS,95,0,0,0,95
5,ARCHER,3,0,0,0,3
6,ARMSTRONG,1,0,0,0,1
7,ATASCOSA,135,0,1,0,136
8,AUSTIN,134,0,117,0,251
9,BAILEY,10,0,0,0,10
10,BANDERA,78,0,0,0,78
11,BASTROP,179,0,86,0,265
12,BAYLOR,6,0,0,0,6
13,BEE,79,0,0,0,79
14,BELL,511,0,129,2,642
15,BEXAR,1672,1068,252,233,3225
16,BLANCO,29,0,0,0,29
17,BORDEN,0,0,0,0,0
18,BOSQUE,84,0,0,0,84
19,BOWIE,119,0,0,0,119
20,BRAZORIA,406,0,149,0,555
21,BRAZOS,413,0,53,0,466
22,BREWSTER,14,0,0,0,14
23,BRISCOE,1,0,0,0,1
24,BROOKS,21,0,0,0,21
25,BROWN,108,0,57,0,165
26,BURLESON,37,0,0,0,37
27,BURNET,100,0,74,0,174
28,CALDWELL,128,0,6,0,134
29,CALHOUN,113,0,0,0,113
30,CALLAHAN,12,0,1,0,13
31,CAMERON,649,2175,244,0,3068
32,CAMP,5,0,0,0,5
33,CARSON,2,0,0,0,2
34,CASS,19,0,0,0,19
35,CASTRO,37,0,0,0,37
36,CHAMBERS,30,0,1,0,31
37,CHEROKEE,216,0,0,0,216
38,CHILDRESS,7,0,0,0,7
39,CLAY,8,0,2,0,10
40,COCHRAN,7,0,0,0,7
41,COKE,1,0,23,0,24
42,COLEMAN,22,0,0,0,22
43,COLLIN,638,0,293,90,1021
44,COLLINGSWORTH,5,0,0,0,5
45,COLORADO,72,0,35,0,107
46,COMAL,486,0,9,37,532
47,COMANCHE,79,0,0,0,79
48,CONCHO,4,0,0,0,4
49,COOKE,20,0,24,0,44
50,CORYELL,111,0,34,0,145
51,COTTLE,1,0,0,0,1
52,CRANE,4,0,0,0,4
53,CROCKETT,8,0,2,6,16
54,CROSBY,46,0,0,0,46
55,CULBERSON,13,0,14,0,27
56,DALLAM,20,0,7,0,27
57,DALLAS,1183,2114,388,348,4033
58,DAWSON,1,0,16,0,17
59,DEAF SMITH,125,0,10,0,135
60,DELTA,17,0,0,0,17
61,DENTON,640,0,94,83,817
62,DEWITT,70,0,0,0,70
63,DICKENS,6,0,0,0,6
64,DIMMIT,5,0,0,0,5
65,DONLEY,8,0,0,0,8
66,DUVAL,2,0,0,0,2
67,EASTLAND,103,0,0,0,103
68,ECTOR,131,0,22,0,153
69,EDWARDS,4,0,0,0,4
70,ELLIS,110,0,196,2,308
71,EL PASO,697,2029,85,97,2908
72,ERATH,205,0,0,0,205
73,FALLS,12,0,25,0,37
74,FANNIN,71,0,1,0,72
75,FAYETTE,47,0,18,0,65
76,FISHER,7,0,0,0,7
77,FLOYD,25,0,0,0,25
78,FOARD,3,0,0,0,3
79,FORT BEND,301,0,72,0,373
80,FRANKLIN,17,0,1,0,18
81,FREESTONE,42,0,0,0,42
82,FRIO,10,0,0,0,10
83,GAINES,3,0,1,0,4
84,GALVESTON,314,489,56,0,859
85,GARZA,13,0,0,0,13
