,County,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location*
1,ANDERSON,703,596,5
2,ANDREWS,172,146,1
3,ANGELINA,1100,848,7
4,ARANSAS,351,334,0
5,ARCHER,62,48,0
6,ARMSTRONG,12,10,0
7,ATASCOSA,663,556,4
8,AUSTIN,227,190,2
9,BAILEY,55,49,0
10,BANDERA,172,149,0
11,BASTROP,885,690,7
12,BAYLOR,51,43,0
13,BEE,437,409,5
14,BELL,4396,3901,32
15,BEXAR,21814,17906,141
16,BLANCO,65,53,0
17,BORDEN,0,0,0
18,BOSQUE,142,129,0
19,BOWIE,1166,1013,10
20,BRAZORIA,2585,2196,19
21,BRAZOS,1338,1191,10
22,BREWSTER,84,74,0
23,BRISCOE,10,7,0
24,BROOKS,146,135,0
25,BROWN,625,553,4
26,BURLESON,173,153,2
27,BURNET,468,408,5
28,CALDWELL,592,462,2
29,CALHOUN,238,192,2
30,CALLAHAN,156,138,0
31,CAMERON,4868,4372,27
32,CAMP,168,132,0
33,CARSON,53,48,0
34,CASS,371,323,4
35,CASTRO,73,63,0
36,CHAMBERS,253,213,0
37,CHEROKEE,684,577,4
38,CHILDRESS,69,65,1
39,CLAY,81,63,0
40,COCHRAN,26,19,0
41,COKE,24,21,0
42,COLEMAN,130,117,1
43,COLLIN,4695,3789,37
44,COLLINGSWORTH,45,41,1
45,COLORADO,161,133,1
46,COMAL,1192,932,8
47,COMANCHE,157,136,0
48,CONCHO,30,28,0
49,COOKE,428,391,5
50,CORYELL,987,867,7
51,COTTLE,9,7,0
52,CRANE,37,29,0
53,CROCKETT,41,39,0
54,CROSBY,118,104,0
55,CULBERSON,40,35,0
56,DALLAM,90,78,1
57,DALLAS,22762,19420,163
58,DAWSON,192,173,1
59,DEAF SMITH,262,225,3
60,DELTA,48,39,0
61,DENTON,4339,3658,35
62,DEWITT,228,174,3
63,DICKENS,46,41,0
64,DIMMIT,161,138,1
65,DONLEY,30,26,0
66,DUVAL,158,140,0
67,EASTLAND,223,189,3
68,ECTOR,1965,1811,14
69,EDWARDS,14,11,0
70,ELLIS,1319,1170,10
71,EL PASO,7088,5856,44
72,ERATH,342,296,3
73,FALLS,157,138,1
74,FANNIN,397,348,3
75,FAYETTE,166,132,0
76,FISHER,33,28,0
77,FLOYD,63,61,0
78,FOARD,13,11,0
79,FORT BEND,2688,2296,13
80,FRANKLIN,107,94,0
81,FREESTONE,182,158,0
82,FRIO,294,266,3
83,GAINES,134,121,0
84,GALVESTON,2926,2624,27
85,GARZA,82,73,0
86,GILLESPIE,174,149,0
87,GLASSCOCK,4,2,0
88,GOLIAD,79,62,0
89,GONZALES,314,238,2
90,GRAY,356,321,3
91,GRAYSON,1509,1311,10
92,GREGG,1552,1330,10
93,GRIMES,257,230,0
94,GUADALUPE,1463,1132,10
95,HALE,460,408,4
96,HALL,37,33,0
97,HAMILTON,112,101,1
98,HANSFORD,46,42,0
99,HARDEMAN,63,50,0
100,HARDIN,594,486,5
101,HARRIS,30794,25428,239
102,HARRISON,698,610,6
103,HARTLEY,24,18,0
104,HASKELL,41,38,4
105,HAYS,1198,915,10
106,HEMPHILL,24,21,0
107,HENDERSON,1034,894,5
108,HIDALGO,8309,7379,56
109,HILL,384,344,2
110,HOCKLEY,291,266,3
111,HOOD,635,545,5
112,HOPKINS,428,354,2
113,HOUSTON,218,187,1
114,HOWARD,482,428,4
115,HUDSPETH,18,14,0
116,HUNT,1009,900,10
117,HUTCHINSON,306,277,5
118,IRION,9,9,0
119,JACK,105,91,0
120,JACKSON,148,124,1
121,JASPER,420,363,2
122,JEFF DAVIS,11,11,0
123,JEFFERSON,2447,2142,21
124,JIM HOGG,94,88,0
125,JIM WELLS,624,570,7
126,JOHNSON,1930,1651,11
127,JONES,199,156,0
128,KARNES,189,144,0
129,KAUFMAN,1039,920,8
130,KENDALL,178,136,1
131,KENEDY,8,6,0
132,KENT,9,7,0
133,KERR,677,582,4
134,KIMBLE,54,48,0
135,KING,0,0,0
136,KINNEY,22,19,0
137,KLEBERG,410,365,5
138,KNOX,44,38,0
139,LAMAR,607,467,6
140,LAMB,194,175,2
141,LAMPASAS,235,204,5
142,LASALLE,113,97,0
143,LAVACA,131,107,1
144,LEE,164,140,2
145,LEON,161,152,1
146,LIBERTY,901,748,3
147,LIMESTONE,286,241,3
148,LIPSCOMB,25,21,0
149,LIVE OAK,160,149,0
150,LLANO,223,187,0
151,LOVING,0,0,0
152,LUBBOCK,3409,2936,29
153,LYNN,60,54,0
154,MADISON,119,101,2
155,MARION,120,103,0
156,MARTIN,34,32,0
157,MASON,44,39,0
158,MATAGORDA,321,271,2
159,MAVERICK,261,222,2
160,MCCULLOCH,142,135,1
161,MCLENNAN,2824,2556,21
162,MCMULLEN,15,14,0
163,MEDINA,526,451,3
164,MENARD,19,17,0
165,MIDLAND,1303,1155,8
166,MILAM,327,279,2
167,MILLS,44,40,0
168,MITCHELL,114,104,0
169,MONTAGUE,295,256,4
170,MONTGOMERY,3991,3190,24
171,MOORE,264,228,4
172,MORRIS,164,142,0
173,MOTLEY,5,5,0
174,NACOGDOCHES,662,556,6
175,NAVARRO,549,497,6
176,NEWTON,131,110,0
177,NOLAN,288,245,4
178,NUECES,5245,4991,34
179,OCHILTREE,102,92,0
180,OLDHAM,28,18,0
181,ORANGE,1133,1001,9
182,PALO PINTO,493,431,4
183,PANOLA,228,195,2
184,PARKER,1403,1208,9
185,PARMER,74,57,0
186,PECOS,150,123,3
187,POLK,589,504,4
188,POTTER,2409,2131,26
189,PRESIDIO,46,42,0
190,RAINS,94,85,0
191,RANDALL,1181,1038,3
192,REAGAN,49,48,0
193,REAL,42,32,0
194,RED RIVER,147,122,1
195,REEVES,164,129,0
196,REFUGIO,73,69,0
197,ROBERTS,4,4,0
198,ROBERTSON,160,139,1
199,ROCKWALL,497,427,1
200,RUNNELS,121,97,1
201,RUSK,529,455,3
202,SABINE,108,93,2
203,SAN AUGUSTINE,60,52,0
204,SAN JACINTO,356,322,1
205,SAN PATRICIO,1027,967,9
206,SAN SABA,48,39,0
207,SCHLEICHER,22,21,0
208,SCURRY,253,222,2
209,SHACKELFORD,48,38,0
210,SHELBY,308,265,2
211,SHERMAN,14,12,0
212,SMITH,1969,1531,12
