,County,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***
1,ANDERSON,809,556,489,131,678,31
2,ANDREWS,196,109,93,51,145,8
3,ANGELINA,1070,914,738,116,954,17
4,ARANSAS,497,315,261,178,319,20
5,ARCHER,68,62,47,6,62,0
6,ARMSTRONG,10,10,7,2,8,0
7,ATASCOSA,742,545,497,164,578,29
8,AUSTIN,226,178,163,38,188,10
9,BAILEY,98,75,65,23,75,10
10,BANDERA,197,135,103,53,144,6
11,BASTROP,1002,754,695,133,869,66
12,BAYLOR,61,50,43,14,47,0
13,BEE,583,342,287,222,361,33
14,BELL,5062,4090,3879,679,4383,286
15,BEXAR,24786,18222,15939,6194,18592,678
16,BLANCO,90,69,52,6,84,1
17,BORDEN,0,0,0,0,0,0
18,BOSQUE,219,173,167,18,201,1
19,BOWIE,1582,1243,861,242,1340,79
20,BRAZORIA,2777,1985,1723,600,2177,78
21,BRAZOS,1676,1222,921,196,1480,55
22,BREWSTER,88,65,48,19,69,0
23,BRISCOE,20,15,15,5,15,5
24,BROOKS,195,117,108,74,121,7
25,BROWN,825,549,496,229,596,60
26,BURLESON,207,145,120,31,176,10
27,BURNET,504,362,329,83,421,25
28,CALDWELL,626,472,420,94,532,37
29,CALHOUN,256,207,164,52,204,0
30,CALLAHAN,162,116,98,44,118,3
31,CAMERON,6786,4352,3616,1949,4837,144
32,CAMP,190,107,94,61,129,14
33,CARSON,71,52,49,6,65,4
34,CASS,434,366,260,92,342,29
35,CASTRO,88,54,48,26,62,0
36,CHAMBERS,299,232,207,79,220,14
37,CHEROKEE,789,607,534,120,669,21
38,CHILDRESS,83,71,61,9,74,2
39,CLAY,115,77,68,14,101,3
40,COCHRAN,26,21,16,5,21,1
41,COKE,43,35,28,10,33,0
42,COLEMAN,168,81,79,58,110,16
43,COLLIN,4490,3142,2103,935,3555,99
44,COLLINGSWORTH,48,34,28,14,34,4
45,COLORADO,157,131,115,25,132,3
46,COMAL,1008,659,593,298,710,70
47,COMANCHE,168,124,120,39,129,1
48,CONCHO,43,23,21,5,38,1
49,COOKE,537,422,308,73,464,8
50,CORYELL,1135,881,840,166,969,62
51,COTTLE,15,14,11,1,14,0
52,CRANE,42,35,28,12,30,1
53,CROCKETT,62,39,38,15,47,2
54,CROSBY,191,87,71,60,131,17
55,CULBERSON,41,35,28,10,31,0
56,DALLAM,132,113,101,10,122,2
57,DALLAS,23060,16441,12072,4320,18740,814
58,DAWSON,218,133,108,54,164,5
59,DEAF SMITH,300,253,235,24,276,8
60,DELTA,43,39,32,2,41,0
61,DENTON,4565,3601,2637,648,3917,109
62,DEWITT,226,188,176,23,203,5
63,DICKENS,80,39,34,10,70,2
64,DIMMIT,223,159,141,60,163,12
65,DONLEY,39,32,29,7,32,1
66,DUVAL,264,174,159,86,178,8
67,EASTLAND,287,194,188,80,207,13
68,ECTOR,2558,1847,1512,570,1988,70
69,EDWARDS,4,4,4,0,4,0
70,ELLIS,1365,1014,774,252,1113,58
71,EL PASO,7666,5174,4185,1815,5851,68
72,ERATH,389,245,192,121,268,12
73,FALLS,203,163,151,19,184,1
74,FANNIN,409,360,287,50,359,9
75,FAYETTE,230,124,100,64,166,22
76,FISHER,60,42,37,25,35,0
77,FLOYD,98,65,57,19,79,2
78,FOARD,16,9,9,7,9,0
79,FORT BEND,2655,2116,1610,507,2148,82
80,FRANKLIN,127,82,71,33,94,3
81,FREESTONE,239,165,159,24,215,1
82,FRIO,377,298,282,88,289,14
83,GAINES,170,103,81,48,122,8
84,GALVESTON,3391,2660,2049,726,2665,120
85,GARZA,100,58,56,23,77,1
86,GILLESPIE,176,137,128,36,140,8
87,GLASSCOCK,1,1,1,0,1,0
88,GOLIAD,91,86,70,8,83,0
89,GONZALES,248,223,208,25,223,2
90,GRAY,409,315,274,97,312,21
91,GRAYSON,1754,1417,1126,120,1634,21
92,GREGG,1897,1423,1191,308,1589,70
93,GRIMES,346,207,186,58,288,19
94,GUADALUPE,1476,1084,966,323,1153,30
95,HALE,622,404,367,155,467,28
96,HALL,36,23,18,13,23,0
97,HAMILTON,134,94,91,17,117,8
98,HANSFORD,43,33,28,5,38,1
99,HARDEMAN,69,56,47,9,60,0
100,HARDIN,636,491,464,59,577,12
101,HARRIS,34277,26674,20672,6610,27667,1408
102,HARRISON,868,632,534,118,750,20
103,HARTLEY,30,25,25,0,30,0
104,HASKELL,45,37,26,10,35,2
105,HAYS,1342,1024,884,142,1200,48
106,HEMPHILL,38,30,29,5,33,2
107,HENDERSON,1133,747,588,295,838,57
108,HIDALGO,11713,8294,7032,2466,9247,127
109,HILL,499,362,340,44,455,16
110,HOCKLEY,406,252,233,81,325,20
111,HOOD,735,470,339,140,595,11
112,HOPKINS,486,362,330,75,411,22
113,HOUSTON,243,203,191,27,216,8
114,HOWARD,707,424,358,230,477,36
115,HUDSPETH,15,9,8,1,14,0
116,HUNT,1094,832,659,211,883,92
117,HUTCHINSON,398,308,257,72,326,20
118,IRION,13,8,8,5,8,0
119,JACK,105,72,68,33,72,1
120,JACKSON,145,116,87,22,123,2
121,JASPER,491,418,356,63,428,12
122,JEFF DAVIS,11,7,7,3,8,0
123,JEFFERSON,3228,2468,2129,368,2860,63
124,JIM HOGG,169,118,110,57,112,1
125,JIM WELLS,969,638,564,313,656,37
126,JOHNSON,2008,1282,918,408,1600,64
127,JONES,206,132,103,81,125,2
128,KARNES,207,162,155,36,171,1
129,KAUFMAN,1094,867,642,148,946,38
130,KENDALL,170,128,107,40,130,4
131,KENEDY,5,1,1,3,2,2
132,KENT,17,13,12,0,17,0
133,KERR,690,473,415,170,520,40
134,KIMBLE,71,48,48,10,61,4
135,KING,0,0,0,0,0,0
136,KINNEY,20,16,15,1,19,1
137,KLEBERG,520,359,339,147,373,28
138,KNOX,42,30,19,11,31,3
139,LAMAR,635,513,447,71,564,14
140,LAMB,280,214,201,42,238,5
141,LAMPASAS,232,182,171,36,196,9
142,LASALLE,135,101,92,31,104,0
143,LAVACA,135,97,85,27,108,0
144,LEE,248,185,143,39,209,22
145,LEON,229,152,127,41,188,3
146,LIBERTY,964,756,686,145,819,40
147,LIMESTONE,326,249,235,29,297,15
148,LIPSCOMB,44,41,36,2,42,0
149,LIVE OAK,180,114,93,74,106,1
150,LLANO,230,179,162,25,205,10
151,LOVING,0,0,0,0,0,0
152,LUBBOCK,4292,2701,2297,993,3299,159
153,LYNN,69,50,43,11,58,0
154,MADISON,172,87,74,34,138,13
155,MARION,149,127,96,21,128,7
156,MARTIN,38,27,27,10,28,0
157,MASON,53,32,30,16,37,4
158,MATAGORDA,364,280,229,77,287,7
159,MAVERICK,298,249,242,27,271,7
160,MCCULLOCH,170,137,130,24,146,1
161,MCLENNAN,3446,2772,2510,345,3101,81
162,MCMULLEN,10,9,4,1,9,0
163,MEDINA,612,438,383,163,449,34
164,MENARD,37,11,11,15,22,4
165,MIDLAND,1653,1254,1077,221,1432,30
166,MILAM,364,259,215,49,315,8
167,MILLS,39,32,31,2,37,0
168,MITCHELL,142,106,72,40,102,0
169,MONTAGUE,356,266,235,67,289,12
170,MONTGOMERY,4133,3008,2365,1107,3026,273
171,MOORE,393,280,267,85,308,1
172,MORRIS,195,111,88,62,133,17
173,MOTLEY,9,9,9,0,9,0
174,NACOGDOCHES,701,521,463,130,571,62
175,NAVARRO,552,472,381,67,485,21
176,NEWTON,138,121,94,6,132,4
177,NOLAN,344,253,211,100,244,4
178,NUECES,6751,4917,4241,1635,5116,236
179,OCHILTREE,114,103,96,7,107,4
180,OLDHAM,30,28,27,2,28,2
181,ORANGE,1299,967,720,119,1180,29
182,PALO PINTO,610,439,333,154,456,14
183,PANOLA,262,191,168,34,228,8
184,PARKER,1497,1198,1002,202,1295,15
185,PARMER,66,43,38,12,54,12
186,PECOS,198,129,107,53,145,12
187,POLK,700,527,427,91,609,32
188,POTTER,2922,1746,1403,762,2160,50
189,PRESIDIO,39,31,30,8,31,0
190,RAINS,134,101,83,28,106,3
191,RANDALL,1324,842,680,332,992,144
192,REAGAN,52,41,38,12,40,5
193,REAL,33,26,24,9,24,0
194,RED RIVER,165,113,84,38,127,10
195,REEVES,172,97,87,53,119,8
196,REFUGIO,112,69,57,43,69,0
197,ROBERTS,5,3,3,2,3,0
198,ROBERTSON,173,145,134,15,158,0
199,ROCKWALL,446,365,242,59,387,11
200,RUNNELS,140,91,89,37,103,8
201,RUSK,597,429,396,77,520,19
202,SABINE,115,105,81,5,110,0
203,SAN AUGUSTINE,73,56,46,9,64,1
204,SAN JACINTO,390,296,244,54,336,23
205,SAN PATRICIO,1492,960,796,545,947,18
206,SAN SABA,58,33,32,16,42,0
207,SCHLEICHER,218,90,43,182,36,1
208,SCURRY,300,211,169,87,213,4
209,SHACKELFORD,66,45,42,18,48,0
210,SHELBY,354,289,256,33,321,12
211,SHERMAN,28,21,20,0,28,1
212,SMITH,2237,1672,1452,307,1930,98
213,SOMERVELL,83,55,40,15,68,0
214,STARR,670,406,369,248,422,18
215,STEPHENS,168,130,122,29,139,13
216,STERLING,18,18,18,0,18,0
217,STONEWALL,7,4,3,4,3,0
218,SUTTON,56,42,42,14,42,2
219,SWISHER,122,103,100,7,115,0
220,TARRANT,21238,14529,9723,4228,17010,450
221,TAYLOR,2392,1624,1445,619,1773,64
222,TERRELL,4,2,2,0,4,0
223,TERRY,196,124,111,48,148,9
224,THROCKMORTON,22,18,15,5,17,0
225,TITUS,416,252,218,113,303,47
226,TOM GREEN,1738,1174,1035,447,1291,79
227,TRAVIS,10786,8708,7681,1084,9702,228
228,TRINITY,246,185,169,31,215,12
229,TYLER,304,253,229,12,292,4
230,UPSHUR,603,449,360,123,480,33
