,County,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed
1,ANDERSON,11504,228,19.8,459,133,29.0%
2,ANDREWS,3837,76,19.8,99,35,35.4%
3,ANGELINA,22648,137,6.0,630,82,13.0%
4,ARANSAS,5038,167,33.1,285,97,34.0%
5,ARCHER,2202,6,2.7,42,5,11.9%
6,ARMSTRONG,537,0,0.0,6,0,0.0%
7,ATASCOSA,13399,181,13.5,390,93,23.8%
8,AUSTIN,6760,42,6.2,134,29,21.6%
9,BAILEY,2182,18,8.2,50,12,24.0%
10,BANDERA,4277,57,13.3,114,30,26.3%
11,BASTROP,22312,213,9.5,586,134,22.9%
12,BAYLOR,788,11,14.0,34,7,20.6%
13,BEE,7647,216,28.2,312,118,37.8%
14,BELL,73969,850,11.5,3077,554,18.0%
15,BEXAR,421591,5727,13.6,13964,3285,23.5%
16,BLANCO,2215,16,7.2,50,9,18.0%
17,BORDEN,118,0,0.0,0,0,0.0%
18,BOSQUE,4175,40,9.6,132,28,21.2%
19,BOWIE,21419,291,13.6,847,170,20.1%
20,BRAZORIA,79132,698,8.8,1667,438,26.3%
21,BRAZOS,36515,398,10.9,971,237,24.4%
22,BREWSTER,1990,21,10.6,57,10,17.5%
23,BRISCOE,421,5,11.9,8,1,12.5%
24,BROOKS,2528,75,29.7,103,32,31.1%
25,BROWN,9391,245,26.1,477,143,30.0%
26,BURLESON,4548,59,13.0,129,34,26.4%
27,BURNET,9260,136,14.7,305,82,26.9%
28,CALDWELL,10356,144,13.9,395,88,22.3%
29,CALHOUN,5937,43,7.2,153,28,18.3%
30,CALLAHAN,3101,37,11.9,86,22,25.6%
31,CAMERON,132382,2205,16.7,3652,1143,31.3%
32,CAMP,3362,71,21.1,110,42,38.2%
33,CARSON,1485,19,12.8,48,12,25.0%
34,CASS,6624,62,9.4,265,38,14.3%
35,CASTRO,2649,33,12.5,48,15,31.3%
36,CHAMBERS,8654,63,7.3,165,34,20.6%
37,CHEROKEE,12774,170,13.3,466,80,17.2%
38,CHILDRESS,1759,11,6.3,58,8,13.8%
39,CLAY,2377,31,13.0,68,19,27.9%
40,COCHRAN,1072,5,4.7,16,2,12.5%
41,COKE,798,7,8.8,23,5,21.7%
42,COLEMAN,2160,85,39.4,97,46,47.4%
43,COLLIN,205478,1220,5.9,2713,710,26.2%
44,COLLINGSWORTH,685,10,14.6,36,8,22.2%
45,COLORADO,5261,24,4.6,96,20,20.8%
46,COMAL,23058,325,14.1,591,178,30.1%
47,COMANCHE,3288,32,9.7,101,19,18.8%
48,CONCHO,525,15,28.6,27,10,37.0%
49,COOKE,9833,105,10.7,319,67,21.0%
50,CORYELL,17576,225,12.8,689,136,19.7%
51,COTTLE,396,1,2.5,6,1,16.7%
52,CRANE,1119,4,3.6,26,4,15.4%
53,CROCKETT,1048,12,11.5,29,9,31.0%
54,CROSBY,2116,99,46.8,88,37,42.0%
55,CULBERSON,832,5,6.0,27,4,14.8%
56,DALLAM,1890,19,10.1,78,11,14.1%
57,DALLAS,658483,5862,8.9,13560,3558,26.2%
58,DAWSON,3875,77,19.9,118,42,35.6%
59,DEAF SMITH,6487,42,6.5,170,23,13.5%
60,DELTA,1136,4,3.5,31,3,9.7%
61,DENTON,173876,858,4.9,2877,542,18.8%
62,DEWITT,4646,32,6.9,125,24,19.2%
63,DICKENS,448,39,87.1,38,17,44.7%
64,DIMMIT,3177,57,17.9,108,27,25.0%
65,DONLEY,741,7,9.4,24,5,20.8%
66,DUVAL,3830,82,21.4,142,41,28.9%
67,EASTLAND,4226,88,20.8,156,42,26.9%
68,ECTOR,37839,642,17.0,1469,362,24.6%
69,EDWARDS,462,0,0.0,2,0,0.0%
70,ELLIS,40909,330,8.1,817,191,23.4%
71,EL PASO,224462,2204,9.8,4342,1245,28.7%
72,ERATH,8770,125,14.3,211,68,32.2%
73,FALLS,4535,26,5.7,129,22,17.1%
74,FANNIN,8187,47,5.7,232,29,12.5%
75,FAYETTE,5273,95,18.0,131,46,35.1%
76,FISHER,847,15,17.7,29,8,27.6%
77,FLOYD,2337,31,13.3,52,18,34.6%
78,FOARD,336,7,20.8,9,4,44.4%
79,FORT BEND,135413,479,3.5,1695,317,18.7%
80,FRANKLIN,2194,35,16.0,69,20,29.0%
81,FREESTONE,4704,62,13.2,139,36,25.9%
82,FRIO,4800,69,14.4,196,36,18.4%
83,GAINES,4889,64,13.1,93,36,38.7%
84,GALVESTON,71099,653,9.2,2090,411,19.7%
85,GARZA,1267,38,30.0,56,22,39.3%
86,GILLESPIE,4535,39,8.6,110,27,24.5%
87,GLASSCOCK,381,0,0.0,1,0,0.0%
88,GOLIAD,1670,5,3.0,55,5,9.1%
89,GONZALES,5308,25,4.7,147,15,10.2%
90,GRAY,5101,85,16.7,253,55,21.7%
91,GRAYSON,28321,285,10.1,1042,190,18.2%
92,GREGG,30598,435,14.2,1144,247,21.6%
93,GRIMES,6033,120,19.9,182,65,35.7%
94,GUADALUPE,29951,348,11.6,858,196,22.8%
95,HALE,11057,202,18.3,329,96,29.2%
96,HALL,999,8,8.0,22,4,18.2%
97,HAMILTON,1792,35,19.5,75,21,28.0%
98,HANSFORD,1585,8,5.0,26,5,19.2%
99,HARDEMAN,1045,13,12.4,39,10,25.6%
100,HARDIN,12905,129,10.0,387,84,21.7%
101,HARRIS,1070831,6671,6.2,20671,4223,20.4%
102,HARRISON,15271,213,13.9,519,126,24.3%
103,HARTLEY,1208,5,4.1,19,2,10.5%
104,HASKELL,1329,8,6.0,25,4,16.0%
105,HAYS,34046,283,8.3,802,182,22.7%
106,HEMPHILL,807,7,8.7,19,5,26.3%
107,HENDERSON,18783,354,18.8,674,210,31.2%
108,HIDALGO,252901,2956,11.7,6285,1522,24.2%
109,HILL,9088,118,13.0,287,65,22.6%
110,HOCKLEY,6615,137,20.7,214,69,32.2%
111,HOOD,10261,233,22.7,423,137,32.4%
112,HOPKINS,8683,108,12.4,293,65,22.2%
113,HOUSTON,4929,38,7.7,145,23,15.9%
114,HOWARD,7837,256,32.7,372,132,35.5%
115,HUDSPETH,1001,6,6.0,11,4,36.4%
116,HUNT,21521,238,11.1,631,136,21.6%
117,HUTCHINSON,5889,85,14.4,230,47,20.4%
118,IRION,295,2,6.8,6,1,16.7%
119,JACK,1958,33,16.9,64,16,25.0%
120,JACKSON,3745,25,6.7,81,16,19.8%
121,JASPER,9023,61,6.8,297,40,13.5%
122,JEFF DAVIS,385,4,10.4,6,3,50.0%
123,JEFFERSON,63079,661,10.5,1932,437,22.6%
