,County,Total Children Served in Fiscal Year 2004,Subsequently Confirmed Victims in Fiscal Years 2004 - 2009
1,ANDERSON,63,16
2,ANDREWS,28,12
3,ANGELINA,62,12
4,ARANSAS,39,7
5,ARCHER,1,0
6,ARMSTRONG,0,0
7,ATASCOSA,95,18
8,AUSTIN,20,5
9,BAILEY,34,10
10,BANDERA,17,2
11,BASTROP,66,6
12,BAYLOR,11,5
13,BEE,189,53
14,BELL,594,129
15,BEXAR,3480,718
16,BLANCO,4,0
17,BORDEN,0,0
18,BOSQUE,19,5
19,BOWIE,143,16
20,BRAZORIA,313,50
21,BRAZOS,216,36
22,BREWSTER,21,12
23,BRISCOE,0,0
24,BROOKS,61,17
25,BROWN,94,38
26,BURLESON,25,7
27,BURNET,100,22
28,CALDWELL,61,14
29,CALHOUN,21,7
30,CALLAHAN,42,8
31,CAMERON,1066,256
32,CAMP,21,6
33,CARSON,5,0
34,CASS,67,12
35,CASTRO,31,3
36,CHAMBERS,31,11
37,CHEROKEE,89,14
38,CHILDRESS,4,0
39,CLAY,13,4
40,COCHRAN,0,0
41,COKE,5,0
42,COLEMAN,19,6
43,COLLIN,376,74
44,COLLINGSWORTH,11,1
45,COLORADO,26,10
46,COMAL,123,16
47,COMANCHE,40,14
48,CONCHO,8,5
49,COOKE,48,13
50,CORYELL,90,18
51,COTTLE,7,5
52,CRANE,5,3
53,CROCKETT,1,0
54,CROSBY,9,3
55,CULBERSON,14,0
56,DALLAM,35,7
57,DALLAS,2834,510
58,DAWSON,30,7
59,DEAF SMITH,12,5
60,DELTA,3,2
61,DENTON,190,38
62,DEWITT,51,7
63,DICKENS,0,0
64,DIMMIT,16,0
65,DONLEY,10,3
66,DUVAL,40,13
67,EASTLAND,16,4
68,ECTOR,217,70
69,EDWARDS,0,0
70,ELLIS,95,26
71,EL PASO,1044,142
72,ERATH,28,6
73,FALLS,20,1
74,FANNIN,25,9
75,FAYETTE,21,3
76,FISHER,11,5
77,FLOYD,12,2
78,FOARD,5,4
79,FORT BEND,265,22
80,FRANKLIN,6,0
81,FREESTONE,12,0
82,FRIO,32,1
83,GAINES,13,5
84,GALVESTON,648,99
85,GARZA,18,3
86,GILLESPIE,15,1
87,GLASSCOCK,0,0
88,GOLIAD,10,1
89,GONZALES,55,14
90,GRAY,42,4
91,GRAYSON,136,31
92,GREGG,243,45
93,GRIMES,34,6
94,GUADALUPE,164,40
95,HALE,107,22
96,HALL,4,0
97,HAMILTON,12,2
98,HANSFORD,3,0
99,HARDEMAN,3,0
100,HARDIN,46,8
101,HARRIS,5066,560
102,HARRISON,72,6
103,HARTLEY,9,0
104,HASKELL,15,2
105,HAYS,133,26
106,HEMPHILL,1,1
107,HENDERSON,112,33
108,HIDALGO,1303,248
109,HILL,38,8
110,HOCKLEY,36,2
111,HOOD,107,31
112,HOPKINS,36,9
113,HOUSTON,27,0
114,HOWARD,154,33
115,HUDSPETH,8,0
116,HUNT,85,18
117,HUTCHINSON,15,3
118,IRION,0,0
119,JACK,23,11
120,JACKSON,18,5
121,JASPER,59,9
122,JEFF DAVIS,0,0
123,JEFFERSON,336,68
124,JIM HOGG,30,9
125,JIM WELLS,235,57
126,JOHNSON,214,39
127,JONES,32,8
128,KARNES,23,1
129,KAUFMAN,68,15
130,KENDALL,7,5
131,KENEDY,1,0
132,KENT,4,0
133,KERR,55,6
134,KIMBLE,7,0
135,KING,0,0
136,KINNEY,0,0
137,KLEBERG,120,27
138,KNOX,16,7
139,LAMAR,99,22
140,LAMB,41,14
141,LAMPASAS,66,11
142,LASALLE,0,0
143,LAVACA,8,1
144,LEE,28,4
145,LEON,25,10
146,LIBERTY,172,31
147,LIMESTONE,23,3
148,LIPSCOMB,0,0
149,LIVE OAK,56,9
150,LLANO,41,2
151,LOVING,0,0
152,LUBBOCK,388,96
153,LYNN,6,0
154,MADISON,10,4
155,MARION,7,1
156,MARTIN,8,0
157,MASON,12,4
158,MATAGORDA,70,8
159,MAVERICK,36,2
160,MCCULLOCH,12,2
161,MCLENNAN,310,51
162,MCMULLEN,0,0
163,MEDINA,73,17
164,MENARD,3,0
165,MIDLAND,158,37
166,MILAM,31,9
167,MILLS,24,2
168,MITCHELL,17,8
169,MONTAGUE,77,34
170,MONTGOMERY,436,79
171,MOORE,59,8
172,MORRIS,23,2
173,MOTLEY,3,0
174,NACOGDOCHES,88,15
175,NAVARRO,105,33
176,NEWTON,18,4
177,NOLAN,95,13
178,NUECES,1288,260
179,OCHILTREE,12,0
180,OLDHAM,0,0
181,ORANGE,187,30
182,PALO PINTO,71,14
183,PANOLA,16,1
184,PARKER,62,25
185,PARMER,13,5
186,PECOS,14,1
