,County,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*
1,ANDREWS,1,0
2,ANGELINA,1,0
3,ARANSAS,1,0
4,ATASCOSA,1,0
5,BELL,10,0
6,BEXAR,13,1
7,BRAZORIA,1,0
8,BRAZOS,2,0
9,BURLESON,1,0
10,BURNET,1,0
11,CALDWELL,2,0
12,CAMERON,4,0
13,CASS,1,0
14,CHEROKEE,1,0
15,COLLIN,6,0
16,CORYELL,2,0
17,DALLAS,29,3
18,DENTON,4,0
19,ECTOR,2,0
20,ELLIS,2,0
21,EL PASO,8,1
22,FAYETTE,1,0
23,FORT BEND,7,0
24,GALVESTON,2,0
25,GREGG,2,0
26,GUADALUPE,1,0
27,HALL,1,0
28,HARRIS,67,2
29,HAYS,1,0
30,HENDERSON,2,0
31,HIDALGO,10,0
32,HILL,1,0
33,HOCKLEY,1,0
34,HOUSTON,1,0
35,HOWARD,4,0
36,HUNT,1,0
37,JEFFERSON,1,0
38,JOHNSON,1,0
39,LAMAR,1,0
40,LAMPASAS,1,0
41,LEE,3,0
42,LIBERTY,1,0
43,LIMESTONE,2,0
44,LUBBOCK,1,0
45,MASON,1,0
46,MAVERICK,1,0
47,MCLENNAN,1,0
48,MEDINA,2,0
49,MENARD,1,0
50,MONTGOMERY,2,0
51,NACOGDOCHES,2,1
52,ORANGE,1,0
53,PALO PINTO,1,0
54,PARKER,1,0
55,POTTER,4,0
56,RANDALL,2,0
57,ROCKWALL,1,0
58,RUSK,1,0
59,SAN PATRICIO,1,0
60,SCURRY,2,0
61,SMITH,4,0
62,STARR,1,0
63,STEPHENS,1,0
64,TARRANT,13,0
65,TAYLOR,2,0
66,TITUS,1,0
67,TOM GREEN,2,0
68,TRAVIS,5,0
69,VAL VERDE,1,0
70,VICTORIA,1,0
71,WARD,1,0
72,WASHINGTON,1,0
73,WEBB,4,0
74,WICHITA,3,0
75,WILBARGER,1,0
76,WILLIAMSON,7,0
77,WOOD,1,0
78,ZAVALA,1,0
79,TOTAL,280,8
