,County,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***
1,ANDERSON,91,0,40,10,7,7,34
2,ANDREWS,23,0,14,0,1,1,8
3,ANGELINA,84,0,23,9,11,12,39
4,ARANSAS,56,0,30,0,5,12,20
5,ARCHER,2,0,0,0,0,0,2
6,ARMSTRONG,1,0,0,0,0,1,0
7,ATASCOSA,123,0,34,8,25,33,33
8,AUSTIN,27,0,9,1,4,3,15
9,BAILEY,23,0,7,2,5,1,10
10,BANDERA,51,0,9,2,17,17,11
11,BASTROP,156,0,74,3,26,33,46
12,BAYLOR,8,0,3,2,2,0,4
13,BEE,63,0,42,4,1,7,15
14,BELL,770,2,365,23,96,115,281
15,BEXAR,3273,0,1316,140,681,762,823
16,BLANCO,4,0,0,1,2,0,1
17,BORDEN,0,0,0,0,0,0,0
18,BOSQUE,11,0,6,3,0,3,1
19,BOWIE,158,0,81,11,18,13,80
20,BRAZORIA,240,0,99,12,17,28,108
21,BRAZOS,190,0,68,16,36,53,52
22,BREWSTER,5,0,0,0,0,3,2
23,BRISCOE,6,0,5,0,0,0,1
24,BROOKS,24,0,6,1,3,0,14
25,BROWN,146,0,52,1,31,46,28
26,BURLESON,30,0,10,0,3,8,11
27,BURNET,94,0,32,10,14,34,20
28,CALDWELL,118,0,37,2,27,31,36
29,CALHOUN,10,0,0,0,1,6,3
30,CALLAHAN,13,0,8,2,1,0,6
31,CAMERON,442,0,228,54,30,32,138
32,CAMP,53,0,22,7,1,2,26
33,CARSON,12,0,4,0,0,4,4
34,CASS,72,0,41,6,12,3,36
35,CASTRO,2,0,0,0,0,0,2
36,CHAMBERS,29,0,17,2,3,3,9
37,CHEROKEE,86,0,41,0,14,12,24
38,CHILDRESS,16,0,10,0,5,1,5
39,CLAY,12,0,3,7,0,1,1
40,COCHRAN,8,0,1,1,1,0,6
41,COKE,0,0,0,0,0,0,0
42,COLEMAN,34,0,19,1,7,2,10
43,COLLIN,370,0,115,6,53,88,158
44,COLLINGSWORTH,7,0,4,0,0,3,0
45,COLORADO,17,0,4,0,4,5,7
46,COMAL,122,0,77,0,13,23,21
47,COMANCHE,17,0,1,5,6,1,4
48,CONCHO,8,0,1,0,0,2,5
49,COOKE,61,0,22,0,5,10,24
50,CORYELL,142,0,68,8,19,13,64
51,COTTLE,2,0,1,0,0,0,1
52,CRANE,1,0,1,0,1,0,0
53,CROCKETT,9,0,2,0,3,0,4
54,CROSBY,23,0,20,0,1,0,3
55,CULBERSON,2,0,0,0,3,0,0
56,DALLAM,16,0,1,1,0,4,11
57,DALLAS,2250,34,1053,82,270,343,883
58,DAWSON,13,0,7,0,1,5,0
59,DEAF SMITH,38,0,10,0,7,6,19
60,DELTA,14,0,5,4,0,0,8
61,DENTON,348,0,126,6,57,72,117
62,DEWITT,19,0,5,0,1,2,12
63,DICKENS,4,0,2,0,2,0,0
64,DIMMIT,40,0,12,4,14,4,6
65,DONLEY,3,0,2,1,0,0,1
66,DUVAL,35,0,8,1,4,0,23
67,EASTLAND,30,0,12,0,5,5,10
68,ECTOR,237,0,92,21,36,39,70
69,EDWARDS,0,0,0,0,0,0,0
70,ELLIS,164,0,68,1,30,23,65
71,EL PASO,467,0,182,28,92,56,157
72,ERATH,42,0,14,0,5,9,17
73,FALLS,6,0,2,0,0,1,4
74,FANNIN,55,0,8,0,13,10,25
75,FAYETTE,63,0,28,3,14,10,21
76,FISHER,8,0,0,3,0,4,1
77,FLOYD,12,0,2,5,0,2,4
78,FOARD,1,0,0,0,0,1,0
79,FORT BEND,229,0,130,12,27,26,55
80,FRANKLIN,11,0,3,0,3,3,3
81,FREESTONE,15,0,7,0,1,1,6
82,FRIO,70,0,19,2,19,17,14
83,GAINES,22,0,9,1,1,1,14
84,GALVESTON,306,0,135,10,48,36,124
85,GARZA,1,0,1,0,0,0,0
86,GILLESPIE,39,0,22,0,8,11,6
87,GLASSCOCK,0,0,0,0,0,0,0
88,GOLIAD,2,0,0,0,1,1,1
89,GONZALES,30,0,2,0,6,16,8
90,GRAY,65,0,30,5,9,8,24
91,GRAYSON,141,0,38,2,35,26,48
92,GREGG,217,0,82,11,59,27,56
93,GRIMES,46,0,21,2,12,9,20
94,GUADALUPE,79,0,34,1,10,17,25
95,HALE,121,0,28,4,39,15,45
96,HALL,3,0,0,1,0,0,2
97,HAMILTON,17,0,12,0,1,1,3
98,HANSFORD,1,0,1,0,0,0,1
99,HARDEMAN,3,0,0,0,0,1,2
100,HARDIN,55,0,16,8,15,7,12
101,HARRIS,4651,3,1943,219,911,702,1333
102,HARRISON,64,0,42,3,4,9,20
103,HARTLEY,1,0,0,0,0,0,1
104,HASKELL,5,0,2,0,2,0,1
105,HAYS,133,0,50,2,24,40,47
106,HEMPHILL,3,0,2,0,0,0,1
107,HENDERSON,222,0,97,6,39,26,83
108,HIDALGO,555,0,231,61,2,0,328
109,HILL,43,0,21,0,14,3,10
110,HOCKLEY,55,0,15,5,8,7,22
111,HOOD,40,0,12,2,6,9,14
112,HOPKINS,73,0,31,6,8,8,26
113,HOUSTON,18,0,7,2,3,3,8
114,HOWARD,104,0,46,2,29,7,34
115,HUDSPETH,0,0,0,0,0,0,0
116,HUNT,217,0,104,5,39,28,79
117,HUTCHINSON,51,0,19,4,1,6,22
118,IRION,1,0,0,0,0,0,1
119,JACK,1,0,1,0,0,0,0
