,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2005,Subsequently Confirmed Victims in Fiscal Years 2005 - 2010,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
0,ANDERSON,4130,7176,509,439,355,723,2,2,0,707,617,6,816,550,446,164,652,50,11761,247,21.0,485,135,27.8%,62,12,2,0,155,13.2,73,155,117,113,0,70,8,17,6,34,118,1633465,0,2,0,63,"$34,683.18",155,52,"$6,933.80",261,11761,2387,7097,2147,0,130,9366,9,1046,2,24,20,7,11761,0,18,0,0,0,0,18,86,93,0,0,0,93,,,
1,ANDREWS,890,1921,56,41,32,18,0,0,0,193,171,2,200,134,116,41,159,9,4007,60,15.0,116,35,30.2%,25,4,,,34,8.5,14,32,14,30,0,14,0,3,1,13,14,178605,0,0,0,13,"$8,809.75",32,7,"$1,748.81",50,4007,61,1592,2309,8,37,3247,6,399,0,0,6,1,4007,0,3,0,0,0,0,3,11,8,0,0,0,8,,,
2,ANGELINA,5420,11535,654,569,429,469,228,206,21,1073,904,7,1320,1044,805,105,1215,22,22546,243,10.8,772,148,19.2%,66,18,1,0,113,5.0,44,105,78,92,0,44,1,13,13,33,77,761741,1,9,3,44,"$58,221.40",105,58,"$13,008.54",198,22546,3448,12173,6662,16,247,17812,30,2836,2,24,14,7,22546,3,33,0,0,0,0,36,102,195,0,6,0,201,,,
3,ARANSAS,1700,6394,174,156,98,83,5,4,0,345,314,0,359,234,196,130,229,30,5107,115,22.5,205,58,28.3%,65,9,1,0,74,14.5,40,73,59,65,0,42,0,4,2,25,60,593690,1,2,3,20,"$15,547.58",73,24,"$7,172.26",252,5107,95,2868,1894,11,239,3853,5,343,0,0,5,1,5107,0,13,0,0,0,0,13,44,71,0,0,0,71,,,
4,ARCHER,640,1381,64,48,35,31,1,1,0,58,50,0,74,56,39,9,65,1,2114,15,7.1,40,9,22.5%,9,1,,,1,0.5,1,1,1,1,0,1,0,0,0,1,1,6468,0,0,0,5,$558.00,1,0,$0.00,12,2114,8,1893,205,1,7,1542,5,265,1,12,4,2,2114,0,1,0,0,0,0,1,11,4,0,0,0,4,,,
5,ARMSTRONG,140,476,6,7,6,6,0,0,0,10,10,0,19,13,5,0,19,0,507,6,11.8,9,2,22.2%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,$0.00,0,0,$0.00,0,507,2,450,54,0,1,395,0,0,0,0,4,1,507,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0
6,ATASCOSA,2950,5362,200,175,113,134,4,4,1,651,597,4,787,566,509,199,588,31,12726,200,15.7,464,113,24.4%,146,46,2,0,125,9.8,39,126,85,85,0,41,4,21,15,13,87,1169252,0,0,3,33,"$23,369.07",126,27,"$5,502.08",361,12726,33,3495,9147,5,46,9755,13,809,3,36,7,3,12726,0,21,0,0,0,0,21,78,166,0,1,0,167,,,
7,AUSTIN,1910,4265,92,87,71,120,2,1,0,244,211,2,250,195,167,43,207,15,6493,45,6.9,143,24,16.8%,24,4,,,26,4.0,16,26,15,23,0,17,1,0,0,14,15,131115,0,1,6,31,"$15,188.64",26,6,"$1,410.92",59,6493,1092,3258,2088,6,49,4899,10,882,1,12,7,4,6493,0,13,0,0,1,0,14,69,92,0,37,0,129,,,
8,BAILEY,370,1026,62,54,51,80,0,0,0,67,62,0,119,93,86,19,100,0,1841,24,13.0,61,10,16.4%,10,5,,,31,16.8,5,30,26,23,0,5,11,3,4,3,26,290327,0,2,0,5,"$10,062.21",30,1,$35.00,34,1841,22,683,1132,0,4,1501,3,158,0,0,3,0,1841,0,10,0,0,0,0,10,39,11,0,0,0,11,,,
9,BANDERA,1410,3911,103,90,54,63,0,0,0,231,199,0,222,154,139,50,172,28,4096,60,14.6,141,43,30.5%,30,3,,,64,15.6,30,66,40,51,0,30,2,3,11,6,39,399492,0,3,2,4,"$9,020.00",66,4,$139.07,66,4096,30,3184,854,6,22,3044,4,332,1,11,3,1,4096,0,18,1,0,0,0,19,196,90,0,19,0,109,,,
