,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services
1,ANDERSON,4130,7176,509,439,355,723
2,ANDREWS,890,1921,56,41,32,18
3,ANGELINA,5420,11535,654,569,429,469
4,ARANSAS,1700,6394,174,156,98,83
5,ARCHER,640,1381,64,48,35,31
6,ARMSTRONG,140,476,6,7,6,6
7,ATASCOSA,2950,5362,200,175,113,134
8,AUSTIN,1910,4265,92,87,71,120
9,BAILEY,370,1026,62,54,51,80
10,BANDERA,1410,3911,103,90,54,63
11,BASTROP,5700,8315,322,252,123,111
12,BAYLOR,240,988,72,67,60,72
13,BEE,2440,3632,134,116,81,103
14,BELL,19750,23411,1562,1124,700,617
15,BEXAR,109860,167394,9382,7272,4610,5714
16,BLANCO,680,1767,20,20,14,18
17,BORDEN,50,196,2,2,2,3
18,BOSQUE,1070,3595,93,59,35,23
19,BOWIE,6230,12907,458,355,246,352
20,BRAZORIA,22110,30226,747,598,287,265
21,BRAZOS,13390,11629,385,291,196,215
22,BREWSTER,630,1548,63,62,48,64
23,BRISCOE,110,411,3,3,3,2
24,BROOKS,460,1281,97,76,53,71
25,BROWN,2470,7128,329,250,178,135
26,BURLESON,1170,3142,85,56,43,45
27,BURNET,3020,9556,173,145,101,84
28,CALDWELL,2590,4287,140,110,53,18
29,CALHOUN,1460,3348,75,51,26,19
30,CALLAHAN,920,2701,123,110,75,73
31,CAMERON,25130,47028,1620,1340,833,916
32,CAMP,820,2266,69,55,42,44
33,CARSON,440,1117,13,13,9,9
34,CASS,1890,6082,225,164,115,146
35,CASTRO,440,1126,23,20,17,13
36,CHAMBERS,2490,3547,78,62,50,53
37,CHEROKEE,3180,7345,672,586,459,746
38,CHILDRESS,530,1192,49,39,30,61
39,CLAY,740,2041,135,127,102,75
40,COCHRAN,210,658,37,32,31,54
41,COKE,230,1014,34,30,20,10
42,COLEMAN,520,2013,107,91,60,51
43,COLLIN,62430,54018,904,751,521,399
44,COLLINGSWORTH,200,651,31,28,23,41
45,COLORADO,1370,4059,71,65,48,82
46,COMAL,8490,16636,402,342,210,189
47,COMANCHE,850,2999,103,89,67,49
48,CONCHO,290,646,21,17,16,18
49,COOKE,2590,6721,118,87,52,50
50,CORYELL,6100,5150,223,170,123,183
51,COTTLE,110,454,14,13,10,7
52,CRANE,270,629,19,15,14,20
53,CROCKETT,290,798,3,4,3,2
54,CROSBY,390,1168,46,43,40,50
55,CULBERSON,160,566,8,11,6,6
56,DALLAM,430,837,25,24,20,17
57,DALLAS,166250,195537,7647,6008,3764,3004
58,DAWSON,970,2094,135,121,97,74
59,DEAF SMITH,1230,2453,71,66,54,55
60,DELTA,340,977,33,34,23,15
61,DENTON,54040,38992,1115,740,449,435
62,DEWITT,1290,3745,99,77,30,26
63,DICKENS,180,618,19,18,17,21
64,DIMMIT,600,1385,38,31,18,6
65,DONLEY,230,942,39,30,24,42
66,DUVAL,750,1833,73,58,34,26
67,EASTLAND,1110,4135,212,187,136,100
68,ECTOR,8400,15161,794,680,512,599
69,EDWARDS,130,513,6,8,7,6
70,ELLIS,11000,14546,356,277,204,214
71,EL PASO,50190,74665,3646,2938,2033,2355
72,ERATH,2760,4640,130,108,52,85
73,FALLS,1210,2986,61,60,42,34
74,FANNIN,2250,6063,174,141,111,101
75,FAYETTE,1570,5093,61,63,41,71
76,FISHER,250,971,41,35,21,22
77,FLOYD,410,1183,18,18,16,24
78,FOARD,90,388,42,41,37,32
79,FORT BEND,42550,40958,838,682,430,324
80,FRANKLIN,660,2500,42,33,14,17
81,FREESTONE,1310,3453,90,62,39,37
82,FRIO,1160,2106,63,47,29,39
83,GAINES,1010,1850,49,44,26,9
84,GALVESTON,20190,32821,1328,1014,756,805
85,GARZA,330,829,41,35,31,32
86,GILLESPIE,1460,7465,61,58,34,39
87,GLASSCOCK,100,239,8,4,2,4
88,GOLIAD,490,1390,36,21,9,8
89,GONZALES,1250,3210,115,60,36,29
90,GRAY,1430,4230,136,117,98,182
91,GRAYSON,7970,17806,812,645,481,403
92,GREGG,7930,16732,689,549,415,563
93,GRIMES,1730,3963,112,82,52,51
94,GUADALUPE,8870,14254,491,366,187,120
95,HALE,2300,4566,171,138,106,131
96,HALL,220,779,32,27,26,45
97,HAMILTON,520,2118,32,30,18,11
98,HANSFORD,320,801,11,10,7,7
99,HARDEMAN,280,913,109,104,87,72
100,HARDIN,3470,7122,267,211,142,186
101,HARRIS,284790,310296,13631,11095,7889,8553
102,HARRISON,4500,9674,311,266,203,229
103,HARTLEY,400,757,15,12,9,5
104,HASKELL,350,1359,46,42,31,24
105,HAYS,12520,13231,326,234,136,187
106,HEMPHILL,230,625,8,5,4,8
107,HENDERSON,5050,15682,590,482,343,534
108,HIDALGO,49830,70187,2866,2449,1474,1824
109,HILL,2230,6763,155,130,71,94
110,HOCKLEY,1500,3171,154,136,122,209
111,HOOD,3490,11402,163,152,108,144
112,HOPKINS,2140,5708,189,151,76,85
113,HOUSTON,1570,4769,365,326,285,265
114,HOWARD,2220,4974,373,323,204,101
115,HUDSPETH,250,569,13,17,15,13
116,HUNT,6120,11270,604,512,428,483
117,HUTCHINSON,1450,3737,119,117,95,125
118,IRION,120,420,11,9,8,5
119,JACK,600,1516,69,61,54,37
120,JACKSON,960,2384,47,35,18,21
121,JASPER,2230,6179,298,225,151,190
122,JEFF DAVIS,190,625,8,7,5,3
123,JEFFERSON,16190,29775,1748,1430,967,1021
124,JIM HOGG,340,870,32,26,14,12
125,JIM WELLS,2650,5519,234,195,97,85
126,JOHNSON,11410,18186,484,343,210,227
127,JONES,1450,2889,164,139,114,65
128,KARNES,1190,2271,60,45,36,38
129,KAUFMAN,7380,11902,331,273,232,296
130,KENDALL,2420,5419,61,58,23,31
131,KENEDY,30,84,0,0,0,0
132,KENT,50,284,2,1,0,2
133,KERR,2790,11620,330,258,152,187
134,KIMBLE,280,1136,46,52,49,69
135,KING,30,61,0,0,0,0
136,KINNEY,190,865,28,26,23,11
137,KLEBERG,2120,3856,155,129,84,82
138,KNOX,250,871,48,31,22,36
139,LAMAR,3100,8654,406,326,222,227
140,LAMB,920,2522,133,150,135,117
141,LAMPASAS,1500,3407,98,67,51,97
142,LASALLE,380,920,18,20,14,16
143,LAVACA,1180,4119,82,51,19,22
144,LEE,1200,2498,45,41,26,47
145,LEON,990,4157,76,61,42,42
146,LIBERTY,5560,9225,349,284,194,220
147,LIMESTONE,1470,3934,119,72,42,36
148,LIPSCOMB,190,628,9,9,7,14
149,LIVE OAK,830,2224,59,47,31,29
150,LLANO,1080,6160,113,86,57,51
151,LOVING,0,18,0,0,0,0
152,LUBBOCK,18230,29170,2817,2440,1986,2333
153,LYNN,360,1060,38,31,22,62
154,MADISON,980,2293,56,40,20,37
155,MARION,670,2462,132,106,98,115
156,MARTIN,320,753,19,15,13,7
157,MASON,220,1051,20,19,18,22
158,MATAGORDA,2470,5138,111,98,66,90
159,MAVERICK,3300,5442,181,146,86,59
160,MCCULLOCH,510,1799,102,92,81,116
161,MCLENNAN,15650,26860,974,749,381,416
162,MCMULLEN,50,240,1,1,1,1
163,MEDINA,2990,5974,189,163,57,35
164,MENARD,140,611,26,20,20,25
165,MIDLAND,8430,14789,528,428,310,195
166,MILAM,1590,4607,122,90,44,35
167,MILLS,330,1290,21,12,4,4
168,MITCHELL,700,1461,47,43,27,23
169,MONTAGUE,1170,4691,231,202,160,121
170,MONTGOMERY,33580,45083,1340,1062,674,621
171,MOORE,1360,2336,56,55,39,32
172,MORRIS,830,2648,90,72,52,61
173,MOTLEY,80,407,22,21,19,10
174,NACOGDOCHES,4360,8327,266,217,204,203
175,NAVARRO,3320,7131,273,205,147,123
176,NEWTON,960,2563,82,71,56,61
177,NOLAN,900,2371,155,133,97,79
178,NUECES,21540,33639,2108,1666,1306,1727
179,OCHILTREE,630,1166,19,15,10,12
180,OLDHAM,160,387,3,2,2,4
181,ORANGE,5490,12414,613,437,267,198
182,PALO PINTO,1850,5048,158,127,63,141
183,PANOLA,1530,4193,121,99,64,84
184,PARKER,8230,13836,310,242,121,161
185,PARMER,640,1383,25,19,17,30
186,PECOS,1200,2063,77,71,52,66
187,POLK,3050,11774,485,408,297,275
188,POTTER,8190,13234,848,744,574,704
189,PRESIDIO,510,1187,41,32,23,34
190,RAINS,700,2360,59,51,32,35
191,RANDALL,8440,15146,425,347,241,263
192,REAGAN,200,484,15,11,8,2
193,REAL,180,1039,25,15,7,5
194,RED RIVER,880,2951,97,73,59,63
195,REEVES,690,1716,105,108,102,86
196,REFUGIO,430,1353,38,30,21,17
197,ROBERTS,60,210,4,2,2,2
198,ROBERTSON,1030,2751,47,49,33,27
199,ROCKWALL,6070,8338,123,95,73,79
200,RUNNELS,710,2160,108,101,80,52
201,RUSK,3290,7773,203,175,112,128
202,SABINE,590,3211,101,80,66,65
203,SAN AUGUSTINE,560,2196,108,80,68,66
204,SAN JACINTO,1770,5496,226,185,149,110
205,SAN PATRICIO,4470,7543,341,288,199,167
206,SAN SABA,400,1258,29,19,16,29
207,SCHLEICHER,200,590,9,8,6,14
208,SCURRY,1120,2540,108,92,64,60
209,SHACKELFORD,210,655,36,28,23,16
210,SHELBY,1630,4441,203,180,157,129
211,SHERMAN,220,537,9,6,4,6
212,SMITH,13300,29143,1197,1015,806,1015
213,SOMERVELL,570,1174,23,20,10,7
214,STARR,4000,5821,238,213,83,114
215,STEPHENS,640,1829,109,98,75,44
216,STERLING,100,250,1,1,1,1
217,STONEWALL,100,403,10,9,4,4
218,SUTTON,290,753,25,26,25,43
219,SWISHER,510,1293,49,51,42,51
220,TARRANT,127030,146555,4973,3509,1880,1679
221,TAYLOR,8660,15392,1576,1247,937,755
222,TERRELL,70,294,6,3,2,4
223,TERRY,720,1748,94,82,75,161
224,THROCKMORTON,110,485,8,7,4,6
225,TITUS,2010,3920,102,80,70,103
226,TOM GREEN,6780,13624,1393,1149,973,1119
227,TRAVIS,73490,68562,3902,2907,1415,1349
228,TRINITY,860,3938,205,179,158,170
229,TYLER,1370,4575,178,130,97,99
230,UPSHUR,2490,5882,224,186,142,163
231,UPTON,190,604,29,20,14,10
232,UVALDE,1670,3591,103,78,36,37
233,VAL VERDE,3110,5916,234,198,142,116
234,VAN ZANDT,3320,10110,326,297,191,250
235,VICTORIA,5770,10528,427,303,155,162
236,WALKER,5060,6353,161,150,80,68
237,WALLER,3040,3519,155,131,74,81
238,WARD,620,1647,71,77,66,89
239,WASHINGTON,2180,5558,84,50,32,24
240,WEBB,15920,18134,902,706,447,712
241,WHARTON,2810,5932,206,174,107,127
242,WHEELER,310,1078,16,13,10,16
243,WICHITA,8460,16225,1727,1397,1123,1073
244,WILBARGER,960,2455,217,171,138,127
245,WILLACY,1370,2460,191,147,101,123
246,WILLIAMSON,30970,37425,769,654,475,490
247,WILSON,3120,5181,144,83,61,52
248,WINKLER,410,1096,35,26,25,18
249,WISE,4240,7399,190,163,91,56
250,WOOD,2620,12173,270,221,156,175
251,YOAKUM,510,1024,28,22,19,34
252,YOUNG,1120,3685,348,285,223,269
253,ZAPATA,930,1861,50,38,16,16
254,ZAVALA,790,1456,50,39,15,17
255,UNKNOWN,0,0,60,44,19,4
256,OUT OF STATE,0,0,0,0,0,19
257,STATE TOTAL,1728180,2516747,103401,82802,56053,60497
