,County,Intakes,Completed Investigation,Confirmed Investigations
1,ANDERSON,2,2,0
2,ANDREWS,0,0,0
3,ANGELINA,228,206,21
4,ARANSAS,5,4,0
5,ARCHER,1,1,0
6,ARMSTRONG,0,0,0
7,ATASCOSA,4,4,1
8,AUSTIN,2,1,0
9,BAILEY,0,0,0
10,BANDERA,0,0,0
11,BASTROP,8,6,2
12,BAYLOR,0,0,0
13,BEE,2,0,0
14,BELL,80,68,17
15,BEXAR,787,673,109
16,BLANCO,0,0,0
17,BORDEN,0,0,0
18,BOSQUE,0,0,0
19,BOWIE,11,9,4
20,BRAZORIA,35,36,3
21,BRAZOS,30,22,2
22,BREWSTER,1,1,0
23,BRISCOE,0,0,0
24,BROOKS,1,1,1
25,BROWN,23,21,7
26,BURLESON,0,0,0
27,BURNET,2,1,0
28,CALDWELL,0,0,0
29,CALHOUN,0,0,0
30,CALLAHAN,0,0,0
31,CAMERON,364,337,43
32,CAMP,0,0,0
33,CARSON,0,0,0
34,CASS,1,1,1
35,CASTRO,0,0,0
36,CHAMBERS,0,0,0
37,CHEROKEE,352,338,33
38,CHILDRESS,0,0,0
39,CLAY,0,0,0
40,COCHRAN,0,0,0
41,COKE,0,0,0
42,COLEMAN,0,0,0
43,COLLIN,50,50,7
44,COLLINGSWORTH,0,0,0
45,COLORADO,0,0,0
46,COMAL,15,5,0
47,COMANCHE,0,0,0
48,CONCHO,0,0,0
49,COOKE,0,0,0
50,CORYELL,1,1,0
51,COTTLE,0,0,0
52,CRANE,0,0,0
53,CROCKETT,0,0,0
54,CROSBY,0,0,0
55,CULBERSON,0,0,0
56,DALLAM,0,0,0
57,DALLAS,214,209,19
58,DAWSON,0,0,0
59,DEAF SMITH,2,1,0
60,DELTA,0,0,0
61,DENTON,404,385,44
62,DEWITT,1,0,0
63,DICKENS,0,0,0
64,DIMMIT,0,0,0
65,DONLEY,0,0,0
66,DUVAL,0,0,0
67,EASTLAND,11,8,1
68,ECTOR,5,4,1
69,EDWARDS,0,0,0
70,ELLIS,10,7,1
71,EL PASO,274,250,37
72,ERATH,6,10,2
73,FALLS,6,8,0
74,FANNIN,1,1,0
75,FAYETTE,3,2,0
76,FISHER,0,0,0
77,FLOYD,0,0,0
78,FOARD,0,0,0
79,FORT BEND,246,250,25
80,FRANKLIN,3,2,0
81,FREESTONE,4,3,0
82,FRIO,0,0,0
83,GAINES,4,3,1
84,GALVESTON,20,18,2
85,GARZA,0,0,0
86,GILLESPIE,9,4,1
87,GLASSCOCK,0,0,0
88,GOLIAD,0,0,0
89,GONZALES,0,0,0
90,GRAY,5,5,4
91,GRAYSON,18,19,0
92,GREGG,69,66,2
93,GRIMES,0,0,0
94,GUADALUPE,30,16,5
95,HALE,5,5,1
96,HALL,0,0,0
97,HAMILTON,0,0,0
98,HANSFORD,0,0,0
99,HARDEMAN,0,0,0
100,HARDIN,4,4,1
101,HARRIS,425,384,41
102,HARRISON,3,1,1
103,HARTLEY,0,0,0
104,HASKELL,0,0,0
105,HAYS,19,16,2
106,HEMPHILL,0,0,0
107,HENDERSON,2,2,0
108,HIDALGO,32,39,12
109,HILL,0,0,0
110,HOCKLEY,2,2,0
111,HOOD,0,1,0
112,HOPKINS,1,1,0
113,HOUSTON,1,1,0
114,HOWARD,328,313,16
115,HUDSPETH,0,0,0
116,HUNT,19,17,2
117,HUTCHINSON,0,0,0
118,IRION,0,0,0
119,JACK,0,0,0
120,JACKSON,0,0,0
121,JASPER,2,2,1
122,JEFF DAVIS,0,0,0
123,JEFFERSON,78,70,15
124,JIM HOGG,0,0,0
125,JIM WELLS,2,2,1
126,JOHNSON,39,70,19
127,JONES,2,2,1
128,KARNES,0,0,0
129,KAUFMAN,196,202,11
130,KENDALL,0,0,0
131,KENEDY,0,0,0
132,KENT,0,0,0
133,KERR,42,46,5
134,KIMBLE,0,0,0
135,KING,0,0,0
136,KINNEY,0,0,0
137,KLEBERG,3,2,1
138,KNOX,0,0,0
139,LAMAR,8,7,0
140,LAMB,0,0,0
141,LAMPASAS,0,0,0
142,LASALLE,0,0,0
143,LAVACA,1,0,0
144,LEE,2,0,0
145,LEON,1,1,0
146,LIBERTY,5,4,3
147,LIMESTONE,841,776,42
148,LIPSCOMB,0,0,0
149,LIVE OAK,0,0,0
150,LLANO,3,3,0
151,LOVING,0,0,0
152,LUBBOCK,475,412,74
153,LYNN,1,1,1
154,MADISON,0,0,0
155,MARION,0,0,0
156,MARTIN,0,0,0
157,MASON,0,0,0
158,MATAGORDA,3,4,1
159,MAVERICK,0,0,0
160,MCCULLOCH,0,0,0
161,MCLENNAN,95,92,4
162,MCMULLEN,0,0,0
163,MEDINA,8,2,0
164,MENARD,0,0,0
165,MIDLAND,27,22,5
166,MILAM,1,2,0
167,MILLS,0,0,0
168,MITCHELL,0,0,0
169,MONTAGUE,2,2,1
170,MONTGOMERY,30,22,4
171,MOORE,3,2,1
172,MORRIS,0,0,0
173,MOTLEY,0,0,0
174,NACOGDOCHES,2,2,0
175,NAVARRO,29,26,2
176,NEWTON,0,0,0
177,NOLAN,5,6,3
178,NUECES,548,509,57
179,OCHILTREE,0,0,0
180,OLDHAM,0,0,0
181,ORANGE,7,7,1
182,PALO PINTO,0,0,0
183,PANOLA,1,1,0
184,PARKER,6,6,0
185,PARMER,0,0,0
186,PECOS,0,0,0
187,POLK,1,1,1
188,POTTER,21,19,6
189,PRESIDIO,1,1,0
190,RAINS,0,0,0
191,RANDALL,90,68,19
192,REAGAN,0,0,0
193,REAL,0,0,0
194,RED RIVER,0,0,0
195,REEVES,0,0,0
196,REFUGIO,0,0,0
197,ROBERTS,0,0,0
198,ROBERTSON,0,0,0
199,ROCKWALL,4,3,0
200,RUNNELS,1,0,0
201,RUSK,0,0,0
202,SABINE,2,2,0
203,SAN AUGUSTINE,8,7,1
204,SAN JACINTO,0,0,0
205,SAN PATRICIO,6,7,5
206,SAN SABA,0,0,0
207,SCHLEICHER,0,0,0
208,SCURRY,0,0,0
209,SHACKELFORD,0,0,0
210,SHELBY,0,0,0
211,SHERMAN,0,0,0
212,SMITH,45,51,8
213,SOMERVELL,0,0,0
214,STARR,0,0,0
215,STEPHENS,1,2,0
216,STERLING,0,0,0
217,STONEWALL,0,0,0
218,SUTTON,0,0,0
219,SWISHER,0,0,0
220,TARRANT,270,260,38
221,TAYLOR,553,523,125
222,TERRELL,0,0,0
223,TERRY,1,0,0
224,THROCKMORTON,0,0,0
225,TITUS,3,3,1
226,TOM GREEN,985,924,65
227,TRAVIS,802,892,110
228,TRINITY,0,0,0
229,TYLER,1,0,0
230,UPSHUR,1,1,0
231,UPTON,1,1,1
232,UVALDE,6,3,1
233,VAL VERDE,3,0,0
234,VAN ZANDT,6,5,2
235,VICTORIA,11,11,2
236,WALKER,5,4,0
237,WALLER,5,3,0
238,WARD,1,1,0
239,WASHINGTON,157,162,13
240,WEBB,28,20,1
241,WHARTON,11,8,1
242,WHEELER,0,0,0
243,WICHITA,290,274,24
244,WILBARGER,486,450,37
245,WILLACY,0,0,0
246,WILLIAMSON,42,46,6
247,WILSON,0,0,0
248,WINKLER,0,0,0
249,WISE,0,0,0
250,WOOD,0,0,0
251,YOAKUM,0,0,0
252,YOUNG,1,1,0
253,ZAPATA,2,2,0
254,ZAVALA,0,0,0
255,UNKNOWN,0,17,6
256,OUT OF STATE,0,0,0
257,STATE TOTAL,10510,9922,1198
