,County,Paid Foster  Care Clients,Paid Foster  Expenditures*
1,ANDERSON,118,1633465
2,ANDREWS,14,178605
3,ANGELINA,77,761741
4,ARANSAS,60,593690
5,ARCHER,1,6468
6,ARMSTRONG,0,0
7,ATASCOSA,87,1169252
8,AUSTIN,15,131115
9,BAILEY,26,290327
10,BANDERA,39,399492
11,BASTROP,133,1836165
12,BAYLOR,4,29370
13,BEE,50,692469
14,BELL,526,5930036
15,BEXAR,3180,44493735
16,BLANCO,6,87436
17,BORDEN,0,0
18,BOSQUE,20,151260
19,BOWIE,122,1534058
20,BRAZORIA,276,3402665
21,BRAZOS,143,1809288
22,BREWSTER,7,127539
23,BRISCOE,0,0
24,BROOKS,31,473727
25,BROWN,105,1318821
26,BURLESON,21,291035
27,BURNET,68,1155486
28,CALDWELL,72,1508898
29,CALHOUN,11,268920
30,CALLAHAN,25,384019
31,CAMERON,513,5679346
32,CAMP,28,296204
33,CARSON,4,135292
34,CASS,41,452672
35,CASTRO,9,255772
36,CHAMBERS,29,279917
37,CHEROKEE,66,722277
38,CHILDRESS,22,335668
39,CLAY,12,193470
40,COCHRAN,7,97604
41,COKE,7,75211
42,COLEMAN,41,513096
43,COLLIN,316,3740512
44,COLLINGSWORTH,6,23900
45,COLORADO,15,200875
46,COMAL,122,1397782
47,COMANCHE,16,317773
48,CONCHO,5,79865
49,COOKE,54,631177
50,CORYELL,107,1107425
51,COTTLE,2,42576
52,CRANE,1,8085
53,CROCKETT,8,152965
54,CROSBY,29,346640
55,CULBERSON,2,2292
56,DALLAM,7,187440
57,DALLAS,2139,26524070
58,DAWSON,13,314228
59,DEAF SMITH,22,342744
60,DELTA,11,97285
61,DENTON,373,3661093
62,DEWITT,32,581976
63,DICKENS,7,212140
64,DIMMIT,47,710016
65,DONLEY,14,300369
66,DUVAL,14,205660
67,EASTLAND,32,406559
68,ECTOR,252,4222018
69,EDWARDS,1,2134
70,ELLIS,86,1063484
71,EL PASO,591,6785833
72,ERATH,25,396048
73,FALLS,12,184695
74,FANNIN,35,495884
75,FAYETTE,32,537593
76,FISHER,4,93316
77,FLOYD,18,248359
78,FOARD,0,0
79,FORT BEND,196,2575468
80,FRANKLIN,9,28533
81,FREESTONE,22,485338
82,FRIO,37,576517
83,GAINES,16,222049
84,GALVESTON,169,1919617
85,GARZA,8,147687
86,GILLESPIE,34,518384
87,GLASSCOCK,0,0
88,GOLIAD,5,109313
89,GONZALES,16,256413
90,GRAY,69,883921
91,GRAYSON,128,1881780
92,GREGG,203,2924746
93,GRIMES,28,435435
94,GUADALUPE,69,677263
95,HALE,119,1553972
96,HALL,11,162510
97,HAMILTON,14,175667
98,HANSFORD,3,56336
99,HARDEMAN,9,72734
100,HARDIN,51,711821
101,HARRIS,4476,61253042
102,HARRISON,95,1303167
103,HARTLEY,1,16181
104,HASKELL,3,54268
105,HAYS,80,950115
106,HEMPHILL,1,26914
107,HENDERSON,181,1757364
108,HIDALGO,479,5597761
109,HILL,50,674809
110,HOCKLEY,81,1155617
111,HOOD,52,613267
112,HOPKINS,51,594245
113,HOUSTON,36,328361
114,HOWARD,88,1183835
115,HUDSPETH,5,32118
116,HUNT,144,1387925
117,HUTCHINSON,34,555923
118,IRION,3,27428
119,JACK,9,178092
120,JACKSON,9,103021
121,JASPER,40,529512
122,JEFF DAVIS,0,0
123,JEFFERSON,217,2022735
124,JIM HOGG,8,22214
125,JIM WELLS,67,735087
126,JOHNSON,265,3449578
127,JONES,18,325937
128,KARNES,22,377145
129,KAUFMAN,62,895505
130,KENDALL,12,214061
131,KENEDY,0,0
132,KENT,0,0
133,KERR,149,2089286
134,KIMBLE,19,307083
135,KING,0,0
136,KINNEY,0,0
137,KLEBERG,77,908984
138,KNOX,9,127473
139,LAMAR,70,826167
140,LAMB,37,669379
141,LAMPASAS,36,679278
142,LASALLE,12,115942
143,LAVACA,8,129202
144,LEE,31,267284
145,LEON,13,206740
146,LIBERTY,99,1723141
147,LIMESTONE,31,467980
148,LIPSCOMB,4,6822
149,LIVE OAK,13,73131
150,LLANO,41,488288
151,LOVING,0,0
152,LUBBOCK,649,9716642
153,LYNN,4,95434
154,MADISON,29,343863
155,MARION,14,147500
156,MARTIN,1,474
157,MASON,2,27704
158,MATAGORDA,15,183159
159,MAVERICK,17,405467
160,MCCULLOCH,15,180536
161,MCLENNAN,265,3918560
162,MCMULLEN,0,0
163,MEDINA,117,1255192
164,MENARD,5,131716
165,MIDLAND,131,1890879
166,MILAM,50,489414
167,MILLS,5,90480
168,MITCHELL,5,34942
169,MONTAGUE,50,464883
170,MONTGOMERY,462,6035475
171,MOORE,17,186027
172,MORRIS,16,158256
173,MOTLEY,3,56123
174,NACOGDOCHES,141,1477386
175,NAVARRO,106,1606185
176,NEWTON,8,196054
177,NOLAN,23,294562
178,NUECES,556,6542309
179,OCHILTREE,9,203951
180,OLDHAM,1,14385
181,ORANGE,100,1160234
182,PALO PINTO,52,612723
183,PANOLA,23,388705
184,PARKER,61,837281
185,PARMER,12,208434
186,PECOS,31,293699
187,POLK,88,945028
188,POTTER,241,4102598
189,PRESIDIO,6,38634
190,RAINS,10,176115
191,RANDALL,269,4001343
192,REAGAN,4,48039
193,REAL,11,166724
194,RED RIVER,17,212526
195,REEVES,20,228680
196,REFUGIO,2,36567
197,ROBERTS,0,0
198,ROBERTSON,12,158805
199,ROCKWALL,20,303201
200,RUNNELS,26,403973
201,RUSK,47,641132
202,SABINE,15,117519
203,SAN AUGUSTINE,5,31974
204,SAN JACINTO,52,946213
205,SAN PATRICIO,78,1006565
206,SAN SABA,9,262129
207,SCHLEICHER,1,952
208,SCURRY,19,314125
209,SHACKELFORD,0,0
210,SHELBY,49,525625
211,SHERMAN,6,77519
212,SMITH,265,3269214
213,SOMERVELL,10,92024
214,STARR,98,1107481
215,STEPHENS,9,191978
216,STERLING,0,0
217,STONEWALL,0,0
218,SUTTON,1,3743
219,SWISHER,21,307189
220,TARRANT,1654,20316276
221,TAYLOR,210,2415952
222,TERRELL,1,1501
223,TERRY,23,326565
224,THROCKMORTON,1,8085
225,TITUS,70,785420
226,TOM GREEN,323,4642542
227,TRAVIS,797,11035205
228,TRINITY,31,293661
229,TYLER,16,155114
230,UPSHUR,37,411657
231,UPTON,7,87854
232,UVALDE,48,800011
233,VAL VERDE,30,403370
234,VAN ZANDT,118,1300674
235,VICTORIA,136,2060134
236,WALKER,57,843261
237,WALLER,31,417488
238,WARD,17,228615
239,WASHINGTON,26,243419
240,WEBB,444,5431139
241,WHARTON,45,351741
242,WHEELER,11,145220
243,WICHITA,210,2613215
244,WILBARGER,16,252321
245,WILLACY,76,792665
246,WILLIAMSON,395,5361480
247,WILSON,15,193792
248,WINKLER,7,36444
249,WISE,52,507839
250,WOOD,73,867968
251,YOAKUM,12,95846
252,YOUNG,20,209352
253,ZAPATA,52,509857
254,ZAVALA,38,537333
255,UNKNOWN,0,0
256,STATE TOTAL,28425,371196595
