,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
0,ANDERSON,5045,7301,463,437,369,477,8,6,2,709,641,6,864,702,638,66,798,13,11844,145,12.2,522,94,18.0%,133,21,2,0,155,13.1,35,149,110,104,0,35,15,25,8,28,110,1577318,0,2,1,31,"$21,259.26",149,7,"$1,707.22",282,11844,2396,7115,2201,10,122,,,,,,,9478,9,1043,2,24,22,6,11844,0,18,0,0,0,0,18,74,139,0,2,0,141,,,
1,ANDREWS,1096,1936,70,62,46,21,0,0,0,160,141,2,240,151,119,53,187,22,4056,78,19.2,146,45,30.8%,53,15,,,42,10.4,19,41,19,33,0,19,1,4,1,10,18,269689,0,1,1,13,12485.29,41,13,1298.84,52,4056,63,1602,2345,10,36,,,,,,,3308,4,362,0,0,5,1,4056,0,4,0,0,0,0,4,11,3,0,0,0,3,,,
2,ANGELINA,6639,11704,646,536,387,467,319,293,39,1075,837,7,1387,1064,844,140,1247,36,22656,293,12.9,795,174,21.9%,133,20,4,0,106,4.7,38,101,75,85,0,41,9,12,7,30,75,760241,1,12,1,70,66451.49,101,17,2646.73,175,22656,3435,12087,6870,19,245,,,,,,,17873,32,2987,4,48,11,6,22656,2,35,0,0,0,0,37,128,161,0,25,0,186,,,
3,ARANSAS,2206,6629,195,161,98,100,0,1,0,358,317,0,473,274,229,177,296,44,5091,185,36.3,262,101,38.5%,119,19,,,90,17.7,48,84,74,78,0,49,5,12,2,13,74,1020222,1,3,2,22,23011.77,84,8,2359.58,200,5091,92,2851,1892,23,233,,,,,,,3916,5,343,0,0,4,0,5091,0,11,0,0,0,0,11,42,108,0,0,0,108,,,
4,ARCHER,815,1376,68,52,44,39,5,2,0,66,53,0,85,67,39,18,67,0,2105,17,8.1,42,10,23.8%,12,4,,,0,0.0,0,1,1,0,0,0,0,0,0,0,1,6418,0,0,0,0,0.00,1,0,0.00,28,2105,7,1883,210,1,4,,,,,,,1556,5,265,1,12,3,2,2105,0,3,0,0,0,0,3,7,4,0,0,0,4,,,
5,ARMSTRONG,168,480,7,8,6,13,0,0,0,17,14,0,20,18,15,2,18,0,514,2,3.9,11,1,9.1%,0,0,,,2,3.9,2,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0.00,2,0,0.00,4,514,2,454,57,0,1,,,,,,,403,0,0,0,0,4,1,514,0,2,0,0,0,0,2,4,1,0,0,0,1,,,
6,ATASCOSA,3980,5544,266,220,149,195,2,2,1,653,583,4,666,427,399,198,468,66,12801,220,17.2,378,119,31.5%,129,40,1,0,173,13.5,74,172,116,148,0,80,4,19,30,20,117,1288474,0,1,3,14,32821.76,172,31,5259.46,339,12801,32,3485,9234,8,42,,,,,,,9880,14,853,3,36,8,3,12801,0,22,0,0,0,0,22,88,147,0,0,0,147,,,
7,AUSTIN,2430,4363,99,77,55,75,1,3,1,199,179,2,233,190,156,38,195,8,6584,37,5.6,147,24,16.3%,11,0,,,19,2.9,7,20,12,17,0,7,0,5,0,9,12,120635,0,1,2,12,7683.02,20,7,2274.74,82,6584,1122,3248,2160,6,48,,,,,,,5025,11,922,1,12,10,3,6584,0,6,0,0,1,0,7,62,60,0,8,0,68,,,
8,BAILEY,506,1032,52,50,49,82,0,0,0,65,62,0,84,76,70,6,78,3,1834,8,4.4,49,6,12.2%,14,5,,,29,15.8,4,27,24,15,0,5,2,4,2,5,24,334934,0,2,0,0,0.00,27,0,0.00,19,1834,19,693,1118,1,3,,,,,,,1508,3,158,0,0,3,0,1834,0,8,0,0,0,0,8,30,17,0,0,0,17,,,
9,BANDERA,1921,4023,118,79,42,41,1,1,1,213,183,0,230,169,158,29,201,17,4133,56,13.5,145,37,25.5%,51,19,,,68,16.5,23,66,53,57,0,24,1,14,7,18,51,522621,0,2,0,6,7490.70,66,0,0.00,60,4133,33,3209,862,6,23,,,,,,,3097,4,332,0,0,4,1,4133,0,12,1,0,0,0,13,174,86,0,14,0,100,,,
