,County,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
1,ANDERSON,9478,9,1043,2,24,22,6
2,ANDREWS,3308,4,362,0,0,5,1
3,ANGELINA,17873,32,2987,4,48,11,6
4,ARANSAS,3916,5,343,0,0,4,0
5,ARCHER,1556,5,265,1,12,3,2
6,ARMSTRONG,403,0,0,0,0,4,1
7,ATASCOSA,9880,14,853,3,36,8,3
8,AUSTIN,5025,11,922,1,12,10,3
9,BAILEY,1508,3,158,0,0,3,0
10,BANDERA,3097,4,332,0,0,4,1
11,BASTROP,15470,40,2974,3,36,21,10
12,BAYLOR,611,3,160,2,24,1,1
13,BEE,5979,8,796,1,12,11,1
14,BELL,68769,165,14554,21,244,89,137
15,BEXAR,347183,584,62167,35,420,363,472
16,BLANCO,1756,4,194,0,0,3,0
17,BORDEN,89,1,13,0,0,0,0
18,BOSQUE,3247,6,318,1,12,2,2
19,BOWIE,16669,41,3847,4,48,59,12
20,BRAZORIA,63155,151,16931,17,198,58,69
21,BRAZOS,30670,74,6715,11,129,64,32
22,BREWSTER,1608,4,295,1,12,8,1
23,BRISCOE,329,0,0,0,0,1,0
24,BROOKS,1763,7,326,0,0,0,0
25,BROWN,7664,17,1253,1,12,11,8
26,BURLESON,3689,6,288,1,12,4,2
27,BURNET,7654,21,1684,3,36,5,1
28,CALDWELL,8060,16,890,0,0,11,2
29,CALHOUN,4883,13,780,3,36,2,1
30,CALLAHAN,2404,4,148,1,12,10,2
31,CAMERON,112555,202,14546,27,321,52,34
32,CAMP,2608,5,411,2,24,3,0
33,CARSON,1172,0,0,0,0,2,1
34,CASS,5206,7,566,1,12,20,0
35,CASTRO,1667,2,51,0,0,8,2
36,CHAMBERS,6027,13,1146,3,36,8,3
37,CHEROKEE,10019,15,1252,1,12,14,1
38,CHILDRESS,1380,4,145,2,24,18,3
39,CLAY,1557,4,168,1,12,0,3
40,COCHRAN,683,2,63,0,0,2,0
41,COKE,605,1,17,0,0,0,0
42,COLEMAN,1604,3,134,4,48,3,3
43,COLLIN,147723,317,47358,100,1194,224,212
44,COLLINGSWORTH,508,0,0,1,12,3,1
45,COLORADO,4291,8,608,3,36,5,4
46,COMAL,18527,41,3979,5,58,30,16
47,COMANCHE,2609,5,209,4,48,2,2
48,CONCHO,399,2,85,0,0,1,1
49,COOKE,7612,8,635,10,120,13,16
50,CORYELL,14001,31,2678,2,24,14,14
51,COTTLE,308,1,34,0,0,0,0
52,CRANE,868,1,40,0,0,2,0
53,CROCKETT,847,2,80,1,12,0,0
54,CROSBY,1346,0,0,0,0,1,1
55,CULBERSON,463,1,59,0,0,1,0
56,DALLAM,1461,2,104,2,24,5,0
57,DALLAS,548323,781,90554,129,1542,857,715
58,DAWSON,2877,2,322,4,48,10,0
59,DEAF SMITH,5326,6,480,1,8,22,2
60,DELTA,840,0,0,1,11,2,0
61,DENTON,126340,234,31147,78,930,217,211
62,DEWITT,3804,7,355,2,24,3,1
63,DICKENS,364,0,0,1,12,0,1
64,DIMMIT,2093,5,317,0,0,4,0
65,DONLEY,563,0,0,2,24,3,1
66,DUVAL,2511,6,212,0,0,1,2
67,EASTLAND,3430,9,304,1,12,5,1
68,ECTOR,31671,46,4372,12,144,88,5
69,EDWARDS,325,2,79,0,0,0,0
70,ELLIS,32120,61,6625,7,84,58,31
71,EL PASO,187511,275,25702,147,1745,381,98
72,ERATH,7347,14,936,7,84,9,19
73,FALLS,3319,4,257,1,12,5,1
74,FANNIN,5728,8,548,1,12,11,5
75,FAYETTE,4219,9,487,6,72,11,2
76,FISHER,599,0,0,0,0,1,0
77,FLOYD,1486,2,227,1,12,0,1
78,FOARD,230,1,35,0,0,1,0
79,FORT BEND,96595,250,32379,22,264,100,213
80,FRANKLIN,1716,5,287,1,12,5,0
81,FREESTONE,3742,9,534,1,12,10,4
82,FRIO,3990,6,481,2,24,10,2
83,GAINES,4222,2,102,4,48,4,1
84,GALVESTON,56313,133,14307,16,185,76,76
85,GARZA,996,2,80,0,0,3,0
86,GILLESPIE,3518,8,416,5,60,7,4
87,GLASSCOCK,266,1,12,0,0,0,0
88,GOLIAD,1369,2,156,0,0,2,0
89,GONZALES,4392,8,473,1,12,8,1
90,GRAY,3981,11,782,0,0,4,0
91,GRAYSON,22423,35,3093,8,96,40,22
92,GREGG,25237,53,5756,3,36,45,20
93,GRIMES,5015,7,296,9,107,6,4
94,GUADALUPE,22975,35,2775,7,80,34,34
95,HALE,8842,8,863,7,84,17,6
96,HALL,772,1,47,0,0,2,0
97,HAMILTON,1476,3,131,4,48,4,5
98,HANSFORD,1149,2,89,0,0,9,2
99,HARDEMAN,791,2,95,5,60,2,1
100,HARDIN,9295,13,1525,0,0,5,4
101,HARRIS,900983,1521,171231,169,1997,1041,1660
102,HARRISON,12024,19,1830,5,60,29,9
103,HARTLEY,1078,1,150,0,0,1,1
104,HASKELL,1033,2,105,1,12,4,1
105,HAYS,27063,80,5686,12,132,55,34
106,HEMPHILL,685,1,98,0,0,2,0
107,HENDERSON,14231,15,1593,4,48,17,3
108,HIDALGO,210469,396,28406,113,1355,125,133
109,HILL,7362,12,621,2,24,13,3
110,HOCKLEY,5391,10,641,6,72,13,0
111,HOOD,7978,17,1295,4,48,13,12
112,HOPKINS,6949,12,1168,4,48,14,2
113,HOUSTON,3883,3,162,3,36,7,7
114,HOWARD,6157,12,1194,0,0,4,2
115,HUDSPETH,635,2,51,0,0,3,0
116,HUNT,16482,23,2586,4,48,32,9
117,HUTCHINSON,4855,5,288,4,48,11,4
118,IRION,204,1,20,0,0,1,0
119,JACK,1550,2,84,3,36,4,2
120,JACKSON,3201,5,254,7,84,14,3
121,JASPER,6786,7,879,1,12,6,4
122,JEFF DAVIS,335,0,0,0,0,2,0
123,JEFFERSON,47427,86,8557,7,84,21,26
124,JIM HOGG,1135,3,172,1,12,3,2
125,JIM WELLS,9498,23,989,1,12,7,2
126,JOHNSON,33436,37,4508,5,60,30,21
127,JONES,3043,4,125,1,12,9,3
128,KARNES,2701,5,152,1,12,3,3
129,KAUFMAN,20247,35,4280,5,60,41,22
130,KENDALL,5201,17,1325,2,24,5,3
131,KENEDY,95,0,0,0,0,0,0
132,KENT,89,0,0,0,0,0,0
133,KERR,7005,16,1409,4,48,15,5
134,KIMBLE,845,2,100,1,12,1,0
135,KING,38,0,0,0,0,0,0
136,KINNEY,607,2,35,0,0,1,0
137,KLEBERG,6758,13,699,1,12,10,5
138,KNOX,794,3,94,0,0,1,0
139,LAMAR,9849,15,1351,8,94,20,5
140,LAMB,3562,3,127,1,12,3,0
141,LAMPASAS,4016,5,371,4,48,5,9
142,LASALLE,1322,2,99,0,0,10,0
143,LAVACA,3447,10,473,10,118,13,5
144,LEE,3380,8,557,5,60,1,0
145,LEON,2810,5,191,2,24,4,1
146,LIBERTY,15751,21,1480,1,12,20,4
147,LIMESTONE,4412,8,617,4,48,6,4
148,LIPSCOMB,537,0,0,0,0,0,0
149,LIVE OAK,1897,2,64,2,24,3,1
150,LLANO,2377,6,310,1,12,5,0
151,LOVING,2,0,0,0,0,0,0
152,LUBBOCK,54794,121,11896,34,408,88,37
153,LYNN,1135,2,98,1,12,3,2
154,MADISON,2440,7,253,3,36,6,2
155,MARION,1749,2,131,2,24,0,1
156,MARTIN,1249,2,86,0,0,1,0
157,MASON,561,4,124,0,0,1,0
158,MATAGORDA,8233,12,1023,0,0,30,5
159,MAVERICK,14914,19,1862,0,0,21,4
160,MCCULLOCH,1672,4,186,3,36,2,0
161,MCLENNAN,48343,98,9574,25,300,58,28
162,MCMULLEN,95,0,0,0,0,0,0
163,MEDINA,8777,12,852,1,12,7,12
164,MENARD,394,1,20,0,0,0,0
165,MIDLAND,28752,59,6157,10,117,51,9
166,MILAM,5484,9,539,6,72,13,0
167,MILLS,955,0,0,2,24,1,4
168,MITCHELL,1355,1,22,0,0,1,2
169,MONTAGUE,3661,6,221,4,48,2,4
170,MONTGOMERY,85486,152,18109,20,240,71,39
171,MOORE,4536,5,303,0,0,7,2
172,MORRIS,2427,3,140,2,24,8,2
173,MOTLEY,181,0,0,0,0,0,0
174,NACOGDOCHES,11584,15,2036,2,24,11,4
175,NAVARRO,10327,19,1554,4,48,15,16
176,NEWTON,2444,5,239,0,0,1,0
177,NOLAN,2860,9,609,1,12,4,2
178,NUECES,71392,157,13460,41,492,81,55
179,OCHILTREE,2351,5,333,0,0,4,0
180,OLDHAM,373,2,95,0,0,0,0
181,ORANGE,15416,24,2319,6,72,10,9
182,PALO PINTO,5702,4,395,1,12,16,7
183,PANOLA,4358,7,546,3,36,7,2
184,PARKER,19834,42,3863,0,0,19,12
185,PARMER,2186,1,48,0,0,3,0
186,PECOS,3541,4,319,2,24,4,1
187,POLK,7374,8,814,2,24,4,3
188,POTTER,29506,45,4321,0,0,82,35
189,PRESIDIO,2268,1,30,0,0,4,1
190,RAINS,1560,2,102,0,0,2,0
191,RANDALL,19039,45,4746,1,12,78,56
192,REAGAN,612,1,60,0,0,2,0
193,REAL,457,4,155,0,0,2,0
194,RED RIVER,2481,2,144,4,48,11,1
195,REEVES,2247,3,179,3,36,4,0
196,REFUGIO,1385,2,79,0,0,4,2
197,ROBERTS,149,0,0,0,0,1,0
198,ROBERTSON,3517,4,336,2,24,3,1
199,ROCKWALL,15109,21,3126,7,84,14,4
200,RUNNELS,2353,6,182,3,36,3,1
201,RUSK,8914,12,893,4,48,12,3
202,SABINE,1608,1,100,0,0,2,0
203,SAN AUGUSTINE,1757,4,194,0,0,0,0
204,SAN JACINTO,4534,3,160,0,0,4,0
205,SAN PATRICIO,16807,29,2069,3,36,18,1
206,SAN SABA,1105,1,31,1,12,1,3
207,SCHLEICHER,620,1,20,1,12,0,0
208,SCURRY,3288,4,353,1,12,2,2
209,SHACKELFORD,652,1,51,0,0,2,1
210,SHELBY,5448,4,272,0,0,2,2
211,SHERMAN,590,1,51,0,0,1,1
212,SMITH,41419,88,8600,7,84,47,9
213,SOMERVELL,1553,4,178,1,12,0,2
214,STARR,19890,35,2057,4,48,2,8
215,STEPHENS,1988,1,152,1,12,5,2
216,STERLING,226,0,0,1,12,0,0
217,STONEWALL,269,1,36,1,12,0,0
218,SUTTON,921,2,63,1,12,1,1
219,SWISHER,1710,2,200,0,0,5,2
220,TARRANT,387882,670,74377,102,1213,578,773
221,TAYLOR,28103,53,5412,2,24,62,44
222,TERRELL,104,0,0,0,0,0,0
223,TERRY,2436,2,117,3,36,7,0
224,THROCKMORTON,311,1,12,0,0,0,0
225,TITUS,7084,9,1200,0,0,8,2
226,TOM GREEN,21219,51,5016,4,48,48,24
227,TRAVIS,192867,460,43479,48,576,257,168
228,TRINITY,2509,6,372,0,0,0,0
229,TYLER,3605,7,368,3,36,1,0
230,UPSHUR,6935,9,584,3,36,12,0
231,UPTON,604,1,20,0,0,0,0
232,UVALDE,7085,16,1106,1,12,9,2
233,VAL VERDE,12011,17,1321,3,36,25,3
234,VAN ZANDT,9524,14,1292,5,60,16,1
235,VICTORIA,19682,37,3024,22,262,22,13
236,WALKER,8698,23,2064,0,0,23,3
237,WALLER,7925,15,927,1,12,8,7
238,WARD,1993,3,198,0,0,5,0
239,WASHINGTON,5849,11,1072,3,36,7,6
240,WEBB,77004,94,6807,34,405,240,38
241,WHARTON,9043,17,1855,2,24,32,2
242,WHEELER,851,1,80,0,0,1,0
243,WICHITA,24778,53,4013,24,288,29,49
244,WILBARGER,2961,7,410,2,24,8,7
245,WILLACY,5453,9,602,3,36,5,8
246,WILLIAMSON,77761,228,27923,59,706,196,126
247,WILSON,8125,17,1261,1,12,7,7
248,WINKLER,1283,1,65,1,12,3,3
249,WISE,10720,25,1505,0,0,16,7
250,WOOD,6362,11,593,2,24,13,3
251,YOAKUM,2059,2,68,2,24,5,0
252,YOUNG,3453,10,528,2,24,3,6
253,ZAPATA,3768,5,309,0,0,4,0
254,ZAVALA,3151,9,541,0,0,5,0
255,UNKNOWN,0,0,0,0,0,0,0
256,STATE TOTAL,5269573,9519,965718,1743,20771,7477,6302
