,County,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity
1,ANDERSON,11844,0,18,0,0,0,0,18,74
2,ANDREWS,4056,0,4,0,0,0,0,4,11
3,ANGELINA,22656,2,35,0,0,0,0,37,128
4,ARANSAS,5091,0,11,0,0,0,0,11,42
5,ARCHER,2105,0,3,0,0,0,0,3,7
6,ARMSTRONG,514,0,2,0,0,0,0,2,4
7,ATASCOSA,12801,0,22,0,0,0,0,22,88
8,AUSTIN,6584,0,6,0,0,1,0,7,62
9,BAILEY,1834,0,8,0,0,0,0,8,30
10,BANDERA,4133,0,12,1,0,0,0,13,174
11,BASTROP,20172,0,43,1,0,0,0,44,163
12,BAYLOR,780,0,0,0,0,0,0,0,0
13,BEE,7508,0,14,1,0,0,0,15,200
14,BELL,83087,9,209,3,0,1,1,223,777
15,BEXAR,438724,38,907,15,1,6,1,968,3950
16,BLANCO,2232,0,5,0,0,0,0,5,5
17,BORDEN,111,0,0,0,0,0,0,0,0
18,BOSQUE,4161,0,8,0,0,0,0,8,20
19,BOWIE,21313,0,18,0,0,0,0,18,47
20,BRAZORIA,81797,2,116,3,0,5,0,126,724
21,BRAZOS,38287,4,63,1,0,1,0,69,232
22,BREWSTER,2002,0,2,0,0,0,0,2,0
23,BRISCOE,428,0,2,0,0,0,0,2,4
24,BROOKS,2212,0,1,0,0,0,0,1,6
25,BROWN,9651,7,73,1,0,0,0,81,355
26,BURLESON,4591,0,6,0,0,0,0,6,5
27,BURNET,9853,1,15,0,0,0,0,16,64
28,CALDWELL,10198,0,25,0,0,2,0,27,289
29,CALHOUN,6195,0,9,0,0,0,0,9,34
30,CALLAHAN,3166,0,10,0,0,0,0,10,20
31,CAMERON,136046,6,146,6,0,0,0,158,1145
32,CAMP,3410,0,8,0,0,0,0,8,21
33,CARSON,1508,0,2,0,0,0,0,2,8
34,CASS,6731,0,10,0,0,0,0,10,33
35,CASTRO,2084,0,9,0,0,0,0,9,29
36,CHAMBERS,8852,1,7,0,0,0,0,8,8
37,CHEROKEE,12719,0,24,0,0,0,0,24,82
38,CHILDRESS,1765,0,1,0,0,0,0,1,1
39,CLAY,2141,0,10,0,0,0,0,10,36
40,COCHRAN,837,0,0,1,0,0,0,1,81
41,COKE,757,0,1,0,0,0,0,1,3
42,COLEMAN,2000,0,8,0,0,0,0,8,40
43,COLLIN,204247,5,243,2,0,0,0,250,654
44,COLLINGSWORTH,658,0,0,0,0,0,0,0,0
45,COLORADO,5357,0,4,0,0,0,0,4,12
46,COMAL,25006,1,56,4,0,1,0,62,333
47,COMANCHE,3282,1,11,0,0,0,0,12,35
48,CONCHO,513,0,3,0,0,0,0,3,7
49,COOKE,9847,0,5,0,0,0,0,5,10
50,CORYELL,18291,0,30,0,0,0,0,30,118
51,COTTLE,396,0,0,0,0,0,0,0,0
52,CRANE,1114,0,0,0,0,0,0,0,0
53,CROCKETT,1066,0,0,0,0,0,0,0,0
54,CROSBY,1681,0,6,0,0,0,0,6,13
55,CULBERSON,577,0,0,0,0,0,0,0,0
56,DALLAM,1874,0,2,0,0,0,0,2,4
57,DALLAS,678936,43,796,6,0,2,0,847,2901
58,DAWSON,3562,0,7,0,0,0,0,7,26
59,DEAF SMITH,6566,0,5,0,0,0,0,5,13
60,DELTA,1114,0,2,0,0,0,0,2,3
61,DENTON,162374,1,206,1,0,1,0,209,638
62,DEWITT,4686,0,8,1,0,0,0,9,76
63,DICKENS,451,0,0,0,0,0,0,0,0
64,DIMMIT,2678,0,2,0,0,0,0,2,3
65,DONLEY,739,0,3,0,0,0,0,3,9
66,DUVAL,3158,0,1,0,0,0,0,1,6
67,EASTLAND,4269,0,14,0,0,0,0,14,45
68,ECTOR,38841,1,50,0,0,0,0,51,132
69,EDWARDS,444,0,0,0,0,0,0,0,0
70,ELLIS,42250,3,87,2,0,0,0,92,459
71,EL PASO,227531,8,213,5,0,0,0,226,906
72,ERATH,9233,1,14,1,0,0,0,16,122
73,FALLS,4281,0,8,1,0,1,0,10,120
74,FANNIN,7598,0,10,0,0,0,0,10,28
75,FAYETTE,5455,0,5,0,0,1,0,6,32
76,FISHER,816,0,1,0,0,0,0,1,4
77,FLOYD,1864,0,2,0,0,0,0,2,4
78,FOARD,322,0,0,0,0,0,0,0,0
79,FORT BEND,137850,3,270,2,0,5,0,280,1086
80,FRANKLIN,2272,0,3,0,0,0,0,3,9
81,FREESTONE,4715,0,8,1,0,0,0,9,78
82,FRIO,4942,0,14,0,0,0,0,14,62
83,GAINES,5172,0,6,0,0,0,0,6,15
84,GALVESTON,71609,1,97,2,0,1,0,101,367
85,GARZA,1265,0,2,0,0,0,0,2,2
86,GILLESPIE,4675,0,9,0,0,0,0,9,30
87,GLASSCOCK,372,0,0,0,0,0,0,0,0
88,GOLIAD,1734,0,8,1,0,0,0,9,57
89,GONZALES,5435,0,3,0,0,1,0,4,86
90,GRAY,5161,0,4,0,0,0,0,4,12
91,GRAYSON,28207,0,33,1,0,0,0,34,94
92,GREGG,31957,2,43,0,0,0,0,45,95
93,GRIMES,6213,0,10,0,0,0,0,10,22
94,GUADALUPE,31772,1,69,1,0,1,0,72,240
95,HALE,10966,0,15,0,0,0,0,15,45
96,HALL,1003,0,0,0,0,0,0,0,0
97,HAMILTON,1927,1,6,0,0,0,0,7,14
98,HANSFORD,1436,0,0,0,0,0,0,0,0
99,HARDEMAN,1011,0,2,0,0,0,0,2,7
100,HARDIN,12282,0,19,1,0,0,0,20,72
101,HARRIS,1117039,44,1460,19,3,25,1,1552,5743
102,HARRISON,15597,0,17,2,0,1,0,20,164
103,HARTLEY,1297,0,2,0,0,0,0,2,8
104,HASKELL,1295,0,1,0,0,0,0,1,2
105,HAYS,34231,2,75,1,0,2,0,80,498
106,HEMPHILL,846,0,1,0,0,0,0,1,5
107,HENDERSON,18230,0,35,0,0,0,0,35,102
108,HIDALGO,259479,6,131,1,0,0,0,138,621
109,HILL,9364,0,6,1,0,0,0,7,91
110,HOCKLEY,6614,0,18,0,0,2,0,20,120
111,HOOD,10577,0,8,0,0,0,0,8,10
112,HOPKINS,8844,1,17,0,0,0,0,18,47
113,HOUSTON,4926,0,9,0,0,0,0,9,34
114,HOWARD,7696,1,16,0,0,0,0,17,33
115,HUDSPETH,904,0,0,0,0,0,0,0,0
116,HUNT,21239,0,39,1,0,1,0,41,191
117,HUTCHINSON,6092,0,14,0,0,0,0,14,53
118,IRION,292,0,1,0,0,0,0,1,3
119,JACK,1967,0,4,0,0,0,0,4,7
120,JACKSON,3988,0,9,0,0,0,0,9,36
121,JASPER,8642,0,16,0,0,0,0,16,48
122,JEFF DAVIS,423,0,0,0,0,1,0,1,84
123,JEFFERSON,60449,7,127,4,0,0,0,138,523
124,JIM HOGG,1444,0,0,0,0,0,0,0,0
125,JIM WELLS,12090,0,5,0,0,0,0,5,24
126,JOHNSON,44740,0,66,0,0,0,0,66,210
127,JONES,4188,0,6,0,0,0,0,6,16
128,KARNES,3410,0,1,0,0,0,0,1,2
129,KAUFMAN,26938,0,72,1,0,0,0,73,245
130,KENDALL,7188,1,24,1,0,1,0,27,153
131,KENEDY,118,0,0,0,0,0,0,0,0
132,KENT,115,0,1,0,0,0,0,1,12
133,KERR,8900,3,29,3,0,2,0,37,309
134,KIMBLE,1060,0,3,0,0,0,0,3,14
135,KING,66,0,0,0,0,0,0,0,0
136,KINNEY,795,0,2,0,0,0,0,2,3
137,KLEBERG,8211,0,12,0,0,0,0,12,49
138,KNOX,1001,0,0,0,0,0,0,0,0
139,LAMAR,12535,0,9,0,0,0,0,9,32
140,LAMB,4428,0,3,0,0,0,0,3,7
141,LAMPASAS,5182,0,17,1,0,0,0,18,115
142,LASALLE,1586,0,2,0,0,0,0,2,0
143,LAVACA,4394,0,10,0,0,0,0,10,33
144,LEE,4350,0,23,0,0,0,0,23,90
145,LEON,3557,0,5,0,0,0,0,5,9
146,LIBERTY,20386,0,12,0,0,0,0,12,46
147,LIMESTONE,5590,0,9,0,0,0,0,9,27
148,LIPSCOMB,718,0,1,0,0,0,0,1,9
149,LIVE OAK,2424,0,4,0,0,0,0,4,11
150,LLANO,3066,0,7,0,0,0,0,7,7
151,LOVING,3,0,0,0,0,0,0,0,0
152,LUBBOCK,67626,11,195,4,0,1,1,212,844
153,LYNN,1422,0,2,0,0,0,0,2,3
154,MADISON,3046,0,4,0,0,0,0,4,8
155,MARION,2233,0,1,0,0,0,0,1,4
156,MARTIN,1590,0,1,0,0,0,0,1,2
157,MASON,704,0,2,0,0,0,0,2,5
158,MATAGORDA,10427,0,8,0,0,1,0,9,51
159,MAVERICK,18819,0,6,0,0,0,0,6,16
160,MCCULLOCH,2091,0,17,0,0,0,0,17,74
161,MCLENNAN,60002,4,94,2,0,1,0,101,622
162,MCMULLEN,119,0,0,0,0,0,0,0,0
163,MEDINA,11545,1,30,1,0,0,0,32,137
164,MENARD,478,0,0,0,0,0,0,0,0
165,MIDLAND,35971,5,61,1,0,0,0,67,205
166,MILAM,6940,0,6,1,0,0,0,7,66
167,MILLS,1200,0,13,0,0,1,0,14,156
168,MITCHELL,1769,0,3,0,0,0,0,3,6
169,MONTAGUE,4578,0,7,0,0,0,0,7,20
170,MONTGOMERY,118020,7,167,4,0,0,0,178,588
171,MOORE,5900,0,0,0,0,0,0,0,0
172,MORRIS,3082,0,5,0,0,0,0,5,15
173,MOTLEY,254,0,0,0,0,0,0,0,0
174,NACOGDOCHES,15040,1,33,0,0,1,0,35,133
175,NAVARRO,13385,2,58,0,0,2,0,62,268
176,NEWTON,3219,0,5,0,0,0,0,5,17
177,NOLAN,3603,0,8,0,0,0,0,8,24
178,NUECES,87714,10,156,2,0,0,0,168,674
179,OCHILTREE,2932,0,4,0,0,0,0,4,9
180,OLDHAM,486,0,2,1,0,0,0,3,443
181,ORANGE,20515,0,45,0,0,0,0,45,160
182,PALO PINTO,7229,0,5,0,0,0,0,5,17
183,PANOLA,5521,0,7,0,0,0,0,7,23
184,PARKER,27403,0,43,1,0,0,0,44,199
185,PARMER,2814,0,3,0,0,0,0,3,13
186,PECOS,4491,0,2,0,0,0,0,2,5
187,POLK,9445,0,21,0,0,0,0,21,96
188,POTTER,36351,6,74,2,0,0,0,82,300
189,PRESIDIO,2753,0,0,0,0,0,0,0,0
190,RAINS,2064,0,6,0,0,0,0,6,19
191,RANDALL,25611,3,88,4,0,0,0,95,446
192,REAGAN,775,0,0,0,0,0,0,0,0
193,REAL,616,0,2,0,0,0,0,2,9
194,RED RIVER,3173,0,1,0,0,0,0,1,3
195,REEVES,2795,0,1,0,0,0,0,1,0
196,REFUGIO,1704,0,2,0,0,0,0,2,5
197,ROBERTS,183,0,0,0,0,0,0,0,0
198,ROBERTSON,4460,0,3,0,0,0,0,3,4
199,ROCKWALL,20662,0,28,0,0,0,0,28,72
200,RUNNELS,2942,0,4,0,0,0,0,4,10
201,RUSK,11317,0,17,0,0,0,0,17,60
202,SABINE,2047,0,0,0,0,0,0,0,0
203,SAN AUGUSTINE,2172,0,12,0,0,0,0,12,55
204,SAN JACINTO,6055,0,11,0,0,0,0,11,27
205,SAN PATRICIO,21382,0,23,2,0,1,0,26,203
206,SAN SABA,1382,1,10,1,0,0,0,12,121
207,SCHLEICHER,772,0,1,0,0,0,0,1,2
208,SCURRY,4120,0,9,0,0,0,0,9,26
209,SHACKELFORD,825,0,4,0,0,0,0,4,17
210,SHELBY,6858,1,28,0,0,0,0,29,151
211,SHERMAN,782,0,1,0,0,0,0,1,3
212,SMITH,53330,10,129,3,0,3,1,146,634
213,SOMERVELL,2047,0,2,0,0,0,0,2,3
214,STARR,24328,0,8,0,0,0,0,8,43
215,STEPHENS,2426,0,4,0,0,0,0,4,15
216,STERLING,284,0,1,0,0,0,0,1,4
217,STONEWALL,337,0,2,0,0,0,0,2,8
218,SUTTON,1168,0,6,0,0,0,0,6,21
219,SWISHER,2133,0,6,0,0,0,0,6,22
220,TARRANT,491551,30,758,5,0,1,1,795,2453
221,TAYLOR,34551,8,86,4,0,1,0,99,388
222,TERRELL,155,0,0,0,0,0,0,0,0
223,TERRY,2977,0,3,0,0,0,0,3,8
224,THROCKMORTON,397,0,0,0,0,0,0,0,0
225,TITUS,9204,0,7,0,0,0,0,7,22
226,TOM GREEN,26373,1,47,3,0,0,0,51,242
227,TRAVIS,235554,26,413,5,0,3,0,447,1394
228,TRINITY,3148,0,5,0,0,0,0,5,19
229,TYLER,4661,0,9,1,0,1,0,11,86
230,UPSHUR,8977,0,16,0,0,0,1,17,68
231,UPTON,727,0,1,0,0,0,0,1,3
232,UVALDE,8641,0,5,0,0,0,0,5,20
233,VAL VERDE,14881,1,11,0,0,0,0,12,16
234,VAN ZANDT,12444,0,42,0,0,0,0,42,151
235,VICTORIA,24406,3,41,2,0,1,0,47,254
236,WALKER,11189,0,10,2,0,1,0,13,314
237,WALLER,10387,0,18,0,0,0,0,18,49
238,WARD,2460,0,1,0,0,0,0,1,4
239,WASHINGTON,7431,0,6,1,0,0,0,7,46
240,WEBB,91533,2,77,2,0,0,0,81,390
241,WHARTON,11407,0,10,0,0,0,0,10,43
242,WHEELER,1098,0,0,0,0,0,0,0,0
243,WICHITA,31659,4,48,1,0,0,0,53,168
244,WILBARGER,3756,0,1,0,0,0,0,1,1
245,WILLACY,6680,0,2,0,0,0,0,2,8
246,WILLIAMSON,108861,6,285,4,0,1,1,297,1062
247,WILSON,11106,0,29,0,0,0,0,29,91
248,WINKLER,1633,0,1,0,0,0,0,1,5
249,WISE,14405,0,17,0,0,0,0,17,46
250,WOOD,8143,0,21,1,0,0,0,22,123
251,YOAKUM,2471,0,3,0,0,0,0,3,4
252,YOUNG,4394,0,9,0,0,0,0,9,21
253,ZAPATA,4736,0,4,0,0,0,0,4,19
254,ZAVALA,3976,0,3,0,0,0,0,3,0
