,County,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
1,ANDERSON,709,641,6
2,ANDREWS,160,141,2
3,ANGELINA,1075,837,7
4,ARANSAS,358,317,0
5,ARCHER,66,53,0
6,ARMSTRONG,17,14,0
7,ATASCOSA,653,583,4
8,AUSTIN,199,179,2
9,BAILEY,65,62,0
10,BANDERA,213,183,0
11,BASTROP,883,729,9
12,BAYLOR,56,42,0
13,BEE,461,410,7
14,BELL,4489,4029,30
15,BEXAR,22838,19841,168
16,BLANCO,71,61,0
17,BORDEN,2,1,0
18,BOSQUE,194,183,0
19,BOWIE,1194,1030,9
20,BRAZORIA,2633,2216,21
21,BRAZOS,1260,1097,11
22,BREWSTER,73,69,0
23,BRISCOE,18,15,0
24,BROOKS,152,127,0
25,BROWN,500,422,6
26,BURLESON,182,164,1
27,BURNET,479,422,6
28,CALDWELL,496,430,3
29,CALHOUN,229,201,3
30,CALLAHAN,159,122,0
31,CAMERON,4886,4342,44
32,CAMP,173,141,0
33,CARSON,53,46,0
34,CASS,334,300,4
35,CASTRO,75,63,0
36,CHAMBERS,230,196,0
37,CHEROKEE,578,523,5
38,CHILDRESS,63,57,1
39,CLAY,101,73,0
40,COCHRAN,30,29,0
41,COKE,26,21,0
42,COLEMAN,137,122,1
43,COLLIN,4770,4006,33
44,COLLINGSWORTH,25,21,1
45,COLORADO,172,160,0
46,COMAL,958,796,10
47,COMANCHE,140,113,0
48,CONCHO,29,23,0
49,COOKE,506,468,5
50,CORYELL,1053,939,8
51,COTTLE,28,24,0
52,CRANE,23,22,0
53,CROCKETT,28,24,0
54,CROSBY,90,82,0
55,CULBERSON,30,28,0
56,DALLAM,105,99,1
57,DALLAS,22426,19445,153
58,DAWSON,211,185,2
59,DEAF SMITH,260,241,3
60,DELTA,83,72,0
61,DENTON,4505,3888,33
62,DEWITT,266,215,1
63,DICKENS,18,16,0
64,DIMMIT,125,116,2
65,DONLEY,60,52,0
66,DUVAL,149,141,0
67,EASTLAND,251,188,3
68,ECTOR,2108,1824,16
69,EDWARDS,14,14,0
70,ELLIS,1269,1130,7
71,EL PASO,7369,6307,54
72,ERATH,357,330,4
73,FALLS,167,142,1
74,FANNIN,338,321,2
75,FAYETTE,159,129,0
76,FISHER,47,45,0
77,FLOYD,88,77,0
78,FOARD,14,12,0
79,FORT BEND,2732,2426,21
80,FRANKLIN,108,83,0
81,FREESTONE,164,140,0
82,FRIO,236,215,3
83,GAINES,113,103,0
84,GALVESTON,2946,2624,19
85,GARZA,66,64,0
86,GILLESPIE,167,142,0
87,GLASSCOCK,4,4,0
88,GOLIAD,82,69,0
89,GONZALES,304,264,3
90,GRAY,347,324,5
91,GRAYSON,1664,1444,12
92,GREGG,1433,1269,13
93,GRIMES,260,219,0
94,GUADALUPE,1366,1123,13
95,HALE,471,434,4
96,HALL,39,38,0
97,HAMILTON,95,86,2
98,HANSFORD,33,30,0
99,HARDEMAN,64,56,0
100,HARDIN,657,551,4
101,HARRIS,32074,27565,233
102,HARRISON,687,639,8
103,HARTLEY,15,13,0
104,HASKELL,83,69,3
105,HAYS,1296,1131,7
106,HEMPHILL,18,17,0
107,HENDERSON,1093,944,8
108,HIDALGO,9002,8065,65
109,HILL,393,359,3
110,HOCKLEY,274,251,2
111,HOOD,650,590,6
112,HOPKINS,428,350,4
113,HOUSTON,243,206,1
114,HOWARD,540,488,5
115,HUDSPETH,24,20,0
116,HUNT,1018,921,12
117,HUTCHINSON,270,240,4
118,IRION,16,16,0
119,JACK,75,63,0
120,JACKSON,135,116,0
121,JASPER,422,379,5
122,JEFF DAVIS,12,11,0
123,JEFFERSON,2629,2406,20
124,JIM HOGG,90,87,0
125,JIM WELLS,663,594,7
126,JOHNSON,2000,1817,14
127,JONES,239,198,0
128,KARNES,156,131,0
129,KAUFMAN,1143,1004,10
130,KENDALL,203,182,2
131,KENEDY,4,3,0
132,KENT,6,6,0
133,KERR,613,539,7
134,KIMBLE,49,43,0
135,KING,0,0,0
136,KINNEY,21,21,0
137,KLEBERG,384,350,4
138,KNOX,42,36,0
139,LAMAR,631,533,4
140,LAMB,208,194,2
141,LAMPASAS,259,232,2
142,LASALLE,60,53,0
143,LAVACA,150,127,1
144,LEE,136,110,2
145,LEON,151,129,1
146,LIBERTY,947,801,4
147,LIMESTONE,257,210,3
148,LIPSCOMB,32,28,0
149,LIVE OAK,125,116,0
150,LLANO,224,206,0
151,LOVING,3,1,0
152,LUBBOCK,3522,3195,30
153,LYNN,55,44,0
154,MADISON,131,124,2
155,MARION,147,123,0
156,MARTIN,33,27,0
157,MASON,45,42,0
158,MATAGORDA,364,329,3
159,MAVERICK,303,276,2
160,MCCULLOCH,112,102,1
161,MCLENNAN,3051,2663,25
162,MCMULLEN,11,11,0
163,MEDINA,498,425,3
164,MENARD,21,19,0
165,MIDLAND,1278,1088,10
166,MILAM,348,287,2
167,MILLS,52,43,0
168,MITCHELL,134,109,0
169,MONTAGUE,286,240,3
170,MONTGOMERY,4084,3436,30
171,MOORE,253,234,1
172,MORRIS,186,139,0
173,MOTLEY,6,5,0
174,NACOGDOCHES,659,470,6
175,NAVARRO,564,519,5
176,NEWTON,145,128,0
177,NOLAN,268,230,1
178,NUECES,4404,4004,37
179,OCHILTREE,106,97,0
180,OLDHAM,24,21,0
181,ORANGE,1291,1185,11
182,PALO PINTO,410,384,3
183,PANOLA,210,181,2
184,PARKER,1289,1179,10
185,PARMER,72,65,0
186,PECOS,164,143,2
187,POLK,608,504,6
188,POTTER,2283,2073,24
189,PRESIDIO,60,53,0
190,RAINS,101,91,0
191,RANDALL,1185,1097,5
192,REAGAN,30,29,0
193,REAL,42,41,0
194,RED RIVER,147,113,1
195,REEVES,99,90,0
196,REFUGIO,87,81,0
197,ROBERTS,7,7,0
198,ROBERTSON,212,185,1
199,ROCKWALL,482,426,1
200,RUNNELS,151,131,0
201,RUSK,448,408,3
202,SABINE,91,84,2
203,SAN AUGUSTINE,79,63,0
204,SAN JACINTO,378,336,1
205,SAN PATRICIO,938,855,11
206,SAN SABA,48,45,0
207,SCHLEICHER,21,18,0
208,SCURRY,211,184,1
209,SHACKELFORD,35,32,0
