,County,CBCAP,FSP,TFTS,TOTAL
1,ANDERSON,0,2,0,2
2,ANDREWS,0,13,0,13
3,ANGELINA,0,0,6,6
4,ARANSAS,0,0,6,6
5,ARCHER,0,0,0,0
6,ARMSTRONG,0,0,0,0
7,ATASCOSA,27,0,0,27
8,AUSTIN,0,0,0,0
9,BAILEY,0,0,0,0
10,BANDERA,11,0,0,11
11,BASTROP,0,14,0,14
12,BAYLOR,0,0,0,0
13,BEE,0,0,0,0
14,BELL,0,7,4,11
15,BEXAR,0,110,505,615
16,BLANCO,0,0,1,1
17,BORDEN,0,0,0,0
18,BOSQUE,0,0,6,6
19,BOWIE,0,0,0,0
20,BRAZORIA,0,0,35,35
21,BRAZOS,0,59,143,202
22,BREWSTER,0,1,0,1
23,BRISCOE,0,0,0,0
24,BROOKS,0,0,0,0
25,BROWN,0,5,187,192
26,BURLESON,0,3,4,7
27,BURNET,0,0,1,1
28,CALDWELL,0,2,0,2
29,CALHOUN,0,0,0,0
30,CALLAHAN,0,1,0,1
31,CAMERON,0,0,0,0
32,CAMP,0,1,0,1
33,CARSON,0,0,0,0
34,CASS,0,0,0,0
35,CASTRO,0,0,0,0
36,CHAMBERS,0,0,0,0
37,CHEROKEE,0,4,0,4
38,CHILDRESS,0,0,0,0
39,CLAY,0,0,0,0
40,COCHRAN,0,0,0,0
41,COKE,0,0,0,0
42,COLEMAN,0,6,5,11
43,COLLIN,0,0,0,0
44,COLLINGSWORTH,0,0,0,0
45,COLORADO,0,0,0,0
46,COMAL,0,0,0,0
47,COMANCHE,0,0,13,13
48,CONCHO,1,0,0,1
49,COOKE,0,0,0,0
50,CORYELL,0,1,1,2
51,COTTLE,0,0,0,0
52,CRANE,0,4,0,4
53,CROCKETT,2,0,0,2
54,CROSBY,0,23,7,30
55,CULBERSON,0,0,0,0
56,DALLAM,0,4,0,4
57,DALLAS,0,18,0,18
58,DAWSON,0,1,0,1
59,DEAF SMITH,0,0,0,0
60,DELTA,0,0,0,0
61,DENTON,0,0,0,0
62,DEWITT,0,0,0,0
63,DICKENS,0,0,0,0
64,DIMMIT,15,0,0,15
65,DONLEY,0,0,0,0
66,DUVAL,0,0,0,0
67,EASTLAND,0,0,6,6
68,ECTOR,0,44,0,44
69,EDWARDS,0,0,0,0
70,ELLIS,0,0,0,0
71,EL PASO,0,0,0,0
72,ERATH,0,0,0,0
73,FALLS,0,0,4,4
74,FANNIN,0,0,0,0
75,FAYETTE,0,0,0,0
76,FISHER,0,0,0,0
77,FLOYD,0,0,0,0
78,FOARD,0,0,0,0
79,FORT BEND,0,0,1,1
80,FRANKLIN,0,0,0,0
81,FREESTONE,0,0,0,0
82,FRIO,17,0,0,17
83,GAINES,0,0,0,0
84,GALVESTON,0,0,0,0
85,GARZA,0,8,0,8
86,GILLESPIE,0,0,0,0
87,GLASSCOCK,0,0,0,0
88,GOLIAD,0,0,0,0
89,GONZALES,0,0,0,0
90,GRAY,0,0,0,0
91,GRAYSON,0,0,0,0
92,GREGG,0,15,0,15
93,GRIMES,0,8,17,25
94,GUADALUPE,0,0,0,0
95,HALE,0,0,31,31
96,HALL,0,0,0,0
97,HAMILTON,0,0,3,3
98,HANSFORD,0,0,0,0
99,HARDEMAN,0,0,0,0
100,HARDIN,0,2,0,2
101,HARRIS,0,0,0,0
102,HARRISON,0,8,0,8
103,HARTLEY,0,3,0,3
104,HASKELL,0,1,0,1
105,HAYS,1,22,0,23
106,HEMPHILL,0,0,0,0
107,HENDERSON,0,6,0,6
108,HIDALGO,0,0,0,0
109,HILL,0,0,3,3
110,HOCKLEY,0,32,16,48
111,HOOD,0,4,0,4
112,HOPKINS,0,3,0,3
113,HOUSTON,0,0,0,0
114,HOWARD,0,7,0,7
115,HUDSPETH,0,0,0,0
116,HUNT,0,0,0,0
117,HUTCHINSON,0,0,0,0
118,IRION,0,0,0,0
119,JACK,0,0,0,0
120,JACKSON,0,0,0,0
121,JASPER,0,0,0,0
122,JEFF DAVIS,0,0,0,0
123,JEFFERSON,0,62,0,62
124,JIM HOGG,0,0,0,0
125,JIM WELLS,0,0,8,8
126,JOHNSON,0,3,0,3
127,JONES,0,0,0,0
128,KARNES,71,0,0,71
129,KAUFMAN,0,0,0,0
130,KENDALL,0,0,0,0
131,KENEDY,0,0,0,0
132,KENT,0,0,0,0
133,KERR,0,0,0,0
134,KIMBLE,0,0,0,0
135,KING,0,0,0,0
136,KINNEY,0,0,0,0
137,KLEBERG,0,0,10,10
138,KNOX,0,0,0,0
139,LAMAR,0,26,0,26
140,LAMB,0,0,0,0
141,LAMPASAS,0,0,2,2
142,LASALLE,0,0,0,0
143,LAVACA,0,0,0,0
144,LEE,0,0,0,0
145,LEON,0,2,2,4
146,LIBERTY,0,0,16,16
147,LIMESTONE,0,0,3,3
148,LIPSCOMB,0,0,0,0
149,LIVE OAK,0,0,0,0
150,LLANO,0,0,0,0
151,LOVING,0,0,0,0
152,LUBBOCK,0,5,217,222
153,LYNN,0,0,4,4
154,MADISON,0,16,3,19
155,MARION,0,4,0,4
156,MARTIN,0,0,0,0
157,MASON,0,0,0,0
158,MATAGORDA,0,0,0,0
159,MAVERICK,28,0,0,28
160,MCCULLOCH,0,3,11,14
161,MCLENNAN,0,23,68,91
162,MCMULLEN,0,0,0,0
163,MEDINA,0,0,0,0
164,MENARD,0,0,0,0
165,MIDLAND,0,8,26,34
166,MILAM,0,0,0,0
167,MILLS,0,0,4,4
168,MITCHELL,0,0,0,0
169,MONTAGUE,0,0,1,1
170,MONTGOMERY,0,8,89,97
171,MOORE,0,0,0,0
172,MORRIS,0,0,0,0
173,MOTLEY,0,0,0,0
174,NACOGDOCHES,0,0,8,8
175,NAVARRO,0,0,0,0
176,NEWTON,0,0,0,0
177,NOLAN,0,0,0,0
178,NUECES,0,0,97,97
179,OCHILTREE,0,0,0,0
180,OLDHAM,0,0,0,0
181,ORANGE,0,6,0,6
182,PALO PINTO,0,1,0,1
183,PANOLA,0,1,0,1
184,PARKER,0,0,0,0
185,PARMER,0,0,0,0
186,PECOS,0,6,0,6
187,POLK,0,0,0,0
188,POTTER,0,11,0,11
189,PRESIDIO,0,0,0,0
190,RAINS,0,1,0,1
191,RANDALL,0,8,0,8
192,REAGAN,0,0,0,0
193,REAL,1,0,0,1
194,RED RIVER,0,19,0,19
195,REEVES,0,18,0,18
196,REFUGIO,0,0,0,0
197,ROBERTS,0,0,0,0
198,ROBERTSON,0,6,27,33
199,ROCKWALL,0,0,0,0
200,RUNNELS,6,0,3,9
201,RUSK,0,2,0,2
202,SABINE,0,0,0,0
203,SAN AUGUSTINE,0,0,0,0
204,SAN JACINTO,0,0,0,0
205,SAN PATRICIO,0,0,34,34
206,SAN SABA,0,0,3,3
207,SCHLEICHER,0,0,0,0
208,SCURRY,0,0,0,0
209,SHACKELFORD,0,0,0,0
210,SHELBY,0,0,0,0
211,SHERMAN,0,0,0,0
212,SMITH,0,11,0,11
213,SOMERVELL,0,1,0,1
214,STARR,0,0,0,0
215,STEPHENS,0,0,0,0
216,STERLING,0,0,0,0
217,STONEWALL,0,0,0,0
218,SUTTON,0,0,0,0
219,SWISHER,0,0,0,0
220,TARRANT,0,42,149,191
221,TAYLOR,0,72,0,72
222,TERRELL,0,0,0,0
223,TERRY,0,0,0,0
224,THROCKMORTON,0,0,0,0
225,TITUS,0,0,0,0
226,TOM GREEN,136,0,244,380
227,TRAVIS,85,42,16,143
228,TRINITY,0,0,1,1
229,TYLER,0,0,0,0
230,UPSHUR,0,6,0,6
231,UPTON,0,0,0,0
232,UVALDE,26,0,0,26
233,VAL VERDE,0,0,0,0
234,VAN ZANDT,0,25,0,25
235,VICTORIA,0,0,0,0
236,WALKER,0,0,3,3
237,WALLER,0,0,0,0
238,WARD,0,14,0,14
239,WASHINGTON,0,0,13,13
240,WEBB,0,0,0,0
241,WHARTON,0,0,0,0
242,WHEELER,0,0,0,0
243,WICHITA,0,34,0,34
244,WILBARGER,0,7,0,7
245,WILLACY,0,0,0,0
246,WILLIAMSON,3,0,43,46
247,WILSON,0,0,0,0
248,WINKLER,0,0,0,0
249,WISE,0,0,0,0
250,WOOD,0,3,0,3
251,YOAKUM,0,0,0,0
252,YOUNG,0,0,0,0
253,ZAPATA,0,0,0,0
254,ZAVALA,31,0,0,31
255,UNKNOWN,0,0,0,0
256,OUT OF STATE,0,0,0,0
257,STATE TOTAL,461,938,2110,3509
