,County,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***
1,ANDERSON,104,0,35,15,25,8,28
2,ANDREWS,33,0,19,1,4,1,10
3,ANGELINA,85,0,41,9,12,7,30
4,ARANSAS,78,0,49,5,12,2,13
5,ARCHER,0,0,0,0,0,0,0
6,ARMSTRONG,2,0,2,0,0,0,0
7,ATASCOSA,148,0,80,4,19,30,20
8,AUSTIN,17,0,7,0,5,0,9
9,BAILEY,15,0,5,2,4,2,5
10,BANDERA,57,0,24,1,14,7,18
11,BASTROP,162,0,72,5,27,17,61
12,BAYLOR,1,0,1,0,0,0,0
13,BEE,85,0,39,23,4,0,32
14,BELL,826,4,393,29,130,108,353
15,BEXAR,4111,0,2107,96,799,736,924
16,BLANCO,8,0,3,0,2,4,1
17,BORDEN,0,0,0,0,0,0,0
18,BOSQUE,27,0,15,0,10,2,2
19,BOWIE,156,0,72,7,7,12,86
20,BRAZORIA,288,0,123,13,18,18,165
21,BRAZOS,190,0,97,9,42,34,48
22,BREWSTER,2,0,0,0,0,1,1
23,BRISCOE,0,0,0,0,0,0,0
24,BROOKS,34,0,19,2,3,4,13
25,BROWN,107,0,28,2,40,31,29
26,BURLESON,35,0,14,1,13,5,5
27,BURNET,99,0,46,2,19,25,29
28,CALDWELL,79,0,36,9,11,12,24
29,CALHOUN,11,0,7,0,0,0,4
30,CALLAHAN,27,0,2,8,2,4,11
31,CAMERON,543,0,213,56,18,20,334
32,CAMP,59,0,27,1,1,2,34
33,CARSON,5,0,3,0,0,0,2
34,CASS,67,0,35,6,7,12,33
35,CASTRO,3,0,0,0,0,1,2
36,CHAMBERS,52,0,21,3,11,2,19
37,CHEROKEE,148,0,91,2,13,13,46
38,CHILDRESS,12,0,4,3,9,0,2
39,CLAY,8,0,3,0,5,5,0
40,COCHRAN,2,0,1,0,1,0,0
41,COKE,0,0,0,0,0,0,0
42,COLEMAN,60,0,18,3,1,6,37
43,COLLIN,373,0,196,11,28,49,152
44,COLLINGSWORTH,2,0,0,0,1,1,0
45,COLORADO,35,0,21,0,6,2,12
46,COMAL,227,0,95,6,52,55,65
47,COMANCHE,6,0,2,0,2,2,3
48,CONCHO,7,0,4,0,0,1,3
49,COOKE,76,0,39,4,9,9,20
50,CORYELL,180,0,85,14,24,14,75
51,COTTLE,0,0,0,0,0,0,0
52,CRANE,4,0,2,0,0,0,2
53,CROCKETT,6,0,0,3,1,1,1
54,CROSBY,22,0,3,6,9,3,11
55,CULBERSON,0,0,0,0,0,0,0
56,DALLAM,9,0,6,0,4,0,3
57,DALLAS,3068,62,1637,245,330,221,1204
58,DAWSON,24,0,13,1,7,0,3
59,DEAF SMITH,46,0,30,0,4,4,10
60,DELTA,7,0,7,0,0,0,5
61,DENTON,493,0,241,5,110,60,120
62,DEWITT,35,0,22,0,9,6,1
63,DICKENS,16,0,5,2,0,0,9
64,DIMMIT,52,0,28,4,6,10,7
65,DONLEY,10,0,5,0,2,1,3
66,DUVAL,27,0,18,0,0,0,11
67,EASTLAND,32,0,9,15,1,1,7
68,ECTOR,327,0,166,12,47,20,102
69,EDWARDS,7,0,1,0,6,0,0
70,ELLIS,91,0,38,2,12,11,48
71,EL PASO,662,0,290,39,100,77,254
72,ERATH,40,0,24,3,1,0,13
73,FALLS,14,0,11,0,1,1,4
74,FANNIN,33,0,17,0,5,7,10
75,FAYETTE,45,0,29,0,4,3,13
76,FISHER,2,0,1,0,0,0,1
77,FLOYD,20,0,14,0,2,4,2
78,FOARD,0,0,0,0,0,0,0
79,FORT BEND,232,0,90,12,26,14,124
80,FRANKLIN,14,0,3,0,2,2,7
81,FREESTONE,18,0,6,5,4,1,6
82,FRIO,45,0,27,0,8,7,10
83,GAINES,31,0,17,1,9,2,10
84,GALVESTON,279,0,127,8,51,12,111
85,GARZA,18,0,9,3,1,3,2
86,GILLESPIE,53,0,25,0,8,4,19
87,GLASSCOCK,0,0,0,0,0,0,0
88,GOLIAD,5,0,2,3,1,0,0
89,GONZALES,16,0,12,0,0,3,1
90,GRAY,136,0,74,12,18,11,29
91,GRAYSON,133,0,45,1,39,37,37
92,GREGG,222,0,108,2,32,48,43
93,GRIMES,23,0,9,0,8,1,7
94,GUADALUPE,155,0,88,3,39,19,34
95,HALE,100,0,47,4,10,16,30
96,HALL,7,0,5,0,0,1,3
97,HAMILTON,19,0,7,4,3,1,4
98,HANSFORD,5,0,3,2,0,0,2
99,HARDEMAN,3,0,0,0,0,0,3
100,HARDIN,49,0,10,5,7,14,16
101,HARRIS,5822,3,2501,255,1154,839,1631
102,HARRISON,103,0,52,0,4,7,47
103,HARTLEY,0,0,0,0,0,0,0
104,HASKELL,6,0,6,0,0,0,0
105,HAYS,151,0,80,11,7,17,62
106,HEMPHILL,1,0,1,0,1,0,0
107,HENDERSON,220,0,108,5,38,24,72
108,HIDALGO,822,0,613,76,6,4,243
109,HILL,48,0,19,0,8,7,22
110,HOCKLEY,47,0,22,4,9,5,9
111,HOOD,77,0,40,4,5,8,24
112,HOPKINS,67,0,29,4,5,0,43
113,HOUSTON,34,0,20,5,3,2,6
114,HOWARD,96,0,36,3,17,4,52
115,HUDSPETH,0,0,0,0,0,0,0
116,HUNT,234,0,99,3,60,60,75
117,HUTCHINSON,46,0,27,3,4,3,10
118,IRION,3,0,3,0,0,0,0
119,JACK,11,0,8,0,0,1,2
120,JACKSON,3,0,2,0,0,0,2
121,JASPER,41,0,8,7,8,6,15
122,JEFF DAVIS,0,0,0,0,0,0,0
123,JEFFERSON,247,0,131,13,34,47,57
124,JIM HOGG,14,0,9,0,1,0,4
125,JIM WELLS,109,0,61,6,6,1,47
126,JOHNSON,354,0,150,5,52,39,135
127,JONES,8,0,2,0,0,0,6
128,KARNES,25,0,17,1,7,0,2
129,KAUFMAN,121,0,67,2,18,36,20
130,KENDALL,43,0,27,5,4,4,4
131,KENEDY,1,0,1,0,0,0,1
132,KENT,0,0,0,0,0,0,0
133,KERR,199,0,77,1,52,28,52
134,KIMBLE,19,0,1,0,10,8,8
135,KING,0,0,0,0,0,0,0
136,KINNEY,3,0,2,0,0,1,0
137,KLEBERG,80,0,28,13,9,8,24
138,KNOX,6,0,0,2,2,1,1
139,LAMAR,118,0,60,5,8,5,55
140,LAMB,25,0,16,0,0,5,4
141,LAMPASAS,30,0,21,0,2,4,5
142,LASALLE,18,0,7,0,2,6,4
143,LAVACA,5,0,5,0,0,0,0
144,LEE,72,0,41,6,8,0,23
145,LEON,17,0,12,0,0,1,4
146,LIBERTY,184,0,110,3,14,13,68
147,LIMESTONE,42,0,19,4,8,7,7
148,LIPSCOMB,2,0,2,1,0,0,0
149,LIVE OAK,21,0,11,3,7,0,9
150,LLANO,57,0,24,0,9,12,20
151,LOVING,0,0,0,0,0,0,0
152,LUBBOCK,652,0,326,27,117,120,148
153,LYNN,5,0,4,0,2,0,1
154,MADISON,27,0,10,0,5,7,6
155,MARION,13,0,5,0,3,0,6
156,MARTIN,2,0,0,0,1,0,1
157,MASON,3,0,2,0,0,1,0
158,MATAGORDA,30,0,17,1,2,1,10
159,MAVERICK,33,0,11,0,5,7,12
160,MCCULLOCH,17,0,6,0,0,0,12
161,MCLENNAN,397,0,216,15,73,69,68
162,MCMULLEN,0,0,0,0,0,0,0
163,MEDINA,165,0,70,5,59,24,25
164,MENARD,9,0,8,0,1,0,5
165,MIDLAND,192,0,74,22,31,24,56
166,MILAM,68,0,29,3,16,7,20
167,MILLS,3,0,0,0,1,0,2
168,MITCHELL,8,0,4,0,2,0,2
169,MONTAGUE,78,0,47,5,8,4,21
170,MONTGOMERY,801,0,350,39,132,132,249
171,MOORE,26,0,18,2,0,0,6
172,MORRIS,33,0,25,1,2,4,20
173,MOTLEY,3,0,1,0,0,0,2
174,NACOGDOCHES,138,0,74,10,18,19,30
175,NAVARRO,67,0,30,1,14,17,12
176,NEWTON,11,0,10,1,0,0,3
177,NOLAN,27,0,20,0,1,3,6
178,NUECES,639,0,259,91,87,56,267
179,OCHILTREE,7,0,5,0,0,0,2
180,OLDHAM,1,0,0,0,1,0,0
181,ORANGE,158,1,107,7,19,21,30
182,PALO PINTO,76,0,41,4,14,11,15
183,PANOLA,28,0,14,0,0,0,14
184,PARKER,54,0,22,1,12,11,8
185,PARMER,8,0,1,0,2,2,4
186,PECOS,27,0,8,0,2,0,22
187,POLK,110,0,48,10,3,16,41
188,POTTER,218,0,129,16,40,19,53
189,PRESIDIO,3,0,3,0,0,0,0
190,RAINS,18,0,10,1,2,0,9
191,RANDALL,277,0,169,17,36,29,80
192,REAGAN,5,0,1,0,3,1,0
193,REAL,8,0,3,1,3,0,2
194,RED RIVER,29,0,16,1,0,1,17
195,REEVES,23,0,10,0,1,0,14
196,REFUGIO,12,0,10,2,0,0,5
197,ROBERTS,0,0,0,0,0,0,0
198,ROBERTSON,21,0,12,1,5,4,2
199,ROCKWALL,47,0,29,2,1,3,18
200,RUNNELS,23,0,10,5,3,3,8
201,RUSK,90,0,52,2,6,3,40
202,SABINE,13,0,3,1,2,2,8
203,SAN AUGUSTINE,3,0,1,0,2,2,0
204,SAN JACINTO,40,0,20,8,3,1,14
205,SAN PATRICIO,85,0,28,3,15,0,48
206,SAN SABA,5,0,1,0,0,2,2
207,SCHLEICHER,2,0,2,0,0,0,0
208,SCURRY,18,0,1,8,4,1,4
209,SHACKELFORD,0,0,0,0,0,0,0
210,SHELBY,53,0,21,3,6,5,23
211,SHERMAN,0,0,0,0,0,0,0
212,SMITH,301,0,143,9,68,55,82
213,SOMERVELL,13,0,7,0,3,0,3
214,STARR,86,0,55,5,0,2,33
215,STEPHENS,12,0,0,5,0,1,6
216,STERLING,0,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0,0
218,SUTTON,4,0,3,0,0,0,1
219,SWISHER,18,0,7,0,10,0,1
220,TARRANT,1770,12,784,126,221,245,614
221,TAYLOR,248,0,116,27,21,30,87
222,TERRELL,0,0,0,0,0,0,0
223,TERRY,46,0,30,1,8,0,7
224,THROCKMORTON,0,0,0,0,0,0,0
225,TITUS,102,0,26,2,3,16,64
226,TOM GREEN,343,0,173,29,51,39,68
227,TRAVIS,1116,1,614,30,143,183,310
228,TRINITY,27,0,12,1,3,4,9
229,TYLER,12,0,6,0,0,1,5
230,UPSHUR,57,0,27,3,9,9,29
231,UPTON,4,0,3,0,0,0,1
232,UVALDE,84,0,49,0,4,14,17
233,VAL VERDE,39,0,12,2,8,13,6
234,VAN ZANDT,158,0,66,6,25,14,62
235,VICTORIA,165,0,79,7,30,32,32
236,WALKER,66,0,41,3,2,5,29
237,WALLER,72,0,38,9,8,9,21
238,WARD,18,0,4,6,3,0,13
239,WASHINGTON,34,0,16,0,9,5,10
240,WEBB,465,0,224,24,61,64,173
241,WHARTON,86,1,36,3,12,4,34
242,WHEELER,10,0,3,0,1,4,3
243,WICHITA,212,0,95,32,24,21,65
244,WILBARGER,12,0,5,0,6,1,1
245,WILLACY,68,0,16,18,10,1,36
246,WILLIAMSON,457,0,196,23,87,95,136
247,WILSON,51,0,38,0,4,5,9
248,WINKLER,10,0,2,0,0,0,8
249,WISE,77,0,43,2,17,0,24
250,WOOD,115,0,39,9,16,19,43
251,YOAKUM,12,0,2,0,2,5,3
252,YOUNG,37,0,27,7,0,0,4
253,ZAPATA,56,0,22,8,7,1,26
254,ZAVALA,25,0,12,1,8,3,4
255,OUT OF STATE,85,0,0,0,0,0,2
256,STATE TOTAL,36441,84,17564,1918,5568,4635,11531
