,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other**,Other***,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP*,TOTAL,CBCAP,FSP*,TFTS
0,ANDERSON,6050,7777,382,354,291,466,4,4,0,665,583,6,809,597,554,93,716,40,11498,187,16.3,509,123,24.2%,164,23,1,1,158,13.7,40,147,93,122,0,41,6,16,24,47,91,1306881,0,0,0,25,"$31,910.98",147,8,"$1,192.91",204,11498,1743,6603,2656,38,458,,,,,,,,9054,11,1182,2,24,18,4,11498,0,10,0,0,0,0,10,40,102,0,3,0,105,,,
1,ANDREWS,1200,1751,34,32,18,10,0,0,0,149,129,2,152,98,82,34,118,14,4431,47,10.6,102,28,27.5%,43,19,,,48,10.8,18,45,26,45,0,18,2,10,3,14,27,472530,0,1,0,3,$800.74,45,5,$175.00,46,4431,65,1498,2770,22,76,,,,,,,,3445,4,362,0,0,3,1,4431,0,5,0,0,0,0,5,19,7,0,0,0,7,,,
2,ANGELINA,8970,12572,693,559,358,369,219,194,35,984,789,7,1169,841,701,120,1049,24,23448,297,12.7,690,173,25.1%,125,23,,,113,4.8,42,111,84,83,0,42,7,11,14,23,84,816067,0,8,1,45,"$40,928.46",111,28,"$2,370.04",183,23448,3606,11902,7181,56,703,,,,,,,,18302,35,3166,3,36,8,4,23448,3,23,0,0,0,0,26,72,160,0,21,0,181,,,
3,ARANSAS,2010,6148,197,177,128,108,1,0,0,303,275,0,356,209,172,132,224,38,4505,127,28.2,213,76,35.7%,143,46,,,115,25.5,39,110,76,83,0,39,3,10,10,36,76,1130408,0,2,0,7,"$10,709.70",110,9,"$1,214.55",208,4505,55,2276,1985,17,172,,,,,,,,3383,5,343,0,0,3,0,4505,0,5,0,0,0,0,5,25,97,0,0,0,97,,,
4,ARCHER,870,1533,116,93,71,67,3,4,1,35,27,0,43,29,22,6,37,0,2159,13,6.0,26,8,30.8%,1,1,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,18,2159,13,1832,268,10,36,,,,,,,,1569,4,224,1,12,3,1,2159,0,4,0,0,0,0,4,5,2,0,0,0,2,,,
5,ARMSTRONG,130,423,7,5,2,2,0,0,0,17,17,0,20,16,14,3,17,0,396,4,10.1,12,2,16.7%,0,0,,,5,12.6,3,5,5,3,0,3,0,0,0,0,5,24855,0,0,0,0,$0.00,5,0,$0.00,0,396,5,330,51,3,7,,,,,,,,294,0,0,0,0,2,2,396,0,0,0,0,0,0,0,0,2,0,0,0,2,,,
6,ATASCOSA,3500,6420,199,156,93,109,1,2,0,540,463,4,827,559,513,243,584,88,13238,251,19.0,448,120,26.8%,189,36,,,210,15.9,90,213,154,171,0,90,4,37,28,33,155,2109743,0,2,2,7,"$15,473.13",213,9,"$1,032.78",311,13238,82,3437,9592,21,106,,,,,,,,10033,13,818,2,24,6,3,13238,0,16,0,0,0,0,16,45,128,0,0,0,128,,,
7,AUSTIN,1650,4905,117,82,51,82,0,0,0,175,152,3,173,134,116,28,145,10,7331,34,4.6,99,21,21.2%,38,3,,,20,2.7,10,21,20,15,0,10,1,0,3,2,20,148743,0,0,3,5,"$4,350.00",21,1,$30.56,55,7331,731,3687,2726,22,165,,,,,,,,5570,11,922,0,0,10,2,7331,0,6,0,0,1,0,7,51,69,0,30,0,99,,,
8,BAILEY,490,1048,43,40,37,41,0,0,0,55,51,0,82,70,70,6,76,4,2302,12,5.2,45,7,15.6%,6,1,,,33,14.3,10,33,33,22,0,10,4,10,2,1,34,312213,0,0,0,3,"$4,027.20",33,0,$0.00,5,2302,10,518,1752,5,17,,,,,,,,1836,3,158,0,0,1,0,2302,0,5,0,0,0,0,5,24,21,0,0,0,21,,,
9,BANDERA,1770,4652,110,81,45,52,0,0,0,185,147,0,203,148,140,42,161,21,4003,47,11.7,126,33,26.2%,30,11,,,63,15.7,23,63,45,55,0,20,0,20,12,12,46,796754,0,1,1,5,"$7,561.69",63,2,$113.10,56,4003,35,2777,1109,18,64,,,,,,,,2895,5,370,0,0,1,0,4003,0,10,1,0,0,0,11,162,67,0,11,0,78,,,
10,BASTROP,5250,9768,377,296,171,182,6,4,0,884,729,10,1009,719,607,155,854,81,20398,254,12.5,598,153,25.6%,132,31,1,0,222,10.9,113,216,139,192,0,112,10,21,25,65,140,1368528,2,4,4,8,"$7,952.56",216,3,$540.04,239,20398,1359,8286,9976,50,727,,,,,,,,15551,36,2958,6,72,24,11,20398,0,46,1,0,0,0,47,185,184,0,22,0,206,,,
11,BAYLOR,320,957,81,81,70,88,0,0,0,56,51,0,52,41,35,5,47,0,760,11,14.5,31,5,16.1%,23,8,,,4,5.3,3,4,4,4,0,3,1,0,0,0,4,44532,0,0,0,0,$0.00,4,0,$0.00,11,760,14,553,176,3,14,,,,,,,,603,3,160,0,0,2,1,760,0,0,0,0,0,0,0,0,14,0,0,0,14,,,
12,BEE,3090,3590,159,142,124,127,1,1,0,388,326,7,422,266,207,166,256,42,6904,138,20.0,241,82,34.0%,221,55,,,131,19.0,65,125,89,103,0,69,7,10,3,34,90,970598,0,0,2,18,"$8,339.97",125,8,$721.64,276,6904,106,1528,5147,10,113,,,,,,,,5371,7,770,1,12,5,1,6904,0,11,1,0,0,0,12,181,91,0,0,0,91,,,
13,BELL,20390,29410,1565,1299,916,703,93,85,11,4388,3900,28,4757,3701,3494,706,4051,360,93172,924,9.9,2881,579,20.1%,862,121,5,1,925,9.9,421,885,595,794,4,447,17,92,100,283,587,6280663,7,48,12,82,"$92,533.49",885,34,"$6,702.82",1011,93172,20567,36616,27099,377,8513,,,,,,,,75604,163,14786,25,297,85,126,93172,8,219,2,0,1,1,231,793,319,0,136,0,455,,,
14,BEXAR,135590,188632,9876,7709,4528,5626,1179,1064,99,20948,17220,170,24476,17570,15813,6584,17892,1356,477922,6205,13.0,14472,3550,24.5%,5982,1126,19,1,5761,12.1,2164,5722,3747,4679,1,2198,95,936,884,1231,3655,44966220,4,94,80,1259,"$1,609,481.78",5722,527,"$105,760.64",10914,477922,31504,95605,329412,820,20581,,,,,,,,373075,580,60908,35,420,236,447,477922,39,1006,14,0,7,0,1066,4150,1405,796,293,0,2494,,,
15,BLANCO,750,2156,31,20,14,17,0,0,0,71,61,0,76,70,63,1,75,1,2281,6,2.6,49,5,10.2%,4,0,,,7,3.1,1,6,4,5,0,1,0,2,1,3,4,69629,0,0,1,1,"$3,000.00",6,0,$0.00,9,2281,8,1533,695,7,38,,,,,,,,1687,4,209,0,0,2,0,2281,0,2,0,0,0,0,2,1,31,0,0,0,31,,,
16,BORDEN,50,143,2,2,2,1,0,0,0,7,2,0,0,0,0,0,0,3,128,0,0.0,0,0,0.0%,0,0,,,3,23.4,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,$0.00,3,0,$0.00,0,128,0,95,33,0,0,,,,,,,,82,1,13,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BOSQUE,1120,4094,130,93,58,32,0,0,0,173,148,0,241,171,160,34,207,11,4102,61,14.9,155,42,27.1%,26,8,,,40,9.8,16,36,31,33,0,24,0,1,3,7,31,288968,0,1,0,6,"$16,500.00",36,3,$734.24,51,4102,77,2700,1227,10,88,,,,,,,,3116,5,238,2,24,3,2,4102,0,7,0,0,0,0,7,15,31,0,0,0,31,,,
18,BOWIE,8960,13695,481,403,252,286,11,11,1,1074,895,9,1394,1092,828,193,1201,103,22147,258,11.6,808,159,19.7%,272,44,1,0,209,9.4,119,201,120,193,0,135,0,22,12,83,115,1408608,0,9,4,32,"$14,889.54",201,20,"$1,640.55",287,22147,6179,12789,1954,122,1103,,,,,,,,17084,40,3882,4,48,40,11,22147,0,19,0,0,0,0,19,52,123,0,0,0,123,,,
19,BRAZORIA,17780,33281,680,581,401,353,62,61,10,2310,1991,22,2472,1969,1717,315,2157,59,91471,448,4.9,1579,292,18.5%,547,97,2,0,302,3.3,92,296,206,234,0,89,23,20,12,118,200,2656973,2,21,15,71,"$45,905.11",296,50,"$9,827.75",664,91471,10823,38415,33488,275,8470,,,,,,,,71661,147,17283,11,132,63,65,91471,1,137,3,0,3,0,144,708,334,0,81,0,415,,,
20,BRAZOS,11760,15426,386,338,237,230,38,36,1,1201,1052,13,1645,1232,1084,189,1456,74,43546,346,7.9,958,215,22.4%,242,43,1,0,217,5.0,73,206,167,160,0,73,16,22,10,68,165,2125366,2,8,4,21,"$27,468.85",206,11,"$1,808.05",303,43546,6326,18299,16011,90,2820,,,,,,,,35576,71,6872,13,153,66,29,43546,3,54,1,0,1,0,59,197,222,0,52,0,274,,,
21,BREWSTER,670,1700,90,68,57,100,1,1,0,67,59,0,71,64,53,8,63,0,1929,6,3.1,45,6,13.3%,19,0,,,5,2.6,0,5,5,3,0,0,1,0,0,3,5,130988,0,0,1,0,$0.00,5,0,$0.00,36,1929,11,745,1101,4,68,,,,,,,,1505,4,295,1,12,9,0,1929,0,1,0,0,0,0,1,0,3,0,0,0,3,,,
22,BRISCOE,110,407,11,9,8,8,0,0,0,6,4,0,13,8,6,7,6,1,344,5,14.5,9,2,22.2%,0,0,,,2,5.8,2,2,2,2,0,2,0,0,0,0,2,20780,0,1,0,0,$0.00,2,0,$0.00,7,344,8,186,142,0,8,,,,,,,,276,0,0,0,0,1,0,344,0,2,0,0,0,0,2,3,1,0,0,0,1,,,
23,BROOKS,630,1314,64,50,34,31,2,2,0,136,127,0,142,99,87,57,85,12,1983,41,20.7,70,20,28.6%,107,17,,,32,16.1,12,32,22,22,0,7,0,2,2,16,18,406486,0,1,0,7,"$9,659.49",32,4,"$1,012.72",82,1983,4,114,1854,2,9,,,,,,,,1571,6,290,0,0,0,1,1983,0,1,0,0,0,0,1,6,3,0,0,0,3,,,
24,BROWN,3380,7062,418,332,268,273,37,36,9,504,389,2,532,390,332,112,420,53,9115,131,14.4,324,80,24.7%,149,39,,,150,16.5,62,146,111,119,0,63,3,14,29,16,111,1333102,0,6,1,99,"$66,286.83",146,4,$532.21,146,9115,313,5597,2876,36,293,,,,,,,,7005,15,1197,0,0,9,10,9115,8,71,1,0,0,0,80,349,30,0,23,0,53,,,
25,BURLESON,1190,3225,81,62,44,60,0,0,0,161,141,1,189,145,136,19,170,18,4118,41,10.0,114,23,20.2%,47,14,,,43,10.4,18,44,27,31,0,18,0,4,2,7,29,405349,0,2,1,2,$428.70,44,0,$0.00,16,4118,538,2253,1230,11,86,,,,,,,,3113,6,335,1,12,4,2,4118,0,3,0,0,0,0,3,6,179,0,0,0,179,,,
26,BURNET,2760,8723,177,140,80,69,0,0,0,511,444,6,545,387,372,86,459,37,10064,135,13.4,322,85,26.4%,121,20,,,110,10.9,47,109,70,90,0,49,0,10,18,22,67,923011,0,3,1,12,"$5,102.21",109,6,"$1,063.51",115,10064,174,6100,3517,30,243,,,,,,,,7688,20,1583,2,24,6,1,10064,1,12,0,0,0,0,13,41,28,0,67,0,95,,,
27,CALDWELL,2510,4992,173,165,99,90,5,4,2,482,393,2,493,353,315,65,428,50,10088,125,12.4,301,74,24.6%,117,16,,,135,13.4,61,134,69,122,0,61,6,24,28,28,69,831181,0,0,0,17,"$17,934.66",134,3,$81.00,95,10088,511,2995,6325,22,235,,,,,,,,7664,15,865,0,0,12,1,10088,0,22,0,0,2,0,24,277,114,0,4,0,118,,,
