,County,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services
1,ANDERSON,25,"$31,910.98",147,8,"$1,192.91",204
2,ANDREWS,3,$800.74,45,5,$175.00,46
3,ANGELINA,45,"$40,928.46",111,28,"$2,370.04",183
4,ARANSAS,7,"$10,709.70",110,9,"$1,214.55",208
5,ARCHER,0,$0.00,0,0,$0.00,18
6,ARMSTRONG,0,$0.00,5,0,$0.00,0
7,ATASCOSA,7,"$15,473.13",213,9,"$1,032.78",311
8,AUSTIN,5,"$4,350.00",21,1,$30.56,55
9,BAILEY,3,"$4,027.20",33,0,$0.00,5
10,BANDERA,5,"$7,561.69",63,2,$113.10,56
11,BASTROP,8,"$7,952.56",216,3,$540.04,239
12,BAYLOR,0,$0.00,4,0,$0.00,11
13,BEE,18,"$8,339.97",125,8,$721.64,276
14,BELL,82,"$92,533.49",885,34,"$6,702.82",1011
15,BEXAR,1259,"$1,609,481.78",5722,527,"$105,760.64",10914
16,BLANCO,1,"$3,000.00",6,0,$0.00,9
17,BORDEN,0,$0.00,3,0,$0.00,0
18,BOSQUE,6,"$16,500.00",36,3,$734.24,51
19,BOWIE,32,"$14,889.54",201,20,"$1,640.55",287
20,BRAZORIA,71,"$45,905.11",296,50,"$9,827.75",664
21,BRAZOS,21,"$27,468.85",206,11,"$1,808.05",303
22,BREWSTER,0,$0.00,5,0,$0.00,36
23,BRISCOE,0,$0.00,2,0,$0.00,7
24,BROOKS,7,"$9,659.49",32,4,"$1,012.72",82
25,BROWN,99,"$66,286.83",146,4,$532.21,146
26,BURLESON,2,$428.70,44,0,$0.00,16
27,BURNET,12,"$5,102.21",109,6,"$1,063.51",115
28,CALDWELL,17,"$17,934.66",134,3,$81.00,95
29,CALHOUN,0,$0.00,21,0,$0.00,69
30,CALLAHAN,1,"$3,000.00",19,1,$27.00,56
31,CAMERON,135,"$98,778.30",458,93,"$7,609.44",3305
32,CAMP,5,"$2,225.62",46,4,$380.00,62
33,CARSON,1,$84.00,12,3,$252.00,4
34,CASS,8,"$6,990.85",60,7,$503.10,87
35,CASTRO,7,$444.00,30,1,$84.00,49
36,CHAMBERS,3,$656.55,76,9,"$1,310.84",52
37,CHEROKEE,11,"$10,561.92",200,7,$627.27,188
38,CHILDRESS,8,"$7,355.32",24,4,$618.30,35
39,CLAY,3,"$1,253.70",9,0,$0.00,10
40,COCHRAN,0,$0.00,8,0,$0.00,5
41,COKE,2,$450.00,8,0,$0.00,7
42,COLEMAN,4,"$3,114.10",37,1,$35.00,46
43,COLLIN,189,"$71,902.86",409,12,"$4,031.54",913
44,COLLINGSWORTH,0,$0.00,11,4,$590.85,14
45,COLORADO,2,"$3,417.39",25,0,$0.00,60
46,COMAL,1,$95.00,211,6,"$1,010.32",511
