,County,Total,African American,Anglo,Hispanic,Native American,Other**
1,ANDERSON,40,1,27,6,0,6
2,ANDREWS,18,2,6,8,0,2
3,ANGELINA,42,10,22,8,0,2
4,ARANSAS,39,0,18,20,0,1
5,ARCHER,0,0,0,0,0,0
6,ARMSTRONG,3,0,0,3,0,0
7,ATASCOSA,90,7,18,65,0,0
8,AUSTIN,10,0,7,3,0,0
9,BAILEY,10,0,2,8,0,0
10,BANDERA,23,0,17,6,0,0
11,BASTROP,113,24,44,37,0,8
12,BAYLOR,3,1,0,2,0,0
13,BEE,65,0,14,48,0,3
14,BELL,421,123,142,96,0,60
15,BEXAR,2163,230,265,1579,0,89
16,BLANCO,1,0,0,1,0,0
17,BORDEN,3,0,3,0,0,0
18,BOSQUE,16,0,8,6,1,1
19,BOWIE,119,27,68,10,0,14
20,BRAZORIA,92,9,54,20,0,9
21,BRAZOS,73,34,20,14,0,5
22,BREWSTER,0,0,0,0,0,0
23,BRISCOE,2,0,1,0,0,1
24,BROOKS,12,0,1,11,0,0
25,BROWN,62,3,42,13,0,4
26,BURLESON,18,6,8,4,0,0
27,BURNET,47,1,29,16,0,1
28,CALDWELL,61,0,12,46,0,3
29,CALHOUN,8,0,3,5,0,0
30,CALLAHAN,4,0,4,0,0,0
31,CAMERON,191,2,10,175,0,4
32,CAMP,16,3,9,4,0,0
33,CARSON,5,0,4,0,0,1
34,CASS,35,9,21,4,0,1
35,CASTRO,30,2,1,26,0,1
36,CHAMBERS,37,9,18,9,0,1
37,CHEROKEE,95,20,51,18,0,6
38,CHILDRESS,9,0,6,3,0,0
39,CLAY,2,0,1,1,0,0
40,COCHRAN,2,0,0,2,0,0
41,COKE,5,0,2,3,0,0
42,COLEMAN,9,0,7,2,0,0
43,COLLIN,159,19,73,45,0,22
44,COLLINGSWORTH,2,0,2,0,0,0
45,COLORADO,2,1,0,0,0,1
46,COMAL,71,1,35,33,0,2
47,COMANCHE,15,0,12,3,0,0
48,CONCHO,3,2,1,0,0,0
49,COOKE,27,2,17,4,1,3
50,CORYELL,99,8,66,8,0,17
51,COTTLE,0,0,0,0,0,0
52,CRANE,0,0,0,0,0,0
53,CROCKETT,2,0,2,0,0,0
54,CROSBY,6,0,3,3,0,0
55,CULBERSON,0,0,0,0,0,0
56,DALLAM,3,0,1,1,0,1
57,DALLAS,1595,587,310,576,0,122
58,DAWSON,14,0,7,7,0,0
59,DEAF SMITH,14,0,1,13,0,0
60,DELTA,8,0,8,0,0,0
61,DENTON,271,35,136,76,1,23
62,DEWITT,8,2,4,2,0,0
63,DICKENS,0,0,0,0,0,0
64,DIMMIT,5,0,0,4,0,1
65,DONLEY,4,0,1,0,0,3
66,DUVAL,7,0,0,7,0,0
67,EASTLAND,18,0,15,3,0,0
68,ECTOR,158,8,56,81,0,13
69,EDWARDS,0,0,0,0,0,0
70,ELLIS,30,1,19,9,0,1
71,EL PASO,297,23,34,233,0,7
72,ERATH,23,1,10,11,0,1
73,FALLS,9,3,6,0,0,0
74,FANNIN,5,0,2,3,0,0
75,FAYETTE,31,1,20,5,0,5
76,FISHER,2,0,0,2,0,0
77,FLOYD,15,1,2,12,0,0
78,FOARD,0,0,0,0,0,0
79,FORT BEND,73,19,13,32,0,9
80,FRANKLIN,6,0,5,1,0,0
81,FREESTONE,9,2,2,5,0,0
82,FRIO,38,0,1,34,0,3
83,GAINES,8,0,0,8,0,0
84,GALVESTON,98,26,42,22,0,8
85,GARZA,6,0,1,4,0,1
86,GILLESPIE,20,0,6,14,0,0
87,GLASSCOCK,0,0,0,0,0,0
88,GOLIAD,0,0,0,0,0,0
89,GONZALES,8,0,2,6,0,0
90,GRAY,26,2,17,7,0,0
91,GRAYSON,61,1,38,10,2,10
92,GREGG,85,26,35,12,0,12
93,GRIMES,13,1,7,5,0,0
94,GUADALUPE,119,5,35,75,1,3
95,HALE,46,1,6,39,0,0
96,HALL,4,1,0,3,0,0
97,HAMILTON,3,0,2,0,0,1
98,HANSFORD,0,0,0,0,0,0
99,HARDEMAN,4,0,0,4,0,0
100,HARDIN,16,5,9,2,0,0
101,HARRIS,1780,798,329,524,3,126
102,HARRISON,45,8,29,2,0,6
103,HARTLEY,0,0,0,0,0,0
104,HASKELL,2,0,2,0,0,0
105,HAYS,72,4,33,34,0,1
106,HEMPHILL,4,0,2,1,0,1
107,HENDERSON,73,7,52,9,0,5
108,HIDALGO,599,6,12,574,0,7
109,HILL,46,1,38,5,0,2
110,HOCKLEY,34,2,4,22,0,6
111,HOOD,52,0,46,5,0,1
112,HOPKINS,24,0,18,1,0,5
113,HOUSTON,21,3,14,3,0,1
114,HOWARD,58,0,29,23,0,6
115,HUDSPETH,1,0,1,0,0,0
