,County,Total,African American,Anglo,Hispanic,Native American,Other**
1,ANDERSON,187,15,116,37,0,19
2,ANDREWS,47,4,17,22,0,4
3,ANGELINA,297,37,181,54,0,25
4,ARANSAS,127,1,50,64,0,12
5,ARCHER,13,0,12,1,0,0
6,ARMSTRONG,4,0,4,0,0,0
7,ATASCOSA,251,7,54,184,0,6
8,AUSTIN,34,3,15,14,0,2
9,BAILEY,12,0,1,11,0,0
10,BANDERA,47,2,34,9,0,2
11,BASTROP,254,23,119,101,0,11
12,BAYLOR,11,1,4,5,0,1
13,BEE,138,1,27,105,0,5
14,BELL,924,266,338,204,0,116
15,BEXAR,6205,570,815,4505,4,311
16,BLANCO,6,0,3,3,0,0
17,BORDEN,0,0,0,0,0,0
18,BOSQUE,61,0,46,11,1,3
19,BOWIE,258,56,151,21,0,30
20,BRAZORIA,448,46,257,118,0,27
21,BRAZOS,346,104,102,111,0,29
22,BREWSTER,6,0,3,3,0,0
23,BRISCOE,5,0,5,0,0,0
24,BROOKS,41,0,1,39,0,1
25,BROWN,131,6,88,26,0,11
26,BURLESON,41,11,21,8,0,1
27,BURNET,135,6,84,39,0,6
28,CALDWELL,125,4,43,76,0,2
29,CALHOUN,50,0,17,30,0,3
30,CALLAHAN,49,4,33,10,0,2
31,CAMERON,1819,8,52,1729,0,30
32,CAMP,32,5,17,8,0,2
33,CARSON,16,0,14,0,0,2
34,CASS,81,25,47,4,0,5
35,CASTRO,40,0,3,36,0,1
36,CHAMBERS,79,8,46,16,0,9
37,CHEROKEE,169,22,108,22,0,17
38,CHILDRESS,26,2,14,5,0,5
39,CLAY,19,3,10,5,0,1
40,COCHRAN,12,1,2,9,0,0
41,COKE,3,0,2,1,0,0
42,COLEMAN,41,6,28,7,0,0
43,COLLIN,1082,184,523,279,2,94
44,COLLINGSWORTH,14,0,9,5,0,0
45,COLORADO,31,11,2,11,0,7
46,COMAL,421,5,169,223,0,24
47,COMANCHE,44,0,37,3,0,4
48,CONCHO,7,0,4,3,0,0
49,COOKE,122,2,85,20,1,14
50,CORYELL,214,28,115,44,0,27
51,COTTLE,3,0,0,3,0,0
52,CRANE,0,0,0,0,0,0
53,CROCKETT,16,0,8,7,0,1
54,CROSBY,29,4,2,23,0,0
55,CULBERSON,10,0,0,10,0,0
56,DALLAM,22,0,15,6,0,1
57,DALLAS,5107,1824,945,1952,4,382
58,DAWSON,54,1,14,39,0,0
59,DEAF SMITH,66,0,8,58,0,0
60,DELTA,22,0,19,1,0,2
61,DENTON,929,128,486,242,1,72
62,DEWITT,35,2,10,21,0,2
63,DICKENS,9,0,6,2,0,1
64,DIMMIT,28,0,1,24,0,3
65,DONLEY,21,1,14,0,0,6
66,DUVAL,34,0,3,30,0,1
67,EASTLAND,59,0,41,15,0,3
68,ECTOR,633,42,202,342,0,47
69,EDWARDS,4,0,0,4,0,0
70,ELLIS,208,19,125,53,0,11
71,EL PASO,2081,114,267,1610,3,87
72,ERATH,114,4,65,36,0,9
73,FALLS,50,17,25,4,0,4
74,FANNIN,52,2,30,16,0,4
75,FAYETTE,80,3,49,24,0,4
76,FISHER,17,0,6,10,0,1
77,FLOYD,41,2,3,33,0,3
78,FOARD,0,0,0,0,0,0
79,FORT BEND,535,172,94,213,0,56
80,FRANKLIN,34,1,32,1,0,0
81,FREESTONE,38,2,23,12,0,1
82,FRIO,124,0,2,117,0,5
83,GAINES,26,1,5,20,0,0
84,GALVESTON,451,98,193,125,0,35
85,GARZA,44,2,14,24,0,4
86,GILLESPIE,55,0,33,19,0,3
87,GLASSCOCK,2,0,1,0,0,1
88,GOLIAD,21,0,3,18,0,0
89,GONZALES,70,2,20,47,0,1
90,GRAY,111,8,72,24,3,4
91,GRAYSON,453,25,277,76,3,72
92,GREGG,373,96,169,58,0,50
93,GRIMES,54,4,47,3,0,0
94,GUADALUPE,404,32,132,209,2,29
95,HALE,209,6,46,153,0,4
96,HALL,25,1,9,15,0,0
97,HAMILTON,19,0,16,1,0,2
98,HANSFORD,5,0,3,2,0,0
99,HARDEMAN,12,2,10,0,0,0
100,HARDIN,134,21,100,7,0,6
101,HARRIS,5383,1970,1124,1946,1,342
102,HARRISON,184,20,129,11,0,24
103,HARTLEY,3,0,1,2,0,0
104,HASKELL,18,0,13,5,0,0
105,HAYS,315,9,107,188,0,11
106,HEMPHILL,11,0,6,0,0,5
107,HENDERSON,161,17,116,17,0,11
108,HIDALGO,2685,9,71,2579,0,26
109,HILL,144,8,107,19,0,10
110,HOCKLEY,132,4,33,76,0,19
111,HOOD,287,1,228,41,0,17
112,HOPKINS,72,4,49,9,0,10
113,HOUSTON,58,19,23,12,0,4
114,HOWARD,156,1,63,82,0,10
115,HUDSPETH,4,0,1,2,0,1
116,HUNT,244,46,145,38,0,15
117,HUTCHINSON,69,0,42,20,0,7
118,IRION,4,0,3,1,0,0
119,JACK,17,0,14,1,0,2
120,JACKSON,29,3,14,10,0,2
121,JASPER,111,13,88,2,0,8
122,JEFF DAVIS,0,0,0,0,0,0
123,JEFFERSON,661,357,185,74,0,45
124,JIM HOGG,45,0,8,36,0,1
125,JIM WELLS,175,0,17,150,0,8
126,JOHNSON,691,17,483,151,2,38
127,JONES,36,2,18,12,0,4
128,KARNES,51,0,5,44,0,2
129,KAUFMAN,220,34,149,22,0,15
130,KENDALL,64,0,46,17,0,1
131,KENEDY,0,0,0,0,0,0
132,KENT,6,0,4,2,0,0
133,KERR,190,10,104,65,0,11
134,KIMBLE,10,0,8,2,0,0
135,KING,0,0,0,0,0,0
136,KINNEY,0,0,0,0,0,0
137,KLEBERG,82,0,15,65,0,2
138,KNOX,5,0,3,2,0,0
139,LAMAR,128,16,98,8,0,6
140,LAMB,51,1,7,39,0,4
141,LAMPASAS,59,1,27,25,0,6
142,LASALLE,29,0,2,26,0,1
143,LAVACA,42,8,23,10,0,1
144,LEE,61,5,30,24,0,2
145,LEON,62,6,40,8,0,8
146,LIBERTY,303,24,211,38,1,29
147,LIMESTONE,46,7,28,7,0,4
148,LIPSCOMB,11,0,9,2,0,0
149,LIVE OAK,77,0,16,61,0,0
150,LLANO,50,1,36,10,1,2
151,LOVING,0,0,0,0,0,0
152,LUBBOCK,1328,184,365,703,1,75
153,LYNN,17,0,6,11,0,0
154,MADISON,41,12,22,2,0,5
155,MARION,25,4,15,0,0,6
156,MARTIN,10,0,4,6,0,0
157,MASON,9,0,4,5,0,0
158,MATAGORDA,92,16,21,42,0,13
159,MAVERICK,39,0,2,37,0,0
160,MCCULLOCH,44,0,32,12,0,0
161,MCLENNAN,698,182,250,219,0,47
162,MCMULLEN,9,0,4,4,0,1
163,MEDINA,146,1,39,99,0,7
164,MENARD,15,0,6,9,0,0
165,MIDLAND,366,40,145,144,1,36
166,MILAM,107,18,47,37,0,5
167,MILLS,7,0,6,1,0,0
168,MITCHELL,59,3,27,24,0,5
169,MONTAGUE,74,0,71,1,0,2
170,MONTGOMERY,794,48,535,153,1,57
171,MOORE,93,0,47,36,0,10
172,MORRIS,24,2,16,0,0,6
173,MOTLEY,6,0,5,0,0,1
174,NACOGDOCHES,181,50,58,44,0,29
175,NAVARRO,116,17,75,16,0,8
176,NEWTON,39,7,25,6,0,1
177,NOLAN,147,20,57,61,0,9
178,NUECES,1107,59,188,806,0,54
179,OCHILTREE,32,0,10,21,0,1
180,OLDHAM,0,0,0,0,0,0
181,ORANGE,435,62,335,11,0,27
182,PALO PINTO,176,4,123,42,0,7
183,PANOLA,47,9,34,2,0,2
184,PARKER,267,6,213,37,0,11
185,PARMER,19,0,4,13,0,2
186,PECOS,48,0,13,35,0,0
187,POLK,141,9,111,5,0,16
188,POTTER,666,73,215,323,0,55
189,PRESIDIO,15,0,4,11,0,0
190,RAINS,15,0,14,0,0,1
191,RANDALL,363,19,205,110,0,29
192,REAGAN,2,0,0,1,0,1
193,REAL,13,0,10,3,0,0
194,RED RIVER,30,4,13,7,0,6
195,REEVES,26,0,1,25,0,0
196,REFUGIO,18,3,2,13,0,0
197,ROBERTS,3,0,3,0,0,0
198,ROBERTSON,68,30,23,9,0,6
199,ROCKWALL,77,5,49,13,0,10
200,RUNNELS,15,0,7,8,0,0
201,RUSK,144,18,88,28,0,10
202,SABINE,21,0,17,1,0,3
203,SAN AUGUSTINE,15,7,5,3,0,0
204,SAN JACINTO,79,1,62,7,2,7
205,SAN PATRICIO,312,13,84,214,0,1
206,SAN SABA,13,0,9,4,0,0
207,SCHLEICHER,11,0,5,6,0,0
208,SCURRY,69,2,26,39,0,2
209,SHACKELFORD,4,0,2,2,0,0
210,SHELBY,77,6,34,31,0,6
