,County,Total,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*
1,ANDERSON,71,15,25,20,4,5,2
2,ANDREWS,17,3,10,0,3,1,0
3,ANGELINA,37,6,12,8,6,4,1
4,ARANSAS,46,14,21,3,7,1,0
5,ARCHER,0,0,0,0,0,0,0
6,ARMSTRONG,0,0,0,0,0,0,0
7,ATASCOSA,61,22,7,13,15,4,0
8,AUSTIN,5,0,1,3,0,1,0
9,BAILEY,3,0,0,2,0,1,0
10,BANDERA,24,5,2,11,1,5,0
11,BASTROP,86,35,20,7,18,6,0
12,BAYLOR,0,0,0,0,0,0,0
13,BEE,37,15,19,0,3,0,0
14,BELL,382,122,131,56,44,21,8
15,BEXAR,2112,669,381,421,463,163,15
16,BLANCO,4,1,0,1,0,2,0
17,BORDEN,0,0,0,0,0,0,0
18,BOSQUE,10,5,2,3,0,0,0
19,BOWIE,95,39,40,7,5,4,0
20,BRAZORIA,130,50,52,8,4,12,4
21,BRAZOS,78,32,27,6,4,9,0
22,BREWSTER,3,0,0,0,0,3,0
23,BRISCOE,0,0,0,0,0,0,0
24,BROOKS,18,4,11,2,0,1,0
25,BROWN,45,9,3,15,14,4,0
26,BURLESON,9,0,5,0,2,1,1
27,BURNET,40,7,13,4,14,2,0
28,CALDWELL,55,15,7,18,10,5,0
29,CALHOUN,6,4,0,0,0,2,0
30,CALLAHAN,12,6,1,1,2,2,0
31,CAMERON,210,114,59,14,5,13,5
32,CAMP,18,4,10,0,2,2,0
33,CARSON,6,1,1,4,0,0,0
34,CASS,27,10,8,1,6,2,0
35,CASTRO,5,5,0,0,0,0,0
36,CHAMBERS,28,15,5,1,7,0,0
37,CHEROKEE,66,17,31,10,3,2,3
38,CHILDRESS,7,0,0,4,1,2,0
39,CLAY,3,0,1,2,0,0,0
40,COCHRAN,4,4,0,0,0,0,0
41,COKE,5,0,4,1,0,0,0
42,COLEMAN,11,2,5,1,0,0,3
43,COLLIN,169,59,65,29,4,10,2
44,COLLINGSWORTH,7,3,0,0,4,0,0
45,COLORADO,13,5,2,3,2,1,0
46,COMAL,90,35,15,11,21,7,1
47,COMANCHE,3,0,1,1,0,1,0
48,CONCHO,0,0,0,0,0,0,0
49,COOKE,22,6,7,4,0,4,1
50,CORYELL,111,42,52,0,8,6,3
51,COTTLE,0,0,0,0,0,0,0
52,CRANE,2,2,0,0,0,0,0
53,CROCKETT,3,1,1,0,1,0,0
54,CROSBY,7,0,0,1,4,1,1
55,CULBERSON,0,0,0,0,0,0,0
56,DALLAM,0,0,0,0,0,0,0
57,DALLAS,1579,438,737,145,128,112,19
58,DAWSON,3,1,0,0,1,1,0
59,DEAF SMITH,16,7,1,1,6,1,0
60,DELTA,5,4,1,0,0,0,0
61,DENTON,244,80,61,58,34,10,1
62,DEWITT,8,0,2,2,3,1,0
63,DICKENS,3,0,2,0,0,1,0
64,DIMMIT,12,4,0,0,5,3,0
65,DONLEY,7,6,0,0,0,1,0
66,DUVAL,9,4,4,1,0,0,0
67,EASTLAND,13,5,8,0,0,0,0
68,ECTOR,140,51,56,14,8,9,2
69,EDWARDS,0,0,0,0,0,0,0
70,ELLIS,43,13,7,8,8,5,2
71,EL PASO,298,111,60,52,37,31,7
72,ERATH,26,2,14,2,4,4,0
73,FALLS,1,0,0,0,0,1,0
74,FANNIN,16,5,4,5,0,2,0
75,FAYETTE,32,11,8,7,3,3,0
76,FISHER,0,0,0,0,0,0,0
77,FLOYD,10,5,1,0,3,0,1
78,FOARD,0,0,0,0,0,0,0
79,FORT BEND,109,24,39,17,17,12,0
80,FRANKLIN,4,0,2,0,2,0,0
81,FREESTONE,11,0,1,4,4,2,0
82,FRIO,29,11,1,3,12,2,0
83,GAINES,15,10,2,2,1,0,0
84,GALVESTON,143,42,46,15,28,11,1
85,GARZA,2,0,0,0,0,1,1
86,GILLESPIE,20,11,4,3,1,1,0
87,GLASSCOCK,0,0,0,0,0,0,0
88,GOLIAD,5,2,2,0,0,1,0
89,GONZALES,9,2,4,2,0,1,0
90,GRAY,52,21,14,1,10,6,0
91,GRAYSON,62,17,19,14,7,4,1
92,GREGG,85,24,29,9,10,12,1
93,GRIMES,14,6,2,4,2,0,0
94,GUADALUPE,93,43,25,5,16,3,1
95,HALE,28,19,2,3,4,0,0
96,HALL,2,0,0,1,0,1,0
97,HAMILTON,5,1,2,0,2,0,0
98,HANSFORD,1,1,0,0,0,0,0
99,HARDEMAN,2,0,0,1,0,1,0
100,HARDIN,18,7,4,5,1,1,0
101,HARRIS,2564,663,702,460,482,218,39
102,HARRISON,58,19,33,1,1,3,1
103,HARTLEY,0,0,0,0,0,0,0
104,HASKELL,3,1,0,0,2,0,0
