,County,STAR,CYD,SYSN,YRP*,TOTAL
1,ANDERSON,102,0,3,0,105
2,ANDREWS,7,0,0,0,7
3,ANGELINA,160,0,21,0,181
4,ARANSAS,97,0,0,0,97
5,ARCHER,2,0,0,0,2
6,ARMSTRONG,2,0,0,0,2
7,ATASCOSA,128,0,0,0,128
8,AUSTIN,69,0,30,0,99
9,BAILEY,21,0,0,0,21
10,BANDERA,67,0,11,0,78
11,BASTROP,184,0,22,0,206
12,BAYLOR,14,0,0,0,14
13,BEE,91,0,0,0,91
14,BELL,319,0,136,0,455
15,BEXAR,1405,796,293,0,2494
16,BLANCO,31,0,0,0,31
17,BORDEN,0,0,0,0,0
18,BOSQUE,31,0,0,0,31
19,BOWIE,123,0,0,0,123
20,BRAZORIA,334,0,81,0,415
21,BRAZOS,222,0,52,0,274
22,BREWSTER,3,0,0,0,3
23,BRISCOE,1,0,0,0,1
24,BROOKS,3,0,0,0,3
25,BROWN,30,0,23,0,53
26,BURLESON,179,0,0,0,179
27,BURNET,28,0,67,0,95
28,CALDWELL,114,0,4,0,118
29,CALHOUN,90,0,0,0,90
30,CALLAHAN,3,0,0,0,3
31,CAMERON,413,2323,134,0,2779
32,CAMP,12,0,0,0,12
33,CARSON,5,0,0,0,5
34,CASS,31,0,0,0,31
35,CASTRO,52,0,0,0,52
36,CHAMBERS,21,0,0,0,21
37,CHEROKEE,151,0,0,0,151
38,CHILDRESS,3,0,0,0,3
39,CLAY,5,0,0,0,5
40,COCHRAN,9,0,0,0,9
41,COKE,7,0,3,0,10
42,COLEMAN,43,0,0,0,43
43,COLLIN,553,0,237,0,790
44,COLLINGSWORTH,7,0,0,0,7
45,COLORADO,62,0,15,0,77
46,COMAL,541,0,17,0,558
47,COMANCHE,13,0,0,0,13
48,CONCHO,0,0,0,0,0
49,COOKE,27,0,35,0,62
50,CORYELL,46,0,40,0,86
51,COTTLE,3,0,0,0,3
52,CRANE,3,0,0,0,3
53,CROCKETT,4,0,1,0,5
54,CROSBY,37,0,0,0,37
55,CULBERSON,1,0,0,0,1
56,DALLAM,15,0,2,0,17
57,DALLAS,796,2030,441,0,3267
58,DAWSON,4,0,3,0,7
59,DEAF SMITH,113,0,29,0,142
60,DELTA,47,0,0,0,47
61,DENTON,563,0,108,0,671
62,DEWITT,50,0,0,0,50
63,DICKENS,1,0,0,0,1
64,DIMMIT,8,0,0,0,8
65,DONLEY,5,0,0,0,5
66,DUVAL,3,0,0,0,3
67,EASTLAND,42,0,0,0,42
68,ECTOR,111,0,21,0,132
69,EDWARDS,13,0,0,0,13
70,ELLIS,98,0,43,0,141
71,EL PASO,751,1350,112,0,2213
72,ERATH,178,0,16,0,194
73,FALLS,12,0,0,0,12
74,FANNIN,105,0,0,0,105
75,FAYETTE,68,0,17,0,85
76,FISHER,4,0,0,0,4
77,FLOYD,8,0,0,0,8
78,FOARD,0,0,0,0,0
79,FORT BEND,168,0,86,0,254
80,FRANKLIN,7,0,0,0,7
81,FREESTONE,18,0,0,0,18
82,FRIO,4,0,0,0,4
83,GAINES,23,0,0,0,23
84,GALVESTON,398,804,3,0,1205
85,GARZA,2,0,0,0,2
86,GILLESPIE,46,0,46,0,92
87,GLASSCOCK,0,0,0,0,0
88,GOLIAD,8,0,0,0,8
89,GONZALES,88,0,0,0,88
90,GRAY,32,0,0,0,32
91,GRAYSON,281,0,33,0,314
92,GREGG,218,0,9,0,227
93,GRIMES,144,0,0,0,144
94,GUADALUPE,176,0,8,0,184
95,HALE,49,0,12,0,61
96,HALL,3,0,0,0,3
97,HAMILTON,5,0,0,0,5
98,HANSFORD,5,0,15,0,20
99,HARDEMAN,71,0,0,0,71
100,HARDIN,49,0,0,0,49
101,HARRIS,1168,2111,569,0,3848
102,HARRISON,169,0,38,0,207
103,HARTLEY,6,0,0,0,6
104,HASKELL,16,0,0,0,16
105,HAYS,404,0,80,0,484
106,HEMPHILL,1,0,0,0,1
107,HENDERSON,168,0,0,0,168
108,HIDALGO,547,1677,300,0,2524
109,HILL,47,0,20,0,67
110,HOCKLEY,28,0,0,0,28
111,HOOD,13,0,0,0,13
112,HOPKINS,106,0,9,0,115
113,HOUSTON,20,0,0,0,20
114,HOWARD,16,0,16,0,32
115,HUDSPETH,3,0,0,0,3
116,HUNT,263,0,93,0,356
117,HUTCHINSON,40,0,0,0,40
118,IRION,0,0,0,0,0
119,JACK,17,0,3,0,20
120,JACKSON,62,0,0,0,62
121,JASPER,25,0,0,0,25
122,JEFF DAVIS,2,0,0,0,2
123,JEFFERSON,273,0,0,0,273
124,JIM HOGG,3,0,0,0,3
125,JIM WELLS,152,0,0,0,152
126,JOHNSON,60,0,2,0,62
127,JONES,51,0,0,0,51
128,KARNES,9,0,0,0,9
129,KAUFMAN,23,0,1,0,24
130,KENDALL,52,0,26,0,78
131,KENEDY,0,0,0,0,0
132,KENT,3,0,0,0,3
133,KERR,165,0,12,0,177
134,KIMBLE,29,0,0,0,29
135,KING,0,0,0,0,0
136,KINNEY,4,0,0,0,4
137,KLEBERG,349,0,32,0,381
138,KNOX,6,0,0,0,6
139,LAMAR,313,0,1,0,314
140,LAMB,8,0,0,0,8
141,LAMPASAS,8,0,3,0,11
142,LASALLE,1,0,0,0,1
143,LAVACA,43,0,0,0,43
144,LEE,13,0,0,0,13
145,LEON,21,0,0,0,21
146,LIBERTY,15,0,0,0,15
147,LIMESTONE,18,0,0,0,18
148,LIPSCOMB,4,0,0,0,4
149,LIVE OAK,64,0,1,0,65
150,LLANO,28,0,0,0,28
151,LOVING,0,0,0,0,0
152,LUBBOCK,329,870,136,0,1335
153,LYNN,27,0,0,0,27
154,MADISON,66,0,0,0,66
155,MARION,22,0,0,0,22
156,MARTIN,2,0,0,0,2
157,MASON,25,0,0,0,25
158,MATAGORDA,122,0,16,0,138
159,MAVERICK,119,0,0,0,119
160,MCCULLOCH,30,0,0,0,30
161,MCLENNAN,295,692,8,0,995
162,MCMULLEN,1,0,0,0,1
163,MEDINA,93,0,0,0,93
164,MENARD,21,0,28,0,49
165,MIDLAND,167,0,0,0,167
166,MILAM,101,0,0,0,101
167,MILLS,0,0,0,0,0
168,MITCHELL,22,0,0,0,22
169,MONTAGUE,9,0,0,0,9
170,MONTGOMERY,702,0,15,0,717
171,MOORE,11,0,0,0,11
172,MORRIS,11,0,0,0,11
173,MOTLEY,2,0,0,0,2
174,NACOGDOCHES,66,0,29,0,95
175,NAVARRO,47,0,23,0,70
176,NEWTON,17,0,0,0,17
177,NOLAN,27,0,0,0,27
178,NUECES,801,1378,101,0,2280
179,OCHILTREE,24,0,10,0,34
180,OLDHAM,1,0,0,0,1
181,ORANGE,79,0,0,0,79
182,PALO PINTO,36,0,0,0,36
183,PANOLA,22,0,0,0,22
184,PARKER,21,0,2,0,23
185,PARMER,14,0,0,0,14
186,PECOS,16,0,0,0,16
187,POLK,57,0,12,0,69
188,POTTER,141,833,12,0,986
189,PRESIDIO,18,0,0,0,18
190,RAINS,18,0,0,0,18
191,RANDALL,77,0,10,0,87
192,REAGAN,2,0,0,0,2
193,REAL,3,0,0,0,3
194,RED RIVER,15,0,0,0,15
195,REEVES,19,0,0,0,19
196,REFUGIO,25,0,0,0,25
197,ROBERTS,5,0,0,0,5
198,ROBERTSON,72,0,0,0,72
199,ROCKWALL,194,0,17,0,211
200,RUNNELS,26,0,0,0,26
201,RUSK,30,0,43,0,73
202,SABINE,20,0,0,0,20
203,SAN AUGUSTINE,43,0,28,0,71
204,SAN JACINTO,32,0,1,0,33
205,SAN PATRICIO,286,0,11,0,297
206,SAN SABA,15,0,0,0,15
207,SCHLEICHER,3,0,0,0,3
208,SCURRY,58,0,0,0,58
209,SHACKELFORD,1,0,0,0,1
210,SHELBY,51,0,0,0,51
211,SHERMAN,2,0,2,0,4
212,SMITH,329,0,2,0,331
213,SOMERVELL,12,0,0,0,12
214,STARR,136,0,0,0,136
215,STEPHENS,10,0,1,0,11
216,STERLING,3,0,0,0,3
217,STONEWALL,3,0,0,0,3
218,SUTTON,5,0,0,0,5
219,SWISHER,6,0,0,0,6
220,TARRANT,1188,991,280,0,2459
221,TAYLOR,388,0,119,0,507
222,TERRELL,1,0,0,0,1
223,TERRY,39,0,0,0,39
224,THROCKMORTON,1,0,0,0,1
225,TITUS,89,0,0,0,89
226,TOM GREEN,300,0,62,0,362
227,TRAVIS,668,1136,287,0,2091
228,TRINITY,12,0,16,0,28
229,TYLER,44,0,0,0,44
230,UPSHUR,62,0,0,0,62
231,UPTON,1,0,0,0,1
232,UVALDE,76,0,0,0,76
