,County,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*
1,ANDERSON,1,1
2,BASTROP,1,0
3,BELL,5,1
4,BEXAR,19,1
5,BOWIE,1,0
6,BRAZORIA,2,0
7,BRAZOS,1,0
8,CAMERON,3,0
9,CASS,1,0
10,CHEROKEE,2,0
11,COLLIN,4,0
12,COMAL,2,1
13,COOKE,1,0
14,DALLAM,1,0
15,DALLAS,11,1
16,DENTON,2,0
17,ECTOR,4,0
18,EL PASO,4,1
19,ERATH,1,0
20,FORT BEND,3,0
21,FRIO,1,0
22,GALVESTON,3,0
23,GREGG,3,0
24,HAMILTON,1,0
25,HARRIS,45,5
26,HARRISON,3,0
27,HENDERSON,1,0
28,HIDALGO,1,0
29,HILL,1,0
30,HOWARD,1,0
31,JASPER,1,0
32,JEFFERSON,5,0
33,KAUFMAN,1,0
34,KERR,2,0
35,KLEBERG,2,0
36,LIBERTY,3,0
37,LUBBOCK,1,0
38,MADISON,1,0
39,MATAGORDA,4,2
40,MCLENNAN,1,0
41,MIDLAND,2,0
42,MONTAGUE,1,0
43,MONTGOMERY,4,0
44,NEWTON,1,0
45,NUECES,5,0
46,ORANGE,1,0
47,POTTER,2,0
48,SAN PATRICIO,2,0
49,SMITH,3,0
50,TARRANT,19,0
51,TAYLOR,1,0
52,TOM GREEN,4,0
53,TRAVIS,2,0
54,UVALDE,1,0
55,VICTORIA,1,0
56,WALLER,1,0
57,WEBB,4,1
58,WHARTON,2,0
59,WICHITA,2,0
60,WISE,3,0
61,WOOD,1,0
62,TOTAL,212,14
