,County,Child  Population,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*
1,ANDERSON,11498,158,13.7,40,147,93
2,ANDREWS,4431,48,10.8,18,45,26
3,ANGELINA,23448,113,4.8,42,111,84
4,ARANSAS,4505,115,25.5,39,110,76
5,ARCHER,2159,0,0.0,0,0,0
6,ARMSTRONG,396,5,12.6,3,5,5
7,ATASCOSA,13238,210,15.9,90,213,154
8,AUSTIN,7331,20,2.7,10,21,20
9,BAILEY,2302,33,14.3,10,33,33
10,BANDERA,4003,63,15.7,23,63,45
11,BASTROP,20398,222,10.9,113,216,139
12,BAYLOR,760,4,5.3,3,4,4
13,BEE,6904,131,19.0,65,125,89
14,BELL,93172,925,9.9,421,885,595
15,BEXAR,477922,5761,12.1,2164,5722,3747
16,BLANCO,2281,7,3.1,1,6,4
17,BORDEN,128,3,23.4,3,3,0
18,BOSQUE,4102,40,9.8,16,36,31
19,BOWIE,22147,209,9.4,119,201,120
20,BRAZORIA,91471,302,3.3,92,296,206
21,BRAZOS,43546,217,5.0,73,206,167
22,BREWSTER,1929,5,2.6,0,5,5
23,BRISCOE,344,2,5.8,2,2,2
24,BROOKS,1983,32,16.1,12,32,22
25,BROWN,9115,150,16.5,62,146,111
26,BURLESON,4118,43,10.4,18,44,27
27,BURNET,10064,110,10.9,47,109,70
28,CALDWELL,10088,135,13.4,61,134,69
29,CALHOUN,5726,20,3.5,8,21,21
30,CALLAHAN,3262,25,7.7,4,19,16
31,CAMERON,137876,476,3.5,192,458,336
32,CAMP,3396,46,13.5,16,46,29
33,CARSON,1545,11,7.1,5,12,10
34,CASS,7036,61,8.7,35,60,39
35,CASTRO,2497,31,12.4,30,30,16
36,CHAMBERS,10367,75,7.2,37,76,42
37,CHEROKEE,13396,207,15.5,95,200,149
38,CHILDRESS,1520,24,15.8,9,24,20
39,CLAY,2394,9,3.8,2,9,6
40,COCHRAN,885,7,7.9,2,8,7
41,COKE,661,12,18.2,5,8,8
42,COLEMAN,1957,36,18.4,9,37,28
43,COLLIN,237706,429,1.8,159,409,311
44,COLLINGSWORTH,840,11,13.1,2,11,7
45,COLORADO,4928,27,5.5,2,25,13
46,COMAL,26685,218,8.2,71,211,123
47,COMANCHE,3337,24,7.2,15,26,16
48,CONCHO,568,6,10.6,3,7,9
49,COOKE,9788,87,8.9,27,87,73
50,CORYELL,22088,217,9.8,99,200,110
51,COTTLE,342,0,0.0,0,0,0
52,CRANE,1286,2,1.6,0,2,1
53,CROCKETT,970,7,7.2,2,8,6
54,CROSBY,1737,16,9.2,6,18,12
55,CULBERSON,658,0,0.0,0,0,0
56,DALLAM,2065,11,5.3,3,11,9
57,DALLAS,667394,3948,5.9,1597,3877,2465
58,DAWSON,3418,33,9.7,14,34,20
59,DEAF SMITH,6363,55,8.6,14,56,39
60,DELTA,1153,14,12.1,8,14,13
61,DENTON,193415,684,3.5,271,652,458
