,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other**,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2008,Subsequently Confirmed Victims in Fiscal Years 2008 - 2013,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving In-Home Services,Child Population Age 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**
0,ANDERSON,004,6057,8039,289,210,160,157,5,3,0,11544,1709,6632,2695,39,469,514,445,5,370,121,32.7%,225,19,5,249,67.3%,,,,600,408,359,76,524,15,11544,174,15.1,370,121,32.7%,,,58,137,16,11.7%,141,36,118,10.2,32,60,52,75,,,,,,,,,,,,,,,85,0,35,10,11,16,25,0,3,2,74,"$1,119,812",49,"$47,704.96",112,25,"$2,869.57",160,9038,11,938,1,12,8,3,11544,0,14,0,0,0,14,44,137,0,3,140,,
1,ANDREWS,009,1218,1804,31,22,12,7,2,0,0,4490,62,1499,2840,20,69,214,171,1,112,47,42.0%,54,11,0,65,58.0%,,,,208,113,94,69,139,11,4490,85,18.9,112,47,42.0%,,,32,82,9,11.0%,104,29,47,10.5,16,24,23,36,,,,,,,,,,,,,,,37,0,17,5,3,6,7,0,0,0,35,"$526,859",9,"$15,550.74",47,11,$565.00,96,3486,4,362,0,0,1,2,4490,0,5,0,0,0,5,20,2,0,0,2,,
2,ANGELINA,005,9006,12970,553,399,270,218,181,172,37,23650,3641,11843,7375,58,733,997,781,8,655,164,25.0%,423,67,1,491,75.0%,,,,1128,809,695,103,1025,30,23650,281,11.9,655,164,25.0%,,,64,177,13,7.3%,120,35,111,4.7,38,56,58,78,,,,,,,,,,,,,,,82,0,40,6,14,11,29,1,13,4,77,"$858,716",82,"$69,432.89",114,52,"$5,136.92",204,18360,36,3293,3,36,3,2,23650,2,34,0,0,0,36,98,165,0,33,198,,
3,ARANSAS,011,2007,6469,156,108,89,76,2,2,0,4509,54,2273,1996,17,169,294,264,0,201,66,32.8%,115,15,5,135,67.2%,,,,340,220,182,110,230,31,4509,107,23.7,201,66,32.8%,,,69,167,6,3.6%,192,74,100,22.2,32,30,64,73,,,,,,,,,,,,,,,91,0,36,5,17,6,33,0,1,1,69,"$769,281",28,"$16,683.95",94,13,"$1,552.71",195,3404,6,400,0,0,2,1,4509,0,5,0,0,0,5,19,43,0,0,43,,
4,ARCHER,002,878,1565,58,51,46,30,2,4,0,2141,12,1816,270,9,34,64,51,0,40,6,15.0%,29,5,0,34,85.0%,,,,62,53,43,9,53,5,2141,9,4.2,40,6,15.0%,,,6,20,3,15.0%,12,3,7,3.3,5,3,3,4,,,,,,,,,,,,,,,7,0,5,0,0,1,2,0,0,0,4,"$32,932",5,$468.00,6,0,$0.00,21,1537,4,224,1,12,3,1,2141,0,2,0,0,0,2,4,3,0,2,5,,
5,ARMSTRONG,001,130,449,5,3,2,0,0,0,0,378,4,316,49,2,7,16,13,0,13,2,15.4%,8,3,0,11,84.6%,,,,24,21,12,8,16,5,378,3,7.9,13,2,15.4%,,,0,0,0,0.0%,0,0,7,18.5,2,5,2,7,,,,,,,,,,,,,,,4,0,2,2,0,0,2,0,0,0,7,"$43,556",0,$0.00,7,0,$0.00,5,290,0,0,0,0,1,2,378,0,0,0,0,0,0,0,3,0,0,3,,
6,ATASCOSA,008,3573,6760,188,146,74,72,0,1,0,13413,82,3468,9743,20,100,526,412,4,344,135,39.2%,196,10,3,209,60.8%,,,,619,335,315,228,391,92,13413,266,19.8,344,135,39.2%,,,86,251,19,7.6%,187,30,254,18.9,108,152,103,149,,,,,,,,,,,,,,,214,0,108,6,63,29,26,0,1,8,150,"$1,839,947",39,"$36,876.16",255,17,"$2,515.54",288,10100,7,555,3,36,2,3,13413,0,17,0,0,0,17,25,88,0,0,88,,
7,AUSTIN,006,1687,5209,108,85,59,42,1,0,0,7417,734,3668,2822,23,170,222,197,2,139,47,33.8%,75,13,4,92,66.2%,,,,219,145,122,55,164,5,7417,71,9.6,139,47,33.8%,,,32,90,7,7.8%,42,8,31,4.2,15,19,11,22,,,,,,,,,,,,,,,28,0,16,3,2,1,12,1,0,2,22,"$143,829",10,"$8,684.57",30,5,$898.23,91,5596,11,922,0,0,7,2,7417,0,7,0,0,1,8,53,73,0,21,94,,
8,BAILEY,001,498,1082,49,50,46,42,0,0,0,2349,10,520,1797,5,17,63,46,0,41,10,24.4%,28,3,0,31,75.6%,,,,72,52,47,20,52,11,2349,20,8.5,41,10,24.4%,,,5,12,0,0.0%,37,4,25,10.6,5,8,17,21,,,,,,,,,,,,,,,6,0,5,0,0,0,1,0,1,0,28,"$291,014",14,"$18,027.32",25,0,$0.00,15,1880,3,158,0,0,1,0,2349,0,6,0,0,0,6,31,17,0,0,17,,
9,BANDERA,008,1789,4980,99,80,42,29,0,0,0,3990,33,2754,1121,18,64,207,153,0,120,33,27.5%,81,3,3,87,72.5%,,,,190,124,112,51,139,14,3990,62,15.5,120,33,27.5%,,,22,56,9,16.1%,61,10,65,16.3,22,31,34,48,,,,,,,,,,,,,,,56,0,22,6,8,10,11,0,1,0,46,"$623,091",9,"$14,281.70",65,4,$207.25,66,2875,5,359,0,0,0,0,3990,0,10,1,0,0,11,170,71,0,9,80,,
10,BASTROP,007,5382,10566,279,256,138,111,14,16,0,20899,1378,8268,10445,52,756,811,685,9,569,168,29.5%,349,46,6,401,70.5%,,,,888,609,520,170,718,86,20899,260,12.4,569,168,29.5%,,,78,205,36,17.6%,120,23,268,12.8,130,160,100,138,,,,,,,,,,,,,,,230,0,136,8,35,21,65,1,2,5,142,"$1,683,835",18,"$26,188.66",260,3,$698.18,267,15773,35,3030,3,36,12,6,20899,0,37,1,0,0,38,167,112,0,15,127,,
11,BAYLOR,002,321,957,56,54,43,41,0,0,0,759,14,554,175,3,13,37,33,0,28,8,28.6%,14,5,1,20,71.4%,,,,46,29,20,14,32,0,759,16,21.1,28,8,28.6%,,,9,23,0,0.0%,9,4,4,5.3,0,0,4,4,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,4,"$43,258",0,$0.00,4,0,$0.00,23,596,3,160,0,0,2,1,759,0,0,0,0,0,0,0,7,0,0,7,,
12,BEE,011,3088,3752,194,136,101,76,3,3,1,6877,105,1516,5128,10,118,392,331,4,273,90,33.0%,144,34,5,183,67.0%,,,,481,297,233,180,301,27,6877,165,24.0,273,90,33.0%,,,106,294,17,5.8%,140,34,135,19.6,42,60,69,88,,,,,,,,,,,,,,,109,0,42,20,7,8,50,0,0,0,84,"$1,057,040",34,"$16,367.02",129,23,"$3,174.48",306,5347,7,729,1,12,3,2,6877,0,9,1,0,0,10,182,62,0,0,62,,
13,BELL,007,20828,30910,1218,926,614,445,73,69,9,95920,20836,37781,27998,394,8911,4196,3742,30,3172,685,21.6%,2357,83,47,2487,78.4%,,,,5043,3858,3647,854,4189,454,95920,1100,11.5,3172,685,21.6%,,,321,886,47,5.3%,965,116,1025,10.7,472,517,462,613,,,,,,,,,,,,,,,924,0,485,35,112,127,379,1,34,11,602,"$5,789,408",249,"$235,603.26",979,61,"$14,837.62",1220,78047,156,14290,35,418,78,99,95920,7,241,2,0,1,251,811,440,0,138,578,,
14,BEXAR,008,137948,196797,7969,6239,3702,3033,1194,1091,140,484144,32010,95854,334156,848,21276,19838,15676,180,13163,3348,25.4%,8824,880,111,9815,74.6%,,,,21984,15499,13785,6244,15740,1217,484144,5846,12.1,13163,3348,25.4%,,,3483,10073,687,6.8%,6230,1234,5571,11.5,1877,2761,2709,3473,,,,,,,,,,,,,,,4554,1,1903,161,995,1002,1091,2,78,194,3410,"$42,928,389",2421,"$3,531,563.11",5467,1089,"$238,556.58",10751,377524,561,61794,39,462,203,391,484144,35,1092,15,0,7,1149,4089,967,934,233,2134,,
15,BLANCO,007,758,2321,18,14,8,5,0,0,0,2278,7,1514,714,7,36,73,62,0,65,13,20.0%,45,7,0,52,80.0%,,,,102,82,68,7,95,2,2278,17,7.5,65,13,20.0%,,,3,11,2,18.2%,23,0,5,2.2,2,3,1,1,,,,,,,,,,,,,,,5,0,2,0,0,1,2,0,0,1,1,"$47,769",3,"$3,450.00",4,0,$0.00,12,1676,6,275,0,0,3,0,2278,0,1,0,0,0,1,0,36,0,0,36,,
16,BORDEN,009,49,155,3,2,2,0,0,0,0,126,0,95,31,0,0,6,4,0,3,2,66.7%,1,0,0,1,33.3%,,,,8,2,2,6,2,5,126,6,47.6,3,2,66.7%,,,1,2,1,50.0%,2,0,8,63.5,5,6,2,5,,,,,,,,,,,,,,,8,0,5,0,0,0,3,0,0,0,5,"$18,970",0,$0.00,8,0,$0.00,2,80,1,13,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BOSQUE,007,1127,4256,61,54,21,10,0,0,0,4081,75,2663,1252,10,81,151,129,0,114,30,26.3%,79,4,1,84,73.7%,,,,180,126,119,26,154,8,4081,51,12.5,114,30,26.3%,,,14,40,2,5.0%,32,7,43,10.5,14,16,24,28,,,,,,,,,,,,,,,35,0,16,0,6,8,9,0,1,0,28,"$265,942",11,"$27,400.25",40,3,$825.43,64,3088,4,205,2,24,2,1,4081,0,5,0,0,0,5,18,12,0,0,12,,
18,BOWIE,004,8947,14129,396,292,205,158,16,14,3,21992,6137,12598,2017,124,1116,977,821,9,687,148,21.5%,405,108,26,539,78.5%,,,,1155,861,618,182,973,92,21992,252,11.5,687,148,21.5%,,,68,204,11,5.4%,158,24,225,10.2,104,118,97,124,,,,,,,,,,,,,,,203,3,134,10,24,18,83,0,8,7,123,"$1,580,603",67,"$41,379.67",215,77,"$7,807.75",276,16981,40,3932,5,60,22,7,21992,0,25,0,0,0,25,56,143,0,0,143,,
19,BRAZORIA,006,18207,35404,591,480,357,297,72,63,9,93684,11209,38808,34474,289,8904,2228,1989,16,1441,329,22.8%,901,176,35,1112,77.2%,,,,2233,1656,1325,435,1798,58,93684,522,5.6,1441,329,22.8%,,,298,848,33,3.9%,623,100,269,2.9,93,120,146,192,,,,,,,,,,,,,,,198,0,93,11,10,23,80,2,13,9,191,"$2,752,472",142,"$117,322.74",266,106,"$28,326.43",867,73420,149,17501,13,156,36,54,93684,1,122,3,0,3,129,662,352,0,68,420,,
20,BRAZOS,007,11828,16223,372,285,214,187,34,26,3,45584,6437,19132,16906,96,3013,1210,1037,9,913,237,26.0%,588,85,3,676,74.0%,,,,1533,1082,924,197,1336,46,45584,402,8.8,913,237,26.0%,,,82,236,0,0.0%,301,56,196,4.3,50,75,115,151,,,,,,,,,,,,,,,144,0,49,6,23,30,46,2,12,7,145,"$2,049,219",65,"$68,532.79",190,14,"$3,127.63",293,37465,71,6925,13,153,40,27,45584,3,58,1,0,1,63,196,284,0,1,285,,
21,BREWSTER,010,667,1783,54,42,35,21,0,0,0,1957,11,773,1101,4,68,65,57,1,37,12,32.4%,21,3,1,25,67.6%,,,,57,36,28,14,43,0,1957,21,10.7,37,12,32.4%,,,10,21,0,0.0%,20,4,2,1.0,0,0,3,3,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,1,0,3,"$40,037",1,"$3,320.00",3,0,$0.00,21,1517,4,295,1,12,7,1,1957,0,1,0,0,0,1,3,10,0,0,10,,
22,BRISCOE,001,109,422,7,10,9,7,0,0,0,341,8,183,143,0,7,9,9,0,8,0,0.0%,5,2,1,8,100.0%,,,,11,11,7,0,11,0,341,0,0.0,8,0,0.0%,,,0,0,0,0.0%,7,0,2,5.9,0,0,2,1,,,,,,,,,,,,,,,2,0,0,0,1,0,1,0,1,0,1,"$26,086",0,$0.00,2,0,$0.00,1,260,0,0,0,0,1,0,341,0,2,0,0,0,2,4,0,0,0,0,0,0
