,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages
1,ANDERSON,004,6057,8039,289,210,160,157
2,ANDREWS,009,1218,1804,31,22,12,7
3,ANGELINA,005,9006,12970,553,399,270,218
4,ARANSAS,011,2007,6469,156,108,89,76
5,ARCHER,002,878,1565,58,51,46,30
6,ARMSTRONG,001,130,449,5,3,2,0
7,ATASCOSA,008,3573,6760,188,146,74,72
8,AUSTIN,006,1687,5209,108,85,59,42
9,BAILEY,001,498,1082,49,50,46,42
10,BANDERA,008,1789,4980,99,80,42,29
11,BASTROP,007,5382,10566,279,256,138,111
12,BAYLOR,002,321,957,56,54,43,41
13,BEE,011,3088,3752,194,136,101,76
14,BELL,007,20828,30910,1218,926,614,445
15,BEXAR,008,137948,196797,7969,6239,3702,3033
16,BLANCO,007,758,2321,18,14,8,5
17,BORDEN,009,49,155,3,2,2,0
18,BOSQUE,007,1127,4256,61,54,21,10
19,BOWIE,004,8947,14129,396,292,205,158
20,BRAZORIA,006,18207,35404,591,480,357,297
21,BRAZOS,007,11828,16223,372,285,214,187
22,BREWSTER,010,667,1783,54,42,35,21
23,BRISCOE,001,109,422,7,10,9,7
24,BROOKS,011,628,1348,52,47,32,24
25,BROWN,002,3376,7322,323,269,209,169
26,BURLESON,007,1206,3332,60,54,42,35
27,BURNET,007,2800,9212,151,129,90,71
28,CALDWELL,007,2578,5297,149,114,59,51
29,CALHOUN,008,1646,3607,89,60,32,22
30,CALLAHAN,002,1257,2713,72,56,37,33
31,CAMERON,011,33682,50368,1561,1293,945,727
32,CAMP,004,1116,2230,66,46,34,29
33,CARSON,001,433,1117,21,20,18,13
34,CASS,004,2872,6320,141,112,75,65
35,CASTRO,001,575,1197,27,25,21,18
36,CHAMBERS,006,2129,4108,59,43,35,30
37,CHEROKEE,004,4523,8350,350,242,183,174
38,CHILDRESS,001,503,1131,46,50,43,33
39,CLAY,002,1040,2099,107,94,81,69
40,COCHRAN,001,222,532,111,111,106,103
41,COKE,009,238,876,16,17,12,10
42,COLEMAN,002,801,2100,77,70,54,47
43,COLLIN,003,46806,79144,927,731,522,331
44,COLLINGSWORTH,001,210,584,16,13,10,9
45,COLORADO,006,1175,4327,75,63,47,39
46,COMAL,008,9522,20563,334,241,130,71
47,COMANCHE,002,1163,3094,70,62,46,38
48,CONCHO,009,410,650,22,15,11,7
49,COOKE,003,2069,6706,131,121,95,63
50,CORYELL,007,4733,6564,222,171,129,103
51,COTTLE,002,130,399,15,13,9,5
52,CRANE,009,377,590,12,8,4,6
53,CROCKETT,009,321,635,25,15,14,13
54,CROSBY,001,446,1146,53,49,35,34
55,CULBERSON,010,161,419,25,20,19,7
56,DALLAM,001,486,751,8,8,4,4
57,DALLAS,003,130044,225284,6894,5446,3891,2929
58,DAWSON,009,1157,2062,109,87,71,61
59,DEAF SMITH,001,1380,2333,44,39,26,27
60,DELTA,004,485,1168,30,26,19,16
61,DENTON,003,38983,60008,945,671,524,355
62,DE WITT,008,1624,3897,99,58,32,23
63,DICKENS,001,179,540,18,15,14,11
64,DIMMIT,008,754,1614,41,30,21,17
65,DONLEY,001,252,811,20,21,16,13
66,DUVAL,011,1045,2094,65,50,35,31
67,EASTLAND,002,1627,3990,163,122,95,82
68,ECTOR,009,11380,15242,596,476,355,265
69,EDWARDS,008,157,521,5,7,5,7
70,ELLIS,003,8832,18322,398,354,242,208
71,EL PASO,010,53363,90687,3098,2675,1799,1061
72,ERATH,003,1951,5293,108,79,65,53
73,FALLS,007,1329,3078,87,91,52,39
74,FANNIN,003,1940,6399,117,94,77,60
75,FAYETTE,007,1640,5812,75,58,30,24
76,FISHER,002,350,931,26,18,14,7
77,FLOYD,001,455,1182,65,54,43,34
78,FOARD,002,121,345,16,17,14,8
79,FORT BEND,006,36635,56273,709,488,300,206
80,FRANKLIN,004,891,2174,36,29,19,20
81,FREESTONE,007,1398,3618,68,65,42,25
82,FRIO,008,1376,2191,53,49,22,26
83,GAINES,009,1316,1714,30,23,12,8
84,GALVESTON,006,17267,36570,1010,780,505,377
85,GARZA,001,535,791,45,44,40,38
86,GILLESPIE,008,1861,7279,75,75,45,37
87,GLASSCOCK,009,101,209,1,3,1,1
88,GOLIAD,008,611,1576,12,13,9,8
89,GONZALES,008,1530,3273,62,39,20,13
90,GRAY,001,1608,3700,112,97,71,48
91,GRAYSON,003,6758,20935,599,456,367,270
92,GREGG,004,11152,17719,602,445,269,207
93,GRIMES,007,2011,4225,90,62,52,47
94,GUADALUPE,008,11139,18138,357,244,146,90
95,HALE,001,2582,4563,122,117,100,74
96,HALL,001,219,797,17,12,11,9
97,HAMILTON,007,502,2153,37,30,13,12
98,HANSFORD,001,398,824,8,10,8,4
99,HARDEMAN,002,359,880,56,42,35,24
100,HARDIN,005,6211,8310,194,129,93,69
