,County,Region,Total,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other
1,ANDERSON,004,41,6,4,12,3,13,2,1
2,ANDREWS,009,13,5,0,1,6,0,1,0
3,ANGELINA,005,40,6,3,14,9,2,5,1
4,ARANSAS,011,39,13,0,15,2,4,5,0
5,ARCHER,002,3,1,0,1,1,0,0,0
6,ARMSTRONG,001,2,2,0,0,0,0,0,0
7,ATASCOSA,008,54,15,3,5,15,14,2,0
8,AUSTIN,006,13,5,4,2,1,0,1,0
9,BAILEY,001,1,0,0,0,0,0,1,0
10,BANDERA,008,21,4,0,3,6,4,4,0
11,BASTROP,007,87,29,9,25,9,12,3,0
12,BAYLOR,002,1,0,0,0,0,0,1,0
13,BEE,011,58,14,0,33,2,6,2,1
14,BELL,007,500,163,11,176,63,64,20,3
15,BEXAR,008,2074,600,33,286,394,608,145,8
16,BLANCO,007,3,1,0,0,0,1,1,0
17,BORDEN,009,3,3,0,0,0,0,0,0
18,BOSQUE,007,17,9,0,0,7,1,0,0
19,BOWIE,004,101,37,0,44,9,9,2,0
20,BRAZORIA,006,103,20,6,41,23,0,13,0
21,BRAZOS,007,76,28,5,6,18,12,7,0
22,BREWSTER,010,1,0,0,0,1,0,0,0
23,BRISCOE,001,1,1,0,0,0,0,0,0
24,BROOKS,011,12,5,0,3,1,1,2,0
25,BROWN,002,57,8,0,12,11,21,5,0
26,BURLESON,007,19,11,0,1,4,0,3,0
27,BURNET,007,51,16,3,16,1,8,7,0
28,CALDWELL,007,48,13,2,14,6,7,4,2
29,CALHOUN,008,4,1,0,0,1,0,2,0
30,CALLAHAN,002,8,3,3,0,1,0,1,0
31,CAMERON,011,238,130,14,60,6,5,20,3
32,CAMP,004,20,5,0,6,3,3,2,1
33,CARSON,001,0,0,0,0,0,0,0,0
34,CASS,004,37,14,0,13,4,5,1,0
35,CASTRO,001,1,0,0,0,0,0,1,0
36,CHAMBERS,006,28,10,0,10,5,0,3,0
37,CHEROKEE,004,69,31,2,17,11,2,5,1
38,CHILDRESS,001,7,3,0,0,0,3,1,0
39,CLAY,002,2,1,0,0,0,0,1,0
40,COCHRAN,001,0,0,0,0,0,0,0,0
41,COKE,009,3,3,0,0,0,0,0,0
42,COLEMAN,002,16,6,3,2,3,2,0,0
43,COLLIN,003,191,45,14,66,26,26,12,2
44,COLLINGSWORTH,001,0,0,0,0,0,0,0,0
45,COLORADO,006,13,3,0,4,1,5,0,0
46,COMAL,008,82,35,7,12,9,15,4,0
47,COMANCHE,002,18,5,4,8,0,0,1,0
48,CONCHO,009,3,1,0,1,0,0,1,0
49,COOKE,003,35,9,0,14,8,3,0,1
50,CORYELL,007,96,27,10,40,5,3,10,1
51,COTTLE,002,0,0,0,0,0,0,0,0
52,CRANE,009,0,0,0,0,0,0,0,0
53,CROCKETT,009,0,0,0,0,0,0,0,0
54,CROSBY,001,2,0,0,1,0,0,1,0
55,CULBERSON,010,0,0,0,0,0,0,0,0
56,DALLAM,001,5,2,0,2,0,0,0,1
57,DALLAS,003,1533,436,97,612,165,81,101,41
58,DAWSON,009,24,8,0,8,2,6,0,0
59,DEAF SMITH,001,19,0,0,3,4,10,2,0
60,DELTA,004,10,0,0,8,1,1,0,0
61,DENTON,003,275,103,3,55,63,33,16,2
62,DE WITT,008,20,0,0,1,1,16,2,0
63,DICKENS,001,2,0,0,0,2,0,0,0
64,DIMMIT,008,25,9,0,2,0,13,1,0
65,DONLEY,001,2,0,0,2,0,0,0,0
66,DUVAL,011,14,9,0,1,2,1,1,0
67,EASTLAND,002,24,5,4,10,0,5,0,0
68,ECTOR,009,156,62,3,37,22,14,15,3
69,EDWARDS,008,7,0,0,0,0,7,0,0
70,ELLIS,003,26,8,0,4,3,9,2,0
71,EL PASO,010,285,98,7,67,45,39,22,7
72,ERATH,003,22,11,0,9,1,0,1,0
73,FALLS,007,15,1,5,0,4,3,2,0
74,FANNIN,003,5,0,0,3,0,0,2,0
75,FAYETTE,007,33,14,0,4,7,4,4,0
76,FISHER,002,4,3,0,1,0,0,0,0
77,FLOYD,001,15,2,0,7,1,2,2,1
78,FOARD,002,0,0,0,0,0,0,0,0
79,FORT BEND,006,85,29,8,17,5,11,15,0
80,FRANKLIN,004,16,3,0,12,1,0,0,0
81,FREESTONE,007,12,0,0,4,3,2,3,0
82,FRIO,008,21,9,0,0,5,6,1,0
83,GAINES,009,6,3,0,1,1,0,1,0
84,GALVESTON,006,95,31,0,13,20,20,6,5
85,GARZA,001,15,15,0,0,0,0,0,0
86,GILLESPIE,008,22,12,2,0,4,2,2,0
87,GLASSCOCK,009,0,0,0,0,0,0,0,0
88,GOLIAD,008,1,0,0,0,1,0,0,0
89,GONZALES,008,11,1,0,2,3,4,1,0
90,GRAY,001,46,13,2,13,4,10,4,0
91,GRAYSON,003,40,9,0,11,10,1,8,1
92,GREGG,004,105,33,0,18,28,11,11,4
93,GRIMES,007,21,8,0,3,2,5,3,0
94,GUADALUPE,008,89,46,1,16,2,21,3,0
95,HALE,001,65,34,0,11,2,11,5,2
96,HALL,001,6,2,3,0,0,0,1,0
97,HAMILTON,007,14,3,0,2,8,0,1,0
98,HANSFORD,001,1,0,0,0,0,0,1,0
99,HARDEMAN,002,3,0,3,0,0,0,0,0
100,HARDIN,005,24,8,2,5,5,3,1,0
101,HARRIS,006,2327,517,60,492,414,618,192,34
102,HARRISON,004,54,19,4,18,7,0,1,5
103,HARTLEY,001,0,0,0,0,0,0,0,0
104,HASKELL,002,0,0,0,0,0,0,0,0
105,HAYS,007,83,33,2,22,8,10,8,0
106,HEMPHILL,001,2,2,0,0,0,0,0,0
107,HENDERSON,004,73,27,3,17,3,12,10,1
108,HIDALGO,011,543,330,7,153,13,1,31,8
109,HILL,007,21,11,0,4,3,2,1,0
110,HOCKLEY,001,35,14,0,8,9,2,2,0
111,HOOD,003,54,17,1,24,8,0,4,0
112,HOPKINS,004,32,5,1,14,2,7,3,0
113,HOUSTON,005,15,5,0,6,3,0,1,0
114,HOWARD,009,46,13,5,12,2,10,3,1
115,HUDSPETH,010,0,0,0,0,0,0,0,0
116,HUNT,003,127,45,1,31,36,8,4,2
117,HUTCHINSON,001,33,4,0,15,4,9,1,0
118,IRION,009,0,0,0,0,0,0,0,0
119,JACK,002,6,3,0,2,0,1,0,0
120,JACKSON,008,4,1,0,0,3,0,0,0
121,JASPER,005,23,4,0,12,5,0,2,0
122,JEFF DAVIS,010,0,0,0,0,0,0,0,0
123,JEFFERSON,005,183,47,5,46,45,31,5,4
124,JIM HOGG,011,13,10,0,3,0,0,0,0
125,JIM WELLS,011,64,17,3,30,4,8,1,1
126,JOHNSON,003,137,48,0,19,48,11,11,0
127,JONES,002,11,3,0,3,4,0,1,0
128,KARNES,008,10,7,0,0,2,1,0,0
129,KAUFMAN,003,49,4,0,25,8,8,4,0
130,KENDALL,008,13,2,0,2,5,3,1,0
131,KENEDY,011,1,0,0,1,0,0,0,0
132,KENT,002,0,0,0,0,0,0,0,0
133,KERR,008,49,12,0,9,12,11,5,0
134,KIMBLE,009,8,0,0,3,0,4,1,0
135,KING,001,0,0,0,0,0,0,0,0
136,KINNEY,008,0,0,0,0,0,0,0,0
137,KLEBERG,011,12,4,2,2,1,0,3,0
138,KNOX,002,3,0,0,2,0,0,1,0
139,LAMAR,004,41,13,0,9,9,8,1,1
140,LAMB,001,6,0,0,3,0,1,2,0
141,LAMPASAS,007,32,7,0,16,2,4,3,0
142,LA SALLE,008,15,3,0,0,5,6,1,0
143,LAVACA,008,14,2,0,8,1,2,1,0
144,LEE,007,29,15,2,5,2,2,3,0
145,LEON,007,12,5,0,2,1,1,3,0
146,LIBERTY,006,134,46,4,47,10,22,5,0
147,LIMESTONE,007,14,1,0,6,1,5,1,0
148,LIPSCOMB,001,5,0,0,0,5,0,0,0
149,LIVE OAK,011,22,8,0,9,1,3,1,0
150,LLANO,007,27,9,0,9,5,3,1,0
151,LOVING,009,0,0,0,0,0,0,0,0
152,LUBBOCK,001,271,63,2,52,58,64,29,3
153,LYNN,001,1,0,0,0,0,0,1,0
154,MADISON,007,12,3,6,3,0,0,0,0
155,MARION,004,12,6,0,3,0,2,0,1
156,MARTIN,009,1,0,0,1,0,0,0,0
157,MASON,009,1,0,0,0,0,1,0,0
158,MATAGORDA,006,12,0,0,8,1,0,2,1
159,MAVERICK,008,4,1,0,0,0,3,0,0
