,County,Region,Paid Foster  Care Clients,Foster Care  Expenditures*
1,ANDERSON,004,74,"$1,119,812"
2,ANDREWS,009,35,"$526,859"
3,ANGELINA,005,77,"$858,716"
4,ARANSAS,011,69,"$769,281"
5,ARCHER,002,4,"$32,932"
6,ARMSTRONG,001,7,"$43,556"
7,ATASCOSA,008,150,"$1,839,947"
8,AUSTIN,006,22,"$143,829"
9,BAILEY,001,28,"$291,014"
10,BANDERA,008,46,"$623,091"
11,BASTROP,007,142,"$1,683,835"
12,BAYLOR,002,4,"$43,258"
13,BEE,011,84,"$1,057,040"
14,BELL,007,602,"$5,789,408"
15,BEXAR,008,3410,"$42,928,389"
16,BLANCO,007,1,"$47,769"
17,BORDEN,009,5,"$18,970"
18,BOSQUE,007,28,"$265,942"
19,BOWIE,004,123,"$1,580,603"
20,BRAZORIA,006,191,"$2,752,472"
21,BRAZOS,007,145,"$2,049,219"
22,BREWSTER,010,3,"$40,037"
23,BRISCOE,001,1,"$26,086"
24,BROOKS,011,28,"$408,371"
25,BROWN,002,94,"$1,230,969"
26,BURLESON,007,30,"$339,270"
27,BURNET,007,81,"$1,040,384"
28,CALDWELL,007,54,"$800,937"
29,CALHOUN,008,22,"$334,727"
30,CALLAHAN,002,12,"$198,244"
31,CAMERON,011,357,"$3,745,330"
32,CAMP,004,36,"$300,989"
33,CARSON,001,6,"$88,511"
34,CASS,004,32,"$172,376"
35,CASTRO,001,18,"$220,875"
36,CHAMBERS,006,33,"$426,437"
37,CHEROKEE,004,131,"$1,484,268"
38,CHILDRESS,001,13,"$262,610"
39,CLAY,002,9,"$177,885"
40,COCHRAN,001,7,"$107,430"
41,COKE,009,8,"$148,389"
42,COLEMAN,002,28,"$316,875"
43,COLLIN,003,327,"$3,808,460"
44,COLLINGSWORTH,001,5,"$45,663"
45,COLORADO,006,14,"$166,966"
46,COMAL,008,146,"$1,227,525"
47,COMANCHE,002,23,"$196,528"
48,CONCHO,009,5,"$65,251"
49,COOKE,003,98,"$1,091,881"
50,CORYELL,007,106,"$832,833"
51,COTTLE,002,0,$0
52,CRANE,009,3,"$45,983"
53,CROCKETT,009,3,"$39,889"
54,CROSBY,001,9,"$138,004"
55,CULBERSON,010,0,$0
56,DALLAM,001,9,"$170,203"
57,DALLAS,003,2553,"$25,830,518"
58,DAWSON,009,41,"$378,729"
59,DEAF SMITH,001,42,"$573,521"
60,DELTA,004,5,"$46,680"
61,DENTON,003,401,"$4,023,756"
62,DE WITT,008,35,"$483,902"
63,DICKENS,001,5,"$102,776"
64,DIMMIT,008,48,"$700,576"
65,DONLEY,001,7,"$197,691"
66,DUVAL,011,20,"$334,939"
67,EASTLAND,002,25,"$392,368"
68,ECTOR,009,315,"$4,615,358"
69,EDWARDS,008,7,"$133,675"
70,ELLIS,003,53,"$689,252"
71,EL PASO,010,582,"$7,146,174"
72,ERATH,003,41,"$444,347"
73,FALLS,007,26,"$197,750"
74,FANNIN,003,17,"$256,765"
75,FAYETTE,007,40,"$477,171"
76,FISHER,002,2,"$29,600"
77,FLOYD,001,35,"$332,661"
78,FOARD,002,2,"$5,177"
79,FORT BEND,006,149,"$1,946,327"
80,FRANKLIN,004,14,"$66,013"
81,FREESTONE,007,12,"$171,438"
82,FRIO,008,68,"$906,582"
83,GAINES,009,21,"$479,411"
84,GALVESTON,006,164,"$1,985,757"
85,GARZA,001,21,"$158,615"
86,GILLESPIE,008,40,"$635,997"
87,GLASSCOCK,009,0,$0
88,GOLIAD,008,2,"$9,847"
89,GONZALES,008,20,"$151,320"
90,GRAY,001,70,"$1,141,379"
91,GRAYSON,003,162,"$1,564,347"
92,GREGG,004,257,"$3,355,001"
93,GRIMES,007,32,"$320,426"
94,GUADALUPE,008,106,"$1,255,352"
95,HALE,001,75,"$919,656"
96,HALL,001,14,"$113,493"
97,HAMILTON,007,15,"$203,870"
98,HANSFORD,001,6,"$87,358"
99,HARDEMAN,002,9,"$53,528"
100,HARDIN,005,42,"$332,534"
101,HARRIS,006,4193,"$56,166,261"
102,HARRISON,004,98,"$950,202"
103,HARTLEY,001,1,"$5,568"
104,HASKELL,002,10,"$152,769"
105,HAYS,007,91,"$1,087,948"
106,HEMPHILL,001,9,"$44,052"
107,HENDERSON,004,151,"$2,080,663"
108,HIDALGO,011,882,"$8,511,531"
109,HILL,007,51,"$677,052"
110,HOCKLEY,001,79,"$849,043"
111,HOOD,003,97,"$1,104,074"
112,HOPKINS,004,30,"$369,855"
113,HOUSTON,005,45,"$686,221"
114,HOWARD,009,94,"$989,972"
115,HUDSPETH,010,0,$0
116,HUNT,003,186,"$1,605,307"
117,HUTCHINSON,001,20,"$323,054"
118,IRION,009,1,"$8,085"
119,JACK,002,8,"$159,273"
120,JACKSON,008,3,"$40,997"
121,JASPER,005,41,"$468,303"
122,JEFF DAVIS,010,0,$0
123,JEFFERSON,005,277,"$2,241,242"
