,County,Region,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving In-Home Services
1,ANDERSON,004,49,"$47,704.96",112,25,"$2,869.57",160
2,ANDREWS,009,9,"$15,550.74",47,11,$565.00,96
3,ANGELINA,005,82,"$69,432.89",114,52,"$5,136.92",204
4,ARANSAS,011,28,"$16,683.95",94,13,"$1,552.71",195
5,ARCHER,002,5,$468.00,6,0,$0.00,21
6,ARMSTRONG,001,0,$0.00,7,0,$0.00,5
7,ATASCOSA,008,39,"$36,876.16",255,17,"$2,515.54",288
8,AUSTIN,006,10,"$8,684.57",30,5,$898.23,91
9,BAILEY,001,14,"$18,027.32",25,0,$0.00,15
10,BANDERA,008,9,"$14,281.70",65,4,$207.25,66
11,BASTROP,007,18,"$26,188.66",260,3,$698.18,267
12,BAYLOR,002,0,$0.00,4,0,$0.00,23
13,BEE,011,34,"$16,367.02",129,23,"$3,174.48",306
14,BELL,007,249,"$235,603.26",979,61,"$14,837.62",1220
15,BEXAR,008,2421,"$3,531,563.11",5467,1089,"$238,556.58",10751
16,BLANCO,007,3,"$3,450.00",4,0,$0.00,12
17,BORDEN,009,0,$0.00,8,0,$0.00,2
18,BOSQUE,007,11,"$27,400.25",40,3,$825.43,64
19,BOWIE,004,67,"$41,379.67",215,77,"$7,807.75",276
20,BRAZORIA,006,142,"$117,322.74",266,106,"$28,326.43",867
21,BRAZOS,007,65,"$68,532.79",190,14,"$3,127.63",293
22,BREWSTER,010,1,"$3,320.00",3,0,$0.00,21
23,BRISCOE,001,0,$0.00,2,0,$0.00,1
24,BROOKS,011,8,"$11,375.34",33,10,"$1,675.94",74
25,BROWN,002,144,"$102,576.26",135,6,$666.51,130
26,BURLESON,007,7,"$4,628.95",50,0,$0.00,26
27,BURNET,007,29,"$18,087.86",132,10,"$1,534.84",102
28,CALDWELL,007,32,"$47,545.97",123,5,$437.50,84
29,CALHOUN,008,3,"$5,545.45",22,0,$0.00,92
30,CALLAHAN,002,1,"$3,000.00",14,2,$62.00,36
31,CAMERON,011,236,"$203,395.45",515,147,"$16,974.61",2889
32,CAMP,004,22,"$14,044.62",60,6,$570.00,80
33,CARSON,001,3,$459.52,6,3,$252.00,11
34,CASS,004,24,"$22,309.51",73,35,"$3,314.52",91
35,CASTRO,001,12,"$2,428.57",36,7,$704.82,74
36,CHAMBERS,006,10,"$9,473.84",58,10,"$1,579.44",80
37,CHEROKEE,004,32,"$38,651.94",174,9,$586.76,148
38,CHILDRESS,001,8,"$7,355.32",18,7,"$1,909.96",53
39,CLAY,002,5,"$4,653.70",12,1,$95.00,11
40,COCHRAN,001,1,"$3,294.68",7,0,$0.00,10
41,COKE,009,3,$569.67,9,0,$0.00,12
42,COLEMAN,002,10,"$13,520.38",40,4,$306.45,72
43,COLLIN,003,373,"$161,574.22",451,19,"$4,727.32",1101
44,COLLINGSWORTH,001,0,$0.00,5,4,$590.85,10
45,COLORADO,006,7,"$5,945.41",24,2,$61.12,55
46,COMAL,008,18,"$16,467.22",235,22,"$4,394.83",484
47,COMANCHE,002,15,"$2,866.58",35,0,$0.00,33
48,CONCHO,009,5,"$2,815.26",6,0,$0.00,1
49,COOKE,003,112,"$45,052.25",125,1,$195.50,159
50,CORYELL,007,22,"$25,565.79",181,3,$593.60,290
51,COTTLE,002,0,$0.00,0,0,$0.00,4
52,CRANE,009,1,$95.00,5,0,$0.00,4
53,CROCKETT,009,1,$97.46,4,1,$91.55,17
54,CROSBY,001,4,"$1,910.14",17,0,$0.00,20
55,CULBERSON,010,1,$350.00,6,0,$0.00,15
56,DALLAM,001,0,$0.00,12,3,$550.92,31
57,DALLAS,003,3033,"$1,956,448.31",3984,193,"$51,117.50",6090
58,DAWSON,009,17,"$10,611.89",71,14,"$3,492.52",98
59,DEAF SMITH,001,19,"$3,172.31",55,11,"$2,899.19",81
60,DELTA,004,8,"$8,376.40",12,4,$729.70,25
61,DENTON,003,611,"$373,761.92",597,33,"$9,034.67",919
62,DE WITT,008,7,"$2,225.00",58,0,$0.00,52
63,DICKENS,001,0,$0.00,8,0,$0.00,29
64,DIMMIT,008,9,"$2,121.89",71,3,$327.00,55
65,DONLEY,001,6,"$1,130.06",11,1,$84.00,18
66,DUVAL,011,8,"$1,800.00",24,8,"$2,087.15",117
67,EASTLAND,002,10,"$6,610.82",42,5,$269.50,57
68,ECTOR,009,208,"$184,527.26",451,78,"$9,960.53",716
69,EDWARDS,008,0,$0.00,14,0,$0.00,11
70,ELLIS,003,125,"$52,510.07",76,27,"$10,209.82",276
71,EL PASO,010,435,"$481,794.03",806,78,"$15,711.92",2715
72,ERATH,003,61,"$24,167.14",55,9,"$3,067.08",134
73,FALLS,007,5,"$4,218.10",34,1,$28.70,25
74,FANNIN,003,20,"$9,741.05",24,0,$0.00,70
75,FAYETTE,007,6,"$6,900.25",73,0,$0.00,51
76,FISHER,002,1,"$1,280.61",2,0,$0.00,24
77,FLOYD,001,4,"$4,675.98",45,0,$0.00,32
78,FOARD,002,0,$0.00,2,0,$0.00,4
79,FORT BEND,006,110,"$83,925.41",223,88,"$23,126.85",1159
80,FRANKLIN,004,6,"$1,272.71",28,9,$809.65,39
81,FREESTONE,007,8,"$15,800.00",30,0,$0.00,12
82,FRIO,008,14,"$4,575.00",102,8,$285.00,101
83,GAINES,009,6,"$7,800.63",26,1,$27.00,32
84,GALVESTON,006,107,"$83,144.60",280,78,"$16,779.65",1200
85,GARZA,001,5,"$4,279.43",30,0,$0.00,74
86,GILLESPIE,008,15,"$17,256.25",46,11,"$1,344.78",73
87,GLASSCOCK,009,0,$0.00,0,0,$0.00,0
88,GOLIAD,008,2,"$4,150.00",2,0,$0.00,18
89,GONZALES,008,3,"$3,750.00",40,1,$27.00,42
90,GRAY,001,26,"$20,275.26",95,33,"$5,813.17",132
91,GRAYSON,003,159,"$88,638.16",199,3,$396.70,479
92,GREGG,004,107,"$115,682.45",335,72,"$7,405.93",437
93,GRIMES,007,11,"$9,799.84",46,0,$0.00,52
94,GUADALUPE,008,23,"$22,361.87",206,20,"$2,691.90",415
95,HALE,001,16,"$11,057.65",100,13,"$1,422.59",227
96,HALL,001,1,$770.00,17,4,$563.40,26
97,HAMILTON,007,6,"$4,200.00",20,0,$0.00,14
98,HANSFORD,001,3,"$1,979.64",6,0,$0.00,4
