,County,Region,Child Population Age 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
1,ANDERSON,004,9038,11,938,1,12,8,3
2,ANDREWS,009,3486,4,362,0,0,1,2
3,ANGELINA,005,18360,36,3293,3,36,3,2
4,ARANSAS,011,3404,6,400,0,0,2,1
5,ARCHER,002,1537,4,224,1,12,3,1
6,ARMSTRONG,001,290,0,0,0,0,1,2
7,ATASCOSA,008,10100,7,555,3,36,2,3
8,AUSTIN,006,5596,11,922,0,0,7,2
9,BAILEY,001,1880,3,158,0,0,1,0
10,BANDERA,008,2875,5,359,0,0,0,0
11,BASTROP,007,15773,35,3030,3,36,12,6
12,BAYLOR,002,596,3,160,0,0,2,1
13,BEE,011,5347,7,729,1,12,3,2
14,BELL,007,78047,156,14290,35,418,78,99
15,BEXAR,008,377524,561,61794,39,462,203,391
16,BLANCO,007,1676,6,275,0,0,3,0
17,BORDEN,009,80,1,13,0,0,0,0
18,BOSQUE,007,3088,4,205,2,24,2,1
19,BOWIE,004,16981,40,3932,5,60,22,7
20,BRAZORIA,006,73420,149,17501,13,156,36,54
21,BRAZOS,007,37465,71,6925,13,153,40,27
22,BREWSTER,010,1517,4,295,1,12,7,1
23,BRISCOE,001,260,0,0,0,0,1,0
24,BROOKS,011,1577,6,280,0,0,0,0
25,BROWN,002,7029,15,1154,1,12,8,10
26,BURLESON,007,3148,6,340,1,12,4,2
27,BURNET,007,7687,17,1378,2,24,5,2
28,CALDWELL,007,7751,15,860,0,0,10,0
29,CALHOUN,008,4425,7,489,2,24,0,1
30,CALLAHAN,002,2455,3,83,1,12,6,1
31,CAMERON,011,108458,209,14680,24,282,29,30
32,CAMP,004,2578,5,425,1,12,2,0
33,CARSON,001,1131,0,0,0,0,0,2
34,CASS,004,5307,4,334,0,0,5,0
35,CASTRO,001,1922,3,91,0,0,0,1
36,CHAMBERS,006,7867,16,1611,1,12,6,4
37,CHEROKEE,004,10553,12,1114,1,12,11,3
38,CHILDRESS,001,1172,4,125,2,24,10,3
39,CLAY,002,1764,4,168,1,12,1,3
40,COCHRAN,001,678,1,26,0,0,0,0
41,COKE,009,485,1,17,0,0,0,0
42,COLEMAN,002,1492,3,134,3,36,2,3
43,COLLIN,003,186681,346,51045,93,1112,212,174
44,COLLINGSWORTH,001,652,0,0,1,12,1,1
45,COLORADO,006,3801,10,645,2,24,3,5
46,COMAL,008,20206,43,4168,3,36,21,9
47,COMANCHE,002,2555,4,143,3,36,3,1
48,CONCHO,009,445,2,85,0,0,0,1
49,COOKE,003,7610,8,643,9,108,17,14
50,CORYELL,007,18057,31,2609,4,46,14,8
51,COTTLE,002,264,1,34,0,0,0,0
52,CRANE,009,998,1,40,0,0,1,0
53,CROCKETT,009,764,2,80,1,12,1,0
54,CROSBY,001,1344,0,0,0,0,1,2
55,CULBERSON,010,506,1,59,0,0,0,0
56,DALLAM,001,1680,1,54,1,12,2,2
57,DALLAS,003,538718,778,88124,131,1564,675,560
58,DAWSON,009,2701,2,322,3,36,3,1
59,DEAF SMITH,001,5110,6,450,0,0,15,1
60,DELTA,004,852,1,21,0,0,1,0
61,DENTON,003,154182,247,33294,94,1124,188,184
62,DE WITT,008,3474,6,330,2,24,5,0
