,County,Region,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity
1,ANDERSON,004,11544,0,14,0,0,0,14,44
2,ANDREWS,009,4490,0,5,0,0,0,5,20
3,ANGELINA,005,23650,2,34,0,0,0,36,98
4,ARANSAS,011,4509,0,5,0,0,0,5,19
5,ARCHER,002,2141,0,2,0,0,0,2,4
6,ARMSTRONG,001,378,0,0,0,0,0,0,0
7,ATASCOSA,008,13413,0,17,0,0,0,17,25
8,AUSTIN,006,7417,0,7,0,0,1,8,53
9,BAILEY,001,2349,0,6,0,0,0,6,31
10,BANDERA,008,3990,0,10,1,0,0,11,170
11,BASTROP,007,20899,0,37,1,0,0,38,167
12,BAYLOR,002,759,0,0,0,0,0,0,0
13,BEE,011,6877,0,9,1,0,0,10,182
14,BELL,007,95920,7,241,2,0,1,251,811
15,BEXAR,008,484144,35,1092,15,0,7,1149,4089
16,BLANCO,007,2278,0,1,0,0,0,1,0
17,BORDEN,009,126,0,0,0,0,0,0,0
18,BOSQUE,007,4081,0,5,0,0,0,5,18
19,BOWIE,004,21992,0,25,0,0,0,25,56
20,BRAZORIA,006,93684,1,122,3,0,3,129,662
21,BRAZOS,007,45584,3,58,1,0,1,63,196
22,BREWSTER,010,1957,0,1,0,0,0,1,3
23,BRISCOE,001,341,0,2,0,0,0,2,4
24,BROOKS,011,1999,0,0,0,0,0,0,0
25,BROWN,002,9128,7,59,1,0,0,67,285
26,BURLESON,007,4135,0,6,0,0,0,6,17
27,BURNET,007,10190,0,18,0,0,0,18,50
28,CALDWELL,007,10196,0,26,0,0,1,27,274
29,CALHOUN,008,5799,0,5,0,0,0,5,16
30,CALLAHAN,002,3289,0,11,0,0,0,11,34
31,CAMERON,011,139814,9,163,9,0,0,181,1763
32,CAMP,004,3393,0,7,0,0,0,7,11
33,CARSON,001,1531,0,2,0,0,0,2,4
34,CASS,004,6996,0,6,0,0,0,6,23
35,CASTRO,001,2498,0,4,0,0,0,4,12
36,CHAMBERS,006,10550,0,9,0,0,0,9,29
37,CHEROKEE,004,13583,0,17,0,0,0,17,56
38,CHILDRESS,001,1506,0,1,0,0,0,1,4
39,CLAY,002,2381,0,6,0,0,0,6,17
40,COCHRAN,001,886,0,0,0,0,0,0,0
41,COKE,009,643,0,0,0,0,0,0,0
42,COLEMAN,002,1984,0,4,0,0,0,4,19
43,COLLIN,003,243933,5,199,1,0,0,205,482
44,COLLINGSWORTH,001,847,0,0,0,0,0,0,0
45,COLORADO,006,4947,0,2,0,0,0,2,0
46,COMAL,008,27233,1,45,4,0,1,51,322
47,COMANCHE,002,3324,1,11,0,0,0,12,41
48,CONCHO,009,572,0,2,0,0,0,2,6
49,COOKE,003,9817,0,2,0,0,0,2,2
50,CORYELL,007,22515,1,28,0,0,0,29,104
51,COTTLE,002,340,0,0,0,0,0,0,0
52,CRANE,009,1285,0,0,0,0,0,0,0
53,CROCKETT,009,972,0,2,0,0,0,2,4
54,CROSBY,001,1747,0,2,0,0,0,2,7
55,CULBERSON,010,655,0,0,0,0,0,0,0
56,DALLAM,001,2094,0,0,0,0,0,0,0
57,DALLAS,003,675112,51,735,5,0,4,795,2609
58,DAWSON,009,3418,0,5,0,0,0,5,26
59,DEAF SMITH,001,6438,0,2,0,0,0,2,3
60,DELTA,004,1133,0,6,0,0,0,6,13
61,DENTON,003,199161,2,176,1,0,0,179,498
62,DE WITT,008,4486,0,6,1,0,0,7,65
63,DICKENS,001,474,0,0,0,0,0,0,0
64,DIMMIT,008,2907,0,1,0,0,0,1,3
65,DONLEY,001,717,0,3,0,0,0,3,11
66,DUVAL,011,3032,0,0,0,0,0,0,0
67,EASTLAND,002,4220,0,6,0,0,0,6,20
68,ECTOR,009,41635,2,40,0,0,0,42,103
69,EDWARDS,008,414,0,1,0,0,0,1,2
70,ELLIS,003,45509,2,93,1,0,0,96,463
71,EL PASO,010,246082,9,184,6,0,0,199,865
72,ERATH,003,8809,1,12,1,0,0,14,110
73,FALLS,007,3861,0,9,1,0,1,11,120
74,FANNIN,003,7558,0,11,0,0,0,11,30
75,FAYETTE,007,5441,0,3,0,0,1,4,27
76,FISHER,002,805,0,0,0,0,0,0,0
77,FLOYD,001,1789,0,3,0,0,0,3,15
78,FOARD,002,251,0,0,0,0,0,0,0
79,FORT BEND,006,190409,5,274,1,0,4,284,1118
