,County,Region,STAR*,CYD**,SYSN***,TOTAL
1,ANDERSON,004,137,0,3,140
2,ANDREWS,009,2,0,0,2
3,ANGELINA,005,165,0,33,198
4,ARANSAS,011,43,0,0,43
5,ARCHER,002,3,0,2,5
6,ARMSTRONG,001,3,0,0,3
7,ATASCOSA,008,88,0,0,88
8,AUSTIN,006,73,0,21,94
9,BAILEY,001,17,0,0,17
10,BANDERA,008,71,0,9,80
11,BASTROP,007,112,0,15,127
12,BAYLOR,002,7,0,0,7
13,BEE,011,62,0,0,62
14,BELL,007,440,0,138,578
15,BEXAR,008,967,934,233,2134
16,BLANCO,007,36,0,0,36
17,BORDEN,009,0,0,0,0
18,BOSQUE,007,12,0,0,12
19,BOWIE,004,143,0,0,143
20,BRAZORIA,006,352,0,68,420
21,BRAZOS,007,284,0,1,285
22,BREWSTER,010,10,0,0,10
23,BRISCOE,001,0,0,0,0
24,BROOKS,011,11,0,0,11
25,BROWN,002,23,0,4,27
26,BURLESON,007,95,0,0,95
27,BURNET,007,19,0,24,43
28,CALDWELL,007,108,0,4,112
29,CALHOUN,008,138,0,0,138
30,CALLAHAN,002,2,0,0,2
31,CAMERON,011,432,1996,70,2498
32,CAMP,004,17,0,0,17
33,CARSON,001,3,0,0,3
34,CASS,004,38,0,0,38
35,CASTRO,001,26,0,0,26
36,CHAMBERS,006,4,0,0,4
37,CHEROKEE,004,128,0,0,128
38,CHILDRESS,001,0,0,0,0
39,CLAY,002,0,0,0,0
40,COCHRAN,001,15,0,0,15
41,COKE,009,6,0,3,9
42,COLEMAN,002,24,0,0,24
43,COLLIN,003,424,0,142,566
44,COLLINGSWORTH,001,15,0,0,15
45,COLORADO,006,87,0,26,113
46,COMAL,008,486,0,11,497
47,COMANCHE,002,8,0,0,8
48,CONCHO,009,2,0,0,2
49,COOKE,003,11,0,32,43
50,CORYELL,007,28,0,59,87
51,COTTLE,002,4,0,0,4
52,CRANE,009,3,0,0,3
53,CROCKETT,009,10,0,0,10
54,CROSBY,001,28,0,0,28
55,CULBERSON,010,6,0,0,6
56,DALLAM,001,17,0,2,19
57,DALLAS,003,287,1898,374,2559
58,DAWSON,009,12,0,4,16
59,DEAF SMITH,001,115,0,24,139
60,DELTA,004,22,0,1,23
61,DENTON,003,555,0,80,635
62,DE WITT,008,43,0,0,43
63,DICKENS,001,13,0,0,13
64,DIMMIT,008,1,0,0,1
65,DONLEY,001,2,0,0,2
66,DUVAL,011,2,0,0,2
67,EASTLAND,002,3,0,0,3
68,ECTOR,009,90,0,22,112
69,EDWARDS,008,6,0,0,6
70,ELLIS,003,68,0,54,122
71,EL PASO,010,716,1367,62,2145
72,ERATH,003,104,0,24,128
73,FALLS,007,22,0,10,32
74,FANNIN,003,53,0,0,53
75,FAYETTE,007,93,0,19,112
76,FISHER,002,4,0,0,4
77,FLOYD,001,18,0,0,18
78,FOARD,002,1,0,0,1
79,FORT BEND,006,125,0,78,203
80,FRANKLIN,004,1,0,0,1
81,FREESTONE,007,9,0,0,9
82,FRIO,008,1,0,0,1
83,GAINES,009,17,0,0,17
84,GALVESTON,006,464,841,3,1308
85,GARZA,001,1,0,0,1
86,GILLESPIE,008,46,0,35,81
87,GLASSCOCK,009,0,0,0,0
88,GOLIAD,008,10,0,0,10
89,GONZALES,008,80,0,0,80
90,GRAY,001,27,0,1,28
91,GRAYSON,003,199,0,29,228
92,GREGG,004,253,0,19,272
93,GRIMES,007,122,0,0,122
94,GUADALUPE,008,112,0,2,114
95,HALE,001,91,0,19,110
96,HALL,001,3,0,0,3
97,HAMILTON,007,1,0,0,1
98,HANSFORD,001,14,0,17,31
99,HARDEMAN,002,29,0,1,30
100,HARDIN,005,36,0,0,36
101,HARRIS,006,1193,1925,500,3618
102,HARRISON,004,151,0,25,176
103,HARTLEY,001,0,0,0,0
104,HASKELL,002,13,0,0,13
105,HAYS,007,280,0,54,334
106,HEMPHILL,001,1,0,0,1
107,HENDERSON,004,139,0,0,139
108,HIDALGO,011,543,1768,271,2582
109,HILL,007,27,0,8,35
110,HOCKLEY,001,40,0,0,40
111,HOOD,003,15,0,0,15
112,HOPKINS,004,83,0,1,84
113,HOUSTON,005,5,0,0,5
114,HOWARD,009,23,0,10,33
