,County,Region,Not Open To Services,Family Preservation,Family Subsitute Care*,Total
1,ANDERSON,004,326,31,13,370
2,ANDREWS,009,78,27,7,112
3,ANGELINA,005,596,41,18,655
4,ARANSAS,011,143,43,15,201
5,ARCHER,002,34,3,3,40
6,ARMSTRONG,001,10,2,1,13
7,ATASCOSA,008,242,63,39,344
8,AUSTIN,006,106,27,6,139
9,BAILEY,001,31,4,6,41
10,BANDERA,008,95,15,10,120
11,BASTROP,007,470,47,52,569
12,BAYLOR,002,22,6,0,28
13,BEE,011,187,70,16,273
14,BELL,007,2691,224,257,3172
15,BEXAR,008,9969,2413,781,13163
16,BLANCO,007,61,4,0,65
17,BORDEN,009,1,1,1,3
18,BOSQUE,007,100,11,3,114
19,BOWIE,004,597,43,47,687
20,BRAZORIA,006,1211,192,38,1441
21,BRAZOS,007,815,59,39,913
22,BREWSTER,010,29,8,0,37
23,BRISCOE,001,8,0,0,8
24,BROOKS,011,81,17,5,103
25,BROWN,002,264,37,27,328
26,BURLESON,007,87,1,6,94
27,BURNET,007,229,22,30,281
28,CALDWELL,007,259,17,22,298
29,CALHOUN,008,114,29,3,146
30,CALLAHAN,002,88,9,2,99
31,CAMERON,011,2217,663,107,2987
32,CAMP,004,93,19,10,122
33,CARSON,001,35,2,2,39
34,CASS,004,211,24,18,253
35,CASTRO,001,32,16,1,49
36,CHAMBERS,006,158,21,13,192
37,CHEROKEE,004,351,22,22,395
38,CHILDRESS,001,38,13,1,52
39,CLAY,002,45,5,2,52
40,COCHRAN,001,16,4,1,21
41,COKE,009,21,4,2,27
42,COLEMAN,002,54,25,11,90
43,COLLIN,003,2516,279,102,2897
44,COLLINGSWORTH,001,18,1,1,20
45,COLORADO,006,104,16,6,126
46,COMAL,008,501,118,51,670
47,COMANCHE,002,78,12,5,95
48,CONCHO,009,24,0,0,24
49,COOKE,003,294,42,35,371
50,CORYELL,007,649,61,54,764
51,COTTLE,002,11,0,0,11
52,CRANE,009,12,0,2,14
53,CROCKETT,009,20,2,0,22
54,CROSBY,001,47,8,1,56
55,CULBERSON,010,8,1,0,9
56,DALLAM,001,58,4,1,63
57,DALLAS,003,11769,1490,694,13953
58,DAWSON,009,96,23,11,130
59,DEAF SMITH,001,136,17,3,156
60,DELTA,004,29,4,1,34
61,DENTON,003,2678,224,127,3029
62,DE WITT,008,138,17,8,163
63,DICKENS,001,20,6,0,26
64,DIMMIT,008,80,8,7,95
65,DONLEY,001,20,3,0,23
66,DUVAL,011,80,16,4,100
67,EASTLAND,002,109,14,5,128
68,ECTOR,009,1075,127,85,1287
69,EDWARDS,008,6,2,1,9
70,ELLIS,003,769,74,21,864
71,EL PASO,010,3548,662,105,4315
72,ERATH,003,161,41,11,213
73,FALLS,007,78,5,5,88
74,FANNIN,003,212,27,4,243
75,FAYETTE,007,124,4,9,137
76,FISHER,002,24,2,0,26
77,FLOYD,001,51,3,7,61
78,FOARD,002,5,2,2,9
79,FORT BEND,006,1401,333,56,1790
80,FRANKLIN,004,36,7,9,52
81,FREESTONE,007,108,5,6,119
82,FRIO,008,109,23,16,148
83,GAINES,009,63,6,4,73
84,GALVESTON,006,1500,288,60,1848
85,GARZA,001,33,10,7,50
86,GILLESPIE,008,78,16,6,100
87,GLASSCOCK,009,1,0,0,1
88,GOLIAD,008,45,6,0,51
89,GONZALES,008,103,17,7,127
90,GRAY,001,183,32,11,226
91,GRAYSON,003,866,124,56,1046
92,GREGG,004,849,105,63,1017
93,GRIMES,007,123,12,12,147
94,GUADALUPE,008,716,80,37,833
95,HALE,001,213,60,14,287
96,HALL,001,20,3,2,25
97,HAMILTON,007,49,3,4,56
98,HANSFORD,001,31,0,1,32
99,HARDEMAN,002,34,3,2,39
100,HARDIN,005,322,19,5,346
101,HARRIS,006,16931,2114,951,19996
102,HARRISON,004,407,46,24,477
103,HARTLEY,001,12,2,0,14
104,HASKELL,002,24,5,3,32
105,HAYS,007,901,34,36,971
106,HEMPHILL,001,8,2,1,11
107,HENDERSON,004,542,50,45,637
108,HIDALGO,011,4579,1211,172,5962
109,HILL,007,243,17,18,278
110,HOCKLEY,001,169,35,22,226
111,HOOD,003,339,70,18,427
112,HOPKINS,004,193,19,15,227
113,HOUSTON,005,120,12,12,144
114,HOWARD,009,239,40,35,314
115,HUDSPETH,010,6,2,0,8
116,HUNT,003,563,84,65,712
117,HUTCHINSON,001,191,18,5,214
118,IRION,009,3,1,0,4
119,JACK,002,46,13,4,63
120,JACKSON,008,61,14,3,78
121,JASPER,005,254,28,8,290
122,JEFF DAVIS,010,6,0,0,6
123,JEFFERSON,005,1539,101,68,1708
124,JIM HOGG,011,36,13,3,52
125,JIM WELLS,011,322,60,21,403
126,JOHNSON,003,1024,194,63,1281
127,JONES,002,121,17,6,144
128,KARNES,008,69,20,3,92
129,KAUFMAN,003,448,78,23,549
130,KENDALL,008,90,16,6,112
131,KENEDY,011,2,0,2,4
132,KENT,002,1,2,0,3
133,KERR,008,258,50,24,332
134,KIMBLE,009,32,4,2,38
135,KING,001,1,0,0,1
136,KINNEY,008,13,0,1,14
137,KLEBERG,011,201,42,7,250
138,KNOX,002,26,3,0,29
139,LAMAR,004,362,44,21,427
140,LAMB,001,102,20,4,126
141,LAMPASAS,007,158,10,16,184
142,LA SALLE,008,30,13,2,45
143,LAVACA,008,63,7,6,76
144,LEE,007,107,11,9,127
145,LEON,007,98,8,8,114
146,LIBERTY,006,527,92,54,673
147,LIMESTONE,007,154,5,6,165
148,LIPSCOMB,001,13,2,0,15
149,LIVE OAK,011,72,16,7,95
150,LLANO,007,119,9,10,138
151,LOVING,009,0,0,0,0
152,LUBBOCK,001,1943,363,120,2426
153,LYNN,001,36,8,2,46
154,MADISON,007,63,3,10,76
155,MARION,004,107,17,7,131
156,MARTIN,009,21,0,0,21
157,MASON,009,20,1,0,21
158,MATAGORDA,006,183,29,11,223
159,MAVERICK,008,199,9,4,212
160,MCCULLOCH,009,91,15,4,110
161,MCLENNAN,007,1678,213,105,1996
162,MCMULLEN,011,2,0,0,2
163,MEDINA,008,220,50,34,304
164,MENARD,009,15,1,1,17
165,MIDLAND,009,761,70,34,865
166,MILAM,007,168,20,22,210
167,MILLS,007,24,1,3,28
168,MITCHELL,002,74,17,4,95
169,MONTAGUE,002,143,35,10,188
170,MONTGOMERY,006,1926,229,149,2304
171,MOORE,001,152,10,4,166
172,MORRIS,004,96,17,8,121
173,MOTLEY,001,2,0,0,2
174,NACOGDOCHES,005,281,19,26,326
175,NAVARRO,003,284,30,16,330
176,NEWTON,005,72,3,3,78
177,NOLAN,002,184,28,8,220
178,NUECES,011,2259,472,77,2808
179,OCHILTREE,001,55,9,3,67
180,OLDHAM,001,11,1,0,12
181,ORANGE,005,775,37,38,850
182,PALO PINTO,003,236,58,23,317
183,PANOLA,004,149,9,2,160
184,PARKER,003,750,96,48,894
185,PARMER,001,34,7,0,41
186,PECOS,009,71,9,4,84
187,POLK,005,263,24,29,316
188,POTTER,001,1151,232,65,1448
189,PRESIDIO,010,27,1,0,28
190,RAINS,004,68,3,3,74
191,RANDALL,001,614,111,39,764
192,REAGAN,009,10,1,0,11
193,REAL,008,28,5,4,37
194,RED RIVER,004,55,14,6,75
195,REEVES,009,68,9,2,79
196,REFUGIO,011,35,10,4,49
197,ROBERTS,001,3,0,0,3
198,ROBERTSON,007,86,7,7,100
199,ROCKWALL,003,255,16,12,283
200,RUNNELS,002,47,11,14,72
201,RUSK,004,317,23,30,370
202,SABINE,005,46,5,1,52
203,SAN AUGUSTINE,005,60,3,5,68
204,SAN JACINTO,005,213,14,13,240
205,SAN PATRICIO,011,462,154,25,641
206,SAN SABA,007,29,5,3,37
207,SCHLEICHER,009,11,4,4,19
208,SCURRY,002,139,16,8,163
209,SHACKELFORD,002,13,0,0,13
210,SHELBY,005,162,17,14,193
211,SHERMAN,001,7,1,0,8
212,SMITH,004,1069,108,92,1269
213,SOMERVELL,003,42,10,7,59
214,STARR,011,224,69,14,307
215,STEPHENS,002,48,10,3,61
216,STERLING,009,12,1,0,13
217,STONEWALL,002,11,2,0,13
218,SUTTON,009,22,4,0,26
219,SWISHER,001,41,7,0,48
220,TARRANT,003,10517,1314,453,12284
221,TAYLOR,002,1250,240,60,1550
222,TERRELL,009,3,0,0,3
223,TERRY,001,78,21,13,112
224,THROCKMORTON,002,6,0,0,6
225,TITUS,004,171,11,5,187
226,TOM GREEN,009,805,140,89,1034
227,TRAVIS,007,6394,555,334,7283
228,TRINITY,005,103,8,6,117
229,TYLER,005,121,3,8,132
230,UPSHUR,004,270,25,23,318
231,UPTON,009,17,3,1,21
232,UVALDE,008,171,24,11,206
233,VAL VERDE,008,212,18,11,241
234,VAN ZANDT,004,325,38,26,389
235,VICTORIA,008,617,112,34,763
236,WALKER,006,201,29,24,254
237,WALLER,006,188,44,15,247
238,WARD,009,80,7,2,89
239,WASHINGTON,007,136,12,11,159
240,WEBB,011,995,540,142,1677
241,WHARTON,006,164,50,3,217
242,WHEELER,001,34,3,2,39
243,WICHITA,002,1086,194,55,1335
244,WILBARGER,002,98,18,2,118
245,WILLACY,011,155,47,13,215
246,WILLIAMSON,007,1774,192,64,2030
247,WILSON,008,169,43,22,234
248,WINKLER,009,55,6,3,64
249,WISE,003,323,36,30,389
250,WOOD,004,242,29,26,297
251,YOAKUM,001,38,4,6,48
252,YOUNG,002,154,13,3,170
253,ZAPATA,011,80,20,3,103
254,ZAVALA,008,95,12,6,113
255,OUT OF STATE,,34,0,4,38
256,STATE TOTAL,,132355,19999,7886,160240
