,County,Region,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investi-gations,Percent Investigations Confirmed
1,ANDERSON,004,11544,174,15.1,370,121,32.7%
2,ANDREWS,009,4490,85,18.9,112,47,42.0%
3,ANGELINA,005,23650,281,11.9,655,164,25.0%
4,ARANSAS,011,4509,107,23.7,201,66,32.8%
5,ARCHER,002,2141,9,4.2,40,6,15.0%
6,ARMSTRONG,001,378,3,7.9,13,2,15.4%
7,ATASCOSA,008,13413,266,19.8,344,135,39.2%
8,AUSTIN,006,7417,71,9.6,139,47,33.8%
9,BAILEY,001,2349,20,8.5,41,10,24.4%
10,BANDERA,008,3990,62,15.5,120,33,27.5%
11,BASTROP,007,20899,260,12.4,569,168,29.5%
12,BAYLOR,002,759,16,21.1,28,8,28.6%
13,BEE,011,6877,165,24.0,273,90,33.0%
14,BELL,007,95920,1100,11.5,3172,685,21.6%
15,BEXAR,008,484144,5846,12.1,13163,3348,25.4%
16,BLANCO,007,2278,17,7.5,65,13,20.0%
17,BORDEN,009,126,6,47.6,3,2,66.7%
18,BOSQUE,007,4081,51,12.5,114,30,26.3%
19,BOWIE,004,21992,252,11.5,687,148,21.5%
20,BRAZORIA,006,93684,522,5.6,1441,329,22.8%
21,BRAZOS,007,45584,402,8.8,913,237,26.0%
22,BREWSTER,010,1957,21,10.7,37,12,32.4%
23,BRISCOE,001,341,0,0.0,8,0,0.0%
24,BROOKS,011,1999,41,20.5,103,19,18.4%
25,BROWN,002,9128,134,14.7,328,87,26.5%
26,BURLESON,007,4135,24,5.8,94,14,14.9%
27,BURNET,007,10190,117,11.5,281,70,24.9%
28,CALDWELL,007,10196,127,12.5,298,81,27.2%
29,CALHOUN,008,5799,69,11.9,146,43,29.5%
30,CALLAHAN,002,3289,27,8.2,99,17,17.2%
31,CAMERON,011,139814,1608,11.5,2987,849,28.4%
32,CAMP,004,3393,67,19.7,122,36,29.5%
33,CARSON,001,1531,8,5.2,39,7,17.9%
34,CASS,004,6996,89,12.7,253,64,25.3%
35,CASTRO,001,2498,53,21.2,49,22,44.9%
36,CHAMBERS,006,10550,53,5.0,192,38,19.8%
37,CHEROKEE,004,13583,145,10.7,395,94,23.8%
38,CHILDRESS,001,1506,25,16.6,52,17,32.7%
39,CLAY,002,2381,18,7.6,52,14,26.9%
40,COCHRAN,001,886,24,27.1,21,9,42.9%
41,COKE,009,643,8,12.4,27,5,18.5%
42,COLEMAN,002,1984,73,36.8,90,40,44.4%
43,COLLIN,003,243933,1168,4.8,2897,729,25.2%
44,COLLINGSWORTH,001,847,11,13.0,20,7,35.0%
45,COLORADO,006,4947,41,8.3,126,28,22.2%
46,COMAL,008,27233,377,13.8,670,227,33.9%
47,COMANCHE,002,3324,28,8.4,95,19,20.0%
48,CONCHO,009,572,4,7.0,24,4,16.7%
49,COOKE,003,9817,208,21.2,371,114,30.7%
50,CORYELL,007,22515,282,12.5,764,164,21.5%
51,COTTLE,002,340,6,17.6,11,3,27.3%
52,CRANE,009,1285,5,3.9,14,3,21.4%
53,CROCKETT,009,972,4,4.1,22,3,13.6%
54,CROSBY,001,1747,37,21.2,56,20,35.7%
55,CULBERSON,010,655,3,4.6,9,2,22.2%
56,DALLAM,001,2094,29,13.8,63,13,20.6%
57,DALLAS,003,675112,5505,8.2,13953,3442,24.7%
58,DAWSON,009,3418,84,24.6,130,48,36.9%
59,DEAF SMITH,001,6438,77,12.0,156,37,23.7%
60,DELTA,004,1133,16,14.1,34,8,23.5%
61,DENTON,003,199161,898,4.5,3029,624,20.6%
62,DE WITT,008,4486,46,10.3,163,27,16.6%
63,DICKENS,001,474,11,23.2,26,8,30.8%
64,DIMMIT,008,2907,30,10.3,95,17,17.9%
65,DONLEY,001,717,10,13.9,23,6,26.1%
66,DUVAL,011,3032,56,18.5,100,24,24.0%
67,EASTLAND,002,4220,42,10.0,128,28,21.9%
68,ECTOR,009,41635,662,15.9,1287,386,30.0%
69,EDWARDS,008,414,7,16.9,9,4,44.4%
70,ELLIS,003,45509,257,5.6,864,161,18.6%
71,EL PASO,010,246082,2219,9.0,4315,1250,29.0%
72,ERATH,003,8809,141,16.0,213,86,40.4%
73,FALLS,007,3861,26,6.7,88,18,20.5%
74,FANNIN,003,7558,91,12.0,243,53,21.8%
75,FAYETTE,007,5441,41,7.5,137,31,22.6%
76,FISHER,002,805,10,12.4,26,8,30.8%
77,FLOYD,001,1789,34,19.0,61,17,27.9%
78,FOARD,002,251,9,35.9,9,6,66.7%
79,FORT BEND,006,190409,558,2.9,1790,373,20.8%
80,FRANKLIN,004,2681,29,10.8,52,17,32.7%
81,FREESTONE,007,4644,36,7.8,119,27,22.7%
82,FRIO,008,4206,79,18.8,148,47,31.8%
83,GAINES,009,6635,40,6.0,73,25,34.2%
84,GALVESTON,006,76095,603,7.9,1848,399,21.6%
85,GARZA,001,1286,63,49.0,50,28,56.0%
86,GILLESPIE,008,5164,49,9.5,100,29,29.0%
87,GLASSCOCK,009,315,0,0.0,1,0,0.0%
88,GOLIAD,008,1594,10,6.3,51,9,17.6%
89,GONZALES,008,5521,58,10.5,127,34,26.8%
90,GRAY,001,5822,101,17.3,226,63,27.9%
91,GRAYSON,003,29448,559,19.0,1046,336,32.1%
92,GREGG,004,31837,506,15.9,1017,304,29.9%
93,GRIMES,007,6096,56,9.2,147,36,24.5%
94,GUADALUPE,008,39127,311,7.9,833,199,23.9%
95,HALE,001,10675,166,15.6,287,97,33.8%
96,HALL,001,827,10,12.1,25,7,28.0%
97,HAMILTON,007,1784,35,19.6,56,18,32.1%
98,HANSFORD,001,1701,3,1.8,32,3,9.4%
99,HARDEMAN,002,1030,22,21.4,39,11,28.2%
100,HARDIN,005,14451,126,8.7,346,87,25.1%
101,HARRIS,006,1185780,5929,5.0,19996,3884,19.4%
102,HARRISON,004,17372,241,13.9,477,144,30.2%
103,HARTLEY,001,1320,5,3.8,14,3,21.4%
104,HASKELL,002,1204,15,12.5,32,7,21.9%
105,HAYS,007,45356,283,6.2,971,191,19.7%
106,HEMPHILL,001,1123,7,6.2,11,4,36.4%
107,HENDERSON,004,18266,252,13.8,637,164,25.7%
108,HIDALGO,011,280219,3098,11.1,5962,1579,26.5%
109,HILL,007,8710,112,12.9,278,68,24.5%
110,HOCKLEY,001,6299,139,22.1,226,79,35.0%
111,HOOD,003,11113,279,25.1,427,164,38.4%
112,HOPKINS,004,9155,68,7.4,227,47,20.7%
113,HOUSTON,005,4806,73,15.2,144,47,32.6%
114,HOWARD,009,7939,184,23.2,314,117,37.3%
115,HUDSPETH,010,970,4,4.1,8,2,25.0%
116,HUNT,003,22492,322,14.3,712,204,28.7%
117,HUTCHINSON,001,5775,55,9.5,214,33,15.4%
118,IRION,009,325,1,3.1,4,1,25.0%
119,JACK,002,1958,28,14.3,63,20,31.7%
120,JACKSON,008,3562,30,8.4,78,20,25.6%
121,JASPER,005,8808,93,10.6,290,57,19.7%
122,JEFF DAVIS,010,376,6,16.0,6,2,33.3%
123,JEFFERSON,005,61099,537,8.8,1708,355,20.8%
124,JIM HOGG,011,1549,31,20.0,52,18,34.6%
125,JIM WELLS,011,12031,162,13.5,403,101,25.1%
126,JOHNSON,003,42916,674,15.7,1281,404,31.5%
127,JONES,002,3753,77,20.5,144,45,31.3%
128,KARNES,008,2927,46,15.7,92,25,27.2%
129,KAUFMAN,003,32292,223,6.9,549,142,25.9%
130,KENDALL,008,8429,47,5.6,112,35,31.3%
131,KENEDY,011,97,2,20.6,4,2,50.0%
132,KENT,002,172,1,5.8,3,1,33.3%
133,KERR,008,10231,150,14.7,332,90,27.1%
134,KIMBLE,009,922,18,19.5,38,9,23.7%
