,County,Region,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*
1,ANDREWS,09,1,0
2,ATASCOSA,08,1,0
3,BASTROP,07,1,0
4,BEE,11,1,0
5,BELL,07,1,0
6,BEXAR,08,10,0
7,BRAZORIA,06,1,0
8,BURLESON,07,1,0
9,BURNET,07,2,0
10,CALDWELL,07,1,0
11,CAMP,04,1,0
12,CHEROKEE,04,1,0
13,CLAY,02,1,0
14,COLLIN,03,2,0
15,COOKE,03,1,0
16,CROSBY,01,1,0
17,DALLAS,03,17,4
18,DENTON,03,2,0
19,EASTLAND,02,1,0
20,ECTOR,09,2,0
21,EL PASO,10,4,0
22,FALLS,07,1,0
23,FANNIN,03,1,1
24,FORT BEND,06,2,2
25,GALVESTON,06,1,0
26,GRAYSON,03,3,0
27,GREGG,04,2,0
28,HANSFORD,01,1,0
29,HARRIS,06,24,3
30,HIDALGO,11,2,0
31,HUNT,03,1,0
32,JASPER,05,1,0
33,JEFFERSON,05,4,1
34,JIM WELLS,11,1,0
35,JOHNSON,03,3,0
36,KAUFMAN,03,1,0
37,LAMAR,04,1,0
38,LIBERTY,06,1,0
39,LLANO,07,2,0
40,LUBBOCK,01,3,0
41,MCLENNAN,07,1,0
42,MEDINA,08,1,0
43,MILAM,07,2,1
44,MONTGOMERY,06,1,0
45,MOORE,01,1,0
46,NAVARRO,03,1,0
47,NUECES,11,5,0
48,PANOLA,04,1,0
49,PARKER,03,1,0
50,RANDALL,01,1,1
51,RED RIVER,04,1,0
52,REEVES,09,1,0
53,ROCKWALL,03,1,0
54,RUSK,04,1,0
55,SAN JACINTO,05,1,0
56,SHELBY,05,1,0
57,TARRANT,03,14,0
58,TAYLOR,02,2,0
59,TRAVIS,07,5,1
60,UVALDE,08,2,0
61,VAN ZANDT,04,1,0
62,WILLIAMSON,07,2,0
63,YOUNG,02,1,0
64,STATEWIDE,,156,14
