,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other **,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Other**,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2009,Subsequently Confirmed Victims in Fiscal Years 2009 - 2014,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relavive,Long Term Care - Emancipaion,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-Home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving  In-Home Services,Child PopulationAges 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**,CBFS***
0,ANDERSON,004,5613,8343,297,224,153,142,5,3,0,11594,1694,6616,2761,38,485,643,543,7,437,121,27.7%,280,32,4,316,72.3%,,,,723,496,440,105,618,46,11594,208,17.9,437,121,27.7%,,,,54,132,16,12.1%,85,13,134,11.6,62,69,59,98,,,,,,,,,,,,,,,103,0,63,11,7,9,25,0,2,3,102,1297537,67,"$58,611.93",128,36,"$4,601.92",141,9025,10,816,1,12,8,4,11594,0,16,0,0,0,16,33,126,1,1,128,,,
1,ANDREWS,009,938,1873,30,31,16,11,0,0,0,4542,57,1496,2899,18,72,179,144,2,117,25,21.4%,73,17,2,92,78.6%,,,,190,139,102,41,149,3,4542,39,8.6,117,25,21.4%,,,,31,93,2,2.2%,50,4,32,7.0,3,17,15,19,,,,,,,,,,,,,,,15,0,3,1,3,1,10,0,0,0,19,411733,13,"$16,771.78",32,14,"$2,271.54",92,3552,4,374,0,0,1,1,4542,0,7,0,0,0,7,31,4,0,0,4,,,
2,ANGELINA,005,8398,13437,566,441,311,279,231,212,44,23772,3646,11790,7514,61,761,1044,868,10,670,183,27.3%,383,100,4,487,72.7%,,,,1135,781,606,166,969,72,23772,304,12.8,670,183,27.3%,,1,0,81,239,22,9.2%,84,23,163,6.9,90,106,57,107,,,,,,,,,,,,,,,136,0,86,16,14,10,38,1,14,5,107,948973,123,"$122,419.43",163,88,"$9,432.06",271,18413,36,3382,4,48,7,2,23772,2,39,0,0,0,41,119,235,0,30,265,,,
3,ARANSAS,011,2372,6777,179,155,93,77,0,0,0,4520,55,2272,2012,14,167,385,338,0,272,85,31.3%,162,18,7,187,68.8%,,,,458,311,271,164,294,38,4520,137,30.3,272,85,31.3%,,1,0,84,207,6,2.9%,139,44,105,23.2,47,28,78,91,,,,,,,,,,,,,,,86,0,46,2,7,9,30,0,0,0,91,1027636,48,"$39,127.99",106,16,"$2,010.71",233,3467,6,400,0,0,2,1,4520,0,5,0,0,0,5,20,78,0,0,78,,,
4,ARCHER,002,606,1604,84,71,57,44,0,0,0,2117,12,1788,275,8,34,75,68,0,58,20,34.5%,33,5,0,38,65.5%,,,,93,52,46,31,62,1,2117,35,16.5,58,20,34.5%,,,,8,25,2,8.0%,6,1,7,3.3,3,4,2,6,,,,,,,,,,,,,,,7,0,3,0,0,0,4,0,0,0,6,45058,6,$660.00,6,0,$0.00,28,1501,4,224,0,0,3,2,2117,0,5,0,0,0,5,10,1,0,0,1,,,
5,ARMSTRONG,001,111,477,5,6,3,3,0,0,0,375,4,315,47,2,7,10,9,0,14,4,28.6%,6,3,1,10,71.4%,,,,27,18,10,4,23,0,375,6,16.0,14,4,28.6%,,,,1,5,0,0.0%,2,0,5,13.3,0,2,0,2,,,,,,,,,,,,,,,5,0,0,0,2,0,3,0,0,0,2,16863,0,$0.00,2,0,$0.00,10,286,0,0,0,0,2,2,375,0,0,0,0,0,0,0,1,0,0,1,,,
6,ATASCOSA,008,4414,7151,201,156,118,109,3,1,0,13538,80,3474,9863,18,103,601,482,5,407,114,28.0%,280,13,0,293,72.0%,,,,702,481,445,193,509,41,13538,210,15.5,407,114,28.0%,,1,0,86,260,12,4.6%,163,44,243,17.9,55,151,87,131,,,,,,,,,,,,,,,191,0,55,8,60,41,44,0,1,5,130,1801265,95,"$100,691.68",238,27,"$5,139.89",307,10178,7,538,3,36,2,3,13538,0,17,0,0,0,17,45,121,0,0,121,,,
7,AUSTIN,006,1500,5492,151,93,63,44,2,3,0,7524,738,3646,2943,22,175,248,208,2,149,28,18.8%,103,15,3,121,81.2%,,,,244,193,166,56,188,20,7524,47,6.2,149,28,18.8%,,,,34,88,2,2.3%,54,4,39,5.2,21,24,16,27,,,,,,,,,,,,,,,39,0,21,4,6,6,13,0,0,1,25,160710,26,"$25,920.85",40,8,"$2,340.33",84,5660,12,983,0,0,3,2,7524,0,5,0,0,2,7,116,64,0,40,104,,,
8,BAILEY,001,515,1110,61,54,51,53,0,0,0,2383,10,519,1832,5,17,66,60,0,49,16,32.7%,33,0,0,33,67.3%,,,,77,49,49,21,56,6,2383,27,11.3,49,16,32.7%,,,,9,31,4,12.9%,16,2,32,13.4,10,8,18,18,,,,,,,,,,,,,,,25,0,10,3,3,2,8,0,1,0,18,297114,15,"$20,623.77",26,0,$0.00,44,1925,3,158,0,0,2,0,2383,0,6,0,0,0,6,29,16,0,0,16,,,
9,BANDERA,008,2258,5288,147,82,48,32,0,0,0,3979,31,2726,1143,16,63,189,146,0,128,36,28.1%,82,10,0,92,71.9%,,,,192,133,116,40,152,20,3979,54,13.6,128,36,28.1%,,,,26,71,5,7.0%,61,15,66,16.6,21,31,35,54,,,,,,,,,,,,,,,63,0,21,0,20,8,17,0,2,0,52,822292,17,"$22,849.33",66,4,$207.25,78,2887,5,431,0,0,0,0,3979,0,11,1,0,0,12,173,50,1,16,67,,,
10,BASTROP,007,5245,11303,365,302,183,142,10,11,4,21379,1404,8233,10906,46,790,1045,882,9,668,176,26.3%,434,51,7,492,73.7%,,,,1092,746,661,192,900,120,21379,291,13.6,668,176,26.3%,,1,0,59,170,9,5.3%,121,28,310,14.5,121,175,109,167,,,,,,,,,,,,,,,285,0,128,1,70,36,89,0,5,5,164,1777951,79,"$80,916.61",284,4,$744.20,259,15991,33,2823,4,48,15,7,21379,0,44,1,0,0,45,180,114,0,5,119,,,
11,BAYLOR,002,325,964,75,56,45,36,0,0,0,764,14,553,181,3,13,56,54,0,34,8,23.5%,19,6,1,26,76.5%,,,,57,47,32,9,48,0,764,9,11.8,34,8,23.5%,,,,7,14,0,0.0%,9,5,3,3.9,0,0,3,3,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0,0,3,66393,0,$0.00,3,1,$35.00,14,588,3,150,0,0,2,1,764,0,2,0,0,0,2,6,11,0,0,11,,,
12,BEE,011,4069,3856,202,165,116,97,4,4,0,6856,108,1520,5096,10,122,447,380,5,292,83,28.4%,185,19,5,209,71.6%,,,,481,325,288,142,339,54,6856,132,19.3,292,83,28.4%,,,,72,201,25,12.4%,321,82,151,22.0,73,72,77,90,,,,,,,,,,,,,,,130,0,82,23,5,7,29,2,0,0,85,1011409,63,"$36,398.14",149,28,"$4,800.62",216,5292,8,786,0,0,3,2,6856,0,8,1,0,0,9,172,85,0,0,85,,,
13,BELL,007,25158,32440,1563,1116,690,488,78,69,13,98721,21144,38971,28893,407,9306,4671,4142,44,3160,664,21.0%,2361,99,36,2496,79.0%,,,,4897,3759,3537,751,4146,351,98721,1046,10.6,3160,664,21.0%,,1,0,311,895,72,8.0%,972,156,973,9.9,432,529,409,567,,,,,,,,,,,,,,,862,2,446,28,68,94,350,1,32,12,558,5979230,362,"$404,895.51",938,100,"$27,209.22",1207,80288,152,13756,40,478,89,106,98721,8,224,2,0,1,235,758,317,2,180,499,,,
14,BEXAR,008,140101,205046,9118,6561,3657,2822,1395,1276,125,491136,32602,96341,339288,848,22057,22084,17215,189,13558,3147,23.2%,9419,880,112,10411,76.8%,,,,22559,16531,14748,5704,16855,1150,491136,5434,11.1,13558,3147,23.2%,,12,1,3392,9907,866,8.7%,6098,1172,5445,11.1,1887,2775,2589,3426,,,,,,,,,,,,,,,4453,3,1925,182,976,1093,978,2,54,174,3366,46728259,3808,"$6,082,701.73",5364,1595,"$350,413.43",10418,381606,544,61298,40,480,197,360,491136,35,1072,14,0,7,1128,4014,732,962,253,1947,,,
15,BLANCO,007,791,2452,43,46,28,13,0,0,0,2278,5,1498,732,6,37,94,85,0,45,19,42.2%,26,0,0,26,57.8%,,,,79,41,41,25,54,16,2278,29,12.7,45,19,42.2%,,,,5,15,4,26.7%,0,0,19,8.3,16,15,5,7,,,,,,,,,,,,,,,19,0,17,0,0,0,10,0,0,0,7,41376,4,"$3,478.70",20,0,$0.00,17,1643,6,226,0,0,2,0,2278,0,0,0,0,0,0,0,55,0,0,55,,,
16,BORDEN,009,26,161,7,4,1,0,0,0,0,117,0,87,30,0,0,7,4,0,1,0,0.0%,1,0,0,1,100.0%,,,,1,1,1,0,1,0,117,0,0.0,1,0,0.0%,,,,1,2,0,0.0%,0,0,6,51.3,0,0,5,5,,,,,,,,,,,,,,,6,0,1,0,5,0,1,0,0,0,5,106916,5,$670.00,5,0,$0.00,2,80,1,13,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,,,
