,County,Region,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed
1,ANDERSON,004,54,132,16,12.1%
2,ANDREWS,009,31,93,2,2.2%
3,ANGELINA,005,81,239,22,9.2%
4,ARANSAS,011,84,207,6,2.9%
5,ARCHER,002,8,25,2,8.0%
6,ARMSTRONG,001,1,5,0,0.0%
7,ATASCOSA,008,86,260,12,4.6%
8,AUSTIN,006,34,88,2,2.3%
9,BAILEY,001,9,31,4,12.9%
10,BANDERA,008,26,71,5,7.0%
11,BASTROP,007,59,170,9,5.3%
12,BAYLOR,002,7,14,0,0.0%
13,BEE,011,72,201,25,12.4%
14,BELL,007,311,895,72,8.0%
15,BEXAR,008,3392,9907,866,8.7%
16,BLANCO,007,5,15,4,26.7%
17,BORDEN,009,1,2,0,0.0%
18,BOSQUE,007,15,40,0,0.0%
19,BOWIE,004,64,202,16,7.9%
20,BRAZORIA,006,281,775,23,3.0%
21,BRAZOS,007,75,230,0,0.0%
22,BREWSTER,010,8,23,3,13.0%
23,BRISCOE,001,3,6,0,0.0%
24,BROOKS,011,31,75,1,1.3%
25,BROWN,002,73,175,1,0.6%
26,BURLESON,007,7,19,0,0.0%
27,BURNET,007,41,98,10,10.2%
28,CALDWELL,007,31,83,9,10.8%
29,CALHOUN,008,39,100,11,11.0%
30,CALLAHAN,002,12,34,0,0.0%
31,CAMERON,011,796,2445,101,4.1%
32,CAMP,004,20,53,2,3.8%
33,CARSON,001,8,18,0,0.0%
34,CASS,004,27,76,1,1.3%
35,CASTRO,001,13,42,7,16.7%
36,CHAMBERS,006,35,108,1,0.9%
37,CHEROKEE,004,64,147,9,6.1%
38,CHILDRESS,001,13,34,2,5.9%
39,CLAY,002,8,11,0,0.0%
40,COCHRAN,001,5,13,0,0.0%
41,COKE,009,4,13,5,38.5%
42,COLEMAN,002,31,72,1,1.4%
43,COLLIN,003,454,1086,29,2.7%
44,COLLINGSWORTH,001,6,17,0,0.0%
45,COLORADO,006,19,42,0,0.0%
46,COMAL,008,191,431,24,5.6%
47,COMANCHE,002,18,42,0,0.0%
48,CONCHO,009,3,5,0,0.0%
49,COOKE,003,54,141,8,5.7%
50,CORYELL,007,73,184,7,3.8%
51,COTTLE,002,3,8,0,0.0%
52,CRANE,009,3,6,0,0.0%
53,CROCKETT,009,8,24,6,25.0%
54,CROSBY,001,21,63,1,1.6%
55,CULBERSON,010,3,5,0,0.0%
56,DALLAM,001,13,27,0,0.0%
57,DALLAS,003,2022,5569,191,3.4%
58,DAWSON,009,32,125,8,6.4%
59,DEAF SMITH,001,24,70,7,10.0%
60,DELTA,004,4,15,3,20.0%
61,DENTON,003,393,887,59,6.7%
62,DE WITT,008,32,79,7,8.9%
63,DICKENS,001,9,16,3,18.8%
64,DIMMIT,008,12,34,0,0.0%
65,DONLEY,001,11,34,0,0.0%
66,DUVAL,011,25,87,4,4.6%
67,EASTLAND,002,32,85,0,0.0%
68,ECTOR,009,233,622,54,8.7%
69,EDWARDS,008,0,0,0,0.0%
70,ELLIS,003,156,407,21,5.2%
71,EL PASO,010,1164,3191,137,4.3%
72,ERATH,003,52,122,13,10.7%
73,FALLS,007,12,40,5,12.5%
74,FANNIN,003,43,103,11,10.7%
75,FAYETTE,007,8,18,0,0.0%
76,FISHER,002,6,19,5,26.3%
77,FLOYD,001,9,20,0,0.0%
78,FOARD,002,0,0,0,0.0%
79,FORT BEND,006,481,1361,11,0.8%
80,FRANKLIN,004,7,14,2,14.3%
81,FREESTONE,007,7,17,2,11.8%
82,FRIO,008,33,92,1,1.1%
83,GAINES,009,16,40,1,2.5%
84,GALVESTON,006,389,1099,60,5.5%
85,GARZA,001,13,41,2,4.9%
86,GILLESPIE,008,18,48,1,2.1%
87,GLASSCOCK,009,0,0,0,0.0%
88,GOLIAD,008,14,42,8,19.0%
89,GONZALES,008,26,83,15,18.1%
90,GRAY,001,65,164,2,1.2%
91,GRAYSON,003,196,513,27,5.3%
92,GREGG,004,188,479,26,5.4%
93,GRIMES,007,19,47,0,0.0%
94,GUADALUPE,008,138,355,13,3.7%
95,HALE,001,84,204,12,5.9%
96,HALL,001,6,9,0,0.0%
97,HAMILTON,007,6,11,0,0.0%
98,HANSFORD,001,2,7,4,57.1%
99,HARDEMAN,002,7,19,0,0.0%
100,HARDIN,005,40,84,12,14.3%
101,HARRIS,006,3914,11804,445,3.8%
102,HARRISON,004,68,171,12,7.0%
103,HARTLEY,001,2,3,0,0.0%
104,HASKELL,002,5,13,0,0.0%
105,HAYS,007,85,227,10,4.4%
106,HEMPHILL,001,4,9,2,22.2%
107,HENDERSON,004,120,309,22,7.1%
108,HIDALGO,011,1676,5443,184,3.4%
109,HILL,007,33,81,3,3.7%
110,HOCKLEY,001,51,153,3,2.0%
111,HOOD,003,116,289,25,8.7%
112,HOPKINS,004,28,69,2,2.9%
113,HOUSTON,005,23,49,1,2.0%
114,HOWARD,009,62,178,10,5.6%
