,County,Region,Total Children Served in Fiscal Year 2009,Subsequently Confirmed Victims in Fiscal Years 2009 - 2014
1,ANDERSON,004,85,13
2,ANDREWS,009,50,4
3,ANGELINA,005,84,23
4,ARANSAS,011,139,44
5,ARCHER,002,6,1
6,ARMSTRONG,001,2,0
7,ATASCOSA,008,163,44
8,AUSTIN,006,54,4
9,BAILEY,001,16,2
10,BANDERA,008,61,15
11,BASTROP,007,121,28
12,BAYLOR,002,9,5
13,BEE,011,321,82
14,BELL,007,972,156
15,BEXAR,008,6098,1172
16,BLANCO,007,0,0
17,BORDEN,009,0,0
18,BOSQUE,007,36,11
19,BOWIE,004,225,33
20,BRAZORIA,006,551,99
21,BRAZOS,007,269,75
22,BREWSTER,010,14,0
23,BRISCOE,001,3,0
24,BROOKS,011,120,36
25,BROWN,002,223,56
26,BURLESON,007,29,4
27,BURNET,007,78,21
28,CALDWELL,007,95,10
29,CALHOUN,008,59,6
30,CALLAHAN,002,64,27
31,CAMERON,011,1903,511
32,CAMP,004,61,10
33,CARSON,001,0,0
34,CASS,004,78,14
35,CASTRO,001,10,0
36,CHAMBERS,006,54,10
37,CHEROKEE,004,105,18
38,CHILDRESS,001,26,6
39,CLAY,002,20,2
40,COCHRAN,001,11,1
41,COKE,009,7,0
42,COLEMAN,002,55,23
43,COLLIN,003,985,175
44,COLLINGSWORTH,001,26,0
45,COLORADO,006,31,12
46,COMAL,008,206,44
47,COMANCHE,002,38,11
48,CONCHO,009,19,1
49,COOKE,003,88,27
50,CORYELL,007,186,32
51,COTTLE,002,1,0
52,CRANE,009,9,3
53,CROCKETT,009,15,1
54,CROSBY,001,35,17
55,CULBERSON,010,5,0
56,DALLAM,001,18,0
57,DALLAS,003,3755,639
58,DAWSON,009,64,12
59,DEAF SMITH,001,26,8
60,DELTA,004,10,7
61,DENTON,003,641,111
62,DE WITT,008,35,13
63,DICKENS,001,4,0
64,DIMMIT,008,68,17
65,DONLEY,001,9,3
66,DUVAL,011,116,19
67,EASTLAND,002,85,6
68,ECTOR,009,541,143
69,EDWARDS,008,5,0
70,ELLIS,003,266,39
71,EL PASO,010,1683,365
72,ERATH,003,162,60
73,FALLS,007,11,1
74,FANNIN,003,62,12
75,FAYETTE,007,51,18
76,FISHER,002,21,5
77,FLOYD,001,18,1
78,FOARD,002,4,3
79,FORT BEND,006,456,71
80,FRANKLIN,004,32,8
81,FREESTONE,007,19,0
82,FRIO,008,118,9
83,GAINES,009,55,14
84,GALVESTON,006,765,145
85,GARZA,001,3,0
86,GILLESPIE,008,48,8
87,GLASSCOCK,009,0,0
88,GOLIAD,008,9,3
89,GONZALES,008,35,5
90,GRAY,001,62,18
91,GRAYSON,003,212,48
