,County,Region,Child  Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*
1,ANDERSON,004,11594,134,11.6,62,69,59,98
2,ANDREWS,009,4542,32,7.0,3,17,15,19
3,ANGELINA,005,23772,163,6.9,90,106,57,107
4,ARANSAS,011,4520,105,23.2,47,28,78,91
5,ARCHER,002,2117,7,3.3,3,4,2,6
6,ARMSTRONG,001,375,5,13.3,0,2,0,2
7,ATASCOSA,008,13538,243,17.9,55,151,87,131
8,AUSTIN,006,7524,39,5.2,21,24,16,27
9,BAILEY,001,2383,32,13.4,10,8,18,18
10,BANDERA,008,3979,66,16.6,21,31,35,54
11,BASTROP,007,21379,310,14.5,121,175,109,167
12,BAYLOR,002,764,3,3.9,0,0,3,3
13,BEE,011,6856,151,22.0,73,72,77,90
14,BELL,007,98721,973,9.9,432,529,409,567
15,BEXAR,008,491136,5445,11.1,1887,2775,2589,3426
16,BLANCO,007,2278,19,8.3,16,15,5,7
17,BORDEN,009,117,6,51.3,0,0,5,5
18,BOSQUE,007,4089,50,12.2,24,28,19,32
19,BOWIE,004,21900,211,9.6,86,103,99,116
20,BRAZORIA,006,96020,256,2.7,89,116,144,190
21,BRAZOS,007,47729,161,3.4,42,71,94,139
22,BREWSTER,010,1947,5,2.6,3,3,3,3
23,BRISCOE,001,333,3,9.0,2,0,3,3
24,BROOKS,011,1996,26,13.0,5,4,20,22
25,BROWN,002,9154,124,13.5,51,52,63,90
26,BURLESON,007,4140,61,14.7,30,36,24,38
27,BURNET,007,10299,160,15.5,67,85,68,89
28,CALDWELL,007,10317,119,11.5,41,82,39,62
29,CALHOUN,008,5879,51,8.7,33,20,31,35
30,CALLAHAN,002,3306,12,3.6,3,4,10,11
31,CAMERON,011,141748,572,4.0,276,326,245,360
32,CAMP,004,3404,54,15.9,13,24,30,38
33,CARSON,001,1509,12,8.0,6,0,8,8
34,CASS,004,6993,95,13.6,55,57,37,41
35,CASTRO,001,2502,40,16.0,7,21,14,14
36,CHAMBERS,006,10728,58,5.4,20,36,22,34
37,CHEROKEE,004,13753,177,12.9,62,76,92,107
38,CHILDRESS,001,1524,10,6.6,3,2,9,11
39,CLAY,002,2362,12,5.1,2,7,4,5
40,COCHRAN,001,884,7,7.9,0,1,6,6
41,COKE,009,630,13,20.6,7,9,2,5
42,COLEMAN,002,1970,21,10.7,1,9,12,16
43,COLLIN,003,250047,504,2.0,227,221,270,327
44,COLLINGSWORTH,001,838,11,13.1,6,6,5,10
45,COLORADO,006,4972,22,4.4,10,12,10,12
46,COMAL,008,27772,303,10.9,135,183,112,172
47,COMANCHE,002,3350,19,5.7,3,13,6,12
48,CONCHO,009,568,2,3.5,0,0,3,3
49,COOKE,003,9873,148,15.0,56,63,77,99
50,CORYELL,007,22926,175,7.6,78,116,59,102
51,COTTLE,002,341,4,11.7,4,3,1,1
52,CRANE,009,1293,4,3.1,0,2,2,0
53,CROCKETT,009,968,13,13.4,9,5,5,4
54,CROSBY,001,1772,22,12.4,9,11,11,18
55,CULBERSON,010,651,6,9.2,0,6,0,0
56,DALLAM,001,2138,9,4.2,1,1,7,8
57,DALLAS,003,684069,4382,6.4,1826,2417,1907,2864
58,DAWSON,009,3405,80,23.5,35,50,30,44
59,DEAF SMITH,001,6519,55,8.4,21,15,39,47
60,DELTA,004,1116,21,18.8,18,9,12,15
61,DENTON,003,204770,625,3.1,263,266,316,413
62,DE WITT,008,4497,64,14.2,26,33,33,38
63,DICKENS,001,461,12,26.0,6,5,7,7
64,DIMMIT,008,2903,76,26.2,25,44,36,44
65,DONLEY,001,728,12,16.5,3,2,8,8
66,DUVAL,011,3025,27,8.9,11,10,17,25
67,EASTLAND,002,4237,25,5.9,5,13,11,17
