,County,Region,Total,African American,Anglo,Hispanic,Native American,Other**
1,ANDERSON,004,62,18,24,13,0,7
2,ANDREWS,009,3,0,0,3,0,0
3,ANGELINA,005,90,13,55,7,0,15
4,ARANSAS,011,47,0,22,25,0,0
5,ARCHER,002,3,0,3,0,0,0
6,ARMSTRONG,001,0,0,0,0,0,0
7,ATASCOSA,008,55,2,8,42,0,3
8,AUSTIN,006,21,3,13,2,0,3
9,BAILEY,001,10,0,7,3,0,0
10,BANDERA,008,21,0,18,3,0,0
11,BASTROP,007,121,19,65,28,0,9
12,BAYLOR,002,0,0,0,0,0,0
13,BEE,011,73,1,14,57,0,1
14,BELL,007,432,118,168,107,1,38
15,BEXAR,008,1887,153,229,1445,0,60
16,BLANCO,007,16,0,11,5,0,0
17,BORDEN,009,0,0,0,0,0,0
18,BOSQUE,007,24,0,12,9,0,3
19,BOWIE,004,86,17,53,6,0,10
20,BRAZORIA,006,89,6,49,26,0,8
21,BRAZOS,007,42,7,13,15,0,7
22,BREWSTER,010,3,0,0,3,0,0
23,BRISCOE,001,2,0,2,0,0,0
24,BROOKS,011,5,0,0,5,0,0
25,BROWN,002,51,0,34,8,4,5
26,BURLESON,007,30,9,13,5,0,3
27,BURNET,007,67,0,47,14,0,6
28,CALDWELL,007,41,4,8,28,0,1
29,CALHOUN,008,33,0,11,21,0,1
30,CALLAHAN,002,3,0,3,0,0,0
31,CAMERON,011,276,0,21,252,0,3
32,CAMP,004,13,1,6,5,0,1
33,CARSON,001,6,0,5,0,0,1
34,CASS,004,55,4,42,4,1,4
35,CASTRO,001,7,1,0,6,0,0
36,CHAMBERS,006,20,2,11,4,0,3
37,CHEROKEE,004,62,8,35,6,0,13
38,CHILDRESS,001,3,0,0,3,0,0
39,CLAY,002,2,0,2,0,0,0
40,COCHRAN,001,0,0,0,0,0,0
41,COKE,009,7,0,4,3,0,0
42,COLEMAN,002,1,0,1,0,0,0
43,COLLIN,003,227,43,117,49,0,18
44,COLLINGSWORTH,001,6,0,2,4,0,0
45,COLORADO,006,10,1,0,9,0,0
46,COMAL,008,135,1,48,80,0,6
47,COMANCHE,002,3,0,1,2,0,0
48,CONCHO,009,0,0,0,0,0,0
49,COOKE,003,56,4,28,20,0,4
50,CORYELL,007,78,5,47,13,0,13
51,COTTLE,002,4,0,0,4,0,0
52,CRANE,009,0,0,0,0,0,0
53,CROCKETT,009,9,0,3,6,0,0
54,CROSBY,001,9,3,3,3,0,0
55,CULBERSON,010,0,0,0,0,0,0
56,DALLAM,001,1,0,0,1,0,0
