,County,Region,Total,African American,Anglo,Hispanic,Native American,Other***
1,ANDERSON,004,15,3,5,6,0,1
2,ANDREWS,009,6,0,1,5,0,0
3,ANGELINA,005,13,7,3,1,0,2
4,ARANSAS,011,16,0,5,9,0,2
5,ARCHER,002,0,0,0,0,0,0
6,ARMSTRONG,001,0,0,0,0,0,0
7,ATASCOSA,008,53,0,20,33,0,0
8,AUSTIN,006,1,1,0,0,0,0
9,BAILEY,001,7,0,0,7,0,0
10,BANDERA,008,18,0,8,7,0,3
11,BASTROP,007,57,8,19,26,0,4
12,BAYLOR,002,3,1,0,2,0,0
13,BEE,011,11,0,1,9,0,1
14,BELL,007,79,29,24,11,0,15
15,BEXAR,008,890,104,112,648,0,26
16,BLANCO,007,0,0,0,0,0,0
17,BORDEN,009,4,0,1,3,0,0
18,BOSQUE,007,1,0,1,0,0,0
19,BOWIE,004,34,7,19,4,0,4
20,BRAZORIA,006,26,2,18,4,0,2
21,BRAZOS,007,36,13,18,3,0,2
22,BREWSTER,010,0,0,0,0,0,0
23,BRISCOE,001,1,0,1,0,0,0
24,BROOKS,011,3,0,0,3,0,0
25,BROWN,002,18,2,9,4,0,3
26,BURLESON,007,7,0,3,3,0,1
27,BURNET,007,14,0,9,4,0,1
28,CALDWELL,007,24,0,11,13,0,0
29,CALHOUN,008,3,0,1,2,0,0
30,CALLAHAN,002,2,1,0,1,0,0
31,CAMERON,011,28,0,3,25,0,0
32,CAMP,004,7,1,4,2,0,0
33,CARSON,001,0,0,0,0,0,0
34,CASS,004,4,1,2,0,0,1
35,CASTRO,001,9,0,0,9,0,0
36,CHAMBERS,006,3,1,1,0,0,1
37,CHEROKEE,004,41,5,23,5,1,7
38,CHILDRESS,001,4,0,3,0,0,1
39,CLAY,002,3,0,3,0,0,0
40,COCHRAN,001,5,0,0,5,0,0
41,COKE,009,0,0,0,0,0,0
42,COLEMAN,002,5,0,3,2,0,0
43,COLLIN,003,65,7,37,18,0,3
44,COLLINGSWORTH,001,2,0,2,0,0,0
45,COLORADO,006,8,2,1,5,0,0
46,COMAL,008,32,1,10,20,0,1
47,COMANCHE,002,0,0,0,0,0,0
48,CONCHO,009,1,0,1,0,0,0
49,COOKE,003,15,2,11,1,0,1
50,CORYELL,007,15,0,11,2,0,2
51,COTTLE,002,0,0,0,0,0,0
52,CRANE,009,0,0,0,0,0,0
53,CROCKETT,009,0,0,0,0,0,0
54,CROSBY,001,8,0,0,8,0,0
55,CULBERSON,010,2,0,0,2,0,0
56,DALLAM,001,4,0,0,4,0,0
57,DALLAS,003,475,194,88,161,0,32
58,DAWSON,009,7,0,0,7,0,0
59,DEAF SMITH,001,16,0,3,13,0,0
60,DELTA,004,1,1,0,0,0,0
61,DENTON,003,81,29,30,16,0,6
62,DE WITT,008,12,2,2,7,0,1
63,DICKENS,001,1,0,1,0,0,0
64,DIMMIT,008,19,0,0,19,0,0
65,DONLEY,001,5,0,2,0,0,3
66,DUVAL,011,11,0,3,7,0,1
67,EASTLAND,002,6,0,5,0,0,1
68,ECTOR,009,67,7,18,37,0,5
69,EDWARDS,008,5,0,0,4,0,1
70,ELLIS,003,15,4,10,1,0,0
71,EL PASO,010,159,8,19,132,0,0
72,ERATH,003,7,0,4,3,0,0
73,FALLS,007,4,3,0,1,0,0
74,FANNIN,003,0,0,0,0,0,0
75,FAYETTE,007,7,0,4,1,0,2
76,FISHER,002,0,0,0,0,0,0
77,FLOYD,001,7,0,1,6,0,0
78,FOARD,002,0,0,0,0,0,0
79,FORT BEND,006,24,6,1,14,0,3
80,FRANKLIN,004,1,0,1,0,0,0
81,FREESTONE,007,6,0,4,1,0,1
82,FRIO,008,22,0,2,20,0,0
83,GAINES,009,5,0,2,3,0,0
84,GALVESTON,006,43,11,19,9,0,4
85,GARZA,001,11,0,6,3,0,2
86,GILLESPIE,008,13,1,3,9,0,0
87,GLASSCOCK,009,0,0,0,0,0,0
88,GOLIAD,008,0,0,0,0,0,0
89,GONZALES,008,8,0,5,2,0,1
90,GRAY,001,9,1,5,2,0,1
91,GRAYSON,003,31,2,25,1,2,1
92,GREGG,004,72,23,36,6,0,7
93,GRIMES,007,5,2,2,0,0,1
94,GUADALUPE,008,25,1,9,15,0,0
95,HALE,001,14,2,2,10,0,0
96,HALL,001,4,1,0,3,0,0
97,HAMILTON,007,2,0,2,0,0,0
98,HANSFORD,001,4,0,0,4,0,0
99,HARDEMAN,002,0,0,0,0,0,0
100,HARDIN,005,11,3,8,0,0,0
101,HARRIS,006,1224,622,178,354,0,70
102,HARRISON,004,17,3,7,5,0,2
103,HARTLEY,001,0,0,0,0,0,0
104,HASKELL,002,4,0,4,0,0,0
105,HAYS,007,40,3,11,24,0,2
106,HEMPHILL,001,3,0,0,2,0,1
107,HENDERSON,004,31,3,23,3,0,2
108,HIDALGO,011,33,0,1,31,0,1
109,HILL,007,17,1,14,2,0,0
110,HOCKLEY,001,13,2,1,8,0,2
111,HOOD,003,22,1,21,0,0,0
112,HOPKINS,004,7,1,4,2,0,0
113,HOUSTON,005,9,3,6,0,0,0
114,HOWARD,009,28,3,18,6,0,1
115,HUDSPETH,010,0,0,0,0,0,0
116,HUNT,003,16,4,9,0,0,3
117,HUTCHINSON,001,5,0,2,3,0,0
118,IRION,009,0,0,0,0,0,0
119,JACK,002,0,0,0,0,0,0
120,JACKSON,008,1,0,1,0,0,0
121,JASPER,005,4,2,2,0,0,0
122,JEFF DAVIS,010,0,0,0,0,0,0
123,JEFFERSON,005,63,41,15,5,0,2
124,JIM HOGG,011,0,0,0,0,0,0
125,JIM WELLS,011,14,0,1,13,0,0
126,JOHNSON,003,49,5,31,8,0,5
127,JONES,002,1,0,0,1,0,0
128,KARNES,008,9,2,2,5,0,0
