,County,Region,Family Reunification,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relavive,Long Term Care - Emancipaion,Long Term Care - Other
1,ANDERSON,004,18.5,20.8,11.4,46.7,37.7,68.3,0.0
2,ANDREWS,009,15.9,0.0,10.8,0.0,21.6,21.9,0.0
3,ANGELINA,005,2.6,23.9,8.6,25.0,30.6,69.5,9.6
4,ARANSAS,011,18.3,0.0,16.7,31.3,22.8,21.4,0.0
5,ARCHER,002,15.6,0.0,15.6,0.0,0.0,0.0,0.0
6,ARMSTRONG,001,15.6,0.0,0.0,0.0,0.0,0.0,0.0
7,ATASCOSA,008,12.4,0.0,13.7,29.4,19.4,24.1,1.4
8,AUSTIN,006,10.6,0.0,10.9,19.8,21.9,0.0,0.0
9,BAILEY,001,14.7,0.0,18.3,70.5,48.7,72.2,0.0
10,BANDERA,008,15.8,26.0,21.6,23.2,23.2,36.8,32.8
11,BASTROP,007,11.3,0.0,15.5,19.6,24.2,18.1,51.2
12,BAYLOR,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BEE,011,9.0,0.0,8.4,28.0,33.4,31.6,0.0
14,BELL,007,10.2,19.7,10.0,24.3,27.8,60.1,7.2
15,BEXAR,008,14.5,21.7,13.1,22.7,27.1,48.4,4.9
16,BLANCO,007,7.8,0.0,5.0,0.0,0.0,0.0,0.0
17,BORDEN,009,0.0,0.0,3.8,0.0,0.0,0.0,0.0
18,BOSQUE,007,11.5,0.0,13.9,0.0,24.4,0.0,0.0
19,BOWIE,004,10.0,0.0,5.8,20.2,34.4,114.4,17.6
20,BRAZORIA,006,8.6,19.3,14.8,46.7,36.5,56.1,10.4
21,BRAZOS,007,17.8,37.8,17.1,42.8,27.6,85.7,17.2
22,BREWSTER,010,0.0,0.0,0.0,0.0,0.0,120.6,0.0
23,BRISCOE,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BROOKS,011,15.6,0.0,0.0,25.0,0.0,95.7,0.0
25,BROWN,002,16.9,19.2,23.0,17.0,33.7,48.4,0.0
26,BURLESON,007,13.1,0.0,8.4,0.0,34.4,0.0,0.0
27,BURNET,007,12.3,13.5,7.2,20.1,19.5,49.0,0.0
28,CALDWELL,007,14.0,25.3,15.6,26.9,24.6,61.5,16.1
29,CALHOUN,008,11.5,0.0,18.0,0.0,0.0,0.0,0.0
30,CALLAHAN,002,0.0,0.0,0.0,0.0,57.3,0.0,0.0
31,CAMERON,011,11.0,19.2,10.5,22.9,31.5,58.3,1.5
32,CAMP,004,9.4,0.0,9.9,25.1,25.3,0.0,0.0
33,CARSON,001,18.3,0.0,13.3,0.0,0.0,0.0,1.9
34,CASS,004,9.4,0.0,5.2,26.8,40.3,34.6,0.0
35,CASTRO,001,18.5,0.0,0.0,23.1,0.0,0.0,0.0
36,CHAMBERS,006,8.5,20.0,14.5,0.0,39.9,0.0,0.0
37,CHEROKEE,004,15.5,44.4,19.3,23.8,25.7,51.7,0.0
38,CHILDRESS,001,0.0,0.0,0.0,0.0,0.0,99.9,0.0
39,CLAY,002,14.6,0.0,16.3,0.0,0.0,35.8,0.0
40,COCHRAN,001,0.0,0.0,0.0,0.0,86.1,31.2,0.0
41,COKE,009,17.8,0.0,0.0,0.0,0.0,0.0,0.0
42,COLEMAN,002,16.4,0.0,16.6,0.0,9.6,88.1,0.0
43,COLLIN,003,11.6,23.1,10.7,22.4,24.1,39.3,3.4
44,COLLINGSWORTH,001,0.0,0.0,0.0,0.0,0.0,0.0,106.5
45,COLORADO,006,4.0,0.0,0.0,16.5,20.1,0.0,0.0
46,COMAL,008,12.4,38.3,16.6,21.8,25.1,32.7,0.0
47,COMANCHE,002,10.1,0.0,0.0,0.0,21.6,93.6,0.0
48,CONCHO,009,0.0,0.0,0.0,0.0,24.7,0.0,0.0
49,COOKE,003,22.1,0.0,14.4,25.9,26.9,51.0,0.0
50,CORYELL,007,10.1,23.6,8.5,25.4,26.4,18.3,20.2
51,COTTLE,002,0.0,0.0,0.0,0.0,0.0,2.4,0.0
52,CRANE,009,11.7,0.0,0.0,0.0,0.0,0.0,0.0
53,CROCKETT,009,52.8,0.0,0.6,0.0,24.4,0.0,0.0
54,CROSBY,001,0.0,0.0,0.0,0.0,30.4,0.0,0.0
55,CULBERSON,010,0.0,0.0,15.0,0.0,0.0,0.0,0.0
56,DALLAM,001,8.4,0.0,0.0,0.0,0.0,35.4,0.0
57,DALLAS,003,10.5,29.8,11.6,26.0,30.1,59.1,10.9
58,DAWSON,009,17.4,0.0,11.1,37.5,102.2,35.9,0.0
59,DEAF SMITH,001,18.0,0.0,0.0,0.0,26.4,35.6,0.0
60,DELTA,004,0.0,0.0,7.0,0.0,53.4,0.0,0.0
61,DENTON,003,13.5,20.0,14.3,25.2,27.6,18.4,0.1
62,DE WITT,008,11.4,0.0,36.2,31.0,0.0,34.6,0.0
63,DICKENS,001,31.5,0.0,0.2,0.0,0.0,0.0,0.0
64,DIMMIT,008,9.9,0.0,5.7,33.8,59.0,110.3,0.0
65,DONLEY,001,0.0,0.0,0.0,0.0,0.0,66.9,0.0
66,DUVAL,011,0.0,0.0,0.0,0.0,0.0,0.0,4.5
67,EASTLAND,002,29.2,0.0,25.9,32.0,0.0,50.3,0.0
68,ECTOR,009,13.8,39.3,17.0,23.7,26.6,48.6,0.0
69,EDWARDS,008,9.1,0.0,37.0,0.0,0.0,0.0,0.0
70,ELLIS,003,9.2,0.0,9.0,15.9,57.8,35.1,0.0
71,EL PASO,010,11.6,23.3,11.8,25.8,32.3,49.2,1.5
72,ERATH,003,15.2,0.0,2.7,36.1,23.6,0.0,0.0
73,FALLS,007,9.2,0.0,0.0,24.3,24.4,116.7,0.0
74,FANNIN,003,0.0,0.0,19.6,51.2,0.0,25.7,0.0
75,FAYETTE,007,15.3,0.0,11.0,28.4,23.1,82.1,0.0
76,FISHER,002,0.0,0.0,17.4,0.0,0.0,0.0,0.0
77,FLOYD,001,22.7,0.0,17.8,24.2,22.9,0.0,0.0
78,FOARD,002,0.0,0.0,0.0,0.0,13.3,0.0,0.0
79,FORT BEND,006,20.3,0.0,14.9,52.2,36.6,44.0,0.0
80,FRANKLIN,004,14.6,16.3,8.6,21.0,0.0,0.0,0.0
81,FREESTONE,007,3.9,0.0,12.6,24.8,45.2,34.0,0.0
82,FRIO,008,18.4,0.0,13.1,43.5,44.0,54.6,0.0
83,GAINES,009,15.4,0.0,0.0,28.6,24.0,36.7,0.0
84,GALVESTON,006,19.1,0.0,13.5,33.9,32.7,53.3,0.0
85,GARZA,001,17.4,0.0,9.9,0.0,0.0,32.7,0.0
86,GILLESPIE,008,20.5,17.5,10.8,25.3,30.5,48.4,0.0
87,GLASSCOCK,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,GOLIAD,008,0.0,0.0,0.0,21.7,0.0,0.0,0.0
89,GONZALES,008,0.0,0.0,11.4,15.1,30.5,0.0,0.0
90,GRAY,001,19.4,36.2,0.0,21.2,18.8,98.2,22.1
