,County,Region,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***
1,ANDERSON,004,103,0,63,11,7,9,25
2,ANDREWS,009,15,0,3,1,3,1,10
3,ANGELINA,005,136,0,86,16,14,10,38
4,ARANSAS,011,86,0,46,2,7,9,30
5,ARCHER,002,7,0,3,0,0,0,4
6,ARMSTRONG,001,5,0,0,0,2,0,3
7,ATASCOSA,008,191,0,55,8,60,41,44
8,AUSTIN,006,39,0,21,4,6,6,13
9,BAILEY,001,25,0,10,3,3,2,8
10,BANDERA,008,63,0,21,0,20,8,17
11,BASTROP,007,285,0,128,1,70,36,89
12,BAYLOR,002,3,0,0,0,3,0,0
13,BEE,011,130,0,82,23,5,7,29
14,BELL,007,862,2,446,28,68,94,350
15,BEXAR,008,4453,3,1925,182,976,1093,978
16,BLANCO,007,19,0,17,0,0,0,10
17,BORDEN,009,6,0,1,0,5,0,1
18,BOSQUE,007,37,0,26,2,3,1,17
19,BOWIE,004,180,0,116,5,22,16,85
20,BRAZORIA,006,192,0,89,20,20,5,74
21,BRAZOS,007,114,0,42,2,31,31,21
22,BREWSTER,010,4,0,3,0,0,0,1
23,BRISCOE,001,2,0,2,0,0,0,0
24,BROOKS,011,23,0,5,6,1,1,11
25,BROWN,002,106,0,52,14,13,16,24
26,BURLESON,007,48,0,30,1,3,6,10
27,BURNET,007,149,0,72,5,20,20,66
28,CALDWELL,007,97,0,38,4,18,11,29
29,CALHOUN,008,38,0,33,0,0,0,12
30,CALLAHAN,002,9,0,5,2,2,1,0
31,CAMERON,011,513,0,275,66,15,11,217
32,CAMP,004,47,0,13,3,10,11,17
33,CARSON,001,12,0,7,2,0,0,7
34,CASS,004,94,0,57,3,4,6,62
35,CASTRO,001,30,0,7,0,4,9,13
36,CHAMBERS,006,45,0,23,0,3,3,21
37,CHEROKEE,004,153,0,78,6,39,26,38
38,CHILDRESS,001,6,0,3,1,1,0,1
39,CLAY,002,9,0,2,0,0,0,7
40,COCHRAN,001,6,0,0,0,4,1,1
41,COKE,009,13,0,6,1,0,0,6
42,COLEMAN,002,11,0,1,0,3,1,6
43,COLLIN,003,425,0,224,18,51,42,153
44,COLLINGSWORTH,001,10,0,6,0,2,0,2
45,COLORADO,006,18,0,10,1,9,5,2
46,COMAL,008,256,0,139,6,47,17,62
47,COMANCHE,002,14,0,3,2,3,2,5
48,CONCHO,009,1,0,0,0,0,1,0
49,COOKE,003,124,0,56,8,8,18,39
50,CORYELL,007,162,0,83,8,16,14,71
51,COTTLE,002,4,0,4,0,0,0,1
52,CRANE,009,4,0,0,0,0,0,4
53,CROCKETT,009,13,0,9,0,0,1,4
54,CROSBY,001,17,0,9,0,7,1,0
55,CULBERSON,010,6,0,0,0,2,0,4
56,DALLAM,001,5,0,0,1,1,0,3
57,DALLAS,003,3659,13,1871,256,380,304,1305
58,DAWSON,009,62,0,35,1,5,2,26
59,DEAF SMITH,001,40,0,28,0,5,1,13
60,DELTA,004,21,0,18,0,1,1,2
61,DENTON,003,532,0,267,7,74,96,149
62,DE WITT,008,53,0,27,3,12,1,11
63,DICKENS,001,10,0,7,3,0,0,4
