,County,Region,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***
1,ANDERSON,004,0,2,3
2,ANDREWS,009,0,0,0
3,ANGELINA,005,1,14,5
4,ARANSAS,011,0,0,0
5,ARCHER,002,0,0,0
6,ARMSTRONG,001,0,0,0
7,ATASCOSA,008,0,1,5
8,AUSTIN,006,0,0,1
9,BAILEY,001,0,1,0
10,BANDERA,008,0,2,0
11,BASTROP,007,0,5,5
12,BAYLOR,002,0,0,0
13,BEE,011,2,0,0
14,BELL,007,1,32,12
15,BEXAR,008,2,54,174
16,BLANCO,007,0,0,0
17,BORDEN,009,0,0,0
18,BOSQUE,007,0,0,1
19,BOWIE,004,0,12,2
20,BRAZORIA,006,2,13,4
21,BRAZOS,007,1,12,4
22,BREWSTER,010,0,1,0
23,BRISCOE,001,0,1,0
24,BROOKS,011,0,0,0
25,BROWN,002,0,0,2
26,BURLESON,007,0,1,0
27,BURNET,007,0,7,3
28,CALDWELL,007,0,0,3
29,CALHOUN,008,0,0,0
30,CALLAHAN,002,0,0,0
31,CAMERON,011,1,7,4
32,CAMP,004,0,1,2
33,CARSON,001,0,2,0
34,CASS,004,0,4,0
35,CASTRO,001,0,3,0
36,CHAMBERS,006,1,3,0
37,CHEROKEE,004,0,2,0
38,CHILDRESS,001,0,0,0
39,CLAY,002,0,0,0
40,COCHRAN,001,0,0,0
41,COKE,009,0,0,0
42,COLEMAN,002,0,0,0
43,COLLIN,003,1,14,3
44,COLLINGSWORTH,001,0,0,0
45,COLORADO,006,0,0,0
46,COMAL,008,0,9,0
47,COMANCHE,002,0,0,0
48,CONCHO,009,0,0,0
49,COOKE,003,0,0,0
50,CORYELL,007,1,6,1
51,COTTLE,002,0,0,0
52,CRANE,009,0,0,0
53,CROCKETT,009,0,0,0
54,CROSBY,001,0,0,0
55,CULBERSON,010,0,0,0
56,DALLAM,001,0,0,0
57,DALLAS,003,20,72,25
58,DAWSON,009,0,0,0
59,DEAF SMITH,001,0,2,0
60,DELTA,004,0,1,2
61,DENTON,003,2,9,3
62,DE WITT,008,0,0,0
63,DICKENS,001,0,0,1
64,DIMMIT,008,0,0,0
65,DONLEY,001,0,1,0
66,DUVAL,011,0,0,0
67,EASTLAND,002,0,0,0
68,ECTOR,009,0,0,2
69,EDWARDS,008,0,1,0
70,ELLIS,003,0,10,2
71,EL PASO,010,1,31,11
72,ERATH,003,0,0,0
73,FALLS,007,0,1,2
74,FANNIN,003,0,6,0
75,FAYETTE,007,0,1,1
76,FISHER,002,0,0,0
77,FLOYD,001,0,0,0
78,FOARD,002,0,0,0
79,FORT BEND,006,2,18,9
80,FRANKLIN,004,0,2,1
81,FREESTONE,007,0,1,0
82,FRIO,008,0,1,4
83,GAINES,009,0,0,0
84,GALVESTON,006,3,13,6
85,GARZA,001,0,0,0
86,GILLESPIE,008,0,0,0
87,GLASSCOCK,009,0,0,0
88,GOLIAD,008,1,1,0
89,GONZALES,008,0,0,0
90,GRAY,001,0,1,0
91,GRAYSON,003,2,2,0
92,GREGG,004,0,9,1
93,GRIMES,007,0,0,0
94,GUADALUPE,008,0,6,2
95,HALE,001,0,7,0
96,HALL,001,0,0,0
97,HAMILTON,007,0,1,0
98,HANSFORD,001,0,0,0
99,HARDEMAN,002,0,0,0
100,HARDIN,005,0,3,1
101,HARRIS,006,10,86,64
102,HARRISON,004,1,9,2
103,HARTLEY,001,0,0,0
104,HASKELL,002,0,0,0
105,HAYS,007,0,4,11
106,HEMPHILL,001,0,1,0
107,HENDERSON,004,0,10,1
108,HIDALGO,011,0,8,5
109,HILL,007,0,1,3
110,HOCKLEY,001,0,5,1
111,HOOD,003,0,2,1
112,HOPKINS,004,0,0,1
113,HOUSTON,005,0,1,0
114,HOWARD,009,0,0,0
115,HUDSPETH,010,0,0,0
116,HUNT,003,0,8,1
117,HUTCHINSON,001,0,2,0
118,IRION,009,0,0,0
119,JACK,002,0,1,1
120,JACKSON,008,0,4,1
121,JASPER,005,1,8,1
122,JEFF DAVIS,010,0,0,0
123,JEFFERSON,005,8,38,6
124,JIM HOGG,011,0,0,0
125,JIM WELLS,011,0,1,3
126,JOHNSON,003,0,5,4
127,JONES,002,0,0,1
128,KARNES,008,0,0,1
129,KAUFMAN,003,0,2,1
130,KENDALL,008,0,0,0
131,KENEDY,011,0,0,0
132,KENT,002,0,0,0
133,KERR,008,0,3,1
134,KIMBLE,009,0,0,1
135,KING,001,0,0,0
136,KINNEY,008,0,0,0
137,KLEBERG,011,0,1,0
138,KNOX,002,0,0,0
139,LAMAR,004,0,5,3
140,LAMB,001,0,2,0
141,LAMPASAS,007,0,2,0
142,LA SALLE,008,0,0,1
143,LAVACA,008,0,4,1
144,LEE,007,0,2,1
145,LEON,007,0,0,1
146,LIBERTY,006,0,3,3
147,LIMESTONE,007,0,1,2
148,LIPSCOMB,001,0,1,0
149,LIVE OAK,011,0,1,0
150,LLANO,007,0,2,0
151,LOVING,009,0,0,0
152,LUBBOCK,001,1,28,7
153,LYNN,001,0,2,0
154,MADISON,007,0,1,1
155,MARION,004,0,0,0
156,MARTIN,009,0,0,1
157,MASON,009,0,0,0
158,MATAGORDA,006,0,3,0
159,MAVERICK,008,0,1,0
160,MCCULLOCH,009,0,0,1
161,MCLENNAN,007,6,18,13
162,MCMULLEN,011,0,0,0
163,MEDINA,008,0,2,6
164,MENARD,009,0,0,0
165,MIDLAND,009,0,0,2
166,MILAM,007,0,0,0
167,MILLS,007,0,0,0
168,MITCHELL,002,0,0,0
169,MONTAGUE,002,0,1,1
170,MONTGOMERY,006,1,14,7
171,MOORE,001,1,2,0
172,MORRIS,004,0,2,1
173,MOTLEY,001,0,0,0
174,NACOGDOCHES,005,2,7,3
175,NAVARRO,003,0,3,1
176,NEWTON,005,0,0,0
177,NOLAN,002,0,3,0
178,NUECES,011,0,6,4
179,OCHILTREE,001,0,4,1
180,OLDHAM,001,0,0,0
181,ORANGE,005,0,25,2
182,PALO PINTO,003,0,0,3
183,PANOLA,004,0,0,1
184,PARKER,003,0,2,0
185,PARMER,001,0,0,0
186,PECOS,009,0,0,0
187,POLK,005,0,3,1
188,POTTER,001,0,10,1
189,PRESIDIO,010,0,0,0
190,RAINS,004,0,0,0
191,RANDALL,001,1,30,4
192,REAGAN,009,0,0,0
193,REAL,008,0,0,0
194,RED RIVER,004,0,0,1
195,REEVES,009,0,0,0
196,REFUGIO,011,0,0,1
197,ROBERTS,001,0,0,0
198,ROBERTSON,007,0,1,1
199,ROCKWALL,003,0,4,0
200,RUNNELS,002,0,0,1
201,RUSK,004,2,6,4
202,SABINE,005,0,1,0
203,SAN AUGUSTINE,005,0,2,0
204,SAN JACINTO,005,0,1,0
205,SAN PATRICIO,011,0,1,2
206,SAN SABA,007,0,0,0
207,SCHLEICHER,009,0,1,0
208,SCURRY,002,0,1,0
209,SHACKELFORD,002,0,0,0
210,SHELBY,005,0,0,1
211,SHERMAN,001,0,0,0
212,SMITH,004,2,13,2
213,SOMERVELL,003,0,0,0
214,STARR,011,0,2,1
215,STEPHENS,002,0,0,0
216,STERLING,009,0,0,0
217,STONEWALL,002,0,0,0
218,SUTTON,009,0,0,1
219,SWISHER,001,0,2,0
220,TARRANT,003,6,50,22
221,TAYLOR,002,0,6,0
222,TERRELL,009,0,0,0
223,TERRY,001,0,1,0
224,THROCKMORTON,002,0,0,0
225,TITUS,004,0,0,0
226,TOM GREEN,009,0,0,6
227,TRAVIS,007,2,14,27
228,TRINITY,005,1,1,1
229,TYLER,005,1,4,1
230,UPSHUR,004,0,8,2
231,UPTON,009,0,0,0
232,UVALDE,008,0,0,1
233,VAL VERDE,008,0,1,2
234,VAN ZANDT,004,0,11,4
235,VICTORIA,008,1,7,1
236,WALKER,006,1,2,0
237,WALLER,006,1,1,1
238,WARD,009,0,0,0
239,WASHINGTON,007,0,2,2
240,WEBB,011,1,8,4
241,WHARTON,006,0,4,0
242,WHEELER,001,0,0,0
243,WICHITA,002,0,1,0
244,WILBARGER,002,0,0,0
245,WILLACY,011,0,0,0
246,WILLIAMSON,007,0,15,12
247,WILSON,008,0,1,2
248,WINKLER,009,0,0,0
249,WISE,003,0,3,0
250,WOOD,004,0,3,2
251,YOAKUM,001,0,1,0
252,YOUNG,002,0,2,0
253,ZAPATA,011,0,0,1
254,ZAVALA,008,0,0,1
255,OUT OF STATE,,42,77,9
256,STATE TOTAL,,136,1057,607
