,County,Region,Total,African American,Anglo,Hispanic,Native American,Other **
1,ANDERSON,004,11594,1694,6616,2761,38,485
2,ANDREWS,009,4542,57,1496,2899,18,72
3,ANGELINA,005,23772,3646,11790,7514,61,761
4,ARANSAS,011,4520,55,2272,2012,14,167
5,ARCHER,002,2117,12,1788,275,8,34
6,ARMSTRONG,001,375,4,315,47,2,7
7,ATASCOSA,008,13538,80,3474,9863,18,103
8,AUSTIN,006,7524,738,3646,2943,22,175
9,BAILEY,001,2383,10,519,1832,5,17
10,BANDERA,008,3979,31,2726,1143,16,63
11,BASTROP,007,21379,1404,8233,10906,46,790
12,BAYLOR,002,764,14,553,181,3,13
13,BEE,011,6856,108,1520,5096,10,122
14,BELL,007,98721,21144,38971,28893,407,9306
15,BEXAR,008,491136,32602,96341,339288,848,22057
16,BLANCO,007,2278,5,1498,732,6,37
17,BORDEN,009,117,0,87,30,0,0
18,BOSQUE,007,4089,72,2649,1282,5,81
19,BOWIE,004,21900,6112,12461,2074,106,1147
20,BRAZORIA,006,96020,11613,39285,35481,295,9346
21,BRAZOS,007,47729,6527,20051,17852,104,3195
22,BREWSTER,010,1947,11,770,1095,4,67
23,BRISCOE,001,333,8,175,143,0,7
24,BROOKS,011,1996,4,118,1865,1,8
25,BROWN,002,9154,312,5512,2968,42,320
26,BURLESON,007,4140,509,2268,1267,9,87
27,BURNET,007,10299,191,6066,3760,29,253
28,CALDWELL,007,10317,509,2996,6562,21,229
29,CALHOUN,008,5879,106,1643,3822,6,302
30,CALLAHAN,002,3306,38,2725,429,22,92
31,CAMERON,011,141748,284,6326,133998,108,1032
32,CAMP,004,3404,522,1495,1226,6,155
33,CARSON,001,1509,12,1256,198,4,39
34,CASS,004,6993,1288,4939,518,23,225
35,CASTRO,001,2502,46,578,1854,8,16
36,CHAMBERS,006,10728,709,6507,3159,29,324
37,CHEROKEE,004,13753,1796,6519,4909,16,513
38,CHILDRESS,001,1524,67,891,519,11,36
39,CLAY,002,2362,12,2096,179,33,42
40,COCHRAN,001,884,18,242,617,0,7
41,COKE,009,630,1,435,184,0,10
42,COLEMAN,002,1970,43,1365,514,7,41
43,COLLIN,003,250047,23811,128195,52898,1194,43949
44,COLLINGSWORTH,001,838,22,367,423,10,16
45,COLORADO,006,4972,670,1954,2237,2,109
46,COMAL,008,27772,416,16229,10297,60,770
47,COMANCHE,002,3350,8,1811,1478,7,46
48,CONCHO,009,568,4,306,255,1,2
49,COOKE,003,9873,244,6381,2771,98,379
50,CORYELL,007,22926,2945,12057,5537,118,2269
51,COTTLE,002,341,21,202,114,3,1
52,CRANE,009,1293,36,337,906,7,7
53,CROCKETT,009,968,0,212,750,2,4
54,CROSBY,001,1772,57,463,1239,0,13
55,CULBERSON,010,651,1,86,555,0,9
56,DALLAM,001,2138,17,941,1110,4,66
57,DALLAS,003,684069,151810,118075,366075,1755,46354
58,DAWSON,009,3405,123,917,2312,6,47
59,DEAF SMITH,001,6519,28,1130,5288,12,61
60,DELTA,004,1116,89,836,116,9,66
61,DENTON,003,204770,17557,107239,55299,1062,23613
62,DEWITT,008,4497,351,1928,2075,5,138
63,DICKENS,001,461,3,247,201,8,2
64,DIMMIT,008,2903,25,241,2618,0,19
65,DONLEY,001,728,50,550,110,0,18
66,DUVAL,011,3025,2,224,2787,1,11
67,EASTLAND,002,4237,62,3011,1089,14,61
68,ECTOR,009,42345,1669,10855,28816,161,844
69,EDWARDS,008,406,2,117,285,2,0
70,ELLIS,003,46146,4396,24178,16079,121,1372
71,EL PASO,010,248080,5423,19068,217942,713,4934
72,ERATH,003,8966,123,5639,2970,47,187
