,County,Region,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-Home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving  In-Home Services
1,ANDERSON,004,67,"$58,611.93",128,36,"$4,601.92",141
2,ANDREWS,009,13,"$16,771.78",32,14,"$2,271.54",92
3,ANGELINA,005,123,"$122,419.43",163,88,"$9,432.06",271
4,ARANSAS,011,48,"$39,127.99",106,16,"$2,010.71",233
5,ARCHER,002,6,$660.00,6,0,$0.00,28
6,ARMSTRONG,001,0,$0.00,2,0,$0.00,10
7,ATASCOSA,008,95,"$100,691.68",238,27,"$5,139.89",307
8,AUSTIN,006,26,"$25,920.85",40,8,"$2,340.33",84
9,BAILEY,001,15,"$20,623.77",26,0,$0.00,44
10,BANDERA,008,17,"$22,849.33",66,4,$207.25,78
11,BASTROP,007,79,"$80,916.61",284,4,$744.20,259
12,BAYLOR,002,0,$0.00,3,1,$35.00,14
13,BEE,011,63,"$36,398.14",149,28,"$4,800.62",216
14,BELL,007,362,"$404,895.51",938,100,"$27,209.22",1207
15,BEXAR,008,3808,"$6,082,701.73",5364,1595,"$350,413.43",10418
16,BLANCO,007,4,"$3,478.70",20,0,$0.00,17
17,BORDEN,009,5,$670.00,5,0,$0.00,2
18,BOSQUE,007,13,"$27,454.25",47,6,"$7,315.27",50
19,BOWIE,004,85,"$61,133.43",202,119,"$12,077.04",251
20,BRAZORIA,006,190,"$154,760.04",260,163,"$43,611.04",786
21,BRAZOS,007,110,"$135,700.54",165,21,"$4,543.48",256
22,BREWSTER,010,1,"$3,320.00",6,2,$564.40,23
23,BRISCOE,001,2,$168.00,3,0,$0.00,6
24,BROOKS,011,9,"$13,095.10",24,13,"$1,855.14",84
25,BROWN,002,198,"$157,585.21",115,14,"$3,162.57",202
26,BURLESON,007,14,"$6,730.20",60,0,$0.00,46
27,BURNET,007,51,"$38,413.59",153,17,"$2,530.69",143
28,CALDWELL,007,53,"$74,285.99",121,7,"$1,076.42",110
29,CALHOUN,008,5,"$7,255.80",51,1,$27.00,113
30,CALLAHAN,002,5,"$7,600.00",14,4,$252.00,38
31,CAMERON,011,316,"$307,163.29",571,206,"$29,956.51",2529
32,CAMP,004,33,"$48,727.84",54,18,"$1,548.12",68
33,CARSON,001,3,$459.52,8,5,$363.00,23
34,CASS,004,33,"$23,209.07",94,50,"$4,773.35",112
35,CASTRO,001,13,"$2,841.06",35,10,"$1,023.89",52
36,CHAMBERS,006,19,"$31,586.02",58,17,"$3,169.85",106
37,CHEROKEE,004,49,"$84,204.94",168,20,"$1,340.27",188
38,CHILDRESS,001,13,"$14,865.32",11,15,"$2,836.24",33
39,CLAY,002,5,"$4,653.70",11,1,$95.00,17
40,COCHRAN,001,2,"$3,582.18",7,0,$0.00,13
41,COKE,009,3,$569.67,11,0,$0.00,24
42,COLEMAN,002,14,"$18,883.66",21,6,$568.45,76
43,COLLIN,003,544,"$272,507.15",491,35,"$9,614.60",1206
44,COLLINGSWORTH,001,1,$187.76,11,6,$759.30,12
45,COLORADO,006,12,"$11,057.15",22,2,$61.12,42
46,COMAL,008,23,"$23,385.33",295,36,"$6,842.67",480
47,COMANCHE,002,18,"$8,955.09",19,2,$179.50,53
48,CONCHO,009,4,"$6,279.26",3,0,$0.00,6
49,COOKE,003,150,"$94,445.06",140,2,$329.80,163
50,CORYELL,007,34,"$40,462.45",175,6,$991.63,210
51,COTTLE,002,0,$0.00,4,0,$0.00,8
52,CRANE,009,1,$95.00,4,0,$0.00,11
53,CROCKETT,009,1,$97.46,10,2,$118.55,23
54,CROSBY,001,4,"$1,910.14",22,0,$0.00,61
55,CULBERSON,010,1,$350.00,6,2,$470.52,5
56,DALLAM,001,0,$0.00,8,5,$718.92,27
57,DALLAS,003,4288,"$3,196,280.86",4324,288,"$77,659.87",6187
58,DAWSON,009,27,"$16,886.13",80,25,"$4,902.03",127
