,County,Region,Child PopulationAges 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
1,ANDERSON,004,9025,10,816,1,12,8,4
2,ANDREWS,009,3552,4,374,0,0,1,1
3,ANGELINA,005,18413,36,3382,4,48,7,2
4,ARANSAS,011,3467,6,400,0,0,2,1
5,ARCHER,002,1501,4,224,0,0,3,2
6,ARMSTRONG,001,286,0,0,0,0,2,2
7,ATASCOSA,008,10178,7,538,3,36,2,3
8,AUSTIN,006,5660,12,983,0,0,3,2
9,BAILEY,001,1925,3,158,0,0,2,0
10,BANDERA,008,2887,5,431,0,0,0,0
11,BASTROP,007,15991,33,2823,4,48,15,7
12,BAYLOR,002,588,3,150,0,0,2,1
13,BEE,011,5292,8,786,0,0,3,2
14,BELL,007,80288,152,13756,40,478,89,106
15,BEXAR,008,381606,544,61298,40,480,197,360
16,BLANCO,007,1643,6,226,0,0,2,0
17,BORDEN,009,80,1,13,0,0,0,0
18,BOSQUE,007,3059,5,246,1,12,1,1
19,BOWIE,004,16909,36,3619,5,60,17,7
20,BRAZORIA,006,74641,149,17632,13,156,34,55
21,BRAZOS,007,39389,73,7308,13,153,39,30
22,BREWSTER,010,1498,3,230,1,12,9,0
23,BRISCOE,001,253,0,0,0,0,1,0
24,BROOKS,011,1579,5,283,0,0,1,0
25,BROWN,002,7024,12,919,2,24,7,8
26,BURLESON,007,3162,6,397,2,24,6,1
27,BURNET,007,7720,18,1444,1,12,5,1
28,CALDWELL,007,7818,15,830,0,0,8,0
29,CALHOUN,008,4463,8,564,2,24,0,1
30,CALLAHAN,002,2473,3,131,1,12,6,2
31,CAMERON,011,109395,210,14679,24,281,24,25
32,CAMP,004,2578,5,377,1,12,0,0
33,CARSON,001,1115,0,0,0,0,3,1
34,CASS,004,5283,4,334,0,0,6,0
35,CASTRO,001,1924,3,99,0,0,0,1
36,CHAMBERS,006,7922,16,1707,1,12,7,4
37,CHEROKEE,004,10638,12,1135,1,12,9,3
38,CHILDRESS,001,1161,2,54,3,36,9,3
39,CLAY,002,1759,3,151,0,0,3,2
40,COCHRAN,001,687,1,50,0,0,1,0
41,COKE,009,464,1,17,0,0,0,0
42,COLEMAN,002,1489,1,64,3,36,2,5
43,COLLIN,003,188777,356,54097,103,1229,208,168
44,COLLINGSWORTH,001,654,0,0,1,12,1,0
45,COLORADO,006,3802,9,581,2,24,4,4
46,COMAL,008,20340,38,3935,4,46,21,8
47,COMANCHE,002,2540,1,66,5,60,4,2
48,CONCHO,009,434,2,85,0,0,0,1
49,COOKE,003,7687,9,676,9,108,19,14
50,CORYELL,007,18304,31,2559,3,34,10,6
51,COTTLE,002,259,1,34,0,0,0,0
52,CRANE,009,986,1,40,0,0,1,0
53,CROCKETT,009,767,2,80,1,12,1,0
54,CROSBY,001,1348,0,0,0,0,2,2
55,CULBERSON,010,507,1,59,0,0,0,0
56,DALLAM,001,1703,1,54,1,12,3,3
57,DALLAS,003,545979,784,89966,126,1502,703,541
58,DAWSON,009,2689,2,322,3,36,4,0
59,DEAF SMITH,001,5151,6,450,0,0,11,1
60,DELTA,004,846,1,34,0,0,0,1
61,DENTON,003,156798,257,34851,98,1176,197,180
62,DE WITT,008,3460,7,431,1,12,4,0
63,DICKENS,001,361,0,0,0,0,0,1
64,DIMMIT,008,2257,6,448,0,0,3,0
65,DONLEY,001,563,0,0,2,24,3,1
66,DUVAL,011,2337,6,230,0,0,0,2
67,EASTLAND,002,3293,6,255,1,9,3,1
68,ECTOR,009,33741,44,4651,9,108,34,6
69,EDWARDS,008,338,1,25,0,0,0,0
70,ELLIS,003,34211,58,6477,10,120,43,26
71,EL PASO,010,191101,267,25076,127,1520,250,78
72,ERATH,003,7150,13,949,5,60,7,15
73,FALLS,007,3024,4,225,1,12,2,0
74,FANNIN,003,5834,6,628,1,12,13,5
75,FAYETTE,007,4078,8,447,5,60,8,3
76,FISHER,002,614,1,20,0,0,0,0
77,FLOYD,001,1349,2,227,0,0,0,1
78,FOARD,002,189,1,54,0,0,0,0
79,FORT BEND,006,145152,282,38068,49,582,88,255
80,FRANKLIN,004,2105,4,320,0,0,3,0
81,FREESTONE,007,3601,7,396,2,24,9,2
82,FRIO,008,3299,7,524,1,12,3,1
83,GAINES,009,5428,2,103,3,36,0,1
84,GALVESTON,006,59384,120,15227,14,163,46,53
85,GARZA,001,1044,1,44,0,0,0,0
86,GILLESPIE,008,3844,9,525,3,36,6,3
87,GLASSCOCK,009,224,1,12,0,0,0,0
88,GOLIAD,008,1161,2,179,0,0,2,0
89,GONZALES,008,4383,6,298,1,12,9,2
90,GRAY,001,4774,11,845,0,0,1,1
91,GRAYSON,003,22720,35,3067,7,84,38,18
92,GREGG,004,25393,52,5825,5,60,19,13
93,GRIMES,007,4681,6,312,10,119,6,5
94,GUADALUPE,008,29611,36,3902,10,116,32,29
95,HALE,001,8434,6,629,4,48,11,4
96,HALL,001,609,0,0,0,0,1,0
97,HAMILTON,007,1346,3,199,3,36,1,4
98,HANSFORD,001,1321,2,89,1,12,3,0
99,HARDEMAN,002,795,2,94,2,24,1,2
100,HARDIN,005,11023,12,1492,1,12,5,5
101,HARRIS,006,947881,1570,181203,176,2094,712,1319
102,HARRISON,004,13553,15,1522,4,48,13,6
103,HARTLEY,001,984,1,150,1,12,2,2
104,HASKELL,002,936,2,95,0,0,1,0
105,HAYS,007,36550,81,6135,12,144,38,26
106,HEMPHILL,001,894,1,98,0,0,2,0
107,HENDERSON,004,14051,16,1677,2,24,11,1
108,HIDALGO,011,219729,416,30252,86,1025,42,88
109,HILL,007,6710,11,576,2,24,6,3
110,HOCKLEY,001,5010,10,488,6,72,7,1
111,HOOD,003,8532,17,1275,6,72,8,8
112,HOPKINS,004,7191,12,1188,3,36,10,3
113,HOUSTON,005,3755,2,267,1,12,4,5
114,HOWARD,009,6345,10,999,1,12,5,2
115,HUDSPETH,010,709,1,48,0,0,2,0
116,HUNT,003,17313,23,2425,4,48,22,12
117,HUTCHINSON,001,4466,4,238,3,36,7,1
118,IRION,009,216,1,20,0,0,0,1
119,JACK,002,1446,3,133,0,0,2,2
120,JACKSON,008,2763,5,277,7,84,11,1
121,JASPER,005,6907,9,868,2,24,3,3
122,JEFF DAVIS,010,276,0,0,0,0,3,1
123,JEFFERSON,005,48129,78,7998,7,84,27,24
124,JIM HOGG,011,1207,3,193,0,0,2,2
125,JIM WELLS,011,9408,23,880,2,24,6,2
126,JOHNSON,003,33061,34,4198,4,48,28,12
127,JONES,002,2812,2,68,2,24,5,4
128,KARNES,008,2232,4,126,1,12,2,2
129,KAUFMAN,003,24776,34,4377,6,72,41,20
130,KENDALL,008,5987,11,1053,2,24,6,2
131,KENEDY,011,72,0,0,0,0,0,0
132,KENT,002,119,1,12,0,0,1,0
133,KERR,008,7943,17,1389,1,12,14,4
134,KIMBLE,009,676,2,100,0,0,3,0
135,KING,001,36,0,0,0,0,0,0
136,KINNEY,008,508,0,0,0,0,0,0
137,KLEBERG,011,6823,13,743,2,24,5,2
138,KNOX,002,731,3,94,0,0,0,1
139,LAMAR,004,9396,13,1353,8,94,6,4
140,LAMB,001,3124,2,94,0,0,6,0
141,LAMPASAS,007,3724,4,306,4,48,0,5
142,LA SALLE,008,1182,2,99,0,0,1,0
143,LAVACA,008,3264,7,402,9,106,13,6
144,LEE,007,3044,7,576,2,24,4,0
145,LEON,007,2947,3,126,2,24,4,0
146,LIBERTY,006,15550,17,1558,2,24,4,4
147,LIMESTONE,007,4372,5,472,3,36,3,5
148,LIPSCOMB,001,670,0,0,0,0,2,1
149,LIVE OAK,011,1681,3,90,1,12,0,1
150,LLANO,007,2398,8,420,0,0,3,0
151,LOVING,009,5,0,0,0,0,0,0
152,LUBBOCK,001,58193,113,11577,34,408,57,34
153,LYNN,001,1204,2,103,1,12,2,2
154,MADISON,007,2335,7,276,1,12,2,2
155,MARION,004,1452,1,97,0,0,1,1
156,MARTIN,009,1124,1,37,0,0,2,1
157,MASON,009,570,2,94,0,0,0,0
158,MATAGORDA,006,7372,9,865,4,48,12,1
159,MAVERICK,008,14346,17,1706,1,12,4,5
160,MCCULLOCH,009,1507,3,220,2,24,3,0
161,MCLENNAN,007,47738,101,10259,23,276,45,28
162,MCMULLEN,011,84,0,0,0,0,0,0
163,MEDINA,008,9142,15,864,0,0,3,7
164,MENARD,009,324,1,20,0,0,0,0
165,MIDLAND,009,31088,64,6489,11,129,34,11
166,MILAM,007,4895,6,350,4,48,10,0
167,MILLS,007,833,1,33,2,24,3,3
168,MITCHELL,002,1389,2,77,0,0,1,3
169,MONTAGUE,002,3576,7,368,3,36,2,3
170,MONTGOMERY,006,105650,156,19516,19,224,52,22
171,MOORE,001,5775,4,269,0,0,5,3
172,MORRIS,004,2336,4,168,2,24,2,2
173,MOTLEY,001,179,0,0,0,0,0,0
174,NACOGDOCHES,005,13559,15,2074,2,24,6,3
175,NAVARRO,003,10279,14,1333,3,36,9,9
176,NEWTON,005,2311,4,222,0,0,0,0
177,NOLAN,002,3154,8,562,1,12,3,2
178,NUECES,011,68170,153,13288,38,450,62,50
179,OCHILTREE,001,2799,4,306,0,0,4,0
180,OLDHAM,001,362,1,51,0,0,0,0
181,ORANGE,005,15837,24,2531,4,48,16,12
182,PALO PINTO,003,5459,6,619,1,12,10,7
183,PANOLA,004,4539,6,537,1,12,3,0
184,PARKER,003,24071,41,3783,1,12,16,10
185,PARMER,001,2609,1,48,0,0,5,0
186,PECOS,009,3173,4,299,2,24,1,1
187,POLK,005,7519,8,862,1,12,2,1
188,POTTER,001,27857,41,4317,0,0,36,21
189,PRESIDIO,010,1646,0,0,0,0,9,2
190,RAINS,004,1686,3,139,0,0,0,0
191,RANDALL,001,24715,44,4535,4,48,57,43
192,REAGAN,009,765,2,120,0,0,3,0
193,REAL,008,444,2,77,0,0,0,0
194,RED RIVER,004,2074,1,72,3,36,4,0
195,REEVES,009,2469,2,144,2,24,2,0
196,REFUGIO,011,1307,3,115,0,0,4,2
197,ROBERTS,001,177,0,0,0,0,1,0
198,ROBERTSON,007,3228,3,279,3,36,3,1
199,ROCKWALL,003,18950,25,3727,5,60,23,1
200,RUNNELS,002,1936,3,102,3,36,3,3
201,RUSK,004,10030,12,911,4,48,4,0
202,SABINE,005,1514,1,100,0,0,0,0
203,SAN AUGUSTINE,005,1386,2,86,0,0,0,0
204,SAN JACINTO,005,4765,4,236,0,0,0,0
205,SAN PATRICIO,011,13831,27,1869,4,44,17,1
206,SAN SABA,007,930,1,31,1,12,1,2
207,SCHLEICHER,009,893,1,20,1,12,1,0
208,SCURRY,002,3513,4,374,0,0,4,2
209,SHACKELFORD,002,616,1,51,0,0,1,0
210,SHELBY,005,5392,3,172,1,12,2,3
211,SHERMAN,001,652,1,51,0,0,1,1
212,SMITH,004,43865,90,9039,7,84,38,10
213,SOMERVELL,003,1574,3,68,1,12,4,2
214,STARR,011,15956,37,2290,4,48,6,10
215,STEPHENS,002,1745,1,152,1,12,2,3
216,STERLING,009,217,1,35,0,0,0,0
217,STONEWALL,002,249,0,0,1,12,1,0
218,SUTTON,009,846,1,43,0,0,1,1
219,SWISHER,001,1585,2,200,0,0,2,0
220,TARRANT,003,410804,650,74107,118,1412,447,619
221,TAYLOR,002,26818,49,5009,4,48,39,33
222,TERRELL,009,170,0,0,0,0,0,0
223,TERRY,001,2653,1,100,3,36,1,1
224,THROCKMORTON,002,242,1,12,0,0,0,0
225,TITUS,004,7933,6,1065,0,0,0,1
226,TOM GREEN,009,21490,53,5429,4,48,26,20
227,TRAVIS,007,222173,499,47477,63,752,207,148
228,TRINITY,005,2274,4,213,0,0,0,0
229,TYLER,005,3152,6,342,3,36,0,0
230,UPSHUR,004,7557,5,465,3,36,8,0
231,UPTON,009,732,1,20,0,0,0,0
232,UVALDE,008,5979,14,928,1,12,2,2
