,County,Region,Population Age 18-64 With a Disablilty,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages*
1,ANDERSON,004,4512,8647,297,208,135,64
2,ANDREWS,009,903,1917,48,21,9,2
3,ANGELINA,005,9933,13787,497,386,265,116
4,ARANSAS,011,2442,7142,242,171,109,49
5,ARCHER,002,624,1674,86,64,51,21
6,ARMSTRONG,001,127,500,3,1,1,0
7,ATASCOSA,008,3432,7549,192,152,51,17
8,AUSTIN,006,1910,5711,140,83,33,18
9,BAILEY,001,407,1133,79,69,60,25
10,BANDERA,008,1840,5608,140,100,59,20
11,BASTROP,007,6198,12105,376,277,124,37
12,BAYLOR,002,265,941,45,28,24,17
13,BEE,011,3617,3967,183,140,72,25
14,BELL,007,27322,34060,1710,1098,543,160
15,BEXAR,008,137156,212898,9528,6261,2665,1038
16,BLANCO,007,953,2640,30,25,9,2
17,BORDEN,009,34,180,8,2,1,0
18,BOSQUE,007,1551,4623,119,89,53,5
19,BOWIE,004,7582,14772,373,250,128,68
20,BRAZORIA,006,19410,39646,807,586,372,145
21,BRAZOS,007,10514,17733,442,267,150,28
22,BREWSTER,010,874,1940,97,66,47,11
23,BRISCOE,001,72,442,4,2,2,1
24,BROOKS,011,1037,1416,81,65,28,13
25,BROWN,002,2208,7910,387,262,179,72
26,BURLESON,007,1551,3664,74,42,27,8
27,BURNET,007,4374,10139,157,106,64,18
28,CALDWELL,007,3290,5871,256,196,95,38
29,CALHOUN,008,2058,3886,137,81,36,14
30,CALLAHAN,002,1313,2874,128,104,75,40
31,CAMERON,011,28510,54672,1931,1515,787,350
32,CAMP,004,1067,2469,72,52,27,12
33,CARSON,001,245,1170,16,13,10,5
34,CASS,004,3019,6741,141,104,56,26
35,CASTRO,001,354,1245,25,15,13,6
36,CHAMBERS,006,3214,4667,119,97,73,41
37,CHEROKEE,004,3956,8930,379,297,204,108
38,CHILDRESS,001,311,1182,49,38,29,20
39,CLAY,002,1166,2226,101,69,62,23
40,COCHRAN,001,251,576,94,86,80,49
41,COKE,009,176,887,31,19,14,12
42,COLEMAN,002,514,2195,116,84,49,20
43,COLLIN,003,31009,92982,1254,886,531,154
44,COLLINGSWORTH,001,189,593,15,15,13,8
45,COLORADO,006,1461,4598,63,50,24,8
46,COMAL,008,8648,23704,432,269,137,36
47,COMANCHE,002,1166,3241,108,79,58,24
48,CONCHO,009,429,710,17,10,9,2
49,COOKE,003,3286,7197,171,119,76,21
50,CORYELL,007,6430,7150,303,219,116,27
51,COTTLE,002,113,426,14,9,4,0
52,CRANE,009,175,649,14,12,8,3
53,CROCKETT,009,183,709,17,9,7,7
54,CROSBY,001,504,1208,59,52,35,15
55,CULBERSON,010,328,466,19,18,15,2
56,DALLAM,001,494,861,18,18,5,5
57,DALLAS,003,128652,240254,9197,6902,3562,960
58,DAWSON,009,891,2119,124,97,56,16
59,DEAF SMITH,001,1119,2478,66,47,32,18
60,DELTA,004,483,1233,35,24,11,5
61,DENTON,003,33969,70415,1221,778,508,83
62,DEWITT,008,1435,4005,111,70,24,0
63,DICKENS,001,270,562,28,30,21,9
64,DIMMIT,008,869,1787,52,42,22,3
65,DONLEY,001,293,858,32,22,20,13
66,DUVAL,011,1526,2203,92,71,31,19
67,EASTLAND,002,2214,4183,217,160,127,61
68,ECTOR,009,11432,16438,662,459,313,141
69,EDWARDS,008,118,554,5,3,2,0
70,ELLIS,003,12005,20663,384,257,171,68
71,EL PASO,010,59176,97317,3564,2741,1540,292
72,ERATH,003,2097,5652,96,67,28,14
73,FALLS,007,1940,3253,92,63,39,8
74,FANNIN,003,3277,6955,205,144,118,41
75,FAYETTE,007,1449,6260,105,74,41,4
76,FISHER,002,278,952,14,12,9,4
77,FLOYD,001,376,1202,64,57,45,25
78,FOARD,002,183,360,22,10,9,4
79,FORT BEND,006,27692,67738,1002,738,327,134
80,FRANKLIN,004,1159,2364,50,32,22,11
81,FREESTONE,007,1550,3951,112,84,57,6
82,FRIO,008,1903,2394,80,63,18,6
83,GAINES,009,1297,1828,48,35,18,3
84,GALVESTON,006,21329,39571,1359,937,455,96
85,GARZA,001,567,813,51,46,33,18
86,GILLESPIE,008,1638,7648,87,68,34,19
87,GLASSCOCK,009,24,239,0,0,0,0
88,GOLIAD,008,789,1719,45,34,12,1
89,GONZALES,008,2042,3508,108,61,32,5
90,GRAY,001,1737,3813,125,92,46,22
91,GRAYSON,003,10337,22476,720,502,358,129
92,GREGG,004,9415,18521,579,399,250,93
93,GRIMES,007,1824,4588,122,71,45,14
94,GUADALUPE,008,10249,20320,477,290,158,32
95,HALE,001,2124,4764,172,139,103,42
96,HALL,001,229,810,25,20,16,11
97,HAMILTON,007,819,2208,41,35,12,2
98,HANSFORD,001,332,882,13,9,2,0
99,HARDEMAN,002,514,930,48,30,20,7
100,HARDIN,005,5099,9054,251,171,101,40
101,HARRIS,006,227695,414634,14348,10612,5826,2450
102,HARRISON,004,4614,10615,277,212,140,55
103,HARTLEY,001,174,823,14,12,8,4
104,HASKELL,002,718,1356,59,36,29,13
105,HAYS,007,10696,19981,469,313,155,40
106,HEMPHILL,001,256,606,4,3,3,1
107,HENDERSON,004,7488,17270,565,432,280,161
108,HIDALGO,011,58752,91143,2973,2271,964,390
109,HILL,007,3223,7755,248,173,110,45
110,HOCKLEY,001,1550,3379,169,152,100,31
111,HOOD,003,3935,13924,263,197,142,99
112,HOPKINS,004,3226,6276,203,154,94,48
