,County,Region,Families,Children,Children* Removed From Home,Percent of Children Removed
1,ANDERSON,004,44,115,6,5.2%
2,ANDREWS,009,29,86,5,5.8%
3,ANGELINA,005,106,288,8,2.8%
4,ARANSAS,011,95,228,13,5.7%
5,ARCHER,002,5,13,0,0.0%
6,ARMSTRONG,001,1,1,0,0.0%
7,ATASCOSA,008,96,292,9,3.1%
8,AUSTIN,006,25,56,0,0.0%
9,BAILEY,001,6,19,2,10.5%
10,BANDERA,008,22,55,5,9.1%
11,BASTROP,007,42,123,3,2.4%
12,BAYLOR,002,3,6,0,0.0%
13,BEE,011,68,190,8,4.2%
14,BELL,007,342,950,80,8.4%
15,BEXAR,008,2691,8158,728,8.9%
16,BLANCO,007,5,11,3,27.3%
17,BORDEN,009,0,0,0,0.0%
18,BOSQUE,007,12,33,0,0.0%
19,BOWIE,004,63,191,22,11.5%
20,BRAZORIA,006,336,978,34,3.5%
21,BRAZOS,007,67,187,6,3.2%
22,BREWSTER,010,2,7,0,0.0%
23,BRISCOE,001,3,8,2,25.0%
24,BROOKS,011,37,99,2,2.0%
25,BROWN,002,78,204,3,1.5%
26,BURLESON,007,5,12,0,0.0%
27,BURNET,007,30,75,7,9.3%
28,CALDWELL,007,41,103,7,6.8%
29,CALHOUN,008,30,74,6,8.1%
30,CALLAHAN,002,19,56,4,7.1%
31,CAMERON,011,877,2677,135,5.0%
32,CAMP,004,7,18,1,5.6%
33,CARSON,001,9,25,3,12.0%
34,CASS,004,25,87,7,8.0%
35,CASTRO,001,9,36,6,16.7%
36,CHAMBERS,006,54,150,10,6.7%
37,CHEROKEE,004,65,164,16,9.8%
38,CHILDRESS,001,8,14,0,0.0%
39,CLAY,002,9,22,0,0.0%
40,COCHRAN,001,5,16,0,0.0%
41,COKE,009,2,3,0,0.0%
42,COLEMAN,002,21,48,0,0.0%
43,COLLIN,003,389,969,28,2.9%
44,COLLINGSWORTH,001,3,8,0,0.0%
45,COLORADO,006,11,33,0,0.0%
46,COMAL,008,187,461,32,6.9%
47,COMANCHE,002,23,57,2,3.5%
48,CONCHO,009,4,8,0,0.0%
49,COOKE,003,38,104,15,14.4%
50,CORYELL,007,80,194,7,3.6%
51,COTTLE,002,0,0,0,0.0%
52,CRANE,009,5,14,2,14.3%
53,CROCKETT,009,8,20,3,15.0%
54,CROSBY,001,23,76,11,14.5%
55,CULBERSON,010,6,17,0,0.0%
56,DALLAM,001,11,29,0,0.0%
57,DALLAS,003,1975,5442,146,2.7%
58,DAWSON,009,21,63,2,3.2%
59,DEAF SMITH,001,25,79,6,7.6%
60,DELTA,004,5,17,1,5.9%
61,DENTON,003,373,890,43,4.8%
62,DE WITT,008,26,63,2,3.2%
63,DICKENS,001,6,14,2,14.3%
64,DIMMIT,008,15,46,4,8.7%
65,DONLEY,001,7,22,0,0.0%
66,DUVAL,011,24,68,5,7.4%
67,EASTLAND,002,31,96,0,0.0%
68,ECTOR,009,183,513,65,12.7%
69,EDWARDS,008,2,7,0,0.0%
70,ELLIS,003,202,527,10,1.9%
71,EL PASO,010,1095,2915,108,3.7%
72,ERATH,003,60,138,2,1.4%
73,FALLS,007,16,45,0,0.0%
74,FANNIN,003,37,83,3,3.6%
75,FAYETTE,007,13,34,5,14.7%
76,FISHER,002,6,20,1,5.0%
77,FLOYD,001,9,21,0,0.0%
78,FOARD,002,1,3,0,0.0%
79,FORT BEND,006,556,1549,13,0.8%
80,FRANKLIN,004,4,10,2,20.0%
81,FREESTONE,007,10,29,0,0.0%
82,FRIO,008,39,122,9,7.4%
83,GAINES,009,17,55,1,1.8%
84,GALVESTON,006,445,1286,60,4.7%
85,GARZA,001,9,27,1,3.7%
86,GILLESPIE,008,28,74,2,2.7%
87,GLASSCOCK,009,1,2,0,0.0%
88,GOLIAD,008,8,23,2,8.7%
89,GONZALES,008,14,62,12,19.4%
90,GRAY,001,48,113,6,5.3%
91,GRAYSON,003,215,581,26,4.5%
92,GREGG,004,183,469,48,10.2%
93,GRIMES,007,22,61,1,1.6%
94,GUADALUPE,008,115,307,39,12.7%
95,HALE,001,79,211,10,4.7%
96,HALL,001,2,6,1,16.7%
97,HAMILTON,007,4,18,0,0.0%
98,HANSFORD,001,5,14,2,14.3%
99,HARDEMAN,002,8,22,0,0.0%
100,HARDIN,005,21,54,3,5.6%
101,HARRIS,006,3965,12009,504,4.2%
102,HARRISON,004,61,174,20,11.5%
103,HARTLEY,001,2,4,0,0.0%
104,HASKELL,002,6,16,0,0.0%
105,HAYS,007,109,305,21,6.9%
106,HEMPHILL,001,5,16,1,6.3%
107,HENDERSON,004,141,356,29,8.1%
108,HIDALGO,011,1641,5585,203,3.6%
109,HILL,007,25,72,5,6.9%
110,HOCKLEY,001,41,123,3,2.4%
111,HOOD,003,117,272,25,9.2%
112,HOPKINS,004,25,62,6,9.7%
113,HOUSTON,005,27,66,3,4.5%
114,HOWARD,009,67,185,10,5.4%
115,HUDSPETH,010,1,4,0,0.0%
116,HUNT,003,111,271,15,5.5%
117,HUTCHINSON,001,47,118,10,8.5%
118,IRION,009,0,0,0,0.0%
119,JACK,002,19,49,7,14.3%
120,JACKSON,008,20,54,0,0.0%
121,JASPER,005,28,67,8,11.9%
122,JEFF DAVIS,010,4,16,0,0.0%
123,JEFFERSON,005,126,327,30,9.2%
124,JIM HOGG,011,17,43,1,2.3%
125,JIM WELLS,011,131,403,23,5.7%
126,JOHNSON,003,389,1039,54,5.2%
127,JONES,002,32,88,3,3.4%
128,KARNES,008,11,30,11,36.7%
129,KAUFMAN,003,120,343,3,0.9%
130,KENDALL,008,18,51,6,11.8%
131,KENEDY,011,1,1,0,0.0%
132,KENT,002,0,0,0,0.0%
133,KERR,008,84,218,15,6.9%
134,KIMBLE,009,5,11,0,0.0%
135,KING,001,0,0,0,0.0%
136,KINNEY,008,1,2,0,0.0%
137,KLEBERG,011,73,203,13,6.4%
138,KNOX,002,5,14,0,0.0%
139,LAMAR,004,50,125,4,3.2%
140,LAMB,001,17,56,1,1.8%
141,LAMPASAS,007,26,59,5,8.5%
142,LA SALLE,008,13,42,2,4.8%
143,LAVACA,008,14,45,4,8.9%
144,LEE,007,7,18,2,11.1%
145,LEON,007,9,25,0,0.0%
146,LIBERTY,006,136,352,24,6.8%
147,LIMESTONE,007,22,66,5,7.6%
148,LIPSCOMB,001,3,8,0,0.0%
149,LIVE OAK,011,32,108,7,6.5%
150,LLANO,007,15,48,8,16.7%
151,LOVING,009,0,0,0,0.0%
152,LUBBOCK,001,550,1528,149,9.8%
153,LYNN,001,11,31,5,16.1%
154,MADISON,007,3,8,2,25.0%
155,MARION,004,9,24,2,8.3%
156,MARTIN,009,7,15,0,0.0%
157,MASON,009,8,23,0,0.0%
158,MATAGORDA,006,44,115,1,0.9%
