,County,Region,Child Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Substitute Care,Children in Substitute Care - Relative*,Children in Substitute Care - Non Relative**,Children in Foster Care***
1,ANDERSON,004,11551,147,12.7,44,82,69,101
2,ANDREWS,009,4614,41,8.9,21,15,27,28
3,ANGELINA,005,23755,205,8.6,91,122,75,129
4,ARANSAS,011,4533,100,22.1,31,28,64,71
5,ARCHER,002,2085,6,2.9,3,3,3,6
6,ARMSTRONG,001,369,1,2.7,1,0,1,1
7,ATASCOSA,008,13517,214,15.8,52,128,73,115
8,AUSTIN,006,7706,27,3.5,7,18,9,8
9,BAILEY,001,2391,22,9.2,3,7,8,9
10,BANDERA,008,3914,41,10.5,6,14,29,35
11,BASTROP,007,21662,294,13.6,109,183,97,150
12,BAYLOR,002,758,4,5.3,1,0,4,4
13,BEE,011,6889,174,25.3,53,84,78,116
14,BELL,007,100813,1045,10.4,481,612,417,610
15,BEXAR,008,496981,5002,10.1,1562,2544,2361,3234
16,BLANCO,007,2263,16,7.1,6,9,6,8
17,BORDEN,009,115,0,0.0,0,0,0,0
18,BOSQUE,007,4113,64,15.6,32,28,36,43
19,BOWIE,004,21861,207,9.5,88,101,99,93
20,BRAZORIA,006,97607,256,2.6,84,114,133,177
21,BRAZOS,007,49385,128,2.6,23,56,75,98
22,BREWSTER,010,2083,3,1.4,0,3,1,1
23,BRISCOE,001,354,5,14.1,2,3,2,3
24,BROOKS,011,2041,19,9.3,5,7,12,15
25,BROWN,002,9180,160,17.4,70,90,66,96
26,BURLESON,007,4120,59,14.3,14,33,25,24
27,BURNET,007,10348,126,12.2,48,78,43,66
28,CALDWELL,007,10380,137,13.2,53,80,57,74
29,CALHOUN,008,5931,51,8.6,15,25,27,34
30,CALLAHAN,002,3234,20,6.2,11,11,10,10
31,CAMERON,011,143894,684,4.8,325,389,286,414
32,CAMP,004,3427,46,13.4,19,22,24,31
33,CARSON,001,1506,11,7.3,6,0,9,9
