,County,Region,Total,Hispanic,Anglo,African American,Other *,Asian,Native American
1,ANDERSON,004,44,6,27,7,4,0,0
2,ANDREWS,009,21,6,14,0,1,0,0
3,ANGELINA,005,91,12,57,13,9,0,0
4,ARANSAS,011,31,12,15,3,1,0,0
5,ARCHER,002,3,0,2,1,0,0,0
6,ARMSTRONG,001,1,0,1,0,0,0,0
7,ATASCOSA,008,52,35,12,1,3,0,1
8,AUSTIN,006,7,1,5,1,0,0,0
9,BAILEY,001,3,3,0,0,0,0,0
10,BANDERA,008,6,3,3,0,0,0,0
11,BASTROP,007,109,38,47,18,6,0,0
12,BAYLOR,002,1,0,1,0,0,0,0
13,BEE,011,53,46,3,1,3,0,0
14,BELL,007,481,100,172,136,70,1,2
15,BEXAR,008,1562,1174,179,173,31,5,0
16,BLANCO,007,6,3,3,0,0,0,0
17,BORDEN,009,0,0,0,0,0,0,0
18,BOSQUE,007,32,14,18,0,0,0,0
19,BOWIE,004,88,4,45,29,10,0,0
20,BRAZORIA,006,84,23,49,11,0,1,0
21,BRAZOS,007,23,8,11,2,2,0,0
22,BREWSTER,010,0,0,0,0,0,0,0
23,BRISCOE,001,2,0,2,0,0,0,0
24,BROOKS,011,5,5,0,0,0,0,0
25,BROWN,002,70,18,45,4,3,0,0
26,BURLESON,007,14,3,8,3,0,0,0
27,BURNET,007,48,13,30,0,5,0,0
28,CALDWELL,007,53,21,25,6,1,0,0
29,CALHOUN,008,15,9,6,0,0,0,0
30,CALLAHAN,002,11,5,5,0,1,0,0
31,CAMERON,011,325,308,15,0,2,0,0
32,CAMP,004,19,7,7,1,4,0,0
33,CARSON,001,6,1,2,1,2,0,0
34,CASS,004,56,0,34,12,10,0,0
35,CASTRO,001,8,1,7,0,0,0,0
36,CHAMBERS,006,20,0,19,1,0,0,0
37,CHEROKEE,004,74,20,34,16,4,0,0
38,CHILDRESS,001,1,0,1,0,0,0,0
39,CLAY,002,1,0,1,0,0,0,0
40,COCHRAN,001,0,0,0,0,0,0,0
41,COKE,009,3,0,3,0,0,0,0
42,COLEMAN,002,9,2,7,0,0,0,0
43,COLLIN,003,232,47,117,33,23,12,0
44,COLLINGSWORTH,001,1,0,1,0,0,0,0
45,COLORADO,006,7,3,2,2,0,0,0
46,COMAL,008,186,102,69,3,11,1,0
47,COMANCHE,002,4,2,2,0,0,0,0
48,CONCHO,009,0,0,0,0,0,0,0
49,COOKE,003,46,8,31,2,4,0,1
50,CORYELL,007,102,11,57,16,18,0,0
51,COTTLE,002,0,0,0,0,0,0,0
52,CRANE,009,3,3,0,0,0,0,0
53,CROCKETT,009,8,8,0,0,0,0,0
54,CROSBY,001,16,12,2,2,0,0,0
55,CULBERSON,010,2,0,2,0,0,0,0
56,DALLAM,001,12,2,8,0,2,0,0
57,DALLAS,003,1823,570,354,742,139,18,0
58,DAWSON,009,10,7,3,0,0,0,0
59,DEAF SMITH,001,13,10,2,1,0,0,0
60,DELTA,004,6,1,4,1,0,0,0
61,DENTON,003,235,55,102,50,27,1,0
62,DE WITT,008,17,10,6,0,1,0,0
