,County,Region,Totals,Family Reunification,Custody Given to Relative Non-PCA,Custody Given to Relative PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other
1,ANDERSON,004,36,14,6,6,6,3,1,0
2,ANDREWS,009,11,4,1,2,1,1,2,0
3,ANGELINA,005,72,27,16,12,4,5,7,1
4,ARANSAS,011,34,15,8,0,3,5,2,1
5,ARCHER,002,3,0,3,0,0,0,0,0
6,ARMSTRONG,001,0,0,0,0,0,0,0,0
7,ATASCOSA,008,95,18,15,2,8,44,6,2
8,AUSTIN,006,13,5,5,1,0,1,0,1
9,BAILEY,001,8,8,0,0,0,0,0,0
10,BANDERA,008,13,1,1,0,4,7,0,0
11,BASTROP,007,106,34,18,2,24,25,3,0
12,BAYLOR,002,0,0,0,0,0,0,0,0
13,BEE,011,90,41,33,4,2,4,6,0
14,BELL,007,464,139,193,32,46,25,23,6
15,BEXAR,008,2106,456,432,72,404,574,157,11
16,BLANCO,007,6,3,3,0,0,0,0,0
17,BORDEN,009,0,0,0,0,0,0,0,0
18,BOSQUE,007,11,0,3,0,5,3,0,0
19,BOWIE,004,92,26,56,1,3,2,3,1
20,BRAZORIA,006,93,40,24,6,9,6,6,2
21,BRAZOS,007,68,7,22,5,7,19,8,0
22,BREWSTER,010,3,0,3,0,0,0,0,0
23,BRISCOE,001,0,0,0,0,0,0,0,0
24,BROOKS,011,10,8,1,0,0,0,1,0
25,BROWN,002,59,10,14,6,19,5,5,0
26,BURLESON,007,30,9,14,0,2,4,1,0
27,BURNET,007,64,11,31,0,6,13,3,0
28,CALDWELL,007,49,9,13,2,5,16,4,0
29,CALHOUN,008,11,2,6,0,3,0,0,0
30,CALLAHAN,002,7,2,3,0,0,1,1,0
31,CAMERON,011,282,108,140,7,8,6,11,2
32,CAMP,004,28,5,7,3,12,0,1,0
33,CARSON,001,5,4,1,0,0,0,0,0
34,CASS,004,32,5,21,1,1,3,1,0
35,CASTRO,001,10,2,6,0,0,2,0,0
36,CHAMBERS,006,27,7,11,2,6,1,0,0
37,CHEROKEE,004,63,16,11,0,20,12,4,0
38,CHILDRESS,001,3,0,0,0,2,0,1,0
39,CLAY,002,2,0,1,0,0,1,0,0
40,COCHRAN,001,1,0,0,0,1,0,0,0
41,COKE,009,3,0,3,0,0,0,0,0
42,COLEMAN,002,6,0,4,0,1,1,0,0
43,COLLIN,003,234,77,70,9,48,20,10,0
44,COLLINGSWORTH,001,5,3,0,0,1,1,0,0
45,COLORADO,006,9,3,2,1,2,1,0,0
46,COMAL,008,131,54,22,2,17,29,5,2
47,COMANCHE,002,8,1,0,0,5,0,1,1
48,CONCHO,009,1,0,0,0,0,0,1,0
49,COOKE,003,44,8,10,7,13,1,2,3
50,CORYELL,007,87,42,32,7,3,2,1,0
51,COTTLE,002,3,3,0,0,0,0,0,0
52,CRANE,009,0,0,0,0,0,0,0,0
53,CROCKETT,009,3,0,2,0,0,0,1,0
54,CROSBY,001,4,2,0,0,1,0,0,1
55,CULBERSON,010,2,0,1,0,0,1,0,0
56,DALLAM,001,0,0,0,0,0,0,0,0
57,DALLAS,003,1865,533,728,162,189,131,91,31
58,DAWSON,009,20,5,5,0,2,4,3,1
59,DEAF SMITH,001,14,2,8,0,1,3,0,0
60,DELTA,004,16,6,8,0,1,1,0,0
61,DENTON,003,226,76,51,0,50,32,10,7
62,DE WITT,008,12,6,5,0,0,0,1,0
63,DICKENS,001,6,3,2,0,0,1,0,0
64,DIMMIT,008,12,2,3,0,4,0,3,0
65,DONLEY,001,3,2,0,0,0,1,0,0
66,DUVAL,011,5,0,1,0,2,0,2,0
67,EASTLAND,002,6,0,3,0,1,2,0,0
68,ECTOR,009,170,48,39,0,44,29,10,0
69,EDWARDS,008,0,0,0,0,0,0,0,0
70,ELLIS,003,64,26,23,0,8,4,3,0
71,EL PASO,010,340,114,90,7,66,43,17,3
72,ERATH,003,21,13,2,0,1,1,3,1
73,FALLS,007,18,4,5,0,5,4,0,0
74,FANNIN,003,19,2,3,3,9,2,0,0
75,FAYETTE,007,21,5,3,0,3,9,1,0
76,FISHER,002,5,5,0,0,0,0,0,0
77,FLOYD,001,10,5,1,0,2,2,0,0
78,FOARD,002,0,0,0,0,0,0,0,0
79,FORT BEND,006,76,19,24,9,9,7,8,0
80,FRANKLIN,004,14,5,7,0,2,0,0,0
81,FREESTONE,007,23,9,6,0,1,5,2,0
82,FRIO,008,35,9,3,0,10,12,1,0
83,GAINES,009,3,0,0,0,0,2,1,0
84,GALVESTON,006,140,35,47,11,21,15,10,1
85,GARZA,001,8,3,2,0,0,1,2,0
86,GILLESPIE,008,9,2,1,1,0,3,2,0
87,GLASSCOCK,009,0,0,0,0,0,0,0,0
88,GOLIAD,008,7,2,2,0,3,0,0,0
89,GONZALES,008,16,9,0,0,6,1,0,0
90,GRAY,001,14,5,3,0,2,2,2,0
91,GRAYSON,003,106,34,21,1,19,19,9,3
92,GREGG,004,90,29,19,3,13,17,9,0
93,GRIMES,007,21,6,7,0,2,3,3,0
