,County,Region,Family Reunification,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other
1,ANDERSON,004,12.0,24.5,15.9,31.3,67.1,4.6,0.0
2,ANDREWS,009,15.5,15.0,25.5,26.4,22.5,43.4,0.0
3,ANGELINA,005,8.1,23.2,11.3,25.2,21.4,46.4,5.5
4,ARANSAS,011,10.8,0.0,8.6,42.6,30.9,50.9,50.4
5,ARCHER,002,0.0,0.0,3.8,0.0,0.0,0.0,0.0
6,ARMSTRONG,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ATASCOSA,008,17.1,35.9,14.7,22.9,25.3,36.9,1.3
8,AUSTIN,006,9.2,22.3,10.2,29.4,0.0,0.0,9.6
9,BAILEY,001,16.2,0.0,0.0,0.0,0.0,0.0,0.0
10,BANDERA,008,11.9,0.0,14.1,17.7,16.7,0.0,0.0
11,BASTROP,007,10.2,41.1,11.2,24.3,22.1,27.1,0.0
12,BAYLOR,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BEE,011,11.1,22.7,11.1,35.3,47.9,31.2,0.0
14,BELL,007,8.8,23.8,9.8,23.8,28.1,37.6,5.9
15,BEXAR,008,13.8,27.3,13.0,20.6,27.4,54.4,23.9
16,BLANCO,007,19.5,0.0,6.4,0.0,0.0,0.0,0.0
17,BORDEN,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,BOSQUE,007,0.0,0.0,18.8,30.6,21.1,0.0,0.0
19,BOWIE,004,9.1,26.7,8.5,21.5,18.8,32.2,46.3
20,BRAZORIA,006,10.6,24.0,12.0,21.8,28.2,38.7,60.2
21,BRAZOS,007,20.1,18.1,18.5,29.8,34.4,74.6,0.0
22,BREWSTER,010,0.0,0.0,9.0,0.0,0.0,0.0,0.0
23,BRISCOE,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BROOKS,011,19.3,0.0,25.1,0.0,0.0,151.2,0.0
25,BROWN,002,16.7,16.9,13.0,28.8,26.3,63.6,0.0
26,BURLESON,007,12.7,0.0,12.1,24.0,29.5,133.8,0.0
27,BURNET,007,11.8,0.0,8.8,18.2,22.1,65.7,0.0
28,CALDWELL,007,11.8,22.5,10.8,31.0,20.9,62.6,0.0
29,CALHOUN,008,13.8,0.0,10.4,0.0,31.0,0.0,0.0
30,CALLAHAN,002,17.5,0.0,18.0,25.9,0.0,49.7,0.0
31,CAMERON,011,13.8,16.7,12.4,23.0,52.3,46.9,7.8
32,CAMP,004,8.1,27.0,7.4,0.0,24.8,41.2,0.0
33,CARSON,001,22.2,0.0,0.0,0.0,0.0,0.0,0.0
34,CASS,004,9.9,21.5,6.4,26.5,13.5,6.0,0.0
35,CASTRO,001,20.6,0.0,20.9,40.2,0.0,0.0,0.0
36,CHAMBERS,006,15.4,18.4,9.3,25.6,33.5,0.0,0.0
37,CHEROKEE,004,14.9,0.0,14.7,21.9,31.6,40.1,0.0
38,CHILDRESS,001,0.0,0.0,0.0,0.0,61.7,34.7,0.0
39,CLAY,002,0.0,0.0,10.8,124.0,0.0,0.0,0.0
40,COCHRAN,001,0.0,0.0,0.0,0.0,26.3,0.0,0.0
41,COKE,009,0.0,0.0,17.7,0.0,0.0,0.0,0.0
42,COLEMAN,002,0.0,0.0,16.9,27.4,31.6,0.0,0.0
43,COLLIN,003,10.3,22.7,12.7,22.8,26.4,67.7,0.0
44,COLLINGSWORTH,001,16.9,0.0,0.0,35.9,35.9,0.0,0.0
45,COLORADO,006,4.0,33.9,10.5,46.7,14.9,0.0,0.0
46,COMAL,008,12.4,28.3,16.0,22.1,32.7,32.7,0.8
47,COMANCHE,002,12.9,0.0,0.0,0.0,20.6,90.7,30.0
48,CONCHO,009,0.0,0.0,0.0,0.0,0.0,46.7,0.0
49,COOKE,003,15.5,23.7,9.6,50.4,21.5,47.2,25.0
50,CORYELL,007,8.4,15.6,7.2,20.3,14.5,20.5,0.0
51,COTTLE,002,16.5,0.0,0.0,0.0,0.0,0.0,0.0
52,CRANE,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,CROCKETT,009,0.0,0.0,7.7,0.0,0.0,6.2,0.0
54,CROSBY,001,21.5,0.0,0.0,0.0,59.9,0.0,16.9
55,CULBERSON,010,0.0,0.0,27.4,27.4,0.0,0.0,0.0
56,DALLAM,001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,DALLAS,003,11.2,30.2,13.0,26.1,28.7,62.1,6.4
58,DAWSON,009,19.3,0.0,18.9,24.9,17.9,35.0,24.5
59,DEAF SMITH,001,15.9,0.0,9.3,41.7,19.9,0.0,0.0
60,DELTA,004,13.3,0.0,10.0,23.7,92.2,0.0,0.0
61,DENTON,003,12.6,0.0,12.5,22.1,26.0,26.9,4.9
62,DE WITT,008,15.7,0.0,14.0,0.0,0.0,21.5,0.0
63,DICKENS,001,9.9,0.0,14.0,22.4,0.0,0.0,0.0
64,DIMMIT,008,12.3,0.0,22.4,0.0,36.0,89.3,0.0
65,DONLEY,001,41.2,0.0,0.0,32.3,0.0,0.0,0.0
