,County,Region,Unique  Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***
1,ANDERSON,004,104,0,48,15,15,9,30
2,ANDREWS,009,32,0,21,0,1,2,9
3,ANGELINA,005,166,0,90,13,7,9,62
4,ARANSAS,011,82,0,33,7,18,8,26
5,ARCHER,002,4,0,3,0,0,0,3
6,ARMSTRONG,001,1,0,1,0,0,0,0
7,ATASCOSA,008,165,0,53,5,31,52,43
8,AUSTIN,006,24,0,7,4,2,1,12
9,BAILEY,001,12,0,3,0,1,0,8
10,BANDERA,008,30,0,6,4,14,11,2
11,BASTROP,007,252,0,111,4,52,49,58
12,BAYLOR,002,1,0,1,0,0,0,0
13,BEE,011,159,0,53,29,15,6,84
14,BELL,007,918,0,510,32,99,71,385
15,BEXAR,008,4159,0,1600,202,1015,978,1134
16,BLANCO,007,13,0,6,0,3,0,6
17,BORDEN,009,0,0,0,0,0,0,0
18,BOSQUE,007,54,0,32,0,19,8,3
19,BOWIE,004,172,0,125,14,12,5,87
20,BRAZORIA,006,186,0,78,13,30,15,76
21,BRAZOS,007,107,0,23,3,23,26,40
22,BREWSTER,010,3,0,0,0,0,0,3
23,BRISCOE,001,4,0,4,0,2,0,0
24,BROOKS,011,14,0,5,0,0,0,10
25,BROWN,002,134,0,67,8,18,24,35
26,BURLESON,007,43,0,14,0,2,6,24
27,BURNET,007,113,0,52,4,23,19,45
28,CALDWELL,007,119,0,60,10,13,21,28
29,CALHOUN,008,35,0,15,7,10,3,8
30,CALLAHAN,002,18,0,11,2,0,1,6
31,CAMERON,011,631,0,332,44,41,14,270
32,CAMP,004,43,0,19,0,3,12,16
33,CARSON,001,11,0,7,0,1,0,5
34,CASS,004,84,0,61,6,10,4,28
35,CASTRO,001,19,0,8,0,1,2,8
36,CHAMBERS,006,43,0,20,1,5,7,20
37,CHEROKEE,004,165,0,88,1,28,32,33
38,CHILDRESS,001,7,0,4,0,1,2,1
39,CLAY,002,3,0,1,0,0,1,1
40,COCHRAN,001,1,0,0,0,0,1,0
41,COKE,009,6,0,3,0,0,0,3
42,COLEMAN,002,16,0,9,0,1,2,4
43,COLLIN,003,474,0,232,27,61,68,168
44,COLLINGSWORTH,001,10,0,3,0,2,2,3
45,COLORADO,006,16,0,8,0,0,3,6
46,COMAL,008,345,0,188,9,65,46,84
47,COMANCHE,002,16,0,4,3,3,5,3
48,CONCHO,009,1,0,0,0,0,0,1
49,COOKE,003,95,0,46,1,16,14,30
50,CORYELL,007,179,0,110,3,15,5,82
51,COTTLE,002,3,0,0,0,0,0,3
52,CRANE,009,3,0,3,0,0,0,0
53,CROCKETT,009,12,0,9,0,1,0,3
54,CROSBY,001,27,0,15,1,7,1,3
55,CULBERSON,010,4,0,2,0,0,1,1
56,DALLAM,001,15,0,15,0,1,0,0
57,DALLAS,003,3956,10,1870,270,442,320,1559
58,DAWSON,009,51,0,13,2,22,6,14
59,DEAF SMITH,001,37,0,23,0,7,4,10
60,DELTA,004,22,0,6,0,2,2,14
61,DENTON,003,519,0,236,7,109,82,144
62,DE WITT,008,42,0,17,4,11,0,12
63,DICKENS,001,9,0,2,0,4,1,5
64,DIMMIT,008,30,0,11,2,6,4,8
65,DONLEY,001,6,0,0,0,3,1,2
66,DUVAL,011,20,0,15,0,0,2,3
67,EASTLAND,002,23,0,12,2,3,3,3
68,ECTOR,009,371,0,158,0,88,73,97
69,EDWARDS,008,0,0,0,0,0,0,0
70,ELLIS,003,124,0,64,1,15,12,52
71,EL PASO,010,587,0,205,41,98,109,231
72,ERATH,003,42,0,23,0,6,2,19
73,FALLS,007,26,0,10,0,3,9,9
74,FANNIN,003,46,0,21,2,10,11,8
75,FAYETTE,007,49,0,24,0,9,12,9
76,FISHER,002,6,0,1,0,0,0,5
77,FLOYD,001,24,0,10,0,6,4,6
78,FOARD,002,1,0,0,0,1,0,0
79,FORT BEND,006,190,0,97,18,12,16,60
80,FRANKLIN,004,28,0,11,3,3,2,12
81,FREESTONE,007,32,0,12,0,6,6,17
82,FRIO,008,101,0,59,0,9,22,13
83,GAINES,009,15,0,1,0,11,2,1
84,GALVESTON,006,362,0,201,10,49,36,108
85,GARZA,001,19,0,11,1,0,1,7
86,GILLESPIE,008,25,0,15,0,5,3,6
87,GLASSCOCK,009,0,0,0,0,0,0,0
88,GOLIAD,008,15,0,3,6,0,3,4
89,GONZALES,008,53,0,17,4,19,7,9
90,GRAY,001,40,0,17,4,7,4,10
91,GRAYSON,003,237,0,109,8,50,38,68
92,GREGG,004,293,0,172,12,39,30,60
93,GRIMES,007,45,0,18,0,12,5,16
94,GUADALUPE,008,223,0,140,7,22,25,45
95,HALE,001,87,0,35,1,17,9,29
96,HALL,001,4,0,2,0,2,0,0
97,HAMILTON,007,9,0,8,1,0,0,0
98,HANSFORD,001,17,0,12,0,0,0,5
99,HARDEMAN,002,3,0,0,0,0,0,3
100,HARDIN,005,45,0,24,0,5,8,14
101,HARRIS,006,4479,0,1786,196,715,890,1228
102,HARRISON,004,145,0,68,9,10,17,56
103,HARTLEY,001,1,0,0,0,0,0,1
104,HASKELL,002,6,0,2,0,0,4,0
105,HAYS,007,291,0,181,7,34,32,100
106,HEMPHILL,001,17,0,7,4,2,2,2
107,HENDERSON,004,289,0,160,10,44,25,82
108,HIDALGO,011,836,0,481,58,45,13,388
109,HILL,007,88,0,43,2,24,19,12
110,HOCKLEY,001,52,0,11,4,14,16,11
111,HOOD,003,124,0,67,0,19,19,27
112,HOPKINS,004,97,0,49,6,16,8,32
113,HOUSTON,005,64,0,43,2,5,1,16
114,HOWARD,009,113,0,26,11,38,23,24
115,HUDSPETH,010,0,0,0,0,0,0,0
116,HUNT,003,294,0,156,2,60,44,110
117,HUTCHINSON,001,48,0,25,5,6,1,16
118,IRION,009,0,0,0,0,0,0,0
119,JACK,002,30,0,17,4,0,0,11
120,JACKSON,008,14,0,5,0,6,1,3
121,JASPER,005,70,0,46,0,8,1,25
122,JEFF DAVIS,010,0,0,0,0,0,0,0
123,JEFFERSON,005,325,0,148,1,78,63,74
124,JIM HOGG,011,2,0,1,0,1,0,0
125,JIM WELLS,011,81,0,44,2,18,7,15
126,JOHNSON,003,328,0,172,10,64,44,65
127,JONES,002,18,0,7,3,0,0,8
128,KARNES,008,63,0,34,7,19,8,13
129,KAUFMAN,003,130,0,46,4,40,21,39
130,KENDALL,008,27,0,7,2,8,8,5
131,KENEDY,011,0,0,0,0,0,0,0
132,KENT,002,0,0,0,0,0,0,0
133,KERR,008,127,0,53,5,38,17,35
134,KIMBLE,009,13,0,2,1,2,0,8
135,KING,001,0,0,0,0,0,0,0
136,KINNEY,008,0,0,0,0,0,0,0
137,KLEBERG,011,55,0,27,4,0,1,26
138,KNOX,002,3,0,0,0,0,0,3
139,LAMAR,004,159,0,91,5,10,4,71
140,LAMB,001,30,0,9,3,11,0,10
141,LAMPASAS,007,61,0,33,0,10,2,26
142,LA SALLE,008,16,0,5,0,5,3,3
143,LAVACA,008,24,0,7,0,2,7,8
144,LEE,007,50,0,18,7,11,3,15
145,LEON,007,22,0,4,0,4,0,15
146,LIBERTY,006,203,0,93,6,19,22,81
147,LIMESTONE,007,41,0,16,2,10,8,11
148,LIPSCOMB,001,1,0,0,0,0,1,0
149,LIVE OAK,011,46,0,23,1,4,5,26
150,LLANO,007,85,0,48,1,8,12,28
151,LOVING,009,0,0,0,0,0,0,0
152,LUBBOCK,001,829,1,368,33,140,140,243
153,LYNN,001,10,0,8,0,2,0,0
154,MADISON,007,24,0,11,1,0,2,13
155,MARION,004,25,0,16,0,0,5,11
156,MARTIN,009,0,0,0,0,0,0,0
157,MASON,009,3,0,2,0,0,0,1
158,MATAGORDA,006,51,0,17,3,4,10,20
159,MAVERICK,008,26,0,8,1,5,2,11
160,MCCULLOCH,009,15,0,8,0,2,3,2
161,MCLENNAN,007,759,0,330,28,201,109,171
162,MCMULLEN,011,4,0,0,0,0,0,6
163,MEDINA,008,137,0,57,3,27,39,35
164,MENARD,009,1,0,0,0,0,1,0
165,MIDLAND,009,132,0,60,2,18,18,51
166,MILAM,007,90,0,52,8,17,7,19
167,MILLS,007,16,0,12,0,0,1,3
168,MITCHELL,002,9,0,4,0,1,0,4
169,MONTAGUE,002,54,0,36,1,9,4,9
170,MONTGOMERY,006,434,0,166,11,90,96,142
171,MOORE,001,20,0,12,3,2,3,3
172,MORRIS,004,26,0,15,0,4,4,11
173,MOTLEY,001,2,0,2,0,0,0,0
174,NACOGDOCHES,005,133,0,40,7,36,24,46
175,NAVARRO,003,51,0,15,1,10,20,12
176,NEWTON,005,17,0,13,1,0,0,5
177,NOLAN,002,28,0,20,3,0,3,9
178,NUECES,011,590,0,335,45,65,27,223
179,OCHILTREE,001,10,0,6,3,1,0,1
180,OLDHAM,001,0,0,0,0,0,0,0
181,ORANGE,005,241,0,111,18,20,28,85
182,PALO PINTO,003,180,0,75,9,27,36,45
183,PANOLA,004,47,0,26,2,3,2,19
184,PARKER,003,238,0,92,10,48,46,73
185,PARMER,001,11,0,9,0,3,2,4
186,PECOS,009,13,0,4,0,2,2,8
187,POLK,005,89,0,24,3,9,14,52
188,POTTER,001,335,0,164,20,90,48,84
189,PRESIDIO,010,8,0,3,1,1,2,3
190,RAINS,004,12,0,3,2,6,0,2
191,RANDALL,001,193,0,90,13,27,34,50
192,REAGAN,009,2,0,0,1,1,0,0
193,REAL,008,17,0,9,0,5,4,1
194,RED RIVER,004,32,0,19,1,6,2,13
