,County,Region,Children Receiving  In-Home Services,Children Receiving In-Home Purchased Services,Children in Substitute Care,Children Receiving Sub-Care Purchased Services,Children in Foster Care,Children in Paid Foster Care
1,ANDERSON,004,159,48,151,45,101,99
2,ANDREWS,009,24,3,42,15,28,27
3,ANGELINA,005,352,162,197,113,129,127
4,ARANSAS,011,259,72,92,25,71,71
5,ARCHER,002,7,3,6,1,6,6
6,ARMSTRONG,001,1,0,1,0,1,1
7,ATASCOSA,008,342,61,201,46,115,114
8,AUSTIN,006,62,19,27,13,8,7
9,BAILEY,001,31,9,15,6,9,9
10,BANDERA,008,63,13,43,18,35,34
11,BASTROP,007,212,113,280,119,150,150
12,BAYLOR,002,6,0,4,4,4,4
13,BEE,011,242,75,162,55,116,106
14,BELL,007,788,475,1029,344,610,596
15,BEXAR,008,9195,2475,4905,2434,3234,3154
16,BLANCO,007,17,6,15,4,8,7
17,BORDEN,009,0,0,0,0,0,0
18,BOSQUE,007,30,7,64,23,43,43
19,BOWIE,004,262,122,200,36,93,90
20,BRAZORIA,006,1067,237,247,111,177,173
21,BRAZOS,007,147,56,131,75,98,96
22,BREWSTER,010,7,4,4,0,1,0
23,BRISCOE,001,8,1,5,0,3,3
24,BROOKS,011,124,18,19,8,15,13
25,BROWN,002,219,90,156,80,96,95
26,BURLESON,007,45,18,58,15,24,24
27,BURNET,007,123,56,121,55,66,66
28,CALDWELL,007,119,73,137,48,74,72
29,CALHOUN,008,87,16,52,13,34,34
30,CALLAHAN,002,54,13,21,4,10,10
31,CAMERON,011,2533,251,675,207,414,410
32,CAMP,004,26,21,46,18,31,31
33,CARSON,001,23,5,9,1,9,7
34,CASS,004,97,36,81,12,30,27
35,CASTRO,001,41,2,22,4,5,4
36,CHAMBERS,006,177,10,51,14,29,29
37,CHEROKEE,004,217,67,196,69,130,128
38,CHILDRESS,001,16,2,8,5,8,8
39,CLAY,002,22,2,7,2,3,3
40,COCHRAN,001,16,0,2,1,0,0
41,COKE,009,3,2,8,1,7,7
42,COLEMAN,002,43,4,21,4,14,14
43,COLLIN,003,912,298,520,289,386,376
44,COLLINGSWORTH,001,11,2,10,2,4,4
45,COLORADO,006,40,3,22,7,9,9
46,COMAL,008,576,127,395,102,235,233
47,COMANCHE,002,56,4,17,12,16,15
48,CONCHO,009,8,5,2,0,2,2
49,COOKE,003,93,22,128,67,105,105
50,CORYELL,007,196,72,195,46,111,110
51,COTTLE,002,3,0,3,0,0,0
52,CRANE,009,0,0,3,0,0,0
53,CROCKETT,009,20,3,16,2,4,3
54,CROSBY,001,79,1,36,4,22,21
55,CULBERSON,010,17,4,4,0,2,2
56,DALLAM,001,33,10,22,7,13,13
57,DALLAS,003,3947,1416,4579,2654,3063,2982
58,DAWSON,009,57,3,64,20,40,40
59,DEAF SMITH,001,84,49,52,20,35,34
60,DELTA,004,22,13,22,6,15,15
61,DENTON,003,982,294,584,379,398,390
62,DE WITT,008,79,14,73,10,42,41
63,DICKENS,001,17,0,7,2,3,3
64,DIMMIT,008,59,4,73,12,46,46
65,DONLEY,001,19,9,9,1,7,7
66,DUVAL,011,74,11,40,14,32,32
67,EASTLAND,002,80,12,30,10,27,27
68,ECTOR,009,316,149,445,209,260,253
69,EDWARDS,008,7,2,5,4,5,5
70,ELLIS,003,374,90,142,95,107,105
71,EL PASO,010,2972,641,684,302,528,512
72,ERATH,003,166,32,45,11,42,42
73,FALLS,007,38,14,29,15,18,18
74,FANNIN,003,78,22,49,27,40,40
75,FAYETTE,007,46,23,54,17,21,20
76,FISHER,002,26,1,2,0,1,1
77,FLOYD,001,33,3,25,4,14,14
78,FOARD,002,3,0,1,0,1,1
79,FORT BEND,006,1516,305,246,129,164,158
80,FRANKLIN,004,11,7,27,7,16,16
81,FREESTONE,007,41,13,33,5,19,19
82,FRIO,008,151,18,119,51,92,92
83,GAINES,009,24,5,27,10,21,21
84,GALVESTON,006,1344,422,454,218,259,256
85,GARZA,001,30,10,26,6,17,16
86,GILLESPIE,008,77,7,35,8,28,28
87,GLASSCOCK,009,2,0,0,0,0,0
88,GOLIAD,008,23,1,14,2,12,12
89,GONZALES,008,65,12,54,26,44,43
90,GRAY,001,126,68,52,14,45,45
91,GRAYSON,003,460,113,274,168,213,210
92,GREGG,004,544,224,383,113,282,275
93,GRIMES,007,68,11,44,13,26,26
94,GUADALUPE,008,362,114,247,51,97,95
95,HALE,001,260,88,113,45,81,80
96,HALL,001,6,1,8,4,5,5
97,HAMILTON,007,4,0,12,6,6,6
98,HANSFORD,001,16,13,23,9,13,13
99,HARDEMAN,002,29,1,7,2,5,5
100,HARDIN,005,62,25,61,17,45,45
101,HARRIS,006,11916,2240,5850,3057,4040,3925
102,HARRISON,004,227,99,156,33,104,103
103,HARTLEY,001,4,0,1,1,1,1
104,HASKELL,002,14,3,9,2,9,9
105,HAYS,007,389,128,302,71,144,143
106,HEMPHILL,001,16,0,18,1,18,18
107,HENDERSON,004,491,237,339,113,220,214
108,HIDALGO,011,5502,961,939,340,729,719
109,HILL,007,27,29,121,41,62,62
110,HOCKLEY,001,162,41,61,37,40,40
111,HOOD,003,253,46,148,53,113,108
112,HOPKINS,004,88,66,100,34,62,62
113,HOUSTON,005,79,23,82,20,68,68
114,HOWARD,009,113,60,133,48,91,90
115,HUDSPETH,010,4,0,0,0,0,0
116,HUNT,003,248,59,299,211,224,214
117,HUTCHINSON,001,137,60,60,23,49,47
118,IRION,009,0,0,0,0,0,0
119,JACK,002,42,5,30,7,17,16
120,JACKSON,008,57,2,17,2,12,11
121,JASPER,005,89,38,74,35,53,53
122,JEFF DAVIS,010,10,1,0,0,0,0
123,JEFFERSON,005,376,184,365,262,302,299
124,JIM HOGG,011,33,6,7,1,2,2
125,JIM WELLS,011,376,69,99,35,60,59
126,JOHNSON,003,828,258,420,201,366,360
127,JONES,002,89,5,20,0,14,14
128,KARNES,008,48,4,77,30,37,36
129,KAUFMAN,003,185,79,137,96,87,85
130,KENDALL,008,55,8,32,12,22,21
131,KENEDY,011,1,0,0,0,0,0
132,KENT,002,0,0,0,4,0,0
133,KERR,008,260,54,142,52,109,108
134,KIMBLE,009,19,2,15,2,14,14
135,KING,001,0,0,0,0,0,0
136,KINNEY,008,2,0,0,0,0,0
137,KLEBERG,011,200,24,81,24,57,54
138,KNOX,002,15,3,6,0,6,6
139,LAMAR,004,160,124,170,60,98,98
140,LAMB,001,71,26,39,9,29,28
141,LAMPASAS,007,48,22,68,33,30,30
142,LA SALLE,008,52,4,19,4,12,12
143,LAVACA,008,48,7,31,7,22,20
144,LEE,007,30,19,55,24,14,12
145,LEON,007,37,3,36,10,21,21
146,LIBERTY,006,431,69,252,134,151,149
147,LIMESTONE,007,70,30,47,23,25,25
148,LIPSCOMB,001,8,0,1,0,0,0
149,LIVE OAK,011,148,17,51,11,32,30
150,LLANO,007,60,37,83,33,40,40
151,LOVING,009,0,0,0,0,0,0
152,LUBBOCK,001,1691,660,970,487,700,692
153,LYNN,001,34,9,14,5,10,10
154,MADISON,007,11,9,19,8,9,9
155,MARION,004,26,13,26,6,19,19
156,MARTIN,009,4,0,0,2,0,0
157,MASON,009,23,1,3,1,2,2
158,MATAGORDA,006,130,4,58,26,41,41
159,MAVERICK,008,76,17,26,2,19,17
160,MCCULLOCH,009,39,0,21,10,18,17
161,MCLENNAN,007,850,342,859,412,481,475
162,MCMULLEN,011,12,0,1,1,0,0
163,MEDINA,008,242,50,167,63,99,97
164,MENARD,009,1,0,3,1,2,2
165,MIDLAND,009,210,70,173,73,109,107
166,MILAM,007,126,49,128,40,79,74
167,MILLS,007,9,0,16,21,11,11
168,MITCHELL,002,64,2,10,4,6,6
169,MONTAGUE,002,118,9,69,22,58,58
170,MONTGOMERY,006,1078,149,581,304,385,373
171,MOORE,001,46,28,29,6,21,21
172,MORRIS,004,43,23,29,7,14,14
173,MOTLEY,001,3,2,2,0,2,2
174,NACOGDOCHES,005,127,29,173,76,130,128
175,NAVARRO,003,92,22,62,43,48,47
176,NEWTON,005,17,4,25,4,14,14
177,NOLAN,002,147,30,42,16,27,27
178,NUECES,011,2693,622,664,264,499,484
179,OCHILTREE,001,28,7,13,4,11,11
180,OLDHAM,001,2,0,1,0,1,1
181,ORANGE,005,248,85,280,106,208,204
182,PALO PINTO,003,344,96,236,96,171,171
183,PANOLA,004,117,39,45,4,23,23
184,PARKER,003,597,132,290,102,196,196
185,PARMER,001,18,2,12,5,3,2
