,County,Region,Total,Hispanic,Anglo,African American,Asian,Other*,Native American
1,ANDERSON,004,11551,2829,6508,1686,76,416,36
2,ANDREWS,009,4614,2934,1518,55,18,66,23
3,ANGELINA,005,23755,7585,11609,3682,236,578,65
4,ARANSAS,011,4533,2011,2273,57,86,91,15
5,ARCHER,002,2085,282,1749,12,0,34,8
6,ARMSTRONG,001,369,48,308,4,0,6,3
7,ATASCOSA,008,13517,9867,3436,78,24,91,21
8,AUSTIN,006,7706,3059,3658,765,29,169,26
9,BAILEY,001,2391,1838,520,11,7,10,5
10,BANDERA,008,3914,1155,2648,28,5,61,17
11,BASTROP,007,21662,11256,8136,1369,119,728,54
12,BAYLOR,002,758,175,556,12,0,12,3
13,BEE,011,6889,5085,1553,101,34,103,13
14,BELL,007,100813,29637,39719,21305,1889,7840,423
15,BEXAR,008,496981,340424,98874,32635,10251,13848,949
16,BLANCO,007,2263,753,1458,4,18,23,7
17,BORDEN,009,115,28,87,0,0,0,0
18,BOSQUE,007,4113,1317,2638,72,4,78,4
19,BOWIE,004,21861,2080,12360,6132,188,995,106
20,BRAZORIA,006,97607,36239,39422,11574,6609,3444,319
21,BRAZOS,007,49385,18624,20702,6563,2084,1302,110
22,BREWSTER,010,2083,1198,793,10,21,55,6
23,BRISCOE,001,354,146,194,8,0,6,0
24,BROOKS,011,2041,1900,124,4,4,7,2
25,BROWN,002,9180,3049,5429,312,48,295,47
26,BURLESON,007,4120,1269,2243,509,0,90,9
27,BURNET,007,10348,3876,5972,196,47,224,33
28,CALDWELL,007,10380,6656,2983,473,61,185,22
29,CALHOUN,008,5931,3880,1624,108,256,57,6
30,CALLAHAN,002,3234,433,2637,36,11,93,24
31,CAMERON,011,143894,136137,6300,280,679,387,111
32,CAMP,004,3427,1229,1476,541,26,148,7
33,CARSON,001,1506,197,1257,10,5,34,3
34,CASS,004,6997,533,4920,1279,25,213,27
35,CASTRO,001,2491,1855,567,44,5,12,8
36,CHAMBERS,006,10845,3270,6481,721,98,244,31
37,CHEROKEE,004,13835,5033,6438,1802,78,465,19
38,CHILDRESS,001,1510,521,870,63,11,32,13
39,CLAY,002,2386,177,2120,12,0,43,34
40,COCHRAN,001,881,617,242,17,2,3,0
41,COKE,009,618,188,417,1,0,12,0
42,COLEMAN,002,1938,506,1337,41,9,37,8
43,COLLIN,003,254505,54709,128972,23681,33944,11956,1243
44,COLLINGSWORTH,001,831,422,361,21,0,16,11
45,COLORADO,006,4953,2257,1900,674,26,93,3
46,COMAL,008,28014,10547,16161,421,180,642,63
47,COMANCHE,002,3372,1517,1794,7,8,39,7
48,CONCHO,009,592,274,310,4,1,2,1
49,COOKE,003,9766,2744,6298,249,67,311,97
50,CORYELL,007,23635,5737,12181,3111,273,2198,135
51,COTTLE,002,359,116,218,21,0,1,3
52,CRANE,009,1311,918,343,32,1,8,9
53,CROCKETT,009,988,755,227,0,0,4,2
54,CROSBY,001,1808,1279,465,51,0,13,0
55,CULBERSON,010,679,576,92,1,1,9,0
56,DALLAM,001,2195,1138,960,17,13,61,6
57,DALLAS,003,680491,364776,116117,149159,31991,16602,1846
58,DAWSON,009,3420,2323,920,121,12,38,6
59,DEAF SMITH,001,6620,5400,1099,28,16,60,17
60,DELTA,004,1124,126,833,91,5,61,8
61,DENTON,003,208025,56950,106604,17457,16381,9465,1168
62,DEWITT,008,4499,2109,1886,338,14,145,7
63,DICKENS,001,464,200,256,3,0,-1,6
64,DIMMIT,008,2922,2631,243,25,17,6,0
65,DONLEY,001,722,105,551,50,1,15,0
66,DUVAL,011,3036,2789,233,2,0,11,1
67,EASTLAND,002,4239,1114,2991,53,9,57,15
68,ECTOR,009,42985,29456,10787,1696,289,589,168
69,EDWARDS,008,443,295,145,2,0,0,1
70,ELLIS,003,46263,16324,23984,4383,261,1186,125
71,EL PASO,010,248583,218181,19149,5463,1698,3362,730
72,ERATH,003,9147,3009,5738,132,63,150,55
73,FALLS,007,3879,1257,1477,1026,2,111,6
74,FANNIN,003,7637,1255,5617,365,29,281,90
75,FAYETTE,007,5371,1949,2862,426,20,99,15
76,FISHER,002,798,297,469,21,4,7,0
77,FLOYD,001,1756,1294,400,51,3,8,0
78,FOARD,002,254,58,177,17,2,0,0
79,FORT BEND,006,200969,61458,55363,43655,33051,6992,450
80,FRANKLIN,004,2680,637,1814,124,22,68,15
81,FREESTONE,007,4733,1060,2873,679,12,79,30
82,FRIO,008,4343,3835,459,7,6,27,9
83,GAINES,009,6866,2529,4180,81,14,59,3
84,GALVESTON,006,77237,24694,36647,10383,2631,2620,262
85,GARZA,001,1306,695,513,76,0,13,9
86,GILLESPIE,008,5232,1965,3154,11,20,70,12
87,GLASSCOCK,009,309,127,180,1,0,1,0
88,GOLIAD,008,1587,774,721,67,3,20,2
89,GONZALES,008,5621,3719,1475,305,22,84,16
90,GRAY,001,6110,2520,3198,173,22,170,27
91,GRAYSON,003,29465,6294,19275,1927,194,1333,442
92,GREGG,004,32518,9665,14455,6828,340,1125,105
93,GRIMES,007,6126,2205,2896,861,17,139,8
94,GUADALUPE,008,40448,19022,17361,2141,396,1411,117
95,HALE,001,10774,7800,2392,386,24,147,25
96,HALL,001,783,419,292,63,0,5,4
97,HAMILTON,007,1756,335,1383,9,3,19,7
98,HANSFORD,001,1710,994,690,8,5,13,0
99,HARDEMAN,002,1036,431,525,43,2,31,4
100,HARDIN,005,14456,1073,12072,877,88,314,32
101,HARRIS,006,1198257,642510,250176,213408,60828,29218,2117
102,HARRISON,004,17657,3941,9436,3547,121,522,90
103,HARTLEY,001,1271,423,815,4,9,13,7
104,HASKELL,002,1195,485,640,33,0,30,7
105,HAYS,007,48859,23539,22193,1246,452,1286,143
106,HEMPHILL,001,1166,501,649,0,0,10,6
107,HENDERSON,004,18248,3964,12302,1202,99,590,91
108,HIDALGO,011,286544,273455,9232,725,2281,696,155
109,HILL,007,8698,2830,5055,543,15,222,33
110,HOCKLEY,001,6337,3721,2257,238,10,87,24
111,HOOD,003,11195,2267,8492,45,75,241,75
112,HOPKINS,004,9231,2478,5621,613,64,396,59
113,HOUSTON,005,4846,847,2510,1260,35,172,22
114,HOWARD,009,8039,4085,3304,360,45,191,54
115,HUDSPETH,010,947,840,90,5,0,11,1
116,HUNT,003,22788,5705,13800,2056,189,854,184
117,HUTCHINSON,001,5748,1797,3565,105,22,186,73
118,IRION,009,324,117,199,1,0,5,2
119,JACK,002,1926,462,1418,19,2,25,0
120,JACKSON,008,3555,1501,1739,256,9,43,7
121,JASPER,005,8747,814,5883,1642,49,302,57
122,JEFF DAVIS,010,403,202,193,1,0,7,0
123,JEFFERSON,005,61839,17097,18460,22135,2407,1595,145
124,JIM HOGG,011,1538,1463,59,4,0,2,10
125,JIM WELLS,011,12255,10489,1603,47,36,50,30
126,JOHNSON,003,43808,12790,28085,1111,198,1428,196
127,JONES,002,3786,1241,2245,173,16,103,8
128,KARNES,008,2924,1905,908,63,1,32,15
129,KAUFMAN,003,33503,9351,19470,3288,270,956,168
130,KENDALL,008,8482,2700,5529,30,56,146,21
131,KENEDY,011,93,73,17,0,0,1,2
132,KENT,002,168,47,118,1,0,2,0
133,KERR,008,10372,4483,5432,148,74,219,16
134,KIMBLE,009,902,360,533,3,1,5,0
135,KING,001,56,7,49,0,0,0,0
136,KINNEY,008,686,485,187,4,0,8,2
137,KLEBERG,011,8693,6881,1310,254,141,99,8
138,KNOX,002,946,408,456,60,0,18,4
139,LAMAR,004,12221,1738,7739,1878,85,624,157
140,LAMB,001,3997,2711,1057,169,0,58,2
141,LAMPASAS,007,4989,1437,3126,100,37,253,36
142,LASALLE,008,1600,1450,138,4,1,7,0
143,LAVACA,008,4246,1255,2569,321,17,81,3
144,LEE,007,4088,1516,2093,324,14,135,6
145,LEON,007,3913,1021,2592,215,21,56,8
146,LIBERTY,006,20328,5952,11953,1756,79,533,55
147,LIMESTONE,007,5699,1902,2598,993,17,179,10
148,LIPSCOMB,001,872,402,442,4,4,13,7
