,County,Region,Child PopulationAges 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
1,ANDERSON,004,8906,10,899,1,12,10,3
2,ANDREWS,009,3604,4,374,0,0,1,1
3,ANGELINA,005,18360,36,3398,4,48,11,1
4,ARANSAS,011,3489,6,477,0,0,0,1
5,ARCHER,002,1478,5,234,0,0,1,2
6,ARMSTRONG,001,266,0,0,0,0,4,1
7,ATASCOSA,008,10095,8,629,2,24,0,3
8,AUSTIN,006,5768,12,983,0,0,3,2
9,BAILEY,001,1901,3,158,0,0,3,0
10,BANDERA,008,2832,5,431,0,0,0,1
11,BASTROP,007,16034,32,2725,3,36,16,6
12,BAYLOR,002,577,3,150,0,0,2,0
13,BEE,011,5246,8,767,1,12,3,1
14,BELL,007,81673,152,14230,41,488,78,100
15,BEXAR,008,384566,545,61504,46,552,204,334
16,BLANCO,007,1631,6,229,0,0,2,0
17,BORDEN,009,84,1,13,0,0,0,0
18,BOSQUE,007,3050,4,216,1,12,1,1
19,BOWIE,004,16813,34,3352,5,60,20,8
20,BRAZORIA,006,75183,149,18013,12,143,33,48
21,BRAZOS,007,40755,69,7194,15,177,34,27
22,BREWSTER,010,1629,3,230,1,12,9,2
23,BRISCOE,001,277,0,0,0,0,0,0
24,BROOKS,011,1613,5,274,0,0,1,0
25,BROWN,002,7012,12,904,2,24,7,8
26,BURLESON,007,3120,5,310,1,12,6,1
27,BURNET,007,7726,18,1473,1,12,7,1
28,CALDWELL,007,7817,13,820,0,0,7,1
29,CALHOUN,008,4541,9,654,2,24,0,1
30,CALLAHAN,002,2407,3,161,1,12,7,2
31,CAMERON,011,110166,205,13975,21,245,17,22
32,CAMP,004,2603,3,251,1,12,1,0
33,CARSON,001,1111,0,0,0,0,3,0
34,CASS,004,5263,4,334,0,0,5,0
35,CASTRO,001,1900,3,99,0,0,0,1
36,CHAMBERS,006,7862,13,1600,1,12,8,2
37,CHEROKEE,004,10635,13,1124,1,12,12,3
38,CHILDRESS,001,1171,2,54,3,36,7,2
39,CLAY,002,1793,3,151,0,0,3,1
40,COCHRAN,001,701,1,50,0,0,1,0
41,COKE,009,444,1,20,0,0,1,0
42,COLEMAN,002,1462,1,64,2,24,2,4
43,COLLIN,003,189055,357,56168,102,1221,180,147
44,COLLINGSWORTH,001,657,0,0,1,12,1,0
45,COLORADO,006,3761,8,576,2,24,4,2
46,COMAL,008,20271,39,4057,5,58,15,7
47,COMANCHE,002,2569,2,98,5,60,5,2
48,CONCHO,009,457,2,85,0,0,0,1
49,COOKE,003,7529,9,808,10,120,17,9
50,CORYELL,007,18832,30,2604,4,46,7,6
51,COTTLE,002,269,1,34,0,0,0,0
52,CRANE,009,995,2,120,0,0,1,0
53,CROCKETT,009,792,2,80,1,12,0,0
54,CROSBY,001,1382,0,0,0,0,1,2
55,CULBERSON,010,527,1,59,0,0,0,0
56,DALLAM,001,1759,1,54,1,12,4,3
57,DALLAS,003,538837,760,87712,129,1531,619,499
58,DAWSON,009,2679,1,211,3,36,4,0
59,DEAF SMITH,001,5200,6,450,0,0,8,1
60,DELTA,004,863,1,34,0,0,0,1
61,DENTON,003,157234,261,37158,100,1200,200,162
62,DE WITT,008,3460,6,334,1,12,3,1
63,DICKENS,001,355,0,0,0,0,0,1
64,DIMMIT,008,2251,5,346,0,0,3,0
65,DONLEY,001,561,0,0,2,24,3,1
66,DUVAL,011,2359,6,228,0,0,0,2
67,EASTLAND,002,3316,5,243,1,9,4,1
68,ECTOR,009,34169,45,4839,6,72,27,3
69,EDWARDS,008,370,0,0,0,0,0,0
70,ELLIS,003,34002,59,6749,11,132,25,26
71,EL PASO,010,190425,269,24965,115,1376,256,73
72,ERATH,003,7315,14,992,3,36,4,13
73,FALLS,007,3016,4,221,1,12,2,0
74,FANNIN,003,5827,6,662,1,12,9,2
75,FAYETTE,007,4008,8,443,5,60,6,3
