,County,Region,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Indepent Foster and Group Homes,Residential Treatment Centers*,Total Residential,Total Residential Capacity
1,ANDERSON,004,11551,0,12,0,0,0,12,47
2,ANDREWS,009,4614,0,6,0,0,0,6,30
3,ANGELINA,005,23755,2,37,0,0,0,39,102
4,ARANSAS,011,4533,0,10,0,0,0,10,32
5,ARCHER,002,2085,0,6,0,0,0,6,13
6,ARMSTRONG,001,369,0,3,0,0,0,3,7
7,ATASCOSA,008,13517,0,17,0,0,0,17,61
8,AUSTIN,006,7706,0,5,0,0,2,7,115
9,BAILEY,001,2391,0,5,0,0,0,5,27
10,BANDERA,008,3914,0,13,1,0,0,14,178
11,BASTROP,007,21662,0,44,1,0,0,45,165
12,BAYLOR,002,758,0,2,0,0,0,2,5
13,BEE,011,6889,0,10,1,0,0,11,180
14,BELL,007,100813,7,213,2,0,1,223,758
15,BEXAR,008,496981,34,1053,15,0,7,1109,4088
16,BLANCO,007,2263,0,2,0,0,0,2,4
17,BORDEN,009,115,0,0,0,0,0,0,0
18,BOSQUE,007,4113,0,3,0,0,0,3,8
19,BOWIE,004,21861,0,16,0,0,0,16,44
20,BRAZORIA,006,97607,1,124,3,0,2,130,625
21,BRAZOS,007,49385,3,48,1,0,1,53,181
22,BREWSTER,010,2083,0,1,0,0,0,1,2
23,BRISCOE,001,354,0,2,0,0,0,2,5
24,BROOKS,011,2041,0,1,0,0,0,1,0
25,BROWN,002,9180,8,63,1,0,0,72,272
26,BURLESON,007,4120,0,5,0,0,0,5,8
27,BURNET,007,10348,0,26,0,0,0,26,65
28,CALDWELL,007,10380,0,24,0,0,1,25,272
29,CALHOUN,008,5931,0,2,0,0,0,2,4
30,CALLAHAN,002,3234,0,10,0,0,0,10,43
31,CAMERON,011,143894,15,207,10,0,0,232,2414
32,CAMP,004,3427,0,10,0,0,0,10,28
33,CARSON,001,1506,0,6,0,0,0,6,17
34,CASS,004,6997,0,8,0,0,0,8,32
35,CASTRO,001,2491,0,4,0,0,0,4,12
36,CHAMBERS,006,10845,0,13,0,0,0,13,32
37,CHEROKEE,004,13835,0,12,0,0,0,12,45
38,CHILDRESS,001,1510,0,1,0,0,0,1,3
39,CLAY,002,2386,0,9,0,0,0,9,25
40,COCHRAN,001,881,0,1,0,0,0,1,3
41,COKE,009,618,0,1,0,0,0,1,1
42,COLEMAN,002,1938,0,3,0,0,0,3,13
43,COLLIN,003,254505,1,201,1,0,1,204,513
44,COLLINGSWORTH,001,831,0,1,0,0,0,1,3
45,COLORADO,006,4953,0,0,0,0,0,0,0
46,COMAL,008,28014,1,60,4,0,1,66,324
47,COMANCHE,002,3372,1,11,0,0,0,12,33
48,CONCHO,009,592,0,1,0,0,0,1,6
49,COOKE,003,9766,0,3,0,0,0,3,3
50,CORYELL,007,23635,1,30,0,0,0,31,102
51,COTTLE,002,359,0,0,0,0,0,0,0
52,CRANE,009,1311,0,0,0,0,0,0,0
53,CROCKETT,009,988,0,1,0,0,0,1,2
54,CROSBY,001,1808,0,2,0,0,0,2,7
55,CULBERSON,010,679,0,0,0,0,0,0,0
56,DALLAM,001,2195,0,0,0,0,0,0,0
57,DALLAS,003,680491,47,783,3,0,3,836,2533
58,DAWSON,009,3420,0,9,0,0,0,9,15
59,DEAF SMITH,001,6620,0,5,0,0,0,5,11
60,DELTA,004,1124,0,6,0,0,0,6,15
61,DENTON,003,208025,2,215,1,0,0,218,584
62,DE WITT,008,4499,0,3,1,0,0,4,55
63,DICKENS,001,464,0,0,0,0,0,0,0
64,DIMMIT,008,2922,0,1,0,0,0,1,4
65,DONLEY,001,722,0,2,0,0,0,2,9
66,DUVAL,011,3036,0,2,0,0,0,2,0
67,EASTLAND,002,4239,0,10,0,0,0,10,32
68,ECTOR,009,42985,2,38,0,0,0,40,91
69,EDWARDS,008,443,0,0,0,0,0,0,0
70,ELLIS,003,46263,3,111,1,0,0,115,493
71,EL PASO,010,248583,9,172,6,0,0,187,791
72,ERATH,003,9147,1,7,1,0,0,9,115
73,FALLS,007,3879,0,6,0,0,1,7,51
74,FANNIN,003,7637,0,10,0,0,0,10,30
75,FAYETTE,007,5371,0,4,0,0,1,5,28
76,FISHER,002,798,0,0,0,0,0,0,0
77,FLOYD,001,1756,0,1,0,0,0,1,1
78,FOARD,002,254,0,0,0,0,0,0,0
79,FORT BEND,006,200969,7,272,1,0,4,284,1066
80,FRANKLIN,004,2680,0,6,0,0,0,6,20
81,FREESTONE,007,4733,0,7,1,0,0,8,64
82,FRIO,008,4343,0,5,0,0,0,5,8
83,GAINES,009,6866,0,5,0,0,0,5,7
84,GALVESTON,006,77237,4,122,1,0,1,128,406
85,GARZA,001,1306,0,0,0,0,0,0,0
86,GILLESPIE,008,5232,0,4,0,0,0,4,9
87,GLASSCOCK,009,309,0,1,0,0,0,1,3
88,GOLIAD,008,1587,0,5,0,0,0,5,12
89,GONZALES,008,5621,1,9,1,0,1,12,157
90,GRAY,001,6110,0,12,0,0,0,12,41
91,GRAYSON,003,29465,0,18,1,0,0,19,65
92,GREGG,004,32518,3,50,0,0,0,53,146
93,GRIMES,007,6126,0,4,0,0,0,4,7
94,GUADALUPE,008,40448,0,95,0,0,1,96,273
95,HALE,001,10774,0,24,0,0,0,24,71
96,HALL,001,783,0,0,0,0,0,0,0
97,HAMILTON,007,1756,1,0,0,0,0,1,0
98,HANSFORD,001,1710,0,0,0,0,0,0,0
99,HARDEMAN,002,1036,0,3,0,0,0,3,14
100,HARDIN,005,14456,0,18,0,0,0,18,50
101,HARRIS,006,1198257,55,1232,20,3,19,1329,5082
102,HARRISON,004,17657,0,28,2,0,0,30,198
103,HARTLEY,001,1271,0,1,0,0,0,1,3
104,HASKELL,002,1195,0,2,0,0,0,2,5
105,HAYS,007,48859,4,82,1,0,3,90,506
106,HEMPHILL,001,1166,0,3,0,0,0,3,10
107,HENDERSON,004,18248,0,40,0,0,0,40,122
108,HIDALGO,011,286544,9,170,2,0,0,181,793
109,HILL,007,8698,0,4,1,0,0,5,83
110,HOCKLEY,001,6337,0,16,0,0,2,18,114
111,HOOD,003,11195,0,12,0,0,0,12,43
112,HOPKINS,004,9231,1,14,0,0,0,15,24
