,County,Region,TOTALS,STAR*,CYD*,SYSN*
1,ANDERSON,004,98,97,0,1
2,ANDREWS,009,7,7,0,0
3,ANGELINA,005,349,326,0,23
4,ARANSAS,011,53,53,0,0
5,ARCHER,002,3,3,0,0
6,ARMSTRONG,001,2,2,0,0
7,ATASCOSA,008,167,167,0,0
8,AUSTIN,006,129,99,0,30
9,BAILEY,001,22,22,0,0
10,BANDERA,008,103,80,1,22
11,BASTROP,007,127,116,0,11
12,BAYLOR,002,6,6,0,0
13,BEE,011,34,34,0,0
14,BELL,007,471,298,2,171
15,BEXAR,008,2157,642,1238,277
16,BLANCO,007,44,44,0,0
17,BORDEN,009,0,0,0,0
18,BOSQUE,007,16,16,0,0
19,BOWIE,004,112,112,0,0
20,BRAZORIA,006,342,317,0,25
21,BRAZOS,007,297,296,0,1
22,BREWSTER,010,6,6,0,0
23,BRISCOE,001,2,2,0,0
24,BROOKS,011,8,8,0,0
25,BROWN,002,42,27,0,15
26,BURLESON,007,74,74,0,0
27,BURNET,007,31,30,0,1
28,CALDWELL,007,131,127,0,4
29,CALHOUN,008,105,105,0,0
30,CALLAHAN,002,1,0,1,0
31,CAMERON,011,1650,564,1015,71
32,CAMP,004,20,20,0,0
33,CARSON,001,3,3,0,0
34,CASS,004,46,46,0,0
35,CASTRO,001,2,2,0,0
36,CHAMBERS,006,8,8,0,0
37,CHEROKEE,004,179,179,0,0
38,CHILDRESS,001,13,13,0,0
39,CLAY,002,0,0,0,0
40,COCHRAN,001,9,9,0,0
41,COKE,009,6,6,0,0
42,COLEMAN,002,56,56,0,0
43,COLLIN,003,432,272,0,160
44,COLLINGSWORTH,001,5,5,0,0
45,COLORADO,006,123,90,0,33
46,COMAL,008,483,465,0,18
47,COMANCHE,002,24,24,0,0
48,CONCHO,009,0,0,0,0
49,COOKE,003,34,5,0,29
50,CORYELL,007,106,50,0,56
51,COTTLE,002,9,9,0,0
52,CRANE,009,2,2,0,0
53,CROCKETT,009,7,7,0,0
54,CROSBY,001,33,33,0,0
55,CULBERSON,010,9,9,0,0
56,DALLAM,001,17,13,2,2
57,DALLAS,003,3164,824,1998,342
58,DAWSON,009,12,6,1,5
59,DEAF SMITH,001,120,103,0,17
60,DELTA,004,1,0,0,1
61,DENTON,003,541,462,1,78
62,DE WITT,008,45,45,0,0
63,DICKENS,001,8,8,0,0
64,DIMMIT,008,3,1,2,0
65,DONLEY,001,7,7,0,0
66,DUVAL,011,2,2,0,0
67,EASTLAND,002,11,11,0,0
68,ECTOR,009,83,63,0,20
69,EDWARDS,008,10,10,0,0
70,ELLIS,003,106,89,0,17
71,EL PASO,010,2179,934,1168,77
72,ERATH,003,128,103,0,25
73,FALLS,007,79,65,0,14
74,FANNIN,003,0,0,0,0
75,FAYETTE,007,98,77,0,21
76,FISHER,002,2,2,0,0
77,FLOYD,001,9,9,0,0
78,FOARD,002,6,6,0,0
79,FORT BEND,006,189,133,0,56
80,FRANKLIN,004,4,4,0,0
81,FREESTONE,007,30,30,0,0
82,FRIO,008,3,3,0,0
83,GAINES,009,31,31,0,0
84,GALVESTON,006,1326,383,943,0
85,GARZA,001,1,1,0,0
86,GILLESPIE,008,50,50,0,0
87,GLASSCOCK,009,1,1,0,0
88,GOLIAD,008,0,0,0,0
89,GONZALES,008,29,29,0,0
90,GRAY,001,37,37,0,0
91,GRAYSON,003,22,4,0,18
92,GREGG,004,324,311,0,13
93,GRIMES,007,239,239,0,0
94,GUADALUPE,008,208,202,0,6
95,HALE,001,110,103,0,7
96,HALL,001,6,6,0,0
97,HAMILTON,007,18,18,0,0
98,HANSFORD,001,21,14,0,7
99,HARDEMAN,002,24,24,0,0
100,HARDIN,005,48,44,1,3
101,HARRIS,006,3277,1119,1706,452
102,HARRISON,004,187,146,0,41
103,HARTLEY,001,1,1,0,0
104,HASKELL,002,7,7,0,0
105,HAYS,007,328,270,0,58
106,HEMPHILL,001,2,2,0,0
107,HENDERSON,004,152,152,0,0
108,HIDALGO,011,2684,602,1750,332
109,HILL,007,25,18,0,7
110,HOCKLEY,001,37,37,0,0
111,HOOD,003,25,25,0,0
112,HOPKINS,004,0,0,0,0
113,HOUSTON,005,11,3,0,8
114,HOWARD,009,18,7,0,11
115,HUDSPETH,010,1,1,0,0
116,HUNT,003,86,1,0,85
117,HUTCHINSON,001,27,27,0,0
118,IRION,009,3,3,0,0
119,JACK,002,6,1,0,5
120,JACKSON,008,22,22,0,0
121,JASPER,005,10,10,0,0
122,JEFF DAVIS,010,1,1,0,0
123,JEFFERSON,005,326,326,0,0
124,JIM HOGG,011,1,1,0,0
125,JIM WELLS,011,119,119,0,0
126,JOHNSON,003,129,127,0,2
127,JONES,002,56,49,0,7
128,KARNES,008,8,8,0,0
129,KAUFMAN,003,111,110,0,1
130,KENDALL,008,68,68,0,0
131,KENEDY,011,1,1,0,0
132,KENT,002,2,2,0,0
133,KERR,008,107,78,0,29
134,KIMBLE,009,51,51,0,0
135,KING,001,5,5,0,0
136,KINNEY,008,6,6,0,0
137,KLEBERG,011,159,144,0,15
138,KNOX,002,11,11,0,0
139,LAMAR,004,4,3,0,1
140,LAMB,001,23,23,0,0
141,LAMPASAS,007,33,33,0,0
142,LA SALLE,008,1,1,0,0
143,LAVACA,008,36,36,0,0
144,LEE,007,25,25,0,0
145,LEON,007,23,23,0,0
146,LIBERTY,006,26,26,0,0
147,LIMESTONE,007,29,29,0,0
148,LIPSCOMB,001,1,1,0,0
149,LIVE OAK,011,37,37,0,0
150,LLANO,007,30,30,0,0
151,LOVING,009,1,0,1,0
152,LUBBOCK,001,1513,354,1022,137
153,LYNN,001,16,16,0,0
154,MADISON,007,58,58,0,0
155,MARION,004,8,8,0,0
156,MARTIN,009,6,6,0,0
157,MASON,009,17,17,0,0
158,MATAGORDA,006,81,41,0,40
159,MAVERICK,008,127,126,1,0
160,MCCULLOCH,009,21,19,2,0
161,MCLENNAN,007,1678,343,1316,19
162,MCMULLEN,011,0,0,0,0
163,MEDINA,008,57,56,0,1
164,MENARD,009,14,13,0,1
165,MIDLAND,009,200,168,0,32
166,MILAM,007,68,68,0,0
167,MILLS,007,5,5,0,0
168,MITCHELL,002,35,35,0,0
169,MONTAGUE,002,0,0,0,0
170,MONTGOMERY,006,870,858,0,12
171,MOORE,001,24,24,0,0
172,MORRIS,004,7,7,0,0
173,MOTLEY,001,8,8,0,0
174,NACOGDOCHES,005,179,170,1,8
175,NAVARRO,003,63,63,0,0
176,NEWTON,005,1,1,0,0
177,NOLAN,002,58,58,0,0
178,NUECES,011,1905,676,1131,98
179,OCHILTREE,001,15,11,0,4
180,OLDHAM,001,2,2,0,0
181,ORANGE,005,55,55,0,0
182,PALO PINTO,003,43,43,0,0
183,PANOLA,004,10,10,0,0
184,PARKER,003,29,29,0,0
185,PARMER,001,13,13,0,0
186,PECOS,009,27,26,1,0
187,POLK,005,54,47,0,7
188,POTTER,001,879,140,731,8
189,PRESIDIO,010,43,43,0,0
190,RAINS,004,1,1,0,0
191,RANDALL,001,110,94,4,12
192,REAGAN,009,0,0,0,0
193,REAL,008,2,2,0,0
194,RED RIVER,004,3,3,0,0
195,REEVES,009,20,20,0,0
196,REFUGIO,011,14,14,0,0
197,ROBERTS,001,0,0,0,0
198,ROBERTSON,007,121,121,0,0
199,ROCKWALL,003,22,9,0,13
200,RUNNELS,002,11,11,0,0
201,RUSK,004,69,49,0,20
202,SABINE,005,3,3,0,0
203,SAN AUGUSTINE,005,46,33,0,13
204,SAN JACINTO,005,16,16,0,0
205,SAN PATRICIO,011,256,254,0,2
206,SAN SABA,007,6,6,0,0
207,SCHLEICHER,009,2,2,0,0
208,SCURRY,002,39,39,0,0
209,SHACKELFORD,002,0,0,0,0
210,SHELBY,005,20,20,0,0
211,SHERMAN,001,5,4,0,1
212,SMITH,004,300,300,0,0
213,SOMERVELL,003,1,1,0,0
214,STARR,011,65,65,0,0
215,STEPHENS,002,1,1,0,0
216,STERLING,009,0,0,0,0
217,STONEWALL,002,2,2,0,0
218,SUTTON,009,8,8,0,0
219,SWISHER,001,10,10,0,0
220,TARRANT,003,2479,1371,870,238
221,TAYLOR,002,433,316,0,117
222,TERRELL,009,1,1,0,0
223,TERRY,001,61,59,0,2
224,THROCKMORTON,002,9,9,0,0
225,TITUS,004,68,68,0,0
226,TOM GREEN,009,370,322,0,48
227,TRAVIS,007,2541,678,1617,246
228,TRINITY,005,24,9,0,15
229,TYLER,005,53,53,0,0
230,UPSHUR,004,54,54,0,0
231,UPTON,009,0,0,0,0
232,UVALDE,008,80,80,0,0
233,VAL VERDE,008,606,596,0,10
234,VAN ZANDT,004,76,76,0,0
235,VICTORIA,008,465,448,0,17
236,WALKER,006,47,25,0,22
237,WALLER,006,24,15,0,9
238,WARD,009,11,11,0,0
239,WASHINGTON,007,94,88,0,6
240,WEBB,011,646,571,0,75
241,WHARTON,006,95,71,0,24
242,WHEELER,001,19,19,0,0
243,WICHITA,002,182,56,0,126
244,WILBARGER,002,141,104,0,37
245,WILLACY,011,76,76,0,0
246,WILLIAMSON,007,634,606,0,28
247,WILSON,008,85,84,0,1
248,WINKLER,009,4,4,0,0
249,WISE,003,5,5,0,0
250,WOOD,004,20,20,0,0
251,YOAKUM,001,1,1,0,0
252,YOUNG,002,5,5,0,0
253,ZAPATA,011,110,92,0,18
254,ZAVALA,008,71,71,0,0
255,STATEWIDE,,44821,24097,16526,4198
