,County,Region,Total,TFTS,CBCAP,HOPES,CBFS,HIP
1,AUSTIN,006,1,0,0,0,0,1
2,BELL,007,1,1,0,0,0,0
3,BEXAR,008,1202,365,499,0,324,14
4,BRAZOS,007,291,291,0,0,0,0
5,BROWN,002,166,139,0,0,27,0
6,BURLESON,007,5,5,0,0,0,0
7,CALLAHAN,002,3,2,0,0,1,0
8,CAMERON,011,544,250,119,175,0,0
9,COLEMAN,002,22,19,0,0,3,0
10,COMANCHE,002,10,8,0,0,2,0
11,DALLAS,003,14,0,4,0,0,10
12,EASTLAND,002,23,20,0,0,3,0
13,ECTOR,009,83,0,4,79,0,0
14,ELLIS,003,1,0,1,0,0,0
15,EL PASO,010,843,0,438,405,0,0
16,GALVESTON,006,2,0,0,0,0,2
17,GRAY,001,1,0,1,0,0,0
18,GREGG,004,143,0,0,143,0,0
19,GUADALUPE,008,49,0,0,0,49,0
20,HARDIN,005,2,0,0,0,0,2
21,HARRIS,006,81,0,60,0,0,21
22,HIDALGO,011,819,651,0,168,0,0
23,JOHNSON,003,1,0,1,0,0,0
24,KAUFMAN,003,2,0,0,0,0,2
25,KERR,008,4,4,0,0,0,0
26,LEON,007,5,5,0,0,0,0
27,LUBBOCK,001,1,0,0,0,0,1
28,MADISON,007,33,33,0,0,0,0
29,MCCULLOCH,009,16,10,0,0,6,0
30,MIDLAND,009,1,0,1,0,0,0
31,MILLS,007,12,8,0,0,4,0
32,MONTGOMERY,006,1,0,0,0,0,1
33,NUECES,011,17,17,0,0,0,0
34,POTTER,001,42,0,0,42,0,0
35,RANDALL,001,4,0,0,4,0,0
36,ROBERTSON,007,33,33,0,0,0,0
37,RUNNELS,002,11,3,7,0,1,0
38,SAN SABA,007,9,5,0,0,4,0
39,TARRANT,003,450,339,109,0,0,2
40,TAYLOR,002,118,0,118,0,0,0
41,TOM GREEN,009,107,0,106,1,0,0
42,TRAVIS,007,219,0,0,219,0,0
43,WALLER,006,2,0,0,0,0,2
44,WEBB,011,135,0,0,135,0,0
45,STATEWIDE,,5529,2208,1468,1371,424,58
